"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","cfos","EGR1","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.365454292734756,-0.401176387097313,-0.377132671250318,-0.349859943977591,-0.304761904761905,-0.404142471137313,-0.230571993286715,-0.366809137803979,-0.327826086956522,-0.28,-0.0990063791633595,-0.102706946577914,-0.0917392046424304,-0.181543721909313,-0.349034632034632,-0.187305068226121,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.233150988411725,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.212252475247525,-0.527735711066449,-0.527735711066449,-0.562776218514923,0.500084829560239,0.55971209252643,-0.379331309266747,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.625336769976917,0.336031926406926,0.542556499603379,-0.442810916754925,-0.423224709858373,-0.396697570484477,-0.364990253411306,-0.397669154302818,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432230070948353,0.0333333333333333,0.0761904761904762,-0.2,-0.382910699986481,0.159543721909313,0.26350951074708
"GLI",-0.244266533367733,-0.1746121295623,-0.160729776621123,-0.146264367816092,-0.108333333333333,-0.176918155509316,-0.117251735909938,-0.152056277056277,-0.127380952380952,-0.0857142857142857,-0.0309581382586476,-0.0377276495016907,-0.029079000853042,0.0034928038791865,-0.239937153960923,-0.0700339017185822,-0.0528464017185822,-0.0263157894736842,0.0235902255639098,0.0446428571428571,-0.151852068986638,0,-0.132840406719717,-0.112840406719717,-0.0853404067197171,-0.163302685515075,-0.394488820617853,-0.394488820617853,-0.482986750698972,0.379060489060489,0.479003541613952,-0.159834734357884,-0.136666417526201,-0.136666417526201,-0.136666417526201,0.510979130854138,0.168043088094758,0.411153449233945,-0.380431001330814,-0.368297110117425,-0.3105341354112,-0.191385199240987,-0.352388019208334,-0.333422501966955,-0.169032258064516,-0.309032258064516,-0.14,-0.28,-0.391194142512077,-0.0333333333333333,-0.0571428571428571,-0.2,-0.353286758508806,-0.0154269602577873,0.132505663816488
"RKIP",-0.266504568228706,-0.296412995104584,-0.258095238095238,-0.22,-0.2,-0.219156272927366,-0.151388850954579,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.351883541295306,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.346907699665232,-0.346907699665232,-0.623057061257796,0.322907699665232,0.47362909127615,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.535239733731453,0.164381402679275,0.357901905027837,-0.376479025193368,-0.351288185498712,-0.32,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.185854341736695
"miR200",-0.0682146579707555,-0.103287218863539,-0.0904965211891208,-0.0759803921568627,-0.0583333333333333,-0.0799257884972171,-0.0258452658452658,-0.0615584415584416,-0.0342857142857143,-0.0142857142857143,-0.0117514124293785,-0.0122037175744835,-0.00812848246476565,-0.0680953036140158,-0.198244740944127,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.111906561176377,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.10397807865893,-0.323906810035842,-0.323906810035842,-0.308266104268895,0.314285714285714,0.398322584407552,-0.28300481097295,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.421184217933774,0.225719806384285,0.257796101949025,-0.330111002451872,-0.320717063057933,-0.305610277046897,-0.28912676056338,-0.308415475756346,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.340539600859325,0,0.02,-0.2,-0.313871309435226,0.0572257383966245,0.0204159716528606
"GSK3",-0.186710955303367,-0.225122145440279,-0.213327273645407,-0.202525879917184,-0.176811594202899,-0.182226380717093,-0.0644344134687916,-0.165180926171638,-0.144880174291939,-0.107843137254902,-0.084025719614788,-0.078556830782174,-0.0715103540205548,-0.143244256134462,-0.241475388531744,-0.191139109932213,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.192001764350849,-0.136666666666667,-0.256115061409179,-0.239751425045543,-0.222268907563025,-0.154439574416886,-0.318982342377097,-0.318982342377097,-0.401025064601931,0.301218434457456,0.401324866089933,-0.212315366187164,-0.194458223330021,-0.194458223330021,-0.194458223330021,0.458793291974833,0.0225804590460112,0.325268312954698,-0.368684304969639,-0.358421147074902,-0.344677755246422,-0.327224925057742,-0.344618831847831,-0.327475974704974,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.38307262869072,0.0866666666666667,0.0954545454545455,-0.25,-0.0118445609080252,0.129847126947859,0.105449199922884
"SHH",-0.075,0.0533333333333333,0.0333333333333333,0.0333333333333333,0,0.02,-0.0333333333333333,0,-0.1,0,0,0,0,0.213333333333333,0.025,0.15,0.1,0,0.3,0.2,0.105714285714286,0,0.233333333333333,0.2,0.1,0.15,-0.25,-0.25,0.227662835249042,0.25,-0.105663082437276,0.273076923076923,0.25,0.25,0.25,-0.0133333333333333,-0.241025641025641,0.266666666666667,0.0877777777777778,0.0933333333333333,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.247619047619048,0,-0.2,0,0.226233766233766,-0.333333333333333,0.08
"SMO",-0.051551724137931,0.0727027027027027,0.07,0.0533333333333333,0.0333333333333333,0.0736130536130536,-0.0205837173579109,0.0584615384615385,0.02,0,0.021978021978022,0.0147619047619048,0.01,0.218888888888889,0.0287037037037037,0.176285714285714,0.164285714285714,0.15,0.213333333333333,0.333333333333333,0.102010582010582,0.1,0.247424242424242,0.242424242424242,0.233333333333333,0.121929824561404,-0.244915254237288,-0.244915254237288,0.230900930487137,0.261111111111111,-0.103856178445906,0.279326923076923,0.279326923076923,0.279326923076923,0.279326923076923,-0.0161492255699256,-0.249578576763043,0.258257986738999,0.0895005312634337,0.0887486515641855,0.194444444444444,0.2,0.0877777777777778,0.0933333333333333,0.2,0.1,0.2,0.1,0.244170771756979,0,-0.3,0.1,0.220611481541714,-0.213333333333333,0.0458730158730159
"FUS",-0.0462885662431942,0.0758941920644048,0.0727027027027027,0.07,0.0533333333333333,0.0793601800498352,-0.0168101324522505,0.0736130536130536,0.0584615384615385,0.02,0.0292243987896162,0.020568356374808,0.0147619047619048,0.21989898989899,0.0344628660073686,0.183978021978022,0.176285714285714,0.164285714285714,0.213333333333333,0.213333333333333,0.104420220564799,0.15,0.24969696969697,0.247424242424242,0.242424242424242,0.11808367071525,-0.23939378184465,-0.23939378184465,0.232875795837227,0.256193078324226,-0.105159716620953,0.27976360429963,0.279326923076923,0.279326923076923,0.279326923076923,-0.0191629242000626,-0.250581921244648,0.251327293669692,0.0914027051764772,0.0895005312634337,0.196367521367521,0.194444444444444,0.0887486515641855,0.0877777777777778,0.2,0.0933333333333333,0.2,0.1,0.243549653744556,-0.1,-0.333333333333333,0.1,0.219881554534415,-0.218888888888889,0.0324709540173458
"TCFLEF",0.127876382883787,0.10716495771645,0.0978934345376423,0.09695885509839,0.0923076923076923,0.329346275095404,0.137709612563169,0.322543554006969,0.319686411149826,0.292857142857143,0.110292257430139,0.0776234421153411,0.0747553732816891,0.16558979578374,0.11458490620592,0.226317899491813,0.220883116883117,0.220883116883117,0.148095238095238,0.143333333333333,0.144894508627495,0.216883116883117,0.287544255743515,0.280567511557469,0.282528295871194,0.0606620604943958,-0.10027990430622,-0.10027990430622,0.24889954493527,0.113594983447925,-0.146122522330434,0.288396543625211,0.281957647435987,0.281957647435987,0.281957647435987,-0.181494245881245,-0.265782182859856,0.107639475651524,0.0195168512893664,0.0127299097086104,0.110320598696558,0.0985193564605329,0.103222464118691,0.0919017094017094,0.0891176470588235,0.0825,0.0941176470588235,0.0875,0.449024664224664,-0.171428571428571,-0.15,0.1,0.225493570743627,-0.154546850998464,-0.139867291178767
"Ecadherin",-0.246798749747933,-0.269988586076885,-0.253532889874353,-0.230606060606061,-0.205272727272727,-0.309118474006285,-0.117394231197088,-0.286765532829814,-0.258930481283422,-0.223636363636364,-0.101384221779011,-0.0829843141383304,-0.0754782608695652,-0.324119464905597,-0.338166916176775,-0.358268398268398,-0.336190476190476,-0.302857142857143,-0.291666666666667,-0.266666666666667,-0.350646494934351,-0.26,-0.392639654588473,-0.372193557934198,-0.342296650717703,-0.255366976618218,-0.0950662724556023,-0.0950662724556023,-0.452142923309432,0.0473511486169714,0.568120205223864,-0.406252727992787,-0.391168929110106,-0.391168929110106,-0.391168929110106,0.513994638909871,0.352891382642159,0.0914941917176554,-0.377804170063291,-0.366879800315392,-0.355292010629432,-0.340625343962766,-0.354301967189614,-0.339920696286604,-0.321659826721386,-0.321659826721386,-0.296078431372549,-0.296078431372549,-0.41085271431473,0.2,0.233333333333333,-0.266666666666667,-0.339539027357225,0.30994623655914,0.128229439545651
