"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","cfos","EGR1","RKIP"
"TrCP",-0.431476678139717,-0.453982099546227,-0.419009421950598,-0.375070028011204,-0.314285714285714,-0.435007614836649,-0.336789359498039,-0.385674281503316,-0.100476967398654,-0.107545656255334,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.390221061547149,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.223748624862486,0.546920114493885,-0.570305478192386,-0.593626380375756,-0.593626380375756,0.56967113998148,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.649652427707507,0.336759199134199,0.605776745400514,-0.450255677322936,-0.397673180240574,-0.426807401460867,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384528645264614,0.159543721909313,0.336521739130435,0.28,0.345799559556466
"SUFU",-0.501870364282401,-0.59709086588792,-0.565335441824804,-0.52490990990991,-0.481666666666667,-0.46393708516966,-0.410658458902001,-0.431171127722852,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.34777197337737,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.502747237764907,-0.523974627969675,-0.561309858397895,-0.561309858397895,0.470846342943538,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.524971990015121,0.379948491516398,0.57311400227864,-0.346587713095799,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352193363928839,0.349419191919192,0.393240093240093,0.353846153846154,0.419981064590785
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.3,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.2,0.1,0.302857142857143
"Ecadherin",-0.41878863199979,-0.402043220543992,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.356425451163682,-0.364959479574398,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.437754043889437,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.489963135818609,-0.388164252979815,-0.388164252979815,0.620598378586183,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605150455886666,0.364662501557927,0.397391263815845,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.328877005347594,0.281818181818182,0.358262515084345
"cateninmemb",-0.41878863199979,-0.402043220543992,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.356425451163682,-0.364959479574398,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.437754043889437,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.489963135818609,-0.388164252979815,-0.388164252979815,0.524689773268335,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606225125272003,0.364662501557927,0.397391263815845,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.328877005347594,0.281818181818182,0.358262515084345
"GSK3",-0.241997121605445,-0.27128721755445,-0.253594909862142,-0.236521739130435,-0.203188405797101,-0.21159159038416,-0.144599643699745,-0.188864317656887,-0.0885482716696657,-0.0852439580349821,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.277845016013325,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.167238694374259,0.350369721741806,-0.411837169514578,-0.378880241408637,-0.378880241408637,0.415726025589345,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.485393858705554,0.0250060374516847,0.384215663248301,-0.378966387000626,-0.348815133468151,-0.365808492263784,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0154016789241098,0.13107412081289,0.164052287581699,0.119607843137255,0.173467585046532
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0806493506493507,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.314833511931918,-0.370282258064516,-0.370282258064516,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0442857142857143,0.0142857142857143,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.335855830910517,-0.328877005347594,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,-0.354514963880289,-0.354514963880289,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.348106210167198,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.281818181818182,0.2,0.328674500103071
"RKIP",-0.124742116121426,-0.14861593235425,-0.100952380952381,-0.0533333333333333,-0.0333333333333333,-0.176515040352164,-0.00347417583918281,-0.140344827586207,-0.140301974448316,-0.136442697543182,-0.133472400513479,-0.190754098360656,-0.150108225108225,-0.158903743315508,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.23511399466408,-0.1,-0.202719502719503,-0.156565656565657,-0.111111111111111,-0.0328253968253968,0.199378287900526,-0.5771883196363,-0.229378287900526,-0.229378287900526,0.415228001110354,-0.0752164502164502,-0.0418831168831169,-0.0418831168831169,-0.0418831168831169,0.456240220565548,0.149881796690307,0.242781997876338,-0.333781318453878,-0.294615384615385,-0.314188443135812,-0.26,-0.29251012145749,-0.257894736842105,-0.2,-0.2,-0.1,-0.1,-0.317205813408345,0.1,0.1,0,-0.00242961296016664,0.176,0.13,0.13,0.147128851540616
"ZEB2",-0.236270396270396,-0.224614856043427,-0.217736549165121,-0.207532467532468,-0.194805194805195,-0.163613055060941,-0.160151436667125,-0.156295981890209,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.125994103310986,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0538832334131651,-0.0498807254480368,-0.048962724923402,-0.048962724923402,-0.0417047103756056,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.005748493647614,0.0118535064556254,0.0123046494965675,0.0430371169066499,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.127735191637631,0.153070175438596,0.158333333333333,0.175700483091787
