"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","SMO","NFB","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","GSK3","Ecadherin","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.428357457925699,-0.446522983024986,-0.417551020408163,-0.377551020408163,-0.314285714285714,-0.434345167841611,-0.335878093558327,-0.28,-0.388245877061469,-0.336521739130435,-0.100476967398654,-0.107825792078763,-0.377309941520468,-0.0933521078682369,-0.170458210744252,-0.1814586645469,-0.155968468468468,-0.136190476190476,-0.120833333333333,-0.212707528313987,-0.10952380952381,-0.0833333333333333,-0.23050988700565,-0.20425988700565,-0.168666666666667,-0.219445288753799,-0.554149844157471,-0.597845306447812,-0.597845306447812,0.551603174603175,-0.362551450254036,-0.331044600938967,-0.331044600938967,-0.331044600938967,0.598639384084979,0.610100175500584,0.319868637110016,0.63790543913085,-0.422216483249517,-0.37029526029526,-0.399200610233644,-0.340808080808081,-0.371139385743848,-0.314141414141414,-0.341727621037966,-0.314141414141414,-0.277777777777778,-0.277777777777778,-0.412361235877473,0.0333333333333333,0.0761904761904762,-0.2,-0.361304686793019,0.151979949874687,0.348424422095822
"SUFU",-0.488105447598946,-0.57821046349662,-0.544360334297654,-0.499262295081967,-0.455,-0.446619787811498,-0.399182137971468,-0.35,-0.411904761904762,-0.378571428571429,-0.15190806883814,-0.150135949954462,-0.329653829357416,-0.140852130325815,-0.346610728628801,-0.282449628844115,-0.257246376811594,-0.304166666666667,-0.222463768115942,-0.261141179525074,-0.266666666666667,-0.183333333333333,-0.370183823529412,-0.342058823529412,-0.300392156862745,-0.262474721941355,-0.512099627780848,-0.555366161616162,-0.555366161616162,0.498412698412698,-0.41387678987679,-0.38987678987679,-0.38987678987679,-0.38987678987679,0.498974469789737,0.566865477517651,0.356771866667512,0.537316840045353,-0.25084270576371,-0.312269799166351,-0.22995985347169,-0.288131868131868,-0.208125792336319,-0.253846153846154,-0.184149184149184,-0.150815850815851,-0.2,-0.096969696969697,-0.393417946822202,0.15,0.233333333333333,-0.0333333333333333,-0.313476589686744,0.329467871485944,0.411645021645022
"Patched",-0.372268907563025,-0.455,-0.425,-0.4,-0.3,-0.35,-0.305714285714286,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.219047619047619,-0.1,-0.266666666666667,-0.183333333333333,-0.15,-0.333333333333333,-0.1,-0.181159420289855,-0.3,0,-0.253333333333333,-0.22,-0.2,-0.23,-0.401788562314878,-0.429545454545455,-0.429545454545455,0.355555555555556,-0.324941724941725,-0.278787878787879,-0.278787878787879,-0.278787878787879,0.348850574712644,0.437179487179487,0.282566844919786,0.405014958274288,-0.184149184149184,-0.2,-0.150815850815851,-0.133333333333333,-0.096969696969697,-0.1,-0.0333333333333333,0,-0.2,-0.1,-0.27,0,0.2,-0.1,-0.264573268921095,0.233333333333333,0.293333333333333
"GSK3",-0.233725373725374,-0.259290854615035,-0.24576930929557,-0.233170884098719,-0.201212121212121,-0.204714827929774,-0.138567906853264,-0.119607843137255,-0.186813593361873,-0.163004069552349,-0.0878881327705516,-0.0843696463950892,-0.262767475950003,-0.0759321463950892,-0.133206918178102,-0.18201729082652,-0.170090685321933,-0.110539291217257,-0.159247311827957,-0.175728868495446,-0.105454545454545,-0.136666666666667,-0.239670963844681,-0.225898508754861,-0.214087485132814,-0.157081213460079,-0.391924347967149,-0.378345255978279,-0.378345255978279,0.352168326076305,-0.194408827016143,-0.176533179347749,-0.176533179347749,-0.176533179347749,0.446571779410489,0.383982798773637,0.00644907880155774,0.46701721370893,-0.347824185156374,-0.318824824640975,-0.33582031293953,-0.298442659035879,-0.318734885803851,-0.281493506493506,-0.298734885803851,-0.281493506493506,-0.267857142857143,-0.267857142857143,-0.360431584544488,0.0866666666666667,0.0954545454545455,-0.242857142857143,0.00768570003876476,0.119148562740436,0.170072226958416
"RKIP",-0.294816490698844,-0.319075358298659,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.218551384719621,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.366933170029145,-0.153754813863928,-0.206033898305085,-0.156168831168831,-0.110714285714286,-0.14,-0.0857142857142857,-0.248940242763772,-0.1,-0.1,-0.208565656565657,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.613256217466744,-0.372663797226208,-0.372663797226208,0.332663797226208,-0.0871272808188696,-0.0488095238095238,-0.0488095238095238,-0.0488095238095238,0.485669362084456,0.380952950808151,0.15712141971684,0.530767401300143,-0.351368429750936,-0.307575757575758,-0.330176376770804,-0.266666666666667,-0.305614973262032,-0.2,-0.264705882352941,-0.2,-0.1,-0.1,-0.329623188405797,0.1,0.1,0,-0.00863756427059179,0.184,0.226050420168067
"Ecadherin",-0.390001364782673,-0.368668481186502,-0.338897488820089,-0.30687134502924,-0.28187134502924,-0.368827176440196,-0.32803016475464,-0.28,-0.342296564195298,-0.315714285714286,-0.121033613445378,-0.107647907647908,-0.406690219512919,-0.10050505050505,-0.297065527065527,-0.343333333333333,-0.316666666666667,-0.250769230769231,-0.283333333333333,-0.308658150719955,-0.22,-0.25,-0.368029749200563,-0.340281058101086,-0.306034482758621,-0.255357142857143,-0.462131511346843,-0.369559884559885,-0.369559884559885,0.291181716833891,-0.386758592511347,-0.368365357839042,-0.368365357839042,-0.368365357839042,0.680686757300515,0.379255926097257,0.332544870264552,0.612996935006493,-0.346626467188202,-0.315576466847653,-0.331078463789731,-0.293542568542569,-0.314155386866654,-0.262987012987013,-0.292564477775745,-0.262987012987013,-0.227272727272727,-0.227272727272727,-0.388909225694188,0.2,0.2,-0.2,-0.313747291285706,0.278547008547009,0.335443417893308
"cateninmemb",-0.390001364782673,-0.368668481186502,-0.338897488820089,-0.30687134502924,-0.28187134502924,-0.368827176440196,-0.32803016475464,-0.28,-0.342296564195298,-0.315714285714286,-0.121033613445378,-0.107647907647908,-0.406690219512919,-0.10050505050505,-0.297065527065527,-0.343333333333333,-0.316666666666667,-0.250769230769231,-0.283333333333333,-0.308658150719955,-0.22,-0.25,-0.368029749200563,-0.340281058101086,-0.306034482758621,-0.255357142857143,-0.462131511346843,-0.369559884559885,-0.369559884559885,0.291181716833891,-0.386758592511347,-0.368365357839042,-0.368365357839042,-0.368365357839042,0.5817957827613,0.379255926097257,0.332544870264552,0.614051239511502,-0.346626467188202,-0.315576466847653,-0.331078463789731,-0.293542568542569,-0.314155386866654,-0.262987012987013,-0.292564477775745,-0.262987012987013,-0.227272727272727,-0.227272727272727,-0.388909225694188,0.2,0.2,-0.2,-0.313747291285706,0.278547008547009,0.335443417893308
"miR200",-0.107120364741641,-0.130987443275637,-0.116329462819611,-0.0973639455782313,-0.0708333333333333,-0.100598006644518,-0.0923980430258984,-0.0142857142857143,-0.0791694352159468,-0.0442857142857143,-0.0134180790960452,-0.0159686815091265,-0.211778305212056,-0.00989839396919043,-0.0601513291341945,-0.0671620227038184,-0.0534365325077399,-0.0428448275862069,-0.0357894736842105,-0.0974867215041128,-0.0325,-0.02,-0.117269641609264,-0.102804232804233,-0.0842857142857143,-0.107359550561798,-0.294860078460005,-0.366453081849697,-0.366453081849697,0.347183263207106,-0.266838983297869,-0.250270935960591,-0.250270935960591,-0.250270935960591,0.400644082841464,0.299947379089256,0.210950417326851,0.419959020995603,-0.308460960378073,-0.282198242220639,-0.29765882134064,-0.267304625199362,-0.284451274170829,-0.251515151515152,-0.269122807017544,-0.253333333333333,-0.233333333333333,-0.233333333333333,-0.320297429650989,0,0.02,-0.2,-0.295254237980809,0.0507395644283122,0.0758608058608059
"KLF4",-0.360406349206349,-0.338897488820089,-0.30687134502924,-0.28187134502924,-0.255555555555556,-0.342296564195298,-0.307595382145944,-0.2,-0.315714285714286,-0.28,-0.109033613445378,-0.10050505050505,-0.381550554708449,-0.0893939393939394,-0.278547008547009,-0.316666666666667,-0.283333333333333,-0.22,-0.25,-0.291252007375245,-0.2,-0.2,-0.340281058101086,-0.306034482758621,-0.275,-0.242857142857143,-0.437791335393763,-0.337417027417027,-0.337417027417027,0.255797101449275,-0.368365357839042,-0.345614035087719,-0.345614035087719,-0.345614035087719,0.644070054945055,0.346232670283303,0.318026110068793,0.680686757300515,-0.331078463789731,-0.293542568542569,-0.314155386866654,-0.262987012987013,-0.292564477775745,-0.227272727272727,-0.262987012987013,-0.227272727272727,-0.2,-0.2,-0.363739157666977,0.1,0.2,-0.2,-0.304212923214752,0.250769230769231,0.306317204301075
"ZEB2",-0.246509564884232,-0.236050591144931,-0.227341882436222,-0.211786326880667,-0.194805194805195,-0.170246272741611,-0.170080609114507,-0.158333333333333,-0.157988208225482,-0.153070175438596,-0.146407624633431,-0.139587087743854,-0.137807785141025,-0.137102615694165,-0.136465495289025,-0.133107060706071,-0.128156565656566,-0.126050420168067,-0.123611111111111,-0.119116849291551,-0.114285714285714,-0.111111111111111,-0.110093964007007,-0.104503901895206,-0.0943589743589744,-0.0755371775990333,-0.0653722148113581,-0.0547273374600477,-0.0547273374600477,-0.0505812628823645,-0.0334801319196552,-0.0270533967011462,-0.0270533967011462,-0.0270533967011462,0.0124124686498248,0.0178161881977672,0.0212635336620524,0.0227751629503429,0.0243694116387574,0.0299339292654489,0.030317367029092,0.0335483870967742,0.0363414634146342,0.04,0.04,0.0466666666666667,0.06,0.0666666666666667,0.0701905783274605,0.1,0.1,0.1,0.103089816455983,0.132543926661574,0.184037897298517
