"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","PI3K","DELTA","GSK3","EGR1","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched"
"TrCP",-0.431603421143371,-0.454763210108605,-0.419090695488722,-0.373778195488722,-0.311278195488722,-0.426716823406479,-0.336953633585758,-0.0799308575889372,-0.082905741562458,-0.0717117117117117,-0.16996996996997,-0.388926768290176,-0.187516087516088,-0.154182754182754,-0.119047619047619,-0.126666666666667,-0.0761904761904762,-0.1,-0.226224400883074,-0.247118506493507,-0.212594696969697,-0.171969696969697,0.542211024013936,0.564314493465865,-0.591605066685158,-0.591605066685158,-0.563628025867378,-0.412755020080321,-0.377333333333333,-0.377333333333333,0.344485689288839,0,0.64481927503396,0.603574560754091,-0.444308900415424,-0.393936549614942,-0.421653777760301,-0.363283283283283,-0.394871504157218,-0.364259259259259,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.430314495917212,0.0333333333333333,0.0666666666666667,-0.2,-0.396335722378036,0.148888888888889
"SUFU",-0.497086878638603,-0.593439198273622,-0.56255985267035,-0.523333333333333,-0.481666666666667,-0.479039479039479,-0.40369746093576,-0.13523158777817,-0.127005933586237,-0.119193433586237,-0.35636329158004,-0.344382095953819,-0.292142857142857,-0.267857142857143,-0.23452380952381,-0.316078431372549,-0.192857142857143,-0.286666666666667,-0.279273627086735,-0.388867922201256,-0.360472860472861,-0.322377622377622,0.499651600753296,0.468291740430402,-0.556682916081412,-0.556682916081412,-0.514332668130288,-0.446541611442932,-0.419208278109598,-0.419208278109598,0.368889165993103,0,0.520388500023087,0.568906586115047,-0.343696234340237,-0.406400653029867,-0.324678470494887,-0.379059829059829,-0.30236442090811,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435654924256741,0.15,0.253333333333333,-0.15,-0.356353117559293,0.33735502711723
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.35,-0.321264367816092,-0.1,-0.105050505050505,-0.0939393939393939,-0.286666666666667,-0.240740740740741,-0.192857142857143,-0.15,-0.1,-0.333333333333333,0,-0.3,-0.201318681318681,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.412777777777778,-0.350512820512821,-0.303846153846154,-0.303846153846154,0.296666666666667,0,0.39656862745098,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.29965367965368,0.253333333333333
"Ecadherin",-0.416237972126151,-0.400026438440232,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.394668375824906,-0.351109325015479,-0.111951345755694,-0.0927884014498188,-0.0861217347831521,-0.336121670709484,-0.435879565142826,-0.365236811705814,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.26,-0.266666666666667,-0.369455353401876,-0.402347541302945,-0.375629984051037,-0.342296650717703,0.303846153846154,0.619968446186197,-0.385754830049379,-0.385754830049379,-0.484534856385119,-0.424244274410417,-0.402454952621095,-0.402454952621095,0.357967149756588,0,0.603024692383901,0.395279034690799,-0.411532105430699,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.355532611166686,0.318426197458456
"cateninmemb",-0.416237972126151,-0.400026438440232,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.394668375824906,-0.351109325015479,-0.111951345755694,-0.0927884014498188,-0.0861217347831521,-0.336121670709484,-0.435879565142826,-0.365236811705814,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.26,-0.266666666666667,-0.369455353401876,-0.402347541302945,-0.375629984051037,-0.342296650717703,0.303846153846154,0.524060089359395,-0.385754830049379,-0.385754830049379,-0.484534856385119,-0.424244274410417,-0.402454952621095,-0.402454952621095,0.357967149756588,0,0.604098623027912,0.395279034690799,-0.411532105430699,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.355532611166686,0.318426197458456
"GSK3",-0.241635590575753,-0.270480718144844,-0.252236548048822,-0.232380952380952,-0.199047619047619,-0.349399328627595,-0.144615475945888,-0.0736561175045427,-0.0630540015876311,-0.0572746670867554,-0.135447795063022,-0.274598499877076,-0.193031135531136,-0.174761904761905,-0.158095238095238,-0.109483454398709,-0.12952380952381,-0.0976190476190476,-0.187010946327684,-0.257107869655068,-0.238798010500138,-0.22022658192871,0.344290244495012,0.409043882994073,-0.374989292642175,-0.374989292642175,-0.399574571821169,-0.231146513597054,-0.212093525998407,-0.212093525998407,0.0216581741500337,0,0.478249339988513,0.380176731866012,-0.37286536791373,-0.344352647109401,-0.360133089868307,-0.326391482060857,-0.344285082454034,-0.326638023630505,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.382783149589646,0.0866666666666667,0.0833333333333333,-0.25,-0.019686231364435,0.122586902674571
"miR200",-0.118712346775407,-0.144771725258151,-0.125245098039216,-0.100245098039216,-0.0708333333333333,-0.151524601524602,-0.104683233349764,-0.0130493475326234,-0.014518720237452,-0.00936408106219427,-0.0700425261286664,-0.229142215808882,-0.0746486537198612,-0.0570015948963317,-0.0357894736842105,-0.0467857142857143,-0.02,-0.0325,-0.114053452421848,-0.131070218400296,-0.111995073891626,-0.0869950738916256,0.349245664053219,0.407328901138483,-0.37161938534279,-0.37161938534279,-0.317119917140676,-0.287385152161272,-0.266865671641791,-0.266865671641791,0.229365267344489,0,0.441257165824966,0.304421698097174,-0.336877297561658,-0.306709178145798,-0.324339071261964,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.316040183413213,0.0581781193490054
"KLF4",-0.389351179673321,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.362464985994398,-0.331572901174419,-0.100357142857143,-0.0861217347831521,-0.0774603174603175,-0.318426197458456,-0.411925192519252,-0.338706199460916,-0.302857142857143,-0.26,-0.266666666666667,-0.2,-0.233333333333333,-0.350676010678871,-0.375629984051037,-0.342296650717703,-0.305454545454545,0.266666666666667,0.592660505579354,-0.353725490196078,-0.353725490196078,-0.460873586148506,-0.402454952621095,-0.376500754147813,-0.376500754147813,0.341897785594739,0,0.672538098540802,0.361945701357466,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.343208998749,0.295698924731183
"ZEB2",-0.23149426076607,-0.220988406318595,-0.213961379291568,-0.204239157069346,-0.194805194805195,-0.180919131069734,-0.15279354137174,-0.134362859362859,-0.126555600176863,-0.124894470608756,-0.12390735846432,-0.122809514046396,-0.122026436096204,-0.120103359173127,-0.117777777777778,-0.116263736263736,-0.111111111111111,-0.107692307692308,-0.106442828942217,-0.097652733871912,-0.0932082894274675,-0.0863589743589744,-0.0579329004329004,-0.0446226235251096,-0.0436903935501411,-0.0436903935501411,-0.0402129486857177,-0.0235902699423041,-0.0175500014859283,-0.0175500014859283,-0.0020962520943992,0,0.000909579412136077,0.00763693706790722,0.045710321871103,0.0470720020720021,0.0494726981087268,0.0517016317016317,0.0540990326282997,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0868626564148952,0.1,0.1,0.1,0.111451143518134,0.120061204618167
"Destcompl",0.051317405283582,0.0211717053642553,0.0240230291931759,0.0245665074540454,0.0210204081632653,-0.0630090695640164,0.0901039187124772,0.0024937343358396,0.00644256141817414,0.00578553119478387,-0.124606650306377,-0.0435256719333383,0.0404432446985639,0.043989343989344,0.0478354978354978,-0.120011055831951,0.0523809523809524,-0.118518518518519,-0.189026174775239,-0.0624816647366389,-0.0593760746745271,-0.0576811594202899,-0.197273926062179,0.217928452645678,0.185587822448223,0.185587822448223,-0.239621698198716,0.00171095211672394,0.00311475063034904,0.00311475063034904,-0.0851616231027511,0,0.0564800249133796,-0.197280761390709,-0.18900904513311,-0.186524035855494,-0.187812997291196,-0.183346465762036,-0.18587124971838,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.239134579886274,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0197078304235592,0.12274329626911
