"","FOXC2","TGF","TGFR","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.434702797202797,-0.457072219128468,-0.421160616918523,-0.435262881067093,-0.341921531921532,-0.28,-0.386269592476489,-0.334545454545455,-0.100812747933558,-0.107692307692308,-0.0934065934065934,-0.183151978007021,-0.187864117841774,-0.157675438596491,-0.392298041443633,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234632936507937,-0.0833333333333333,-0.245384615384615,-0.212051282051282,-0.17051282051282,-0.224438775510204,0.546732026143791,-0.569870716386884,-0.595428060844937,-0.595428060844937,0.569185998520838,-0.37994567207289,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.650143068385228,0.607295056267372,0.336491116851518,-0.449573090424225,-0.397343194587777,-0.426174761733417,-0.364990253411306,-0.398324294443697,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432662584886016,0.0333333333333333,0.0761904761904762,-0.2,-0.38415571026479,0.160075054930098,0.349227272727273
"SUFU",-0.497135190556243,-0.593414492753623,-0.561014492753623,-0.461022988639268,-0.405697574030907,-0.353846153846154,-0.428555456171735,-0.391346153846154,-0.15839911764636,-0.155468611917275,-0.145420765027322,-0.370412303487837,-0.298003139717425,-0.271472527472527,-0.345184836863147,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287587220737382,-0.192857142857143,-0.392024242424242,-0.362424242424242,-0.323787878787879,-0.297195931003981,0.49821267735785,-0.522921208031533,-0.557049190386477,-0.557049190386477,0.469397617731896,-0.438325164857484,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.522937277714405,0.568617742410846,0.379743101009415,-0.345298522169434,-0.406671769358337,-0.325484280683366,-0.379059829059829,-0.302638863446704,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435816205670715,0.15,0.253333333333333,-0.15,-0.351801561463153,0.349939862542955,0.415330839373393
"Patched",-0.386842105263158,-0.479130434782609,-0.44,-0.353846153846154,-0.317272727272727,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.238461538461538,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,-0.431521739130435,-0.431521739130435,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.39656862745098,0.438888888888889,0.305128205128205,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.298461538461538
"Ecadherin",-0.417425425612996,-0.400960150946156,-0.372989401403195,-0.394603748349101,-0.355303200678404,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115183870167606,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.436878288204055,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.303846153846154,-0.489872701760533,-0.386898567119155,-0.386898567119155,0.620505721991601,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604746619377182,0.396161202302646,0.364662501557927,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.356676556438914
"cateninmemb",-0.417425425612996,-0.400960150946156,-0.372989401403195,-0.394603748349101,-0.355303200678404,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115183870167606,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.436878288204055,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.303846153846154,-0.489872701760533,-0.386898567119155,-0.386898567119155,0.524597235426234,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605821451632126,0.396161202302646,0.364662501557927,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.356676556438914
"GSK3",-0.245988614623456,-0.274510174546083,-0.25674104354738,-0.213133939682219,-0.149958879206792,-0.119607843137255,-0.190276796825077,-0.163004069552349,-0.0886391205937205,-0.0855387087860145,-0.0763923673225999,-0.14695742012047,-0.192126436781609,-0.176609195402299,-0.279874354633,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196445887418541,-0.136666666666667,-0.257244897630399,-0.239751425045543,-0.222268907563025,-0.167931939944519,0.352504153354844,-0.411895494044433,-0.38209055258467,-0.38209055258467,0.415865765362095,-0.215368145193503,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.486449603692456,0.387286876689933,0.02486377455651,-0.378992610254412,-0.34862667724798,-0.365604180502346,-0.328532114600226,-0.348609547228643,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385927684768592,0.0866666666666667,0.0954545454545455,-0.25,-0.0152706859058919,0.131218921331123,0.177544396815677
"RKIP",-0.294816490698844,-0.32,-0.267619047619048,-0.227666911225238,-0.216842105263158,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.372963412168991,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.624385964912281,-0.371439307430289,-0.371439307430289,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543069668561666,0.380025159805282,0.164381402679275,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.223809523809524
"miR200",-0.118071144876989,-0.144247026679524,-0.124835261973642,-0.106166592028661,-0.103423769502621,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0165650606358571,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.228819795173962,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.348796166432913,-0.314869844146771,-0.371002719413017,-0.371002719413017,0.407000356057882,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440451855821644,0.303909206735294,0.226551407215886,-0.336664706543896,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.083064182194617
"KLF4",-0.389351179673321,-0.372989401403195,-0.340969696969697,-0.364959479574398,-0.333886131435248,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.411925192519252,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,-0.353725490196078,-0.353725490196078,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673337617420235,0.361945701357466,0.348106210167198,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.32739898989899
"ZEB2",-0.234723779759169,-0.223461133502513,-0.216261133502513,-0.162684979823591,-0.158820988833575,-0.158333333333333,-0.154709519700892,-0.153070175438596,-0.146449792038027,-0.138690844758956,-0.137142857142857,-0.132322347600933,-0.12863707165109,-0.125833333333333,-0.125182394598155,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112346865187455,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0680605640314378,-0.0554364240410752,-0.0496021475909623,-0.0471184673482546,-0.0471184673482546,-0.0421413584410177,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00499312196645632,0.0106606776535225,0.0118535064556254,0.0433841812880615,0.0461970445456684,0.0477490021349671,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113432319343321,0.127735191637631,0.173951395597133
