"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.435295419290081,-0.457469540487951,-0.421895310796074,-0.376857142857143,-0.312857142857143,-0.435736476075459,-0.342303264937411,-0.28,-0.38708782742681,-0.334545454545455,-0.0796726879728269,-0.0832138490025504,-0.392327140257469,-0.071785277573979,-0.170163288288288,-0.179518680632542,-0.148825611325611,-0.113690476190476,-0.126666666666667,-0.0761904761904762,-0.1,-0.227962953482626,-0.241821803196803,-0.208107517482517,-0.167482517482517,-0.225119047619048,0.547752434307056,-0.569811164456935,-0.596475845410628,-0.596475845410628,0.568879621031521,-0.379438176213271,-0.344426734565674,-0.344426734565674,-0.344426734565674,0.649965332048901,0.33562411934894,0.608356088930722,-0.449267415618802,-0.397009957844804,-0.425836453275706,-0.364990253411306,-0.397985985985986,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432464924861258,0.0333333333333333,0.0666666666666667,-0.2,-0.384282824099973,0.148288288288288,0.350077115106678
"SUFU",-0.501261323942355,-0.596672960631865,-0.564672960631865,-0.524132420091324,-0.481666666666667,-0.463496605866104,-0.410747400423064,-0.353846153846154,-0.430449395565675,-0.393240093240093,-0.135098248518648,-0.126977954629968,-0.347390724946695,-0.1190899139175,-0.356207486133623,-0.290134920634921,-0.266523809523809,-0.23452380952381,-0.316078431372549,-0.192857142857143,-0.286666666666667,-0.2795652723089,-0.387522147375269,-0.359586924703204,-0.322377622377622,-0.298437589097337,0.502018970189702,-0.523758929145682,-0.560667837377608,-0.560667837377608,0.470340110872961,-0.438442891821487,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.524104821289001,0.379489459115854,0.572573989367158,-0.34611311541951,-0.406940869952022,-0.326072005450343,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352164149640334,0.33735502711723,0.419542606516291
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.323333333333333,-0.1,-0.3,-0.2,-0.1,-0.105050505050505,-0.240740740740741,-0.0939393939393939,-0.286666666666667,-0.192857142857143,-0.15,-0.1,-0.333333333333333,0,-0.3,-0.201318681318681,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.417844680271382,-0.401293387689129,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.394880739416917,-0.35545280802784,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.111951345755694,-0.0927530345179001,-0.437083513381154,-0.0861217347831521,-0.336121670709484,-0.364880696105212,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.26,-0.266666666666667,-0.369455353401876,-0.402145135566188,-0.375629984051037,-0.342296650717703,-0.295863049562156,0.304246284501062,-0.489917946028745,-0.387295918112533,-0.387295918112533,0.620505721991601,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604645799683831,0.364570298564988,0.396598215112868,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.318426197458456,0.357050953383683
"cateninmemb",-0.417844680271382,-0.401293387689129,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.394880739416917,-0.35545280802784,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.111951345755694,-0.0927530345179001,-0.437083513381154,-0.0861217347831521,-0.336121670709484,-0.364880696105212,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.26,-0.266666666666667,-0.369455353401876,-0.402145135566188,-0.375629984051037,-0.342296650717703,-0.295863049562156,0.304246284501062,-0.489917946028745,-0.387295918112533,-0.387295918112533,0.524597235426234,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.60572053314432,0.364570298564988,0.396598215112868,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.318426197458456,0.357050953383683
"GSK3",-0.245257695520853,-0.273888351847788,-0.256148535816251,-0.237134451309209,-0.201212121212121,-0.212501654922315,-0.149061429021792,-0.119607843137255,-0.189735084317128,-0.161915535444947,-0.0735198135198135,-0.0635686319604444,-0.278807499807938,-0.0573709770190709,-0.136159182883969,-0.187554112554113,-0.171190476190476,-0.15452380952381,-0.109483454398709,-0.12952380952381,-0.0976190476190476,-0.18929590828309,-0.254354180780374,-0.236294881588999,-0.217723453017571,-0.167568935803533,0.350791108522617,-0.411102609755853,-0.38046709534016,-0.38046709534016,0.414554966093414,-0.214590277938482,-0.195139960813747,-0.195139960813747,-0.195139960813747,0.48493166970206,0.0239077881966433,0.385681473976453,-0.377893176577918,-0.348055924124036,-0.364652990283839,-0.328532114600226,-0.348031247247002,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385566313237572,0.0866666666666667,0.0833333333333333,-0.25,-0.0150612681078121,0.122235132251058,0.176568156253196
"miR200",-0.117931225262179,-0.144133507587677,-0.124835261973642,-0.100245098039216,-0.0708333333333333,-0.106166592028661,-0.103488806790694,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0130493475326234,-0.0144488268249061,-0.228709971649005,-0.00936408106219427,-0.0700425261286664,-0.0739827269718034,-0.0570015948963317,-0.0357894736842105,-0.0467857142857143,-0.02,-0.0325,-0.114053452421848,-0.130639141688236,-0.111995073891626,-0.0869950738916256,-0.114294003868472,0.348796166432913,-0.314869844146771,-0.370879603092718,-0.370879603092718,0.407040115629415,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.4405194860959,0.226616511665124,0.303779001023693,-0.336683617023531,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0581781193490054,0.0828279287174993
"KLF4",-0.389770434331706,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33435779997631,-0.2,-0.328877005347594,-0.281818181818182,-0.100357142857143,-0.0861217347831521,-0.412271483305966,-0.0774603174603175,-0.318426197458456,-0.338706199460916,-0.302857142857143,-0.26,-0.266666666666667,-0.2,-0.233333333333333,-0.350676010678871,-0.375629984051037,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,-0.354122841189456,-0.354122841189456,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673337617420235,0.348106210167198,0.362258592471358,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.295698924731183,0.328043319795897
"RKIP",-0.278494623655914,-0.310225563909774,-0.262857142857143,-0.22,-0.2,-0.165,-0.193427747180698,-0.153333333333333,-0.13,-0.12,-0.0366666666666667,-0.043030303030303,-0.353529686769518,-0.04,-0.107936507936508,-0.0261904761904762,0.0166666666666667,0.0333333333333333,-0.0428571428571429,0,0,-0.173888888888889,-0.106071428571429,-0.0575,-0.02,-0.0722875816993464,0.298571428571429,-0.593126759236359,-0.334935064935065,-0.334935064935065,0.456354249096185,-0.0672150072150072,-0.0294372294372294,-0.0294372294372294,-0.0294372294372294,0.524915169644477,0.121506000774293,0.344423392699255,-0.3498233889322,-0.299248120300752,-0.327403460106577,-0.257142857142857,-0.299248120300752,-0.257142857142857,-0.2,-0.2,-0.1,-0.1,-0.321724137931034,0,0,0,-0.0133119821355115,0.0857142857142857,0.204509803921569
"ZEB2",-0.235503389954072,-0.224075210025895,-0.216875210025895,-0.205916305916306,-0.194805194805195,-0.163246105066745,-0.158807016358899,-0.158333333333333,-0.154709519700892,-0.153070175438596,-0.134333922782199,-0.126831944899172,-0.125593122463814,-0.124871160585446,-0.12387072842769,-0.121923076923077,-0.12,-0.117777777777778,-0.116263736263736,-0.111111111111111,-0.107692307692308,-0.106977445354941,-0.0974700854700855,-0.093025641025641,-0.0863589743589744,-0.0680605640314378,-0.0547685647685648,-0.0496021475909623,-0.0478041816339689,-0.0478041816339689,-0.0423504263724933,-0.0221774148598183,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00475938873539806,0.0113858447640831,0.0114499729695494,0.0435512000652099,0.0461970445456684,0.0479160209121154,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113427195363505,0.120061204618167,0.174690588213064
