"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","SNAI1","cfos","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","HEY1","TWIST1","FUS","Csn","Jagged","KLF4","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","Csl","NOTCHic","NOTCH","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.437569833652553,-0.458872371601398,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.28,-0.438397445345124,-0.389064112011791,-0.34266071139217,-0.336521739130435,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.084756886262751,-0.393677583286279,-0.10952380952381,-0.0833333333333333,-0.234377982276755,0.55255945875618,-0.225728822882288,0.570888002215292,-0.571153759850055,-0.600046015099774,-0.600046015099774,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.651964068136821,0.612073341873282,0.336759199134199,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.091025641025641,0.0925641025641026,0.0947619047619047,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.352386894873083
"SUFU",-0.499414644251597,-0.595177117820326,-0.562632739122101,-0.522207207207207,-0.481666666666667,-0.353846153846154,-0.462489298424735,-0.428872277148139,-0.408212625611253,-0.393240093240093,-0.155184172156533,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.136235146030851,-0.34629028845965,-0.290833333333333,-0.192857142857143,-0.287433395308792,0.499468549240317,-0.297570850202429,0.469555761394281,-0.523351883229928,-0.557920027889421,-0.557920027889421,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.522639070214272,0.569964004911015,0.379948491516398,-0.345635027673804,-0.406940869952022,-0.325737329464085,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.0190909090909091,0.0259090909090909,0.0314646464646465,0.15,0.253333333333333,-0.15,-0.351980711084607,0.349419191919192,0.417303691235945
"Jagged",-0.312857142857143,-0.331555555555555,-0.255555555555556,-0.2,-0.2,-0.1,-0.286666666666667,-0.22,-0.258333333333333,-0.2,-0.0714285714285714,-0.0666666666666667,-0.121794871794872,-0.0888888888888889,-0.0333333333333333,0,-0.0333333333333333,-0.166666666666667,-0.293,0,0,-0.166493506493506,0.405555555555556,-0.12,0.431991951710262,-0.43868778280543,-0.46207729468599,-0.46207729468599,-0.252727272727273,-0.18,-0.18,-0.18,0.513017543859649,0.472121212121212,0.23639846743295,-0.350949050949051,-0.269230769230769,-0.314685314685315,-0.2,-0.269230769230769,-0.2,-0.1,-0.1,0,0,-0.28,-0.1,-0.04,-0.0114285714285714,0,0,0,-0.300540540540541,0.0833333333333333,0.235897435897436
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.1,-0.353846153846154,-0.3,-0.318817204301075,-0.2,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.0897435897435897,-0.240740740740741,-0.3,0,-0.203597883597884,0.355555555555556,-0.25,0.354623655913978,-0.416613026819923,-0.433333333333333,-0.433333333333333,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.440476190476191,0.305128205128205,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0,0.00909090909090909,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"GSK3",-0.245919188930205,-0.274511554193421,-0.258101297783164,-0.240331262939959,-0.203188405797101,-0.119607843137255,-0.214030927362971,-0.19187183645388,-0.147838766109747,-0.164052287581699,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.0741855039685532,-0.279920992179802,-0.10974025974026,-0.136666666666667,-0.196471859976945,0.355016575666063,-0.169099159490538,0.416727672088737,-0.412561671087027,-0.383330862202836,-0.383330862202836,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487028630138394,0.388700998363962,0.0250060374516847,-0.379717312622785,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,-0.00469187675070028,-0.00678977884860238,-0.00445211651094004,0.0866666666666667,0.0954545454545455,-0.25,-0.0155425736053356,0.13107412081289,0.17720682825946
"Ecadherin",-0.412413554431361,-0.397063670712328,-0.369034737620103,-0.33830303030303,-0.307636363636364,-0.281818181818182,-0.392309388610177,-0.362897623904295,-0.348624354774351,-0.328877005347594,-0.114602519563463,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.0814278023595039,-0.434106985065907,-0.266666666666667,-0.26,-0.374562670817701,0.298406000937647,-0.294547260088472,0.619004078577249,-0.489158917605717,-0.380189304457128,-0.380189304457128,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.601401196634639,0.38964997964998,0.364662501557927,-0.41120867475241,-0.377230529741969,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.0709090909090909,0.0740018744142455,0.0780910937451006,0.2,0.233333333333333,-0.266666666666667,-0.353451167042901,0.324798387096774,0.350666143202259
"cateninmemb",-0.412413554431361,-0.397063670712328,-0.369034737620103,-0.33830303030303,-0.307636363636364,-0.281818181818182,-0.392309388610177,-0.362897623904295,-0.348624354774351,-0.328877005347594,-0.114602519563463,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.0814278023595039,-0.434106985065907,-0.266666666666667,-0.26,-0.374562670817701,0.298406000937647,-0.294547260088472,0.523094832002556,-0.489158917605717,-0.380189304457128,-0.380189304457128,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.602471825922885,0.38964997964998,0.364662501557927,-0.41120867475241,-0.377230529741969,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.0709090909090909,0.0740018744142455,0.0780910937451006,0.2,0.233333333333333,-0.266666666666667,-0.353451167042901,0.324798387096774,0.350666143202259
"miR200",-0.116581738045153,-0.143043297589103,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0142857142857143,-0.105819418676562,-0.0806493506493507,-0.100237355237355,-0.0442857142857143,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.00669491525423729,-0.22778397471649,-0.0325,-0.02,-0.113281131623112,0.34836093857833,-0.114294003868472,0.406960753020097,-0.314833511931918,-0.369587813620072,-0.369587813620072,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.439926108355498,0.302769938560132,0.226551407215886,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0.0377339901477833,0.0377339901477833,0.0382989618991957,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.080955773562146
"RKIP",-0.28815207780725,-0.314259012016021,-0.262857142857143,-0.22,-0.2,-0.17,-0.223411592076302,-0.187241379310345,-0.210211309279946,-0.17,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.137359659310879,-0.369004753416518,-0.1,-0.1,-0.258543536260005,0.32778574844572,-0.0613968253968254,0.47362909127615,-0.623721513085038,-0.36578574844572,-0.36578574844572,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.539455190405927,0.374078590708692,0.164381402679275,-0.376479025193368,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.133333333333333,0.160606060606061,0.175990675990676,0.1,0.1,0,-0.0227081076332972,0.184,0.217717086834734
"KLF4",-0.384267101342117,-0.369034737620103,-0.33830303030303,-0.307636363636364,-0.263636363636364,-0.2,-0.362897623904295,-0.328877005347594,-0.327105367432579,-0.281818181818182,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.26,-0.266666666666667,-0.0673338426279603,-0.408967320261438,-0.233333333333333,-0.2,-0.354196538094589,0.262962962962963,-0.28138936535163,0.592081001654172,-0.464655606347439,-0.34796181630547,-0.34796181630547,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.670729336848855,0.356316646316646,0.348106210167198,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.0709090909090909,0.0709090909090909,0.0740018744142455,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.321078128220985
