"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","cfos","EGR1","TWIST1","Jagged","NOTCH","SHH","NOTCHic","HEY1","IKK","AKT","Csn","SMO","ZEB2","ZEB1","ILK","Csl","NFB","SMAD","FUS","SOSGRB2","SNAI2","RAS","RAF","PI3K","DELTA","cateninmemb","cateninnuc","KLF4","GLI","TCFLEF","GSK3","CD44","Wnt","cMet","Ecadherin","Frizzled","SRC","AXIN2","DSH","miR200","STAT","TrCP","LIV1","Destcompl","SUFU","Patched","RKIP"
"TrCP",-0.295686026615838,-0.328673491416373,-0.298033760776643,-0.254108527131783,-0.186666666666667,-0.202175873530748,-0.402198162729659,-0.354166666666667,-0.3,-0.25,-0.341193935503948,-0.0957472621155485,-0.123407109322602,-0.0129839559528743,-0.0952380952380952,0.186169772256729,-0.0147878787878788,-0.0401212121212121,0.0666666666666667,0.0108270676691729,-0.545830483330483,-0.545830483330483,0.195141242937853,-0.0552380952380952,0.0212121212121212,0.194478991282224,0.0371428571428572,-0.195469114219114,-0.552081604951011,-0.367483407458091,-0.335837837837838,-0.335837837837838,-0.335837837837838,0.546182963778681,-0.426288349932909,0.498015418982238,-0.379378615534612,-0.405650899733705,0.322095742661837,-0.381600266822313,-0.353411764705882,-0.355343283582089,0.622624299954427,-0.324,-0.324,-0.420890573600854,-0.28,0.55991063601727,-0.28,-0.1,-0.2,-0.376713432596358,-0.08,0.00117293233082706,0.27608145062897
"SUFU",-0.479360581411216,-0.578361427964596,-0.547907864249693,-0.508827404479578,-0.46969696969697,-0.375706205784609,-0.453464523281596,-0.421646341463415,-0.3875,-0.35,-0.331544403630078,-0.233952342046091,-0.361723875774509,-0.273089046493302,-0.335597749648383,0.000372628726287263,-0.230232558139535,-0.250893715164328,-0.166666666666667,-0.242592592592593,-0.541381345753301,-0.541381345753301,0.0295043457834156,-0.298888888888889,-0.2,0.0376344270842286,-0.216666666666667,-0.290995084165053,-0.518202521730541,-0.435032657220576,-0.410602689793866,-0.410602689793866,-0.410602689793866,0.462149674241965,-0.338894166951543,0.483541228843242,-0.403448275862069,-0.320668619116161,0.374985627604362,-0.29965310430657,-0.377777777777778,-0.273784378437844,0.512243137652021,-0.344444444444444,-0.241111111111111,-0.433723066760768,-0.3,0.55450661868448,-0.196666666666667,0.133333333333333,-0.15,-0.350277465521818,0.2,0.259259259259259,0.396862701252236
"Patched",-0.376190476190476,-0.46969696969697,-0.433333333333333,-0.4,-0.3,-0.293939393939394,-0.35,-0.3,-0.2,-0.1,-0.231318681318681,-0.163768115942029,-0.26,-0.216666666666667,-0.22,-0.0111111111111111,-0.133333333333333,-0.166666666666667,0,-0.3,-0.425974025974026,-0.425974025974026,0,-0.2,-0.1,0.00909090909090909,-0.3,-0.25,-0.415928342135239,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.353353814644137,-0.273784378437844,0.35,-0.3,-0.241111111111111,0.303502188868043,-0.196666666666667,-0.25,-0.15,0.392767106842737,-0.2,-0.1,-0.321645021645022,-0.2,0.433818181818182,-0.1,0,-0.1,-0.298261738261738,0.2,0.2,0.288461538461538
"Ecadherin",-0.411580846792457,-0.396376563405122,-0.369446243254462,-0.339143212951432,-0.307636363636364,-0.345233451351426,-0.392413847452857,-0.363613847452857,-0.328877005347594,-0.281818181818182,-0.433269723515129,-0.353813613984605,-0.3946194867934,-0.304700765179948,-0.369222661396574,-0.0492763157894737,-0.327454350161117,-0.351541941401993,-0.26,-0.271851851851852,-0.380888823659035,-0.380888823659035,0.000499108734402852,-0.338787878787879,-0.296842105263158,0.0068483150836092,-0.253333333333333,-0.294722698684963,-0.489234410360004,-0.421625727213963,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.619189071162755,-0.411171427070007,0.299629252278259,-0.377230529741969,-0.395243057607236,0.363735003542215,-0.376344434328137,-0.353897196408636,-0.353267511251214,0.601560046012459,-0.326310989512084,-0.326310989512084,-0.427956280172798,-0.296078431372549,0.390506305288914,-0.296078431372549,0.2,-0.266666666666667,-0.353576764764373,0.233333333333333,0.290272904483431,0.350114887010523
"cateninmemb",-0.411580846792457,-0.396376563405122,-0.369446243254462,-0.339143212951432,-0.307636363636364,-0.345233451351426,-0.392413847452857,-0.363613847452857,-0.328877005347594,-0.281818181818182,-0.433269723515129,-0.353813613984605,-0.3946194867934,-0.304700765179948,-0.369222661396574,-0.0492763157894737,-0.327454350161117,-0.351541941401993,-0.26,-0.271851851851852,-0.380888823659035,-0.380888823659035,0.000499108734402852,-0.338787878787879,-0.296842105263158,0.0068483150836092,-0.253333333333333,-0.294722698684963,-0.489234410360004,-0.421625727213963,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.523280019871172,-0.411171427070007,0.299629252278259,-0.377230529741969,-0.395243057607236,0.363735003542215,-0.376344434328137,-0.353897196408636,-0.353267511251214,0.602630463718412,-0.326310989512084,-0.326310989512084,-0.427956280172798,-0.296078431372549,0.390506305288914,-0.296078431372549,0.2,-0.266666666666667,-0.353576764764373,0.233333333333333,0.290272904483431,0.350114887010523
"KLF4",-0.38483385884065,-0.369446243254462,-0.339143212951432,-0.307636363636364,-0.263636363636364,-0.325302775441548,-0.363613847452857,-0.328877005347594,-0.281818181818182,-0.2,-0.409038954284359,-0.336626113984605,-0.369222661396574,-0.290272904483431,-0.338787878787879,-0.0471929824561404,-0.296842105263158,-0.327454350161117,-0.2,-0.253333333333333,-0.349575692345904,-0.349575692345904,-0.00303030303030303,-0.305454545454545,-0.26,0.000499108734402852,-0.233333333333333,-0.28138936535163,-0.464749561875156,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.592305954279639,-0.395243057607236,0.264529914529915,-0.353897196408636,-0.376344434328137,0.347641773797487,-0.353267511251214,-0.326310989512084,-0.326310989512084,0.671304150377738,-0.296078431372549,-0.296078431372549,-0.40259545543053,-0.266666666666667,0.358095238095238,-0.266666666666667,0.1,-0.233333333333333,-0.341987979717644,0.2,0.271851851851852,0.322114887010523
"RKIP",-0.266095195127453,-0.299253256396114,-0.248232848232848,-0.207692307692308,-0.2,-0.183596365375418,-0.217474747474747,-0.181111111111111,-0.17,-0.17,-0.360999709386806,-0.221636977886978,-0.174730304020922,-0.129699248120301,-0.122556390977444,-0.0475757575757576,-0.0476923076923077,-0.0884330484330484,-0.1,-0.0642857142857143,-0.347777777777778,-0.347777777777778,-0.0286013986013986,-0.0857142857142857,-0.04,-0.0116202665259269,-0.05,-0.055831608005521,-0.621810176125245,-0.0935827216261999,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.470151159400273,-0.372433227507063,0.314444444444444,-0.32,-0.34935630443014,0.160683760683761,-0.318421052631579,-0.27,-0.268421052631579,0.533311256949417,-0.2,-0.2,-0.337271448663854,-0.1,0.357680976199637,-0.1,0.1,0,-0.0225869909373607,0.1,0.101127819548872,0.199365079365079
"GSK3",-0.206277773343621,-0.246059296094913,-0.232696594185956,-0.216029927519289,-0.175604395604396,-0.0782327865812285,-0.199138888888889,-0.177888888888889,-0.149555555555556,-0.105555555555556,-0.252231580456891,-0.147614820147869,-0.216090267756934,-0.0262180865987094,-0.203744588744589,0.0834521034521035,-0.101967365967366,-0.110856254856255,-0.0538461538461538,-0.0166666666666667,-0.347516245638229,-0.347516245638229,0.102806381896771,-0.188744588744589,-0.0898461538461538,0.099997393132726,-0.0119047619047619,-0.163001443001443,-0.401021790091156,-0.207536572054589,-0.18935475387277,-0.18935475387277,-0.18935475387277,0.401458484919045,-0.367008937215044,0.319393939393939,-0.338308119882872,-0.354638170726631,0.0162173271792407,-0.338989315764799,-0.321222692747194,-0.322027290448343,0.467829823721249,-0.305360623781676,-0.305360623781676,-0.378386159474273,-0.286842105263158,0.356631895778044,-0.286842105263158,0,-0.25,-0.0105728523035557,-0.0166666666666667,0.0175675675675676,0.15147668189457
"ZEB2",-0.350886745077309,-0.33396333254138,-0.322487922705314,-0.304154589371981,-0.291111111111111,-0.250364145658263,-0.235956643526976,-0.222913165266106,-0.220952380952381,-0.214285714285714,-0.1707572638104,-0.164896310422626,-0.147637086889151,-0.142843340234645,-0.14200328407225,-0.141631701631702,-0.137575757575758,-0.136205894562059,-0.133333333333333,-0.132698412698413,-0.130603919240102,-0.130603919240102,-0.128609625668449,-0.124761904761905,-0.124242424242424,-0.118220015278839,-0.108888888888889,-0.0936582518604991,-0.0750385828010412,-0.0390455722980526,-0.0297376964030645,-0.0297376964030645,-0.0297376964030645,-0.00992662132145551,0.0208756503625301,0.0259335624284078,0.027637987012987,0.0277332238365316,0.0286334481829546,0.0355803063315014,0.037012987012987,0.045527950310559,0.0505826989840971,0.0512987012987013,0.0585714285714286,0.0712173941646656,0.0727272727272727,0.0755381893215301,0.08,0.1,0.1,0.103027267273846,0.12,0.132698412698413,0.283516483516484
"miR200",0.180539934116477,0.131082506480737,0.133737373737374,0.144848484848485,0.16,0.121848290598291,0.0770790378006873,0.0966666666666667,0.116666666666667,0.15,-0.0391604409510136,0.0294683626875408,0.00932539682539682,0.0993589743589744,0.0111111111111111,0.139958592132505,0.0866666666666667,0.0849717514124294,0.1,0.0964285714285714,-0.0925697526949905,-0.0925697526949905,0.142280701754386,0.0333333333333333,0.12,0.149718718283312,0.125,-0.00779220779220778,-0.226195783075348,-0.223170806784252,-0.21500754147813,-0.21500754147813,-0.21500754147813,0.304591166406671,-0.250122147080642,0.0900128205128205,-0.23518025337787,-0.24623445809576,0.15265058056396,-0.242613288179326,-0.232149950347567,-0.237997903563941,0.303421297365949,-0.230263157894737,-0.236111111111111,-0.285952347634909,-0.225,0.0782321110262287,-0.225,-0.2,-0.2,-0.280987657323903,-0.1,-0.109249084249084,-0.164807256235828
