"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","AXIN2","cMet","Frizzled","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43872482709009,-0.459788607846625,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.346587694934883,-0.438397445345124,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394942729401746,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234764957264957,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601141337161801,-0.601141337161801,-0.572360682660512,0.572009811719127,-0.379299713780454,-0.344426734565674,-0.344426734565674,-0.344426734565674,0.652673002767212,0.331679625822023,0.612938740150235,-0.454948065294284,-0.398323586744639,-0.429281866135799,-0.364990253411306,-0.399319319319319,-0.399319319319319,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,0.0333333333333333,0.0761904761904762,-0.2,-0.377327906126241,0.159543721909313,0.354234654234654
"SUFU",-0.504395254050659,-0.600488841687662,-0.566208922823565,-0.524132420091324,-0.481666666666667,-0.415620590563011,-0.462754159736257,-0.353846153846154,-0.429710681475387,-0.393240093240093,-0.158294392069578,-0.155725463894478,-0.145396825396825,-0.372265906362545,-0.29621787345075,-0.353157647802073,-0.270190476190476,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.292456219493784,-0.192857142857143,-0.393687134978445,-0.363322762508809,-0.323787878787879,-0.299316622160967,0.502018970189702,-0.562175115800309,-0.562175115800309,-0.531304313540986,0.477034842071807,-0.439932317845375,-0.412539578571448,-0.412539578571448,-0.412539578571448,0.52843586673019,0.374838448888867,0.573742203513196,-0.357663393038717,-0.415328246241025,-0.335873302468659,-0.385826330532213,-0.311329122945517,-0.311329122945517,-0.281871758604432,-0.348571428571429,-0.245238095238095,-0.3,-0.196666666666667,0.15,0.253333333333333,-0.15,-0.343352739232704,0.350697278911565,0.422021509469877
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.323333333333333,-0.353846153846154,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.418631044837941,0.356814579231662,-0.345781637717122,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.296666666666667,0.440476190476191,-0.281871758604432,-0.3,-0.245238095238095,-0.25,-0.196666666666667,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,0,0.2,-0.1,-0.287402597402597,0.253333333333333,0.302857142857143
"Ecadherin",-0.417709640342895,-0.402563257117001,-0.372732112651711,-0.340068796068796,-0.307636363636364,-0.355546975546976,-0.392646105517373,-0.281818181818182,-0.363613847452857,-0.328877005347594,-0.128313143439194,-0.115273539118618,-0.105372549019608,-0.348265889645539,-0.366706199460916,-0.441438886806622,-0.338706199460916,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.380999655657845,-0.26,-0.406041126410753,-0.377033492822966,-0.342296650717703,-0.296056032018296,0.301982085000953,-0.385392608487943,-0.385392608487943,-0.498059125453318,0.62777095680869,-0.421796376854598,-0.39937749779855,-0.39937749779855,-0.39937749779855,0.608179177014698,0.356620088753972,0.394580325667282,-0.424617187862336,-0.386336773126742,-0.406502313046431,-0.360385216033316,-0.38546335200747,-0.38546335200747,-0.359768907563025,-0.329411764705882,-0.329411764705882,-0.296078431372549,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.343845668743682,0.326177536231884,0.355622543574846
"cateninmemb",-0.417709640342895,-0.402563257117001,-0.372732112651711,-0.340068796068796,-0.307636363636364,-0.355546975546976,-0.392646105517373,-0.281818181818182,-0.363613847452857,-0.328877005347594,-0.128313143439194,-0.115273539118618,-0.105372549019608,-0.348265889645539,-0.366706199460916,-0.441438886806622,-0.338706199460916,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.380999655657845,-0.26,-0.406041126410753,-0.377033492822966,-0.342296650717703,-0.296056032018296,0.301982085000953,-0.385392608487943,-0.385392608487943,-0.498059125453318,0.531873489382836,-0.421796376854598,-0.39937749779855,-0.39937749779855,-0.39937749779855,0.609254588258599,0.356620088753972,0.394580325667282,-0.424617187862336,-0.386336773126742,-0.406502313046431,-0.360385216033316,-0.38546335200747,-0.38546335200747,-0.359768907563025,-0.329411764705882,-0.329411764705882,-0.296078431372549,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.343845668743682,0.326177536231884,0.355622543574846
"GSK3",-0.247220972154185,-0.275718773230444,-0.258513081121777,-0.240331262939959,-0.203188405797101,-0.150502532416593,-0.214157550739594,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858720650341141,-0.0763983808235878,-0.147141267095863,-0.191630654629767,-0.281719898826283,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.197607686317755,-0.136666666666667,-0.257244897630399,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355484535070584,-0.384421846425378,-0.384421846425378,-0.414655571377381,0.418630793814464,-0.214299411949788,-0.194428305612516,-0.194428305612516,-0.194428305612516,0.488360891441831,0.0195620414949418,0.38970291538343,-0.383950590833343,-0.350751879699248,-0.369309892378004,-0.329323308270677,-0.350757856178909,-0.350757856178909,-0.329604010025063,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,0.0866666666666667,0.0954545454545455,-0.25,-0.00881209688769912,0.13107412081289,0.178725772355653
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.22073762506942,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.163442579269917,0.380952950808151,-0.378142405447561,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,0.1,0.1,0,-0.0194388304144402,0.184,0.226050420168067
"miR200",-0.117015373037611,-0.143389083744097,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.101218953650602,-0.105819418676562,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228507295173962,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113672173215718,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.369994317685112,-0.369994317685112,-0.315751752511123,0.407760383425436,-0.282943606101501,-0.263751686909582,-0.263751686909582,-0.263751686909582,0.440344783595979,0.222022361696275,0.3030886479837,-0.339190226353301,-0.307358804762275,-0.325805610968686,-0.28912676056338,-0.310205610968686,-0.310205610968686,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,0,0.02,-0.2,-0.309492401044685,0.0572257383966245,0.0816828810377197
"KLF4",-0.388185830819086,-0.372732112651711,-0.340068796068796,-0.307636363636364,-0.263636363636364,-0.332213642213642,-0.363613847452857,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105372549019608,-0.0906666666666667,-0.326177536231884,-0.338706199460916,-0.414448595544486,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.358829844337091,-0.2,-0.377033492822966,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.265618448637317,-0.35189507154213,-0.35189507154213,-0.471205542898801,0.598491379809351,-0.39937749779855,-0.373508771929825,-0.373508771929825,-0.373508771929825,0.675313445551772,0.338987238512426,0.360217391304348,-0.406502313046431,-0.360385216033316,-0.38546335200747,-0.329411764705882,-0.359768907563025,-0.359768907563025,-0.329411764705882,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,0.1,0.2,-0.233333333333333,-0.331597606728179,0.297916666666667,0.325153793574846
"ZEB2",-0.239005439005439,-0.226789401075115,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.165061010743095,-0.164832567256063,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.127462637033231,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112054163837252,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0514510164116463,-0.0514510164116463,-0.0496254145042185,-0.0418745312858869,-0.0233250156941904,-0.0168032765637556,-0.0168032765637556,-0.0168032765637556,0.0064305819274143,0.01452926474115,0.0146934759761475,0.0435682320935859,0.0466325072776686,0.048317572462979,0.0517016317016317,0.053655650754794,0.053655650754794,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.1,0.1,0.1,0.11077011307529,0.127735191637631,0.179182522332875
