"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","MEK","SNAI1","HEY1","TWIST1","AKT","SHH","IKK","SMAD","NFB","Csn","ILK","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","RKIP","TrCP","SUFU","LIV1","Destcompl","Patched","ERK","cfos","EGR1"
"TrCP",-0.392838131047204,-0.421751055116532,-0.390603514132926,-0.348179271708683,-0.295238095238095,-0.40962596259626,-0.414949643822157,-0.28489342666437,-0.0461761766175736,-0.360784302653868,-0.157041910331384,-0.13805154463219,-0.127412280701754,-0.0445331967912613,-0.0958333333333333,-0.0583333333333333,-0.0387267451783581,-0.103533026113671,-0.080952380952381,-0.19877534935242,-0.223076923076923,-0.192307692307692,-0.153846153846154,0.511675774134791,0.54511645790841,-0.553439312033786,-0.553439312033786,-0.499627924817798,-0.377414170398388,-0.346050534034752,-0.346050534034752,-0.346050534034752,0.223189935064935,0.611812181899218,0.566165300145593,-0.386556363809252,-0.429586561638456,-0.41027621681087,-0.359727095516569,-0.387313253847907,-0.360580580580581,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.424379279363014,0.189197156434726,0.0333333333333333,0.0476190476190476,-0.2,-0.392761658641763,0.12205154463219,0.36828297715549,0.319130434782609,0.28
"SUFU",-0.480627462812932,-0.580174276630905,-0.553547057695994,-0.519504504504505,-0.481666666666667,-0.510575389522758,-0.455935128701086,-0.37565227150334,-0.100774046976247,-0.333165056286574,-0.275243307028542,-0.330764985764986,-0.25578021978022,-0.0871457188502558,-0.228857142857143,-0.192857142857143,-0.0836815156169995,-0.300555555555556,-0.278333333333333,-0.26258349993118,-0.378275613275613,-0.352878787878788,-0.318787878787879,0.489004231973212,0.462666758239775,-0.538955673804289,-0.538955673804289,-0.488572165321445,-0.439433608677221,-0.413484241588614,-0.413484241588614,-0.413484241588614,0.341357900623956,0.50677256341164,0.552323227610378,-0.405453881104439,-0.338888301523389,-0.322059657022111,-0.379059829059829,-0.301407483109067,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435039963518347,0.271881151085864,0.15,0.253333333333333,-0.15,-0.358176601536589,0.315707070707071,0.426573426573427,0.393240093240093,0.353846153846154
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.366666666666667,-0.353846153846154,-0.312365591397849,-0.0897435897435897,-0.240740740740741,-0.192857142857143,-0.278333333333333,-0.15,-0.0833333333333333,-0.1,0,-0.0833333333333333,-0.333333333333333,-0.3,-0.196190476190476,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.401716475095785,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.28021978021978,0.395064724919094,0.440476190476191,-0.3,-0.275091693635383,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0.234285714285714,0,0.2,-0.1,-0.30045954045954,0.253333333333333,0.3,0.2,0.1
"MEK",-0.321045315872902,-0.350639717514675,-0.313413440142412,-0.267619047619048,-0.22,-0.182984126984127,-0.167666911225238,-0.223494334715076,-0.139292577341358,-0.39559427500604,-0.171106442577031,-0.208265723775849,-0.144047619047619,-0.136329485884749,-0.110714285714286,-0.0857142857142857,-0.130794430534196,-0.168,-0.14,-0.266358486114811,-0.238485926077167,-0.202719502719503,-0.156565656565657,0.36207556193209,0.508019335178589,-0.396409828972239,-0.396409828972239,-0.638029694844819,-0.131071706071706,-0.0945637695637696,-0.0945637695637696,-0.0945637695637696,0.167090881984499,0.57398550526411,0.405401555219315,-0.352867132867133,-0.395907310142809,-0.375461213488534,-0.32,-0.351288185498712,-0.318421052631579,-0.27,-0.268421052631579,-0.2,-0.2,-0.379613791006196,0.193196225858765,0.1,0.1,-0.1,-0.0472747902537453,0.189311475409836,0.0276669112252384,-0.0127586206896552,-0.03
"Ecadherin",-0.410827505350639,-0.395752037198163,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.421332490746592,-0.39358693055479,-0.337864312191689,-0.0860578032311155,-0.432068864789864,-0.358268398268398,-0.321181525696385,-0.336190476190476,-0.0609617854511001,-0.302857142857143,-0.26,-0.0587826086956522,-0.291666666666667,-0.266666666666667,-0.360934795760015,-0.398418982377535,-0.374255413604301,-0.342296650717703,0.30210970464135,0.618839690120178,-0.379845470240977,-0.379845470240977,-0.473530987172099,-0.422126486176766,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.345871356494145,0.598442649638435,0.390060708999256,-0.377230529741969,-0.410368338617956,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.270378284102201,0.2,0.233333333333333,-0.266666666666667,-0.356880488369993,0.307795698924731,0.364959479574398,0.328877005347594,0.281818181818182
"cateninmemb",-0.410827505350639,-0.395752037198163,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.421332490746592,-0.39358693055479,-0.337864312191689,-0.0860578032311155,-0.432068864789864,-0.358268398268398,-0.321181525696385,-0.336190476190476,-0.0609617854511001,-0.302857142857143,-0.26,-0.0587826086956522,-0.291666666666667,-0.266666666666667,-0.360934795760015,-0.398418982377535,-0.374255413604301,-0.342296650717703,0.30210970464135,0.52293138014986,-0.379845470240977,-0.379845470240977,-0.473530987172099,-0.422126486176766,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.345871356494145,0.599516046833051,0.390060708999256,-0.377230529741969,-0.410368338617956,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.270378284102201,0.2,0.233333333333333,-0.266666666666667,-0.356880488369993,0.307795698924731,0.364959479574398,0.328877005347594,0.281818181818182
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.133120567375887,-0.105819418676562,-0.101635956635957,-0.0117514124293785,-0.228397471649005,-0.0727706057596822,-0.0680953036140158,-0.0557894736842105,-0.0109497990791857,-0.0357894736842105,-0.02,-0.00812848246476565,-0.0458333333333333,-0.0325,-0.112593846399744,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.34836093857833,0.406960753020097,-0.370282258064516,-0.370282258064516,-0.31291734810258,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.222945493609973,0.440074037349581,0.303281447511538,-0.306709178145798,-0.336645853368746,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0.0715949977853797,0,0.02,-0.2,-0.315668722041887,0.0572257383966245,0.0806493506493507,0.0442857142857143,0.0142857142857143
"RAF",-0.286811081638668,-0.313413440142412,-0.267619047619048,-0.22,-0.2,-0.140761904761905,-0.0276669112252384,-0.197212283433025,-0.135656213704994,-0.36592394533571,-0.144047619047619,-0.189311475409836,-0.110714285714286,-0.130794430534196,-0.0857142857142857,-0.1,-0.127824133504493,-0.14,-0.1,-0.245866682836123,-0.202719502719503,-0.156565656565657,-0.111111111111111,0.332663797226208,0.47362909127615,-0.364663797226208,-0.364663797226208,-0.607129451535816,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.141292356185973,0.536644885956278,0.374751400420554,-0.32,-0.375461213488534,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.173459383753501,0.1,0.1,0,-0.0278187233081386,0.168,-0.0127586206896552,-0.03,-0.03
"KLF4",-0.387715377204185,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.385806174957118,-0.364959479574398,-0.322674438773968,-0.0813598166539343,-0.410653594771242,-0.336190476190476,-0.307795698924731,-0.302857142857143,-0.0587826086956522,-0.26,-0.2,-0.0573333333333333,-0.266666666666667,-0.233333333333333,-0.344687656171914,-0.374255413604301,-0.342296650717703,-0.305454545454545,0.266666666666667,0.592429433709922,-0.351883384932921,-0.351883384932921,-0.45276036706373,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.331743321174056,0.670399806405718,0.36045177045177,-0.353897196408636,-0.395148917516182,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.260265924551639,0.1,0.2,-0.233333333333333,-0.344112548015846,0.291666666666667,0.328877005347594,0.281818181818182,0.2
"GSK3",-0.215105367908305,-0.248038681007928,-0.231372014341261,-0.211511387163561,-0.185797101449275,-0.309469052407226,-0.197913139205709,-0.105544641854045,-0.0424229679812316,-0.254259868766206,-0.171002063071029,-0.105591793293211,-0.153908045977012,-0.0284429538274179,-0.136666666666667,-0.111666666666667,-0.0267937784151241,-0.086279849183075,-0.0733766233766234,-0.16456260496565,-0.240846996141114,-0.224483359777477,-0.205602240896359,0.320501677288421,0.393935856943722,-0.347108940627433,-0.347108940627433,-0.35623768008033,-0.212033599937357,-0.196487381449962,-0.196487381449962,-0.196487381449962,-0.0271356713226213,0.453259425585247,0.352855451604513,-0.337925997939725,-0.361536011460719,-0.350878116723877,-0.323303356430291,-0.337788179056914,-0.3235024647712,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.377801257093703,0.0514495153968838,0.0866666666666667,0.0590909090909091,-0.25,-0.0185237273740366,0.0979362909008664,0.174049502842073,0.149237472766885,0.119607843137255
