"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","TWIST1","HEY1","SMAD","SHH","ILK","AKT","IKK","SMO","NFB","Jagged","FUS","NOTCH","NOTCHic","Csn","Csl","SNAI2","SOSGRB2","ZEB2","ZEB1","RAS","KLF4","RAF","PI3K","DELTA","cateninmemb","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","miR200","Ecadherin","STAT","GSK3","AXIN2","LIV1","Destcompl","TrCP","SUFU","Patched","RKIP"
"TrCP",-0.409345238095238,-0.426715690457731,-0.400049023791064,-0.367375756464332,-0.311278195488722,-0.417976827094474,-0.31673073169827,-0.379643493761141,-0.28,-0.334545454545455,-0.356509152930587,-0.0991887777041712,-0.105030679931249,-0.152950461246579,-0.0923953008698771,-0.164369501466276,-0.143939393939394,-0.121981721981722,-0.116666666666667,-0.189313847668425,-0.103463203463203,-0.208581097734382,-0.184493506493506,-0.0833333333333333,-0.156493506493506,-0.538682108414933,-0.2,-0.587501415237997,-0.587501415237997,-0.340294381438546,0.546118326118326,-0.310469820035037,-0.310469820035037,-0.310469820035037,0.550579941403411,-0.398104497338455,-0.355326773303279,-0.379775656368104,-0.326513213981245,-0.356592265364644,-0.296078431372549,-0.327896613190731,-0.296078431372549,-0.266666666666667,0.600290780732691,0.628462362931239,-0.266666666666667,0.298582334722309,-0.398434381678362,-0.2,-0.338265735192206,0.0333333333333333,0.0761904761904762,0.13465777831975,0.332100415923945
"SUFU",-0.481728469094441,-0.569793533639598,-0.541574355557406,-0.503736517719569,-0.461363636363636,-0.446580701246016,-0.390957357859532,-0.416099417823556,-0.35,-0.381034482758621,-0.315621394803778,-0.153379416282642,-0.150960651941185,-0.338069800569801,-0.141869742850276,-0.278333333333333,-0.258333333333333,-0.304166666666667,-0.225,-0.249433378588196,-0.270833333333333,-0.361439812489536,-0.338787878787879,-0.183333333333333,-0.305454545454545,-0.495280179430597,-0.261825288254837,-0.553744255744256,-0.553744255744256,-0.398062549927446,0.498966029793097,-0.377298826777088,-0.377298826777088,-0.377298826777088,0.456141758102083,-0.225708889282512,-0.29494623655914,-0.208529147475164,-0.272365591397849,-0.189126162400537,-0.243333333333333,-0.166757741347905,-0.138888888888889,-0.21,0.565738280931651,0.51103442693318,-0.105555555555556,0.345477048116328,-0.376652014652015,-0.05,-0.297805447207247,0.15,0.233333333333333,0.322685185185185,0.406887926887927
"Patched",-0.376190476190476,-0.461363636363636,-0.425,-0.4,-0.3,-0.35,-0.31,-0.3,-0.1,-0.2,-0.220175438596491,-0.105128205128205,-0.12,-0.270833333333333,-0.1,-0.183333333333333,-0.15,-0.333333333333333,-0.1,-0.185714285714286,-0.3,-0.26,-0.22,0,-0.2,-0.397835497835498,-0.23,-0.429545454545455,-0.429545454545455,-0.327333333333333,0.355555555555556,-0.283333333333333,-0.283333333333333,-0.283333333333333,0.34471930701316,-0.166757741347905,-0.21,-0.138888888888889,-0.15,-0.105555555555556,-0.1,-0.05,0,-0.2,0.437179487179487,0.390896358543417,-0.1,0.286666666666667,-0.28,-0.1,-0.260723981900452,0,0.2,0.233333333333333,0.293333333333333
"GSK3",-0.223541810579288,-0.247572633372654,-0.235456316732912,-0.226520146520147,-0.199047619047619,-0.196294620412267,-0.128714800169983,-0.181915535444947,-0.119607843137255,-0.161915535444947,-0.249375592759456,-0.0871943868002099,-0.0830366898415586,-0.123861113112155,-0.0754437980806539,-0.174214513556619,-0.164166666666667,-0.102472089314195,-0.156666666666667,-0.161385743760064,-0.100717703349282,-0.227589441987994,-0.214968082764693,-0.136666666666667,-0.206493506493507,-0.374022379133054,-0.147387000524307,-0.372836992951867,-0.372836992951867,-0.178471442063046,0.348985724443777,-0.162465568347921,-0.162465568347921,-0.162465568347921,0.38893715151598,-0.315544000800992,-0.294423600939275,-0.306830307854934,-0.275792422232051,-0.294292081555239,-0.258145363408521,-0.276145363408521,-0.258145363408521,-0.247619047619048,0.378748983782742,0.464313208292471,-0.247619047619048,-0.00719008001210435,-0.340130785504984,-0.233333333333333,0.0260766149667471,0.0866666666666667,0.0954545454545455,0.110058296210746,0.162263568492576
"RKIP",-0.289138962303519,-0.311236559139785,-0.265,-0.22,-0.2,-0.226371814092954,-0.210781499202552,-0.187241379310345,-0.17,-0.17,-0.352750544662309,-0.159581881533101,-0.156725110893631,-0.198030303030303,-0.153754813863928,-0.154464285714286,-0.110714285714286,-0.14,-0.0857142857142857,-0.233229270729271,-0.1,-0.200634920634921,-0.153968253968254,-0.1,-0.111111111111111,-0.597761127761128,-0.0587301587301587,-0.371439307430289,-0.371439307430289,-0.0720916087937365,0.332663797226208,-0.0401767151767152,-0.0401767151767152,-0.0401767151767152,0.459198530614673,-0.329083226667768,-0.29047619047619,-0.30891861761427,-0.257142857142857,-0.287179487179487,-0.2,-0.253846153846154,-0.2,-0.1,0.380025159805282,0.531517997680628,-0.1,0.142327334455426,-0.316428571428571,0,0.0124494132411638,0.1,0.1,0.181666666666667,0.223809523809524
"Ecadherin",-0.370371231783913,-0.352369276474914,-0.328525860104807,-0.298701298701299,-0.271428571428571,-0.351924144310823,-0.317744033674691,-0.327101449275362,-0.266666666666667,-0.297101449275362,-0.296424204331181,-0.114548072308431,-0.103150571866525,-0.198042282606473,-0.0957575757575758,-0.325905797101449,-0.304166666666667,-0.162745098039216,-0.270833333333333,-0.221849564813078,-0.133333333333333,-0.350840336134454,-0.329411764705882,-0.233333333333333,-0.3,-0.435825449774671,-0.238506493506494,-0.357102241190039,-0.357102241190039,-0.361575020320191,0.273582766439909,-0.347120743034056,-0.347120743034056,-0.347120743034056,0.594715243533521,-0.245380246237787,-0.220038991206239,-0.232436083801238,-0.204591836734694,-0.218423344947735,-0.182142857142857,-0.20297619047619,-0.182142857142857,-0.158333333333333,0.364006666460358,0.56951860593913,-0.158333333333333,0.315276073017695,-0.362290549159189,-0.133333333333333,-0.292346439005843,0.2,0.1,0.184173669467787,0.327791208791209
"miR200",-0.0890723846506695,-0.110345778667176,-0.0973686794305351,-0.0819047619047619,-0.0619047619047619,-0.0837172932330827,-0.0764383922483833,-0.0669172932330827,-0.0142857142857143,-0.0406015037593985,-0.186603535353535,-0.0112794360281986,-0.0130745874771466,-0.0489506374632233,-0.00837660089996539,-0.0554390681003584,-0.0436111111111111,-0.0338095238095238,-0.0311111111111111,-0.0759265734265734,-0.0266666666666667,-0.0973169825343738,-0.0842735042735043,-0.02,-0.0687179487179487,-0.267217539011547,-0.0891894312583968,-0.35655858871845,-0.35655858871845,-0.241363451363451,0.341153055983564,-0.227289377289377,-0.227289377289377,-0.227289377289377,0.378648545164687,-0.294829872875003,-0.272936507936508,-0.2868240504587,-0.260555555555556,-0.276503765761192,-0.245,-0.263632478632479,-0.248076923076923,-0.225,0.291547609545854,0.413882663837168,-0.225,0.199133439659755,-0.30699934926376,-0.2,-0.280870192211539,0,0.02,0.041055900621118,0.0619387885772826
"KLF4",-0.34623330074943,-0.328525860104807,-0.298701298701299,-0.271428571428571,-0.242857142857143,-0.327101449275362,-0.301423558897243,-0.297101449275362,-0.2,-0.266666666666667,-0.277505285412262,-0.10390977443609,-0.0957575757575758,-0.184173669467787,-0.0866666666666667,-0.304166666666667,-0.270833333333333,-0.133333333333333,-0.233333333333333,-0.209053356282272,-0.1,-0.329411764705882,-0.3,-0.2,-0.266666666666667,-0.415547671996894,-0.227142857142857,-0.328018575851393,-0.328018575851393,-0.347120743034056,0.238888888888889,-0.329473684210526,-0.329473684210526,-0.329473684210526,0.570202708714579,-0.232436083801238,-0.204591836734694,-0.218423344947735,-0.182142857142857,-0.20297619047619,-0.158333333333333,-0.182142857142857,-0.158333333333333,-0.133333333333333,0.333356511661596,0.642417567223361,-0.133333333333333,0.304164961906584,-0.343843947217441,-0.1,-0.285374534739454,0.1,0.1,0.162745098039216,0.304714285714286
"cateninmemb",-0.34623330074943,-0.328525860104807,-0.298701298701299,-0.271428571428571,-0.242857142857143,-0.327101449275362,-0.301423558897243,-0.297101449275362,-0.2,-0.266666666666667,-0.277505285412262,-0.10390977443609,-0.0957575757575758,-0.184173669467787,-0.0866666666666667,-0.304166666666667,-0.270833333333333,-0.133333333333333,-0.233333333333333,-0.209053356282272,-0.1,-0.329411764705882,-0.3,-0.2,-0.266666666666667,-0.415547671996894,-0.227142857142857,-0.328018575851393,-0.328018575851393,-0.347120743034056,0.238888888888889,-0.329473684210526,-0.329473684210526,-0.329473684210526,0.570202708714579,-0.232436083801238,-0.204591836734694,-0.218423344947735,-0.182142857142857,-0.20297619047619,-0.158333333333333,-0.182142857142857,-0.158333333333333,-0.133333333333333,0.333356511661596,0.642417567223361,-0.133333333333333,0.304164961906584,-0.343843947217441,-0.1,-0.285374534739454,0.1,0.1,0.162745098039216,0.304714285714286
"ZEB2",-0.255778486530728,-0.24742105822731,-0.239507389162562,-0.225714285714286,-0.205714285714286,-0.181384742951907,-0.177699217920525,-0.169444444444444,-0.158333333333333,-0.158333333333333,-0.153830997045283,-0.148587223587224,-0.141748326449224,-0.141026625704045,-0.138697478991597,-0.138285024154589,-0.136111111111111,-0.132754342431762,-0.131111111111111,-0.12608220993202,-0.123076923076923,-0.118221288515406,-0.113809523809524,-0.111111111111111,-0.107142857142857,-0.0939493808934818,-0.0839920769049047,-0.0601769513099562,-0.0601769513099562,-0.0536338661338661,-0.0455131143366437,-0.0451923076923077,-0.0451923076923077,-0.0451923076923077,-0.0136278622596587,-0.00542896453491592,-0.00186287255043574,-3.37324144642256e-05,0.00511387163561078,0.0071558100691959,0.0138095238095238,0.0142424242424243,0.0233333333333333,0.0238095238095238,0.0239074143070045,0.02667629114415,0.0333333333333333,0.0336651849989716,0.0473981444130698,0.0666666666666667,0.0909947986025692,0.1,0.1,0.13553212020954,0.190614035087719
