"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","SMO","FUS","Jagged","NOTCH","TrCP","TWIST1","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Csn","Destcompl","NFB","Patched","RKIP"
"TrCP",-0.438259488824967,-0.459418819688829,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.28,-0.348056318775632,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.157675438596491,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.245018315018315,-0.0333333333333333,-0.391075475249388,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,0.570888002215292,-0.570972928023653,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652379293050315,0.336395562770563,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0761904761904762,-0.2,0.0833333333333333,-0.384679021204463,0.120833333333333,0.159543721909313,0.354596839624464
"SUFU",-0.502366642198034,-0.597485343205474,-0.565335441824804,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.353846153846154,-0.41594835024345,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.271472527472527,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.391789321789322,-0.15,-0.343371305353913,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,0.470846342943538,-0.523351883229928,-0.438243790535604,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525074976626861,0.378765456377847,0.575591090136125,-0.346587713095799,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.253333333333333,-0.15,0.192857142857143,-0.352299690350955,0.236857142857143,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.1,-0.325268817204301,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.333333333333333,-0.3,-0.203597883597884,-0.278787878787879,0,-0.240740740740741,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.416613026819923,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0.2,-0.1,0,-0.298261738261738,0.1,0.253333333333333,0.302857142857143
"IKK",-0.495786435786436,-0.527591919191919,-0.469191919191919,-0.405555555555556,-0.35,-0.252190476190476,-0.1,-0.293560927339553,-0.178857142857143,-0.142857142857143,-0.181940144478844,-0.18578795379538,-0.172916666666667,-0.2557343550447,-0.321042471042471,-0.264285714285714,-0.18,-0.12,-0.287413308341143,-0.362914862914863,0,-0.526830065359477,-0.307359307359307,-0.245454545454545,-0.301890756302521,0.363369963369963,-0.425418546365915,-0.425418546365915,0.569256032607988,-0.659799146447011,-0.380598655453593,-0.334119782214156,-0.334119782214156,-0.334119782214156,0.682441060601076,0.223406593406593,0.428840579710145,-0.439530455479823,-0.376239316239316,-0.40957264957265,-0.331623931623932,-0.376239316239316,-0.331623931623932,-0.277777777777778,-0.277777777777778,-0.2,-0.2,-0.403095238095238,0.1,-0.1,0.1,-0.139265491747074,0.114285714285714,0.228148148148148,0.277322404371585
"Ecadherin",-0.417096398194665,-0.400705947135092,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358233187351002,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.2,-0.432381713951875,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,0.620470173457978,-0.48927932699765,-0.421567826958888,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604594142143722,0.363644631578093,0.39776370329443,-0.412267030847027,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,0.26,-0.353730756977663,0.302857142857143,0.324798387096774,0.359011578754757
"cateninmemb",-0.417096398194665,-0.400705947135092,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358233187351002,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.2,-0.432381713951875,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,0.524561650270257,-0.48927932699765,-0.421567826958888,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605669017793019,0.363644631578093,0.39776370329443,-0.412267030847027,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,0.26,-0.353730756977663,0.302857142857143,0.324798387096774,0.359011578754757
"GSK3",-0.240975010301816,-0.270420138362874,-0.253753471696208,-0.235983436853002,-0.198840579710145,-0.212326381908425,-0.119607843137255,-0.149983950438956,-0.19187183645388,-0.164052287581699,-0.0878562301471743,-0.0850889412037751,-0.0756436638424557,-0.146385125597579,-0.191139109932213,-0.176609195402299,-0.119417679095098,-0.10974025974026,-0.195887918371106,-0.25663454192866,-0.0866666666666667,-0.267106116808562,-0.239751425045543,-0.222268907563025,-0.166660135100294,0.354253216887437,-0.383137814268449,-0.383137814268449,0.414943951023915,-0.409369820519974,-0.213961851552963,-0.194003868359686,-0.194003868359686,-0.194003868359686,0.484635269924122,0.0223194464844739,0.388325708854912,-0.37826558669175,-0.348343435354943,-0.36497611300754,-0.328532114600226,-0.348324287540042,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385742994565525,0.0954545454545455,-0.25,0.136666666666667,-0.0156503935404381,0.161666666666667,0.13107412081289,0.177311986259355
"RKIP",-0.290450928381963,-0.316128170894526,-0.262857142857143,-0.22,-0.2,-0.227666911225238,-0.17,-0.217485592549095,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.14,-0.1,-0.258543536260005,-0.21041181041181,-0.1,-0.362240047534165,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,0.474282686047392,-0.621967127120126,-0.0928543678543678,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.541150568345899,0.160677698975571,0.380952950808151,-0.376987931045786,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0,0.1,-0.023291198012306,0.0857142857142857,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.0142857142857143,-0.102694157694158,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.129777072722719,0,-0.22778397471649,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,0.406960753020097,-0.314833511931918,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0.02,-0.2,0.02,-0.315503569275578,0.0357894736842105,0.0572257383966245,0.0821827674271767
"KLF4",-0.38894994510542,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.2,-0.33671420000923,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.376317269274404,-0.1,-0.407986928104575,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,0.592777865765671,-0.464655606347439,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.67324068547381,0.347529841291117,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.2,-0.233333333333333,0.2,-0.341987979717644,0.26,0.297916666666667,0.328674500103071
