"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.392857142857143,-0.253333333333333,-0.347370808237058,-0.342857142857143,-0.3,-0.0992697681010241,-0.105195766046922,-0.0919507329343395,-0.181765944131536,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.23391975308642,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.244141366223909,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.570460022282787,0.570888002215292,-0.380565671235054,-0.344785854721292,-0.344785854721292,0.652436363695621,0.335331283593082,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384859064686663,0.159543721909313,0.350784163680317
"SUFU",-0.503037601802114,-0.598041041298335,-0.565770124963673,-0.52490990990991,-0.481666666666667,-0.45855089513295,-0.355555555555556,-0.413827348996281,-0.424737945492662,-0.388888888888889,-0.152179766493492,-0.147805218286452,-0.138626474325099,-0.366751700680272,-0.29621787345075,-0.348523890884154,-0.270190476190476,-0.236857142857143,-0.322261904761905,-0.290833333333333,-0.285546869863417,-0.192857142857143,-0.391036182346943,-0.361718913270637,-0.323787878787879,-0.338923611111111,0.503248054313628,-0.562526574881601,-0.562526574881601,-0.522021263983027,0.47054739187262,-0.440191666535217,-0.413706915331365,-0.413706915331365,0.524723843243763,0.377403749492292,0.574228031998039,-0.346154183159639,-0.406940869952022,-0.326072005450343,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.353135067184523,0.346751700680272,0.414128866727986
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.355555555555556,-0.1,-0.325268817204301,-0.3,-0.2,-0.105128205128205,-0.115789473684211,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.27,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.415928342135239,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.303502188868043,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.298461538461538
"Ecadherin",-0.417258156417507,-0.400828229242022,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.320913465306186,-0.2,-0.355050634498254,-0.289978213507625,-0.252941176470588,-0.120163222521713,-0.104193519513068,-0.0955200501253133,-0.340652364865346,-0.366706199460916,-0.43673722259444,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.266666666666667,-0.371986792319407,-0.26,-0.403177153862357,-0.375629984051037,-0.342296650717703,-0.343743386243386,0.303846153846154,-0.386737538388849,-0.386737538388849,-0.487205043378978,0.620108959187601,-0.423292328192483,-0.401873888476171,-0.401873888476171,0.603895735352646,0.361588008737268,0.396036610448375,-0.411768259612198,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354633733463247,0.320973650005908,0.345603472158094
"cateninmemb",-0.417258156417507,-0.400828229242022,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.320913465306186,-0.2,-0.355050634498254,-0.289978213507625,-0.252941176470588,-0.120163222521713,-0.104193519513068,-0.0955200501253133,-0.340652364865346,-0.366706199460916,-0.43673722259444,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.266666666666667,-0.371986792319407,-0.26,-0.403177153862357,-0.375629984051037,-0.342296650717703,-0.343743386243386,0.303846153846154,-0.386737538388849,-0.386737538388849,-0.487205043378978,0.524200421287194,-0.423292328192483,-0.401873888476171,-0.401873888476171,0.60496959539968,0.361588008737268,0.396036610448375,-0.411768259612198,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354633733463247,0.320973650005908,0.345603472158094
"GSK3",-0.245527261431266,-0.273882820341041,-0.255940867834445,-0.23650623885918,-0.201212121212121,-0.23467820231757,-0.14,-0.149542371940664,-0.209435483870968,-0.181935483870968,-0.0826940355242242,-0.0767517327117327,-0.0689117327117327,-0.142233652478308,-0.192870998018563,-0.278452071122451,-0.176279069767442,-0.16,-0.11576112412178,-0.104285714285714,-0.192308215746462,-0.133333333333333,-0.257347269350424,-0.239605333866553,-0.221295474711624,-0.21343585437114,0.350579743708507,-0.380788681652988,-0.380788681652988,-0.406710582720808,0.413189115519783,-0.222093601457713,-0.202700318684148,-0.202700318684148,0.48347676567366,0.0240459871161365,0.385943997531268,-0.376568773461553,-0.346614730685836,-0.363271258350741,-0.327475974704974,-0.346574343650196,-0.327733763940051,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.384432910017492,0.0866666666666667,0.09,-0.25,-0.0173948336777908,0.128019188637909,0.161860145720338
"RKIP",-0.298388425496859,-0.32295885344429,-0.267619047619048,-0.22,-0.2,-0.29825311942959,-0.22,-0.225867667438826,-0.270980392156863,-0.253333333333333,-0.162088147197261,-0.160850789096126,-0.156850789096126,-0.212416250890948,-0.159101382488479,-0.37608875128999,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.261175115207373,-0.1,-0.212565656565657,-0.156565656565657,-0.111111111111111,-0.0644444444444444,0.332663797226208,-0.374330463892874,-0.374330463892874,-0.629808371600141,0.475224378513852,-0.100018315018315,-0.0564285714285714,-0.0564285714285714,0.544894010951033,0.172805958132045,0.382267679490321,-0.377766334598969,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0235101248083152,0.187826086956522,0.235507246376812
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.073615127919911,0,-0.102249488100552,-0.0510344827586207,-0.02,-0.0126477709727959,-0.0147933306372797,-0.00906084656084656,-0.0687011482326901,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.112982518043304,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.122598314606742,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314337417219937,0.406960753020097,-0.284101067824556,-0.264301569077689,-0.264301569077689,0.440164152495495,0.225631807344594,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315595017501551,0.0572257383966245,0.0795638296821115
"KLF4",-0.389351179673321,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.289978213507625,-0.1,-0.333564366323779,-0.252941176470588,-0.2,-0.104885444743935,-0.0955200501253133,-0.0827380952380952,-0.320973650005908,-0.338706199460916,-0.411925192519252,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.352079384912,-0.2,-0.375629984051037,-0.342296650717703,-0.305454545454545,-0.322261904761905,0.266666666666667,-0.353725490196078,-0.353725490196078,-0.462817788477018,0.592660505579354,-0.401873888476171,-0.376500754147813,-0.376500754147813,0.672793373147922,0.345203827946308,0.361945701357466,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342783616367228,0.295698924731183,0.317440206851972
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.171889573840793,-0.166666666666667,-0.163924012203698,-0.161413383364603,-0.158974358974359,-0.146449792038027,-0.139006211180124,-0.137142857142857,-0.132322347600933,-0.12863707165109,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112346865187455,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0698890082348729,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0501398630654067,-0.0415318495285875,-0.0224323300889176,-0.0161688311688312,-0.0161688311688312,0.00649043430293886,0.0119564865414533,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11335817722599,0.127735191637631,0.179141648081432
