"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","SMAD","ILK","HEY1","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","Jagged","CD44","cMet","Frizzled","SRC","NOTCH","DSH","NOTCHic","STAT","AXIN2","Csl","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.440084489894765,-0.460879514814662,-0.425145442792502,-0.378991596638655,-0.314285714285714,-0.439064112011791,-0.28,-0.34953697467722,-0.389064112011791,-0.336521739130435,-0.108384787606799,-0.0933521078682369,-0.098981018981019,-0.182543721909313,-0.187305068226121,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.395364644487932,-0.10952380952381,-0.0833333333333333,-0.225728822882288,0.553269841269841,-0.571217640658295,0.571031424969009,-0.602490881410035,-0.602490881410035,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.653083780659129,0.614240466311928,0.336759199134199,-0.451244161872731,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.380618686868687,-0.28,-0.336868686868687,-0.28,-0.432859001765963,-0.277777777777778,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.35611592333793
"SUFU",-0.504668784029038,-0.599335779548546,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.353846153846154,-0.416523260910079,-0.431171127722852,-0.393240093240093,-0.155646065920967,-0.145253456221198,-0.156972679672066,-0.369882512382512,-0.297647024116823,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.349614747644017,-0.290833333333333,-0.192857142857143,-0.298969451601031,0.503944842555326,-0.524106467125905,0.47098276859156,-0.564010811147231,-0.564010811147231,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525771215615962,0.575620968883997,0.379948491516398,-0.34669001488608,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.411842514783691,-0.3,-0.377450980392157,-0.196666666666667,-0.43597673166823,-0.333333333333333,0.15,0.253333333333333,-0.15,-0.352193363928839,0.349419191919192,0.423641840820847
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.1,-0.325268817204301,-0.3,-0.2,-0.12,-0.1,-0.105128205128205,-0.290833333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.240740740740741,-0.3,0,-0.25,0.355555555555556,-0.416613026819923,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.440476190476191,0.305128205128205,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.196666666666667,-0.15,-0.2,-0.1,-0.283333333333333,-0.2,-0.233333333333333,-0.1,-0.321645021645022,-0.2,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358866098743407,-0.364959479574398,-0.328877005347594,-0.115086781064673,-0.105159420289855,-0.128084864208038,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.438126483368021,-0.266666666666667,-0.26,-0.295863049562156,0.30464135021097,-0.489963135818609,0.620598378586183,-0.388638186629104,-0.388638186629104,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.39776370329443,0.364662501557927,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.405868010205631,-0.296078431372549,-0.37710088691796,-0.296078431372549,-0.427956280172798,-0.342954545454545,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358866098743407,-0.364959479574398,-0.328877005347594,-0.115086781064673,-0.105159420289855,-0.128084864208038,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.438126483368021,-0.266666666666667,-0.26,-0.295863049562156,0.30464135021097,-0.489963135818609,0.524689773268335,-0.388638186629104,-0.388638186629104,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.39776370329443,0.364662501557927,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.405868010205631,-0.296078431372549,-0.37710088691796,-0.296078431372549,-0.427956280172798,-0.342954545454545,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.359011578754757
"GSK3",-0.248189764994956,-0.276347109006738,-0.258927754168029,-0.240331262939959,-0.203188405797101,-0.214728979311023,-0.119607843137255,-0.152637365885699,-0.19187183645388,-0.164052287581699,-0.0859006432670267,-0.0763983808235878,-0.0872411972411972,-0.1468635944971,-0.191993810786914,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.281469148070539,-0.10974025974026,-0.136666666666667,-0.169099159490538,0.355956094162833,-0.412665610967306,0.416944290631003,-0.385516288446662,-0.385516288446662,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.488093756473139,0.390706993657367,0.0250060374516847,-0.379866920833034,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.299687996970844,-0.286842105263158,-0.278105263157895,-0.286842105263158,-0.386047408568569,-0.252105263157895,0.0866666666666667,0.0954545454545455,-0.25,-0.0155425736053356,0.13107412081289,0.180274477295754
"miR200",-0.119447004789434,-0.145447506871601,-0.126035742165719,-0.101445578231292,-0.0708333333333333,-0.107551020408163,-0.0142857142857143,-0.106058157741232,-0.0823809523809524,-0.0442857142857143,-0.0168349872280464,-0.0101257220523276,-0.0143831168831169,-0.0694479606188467,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.22991718426501,-0.0325,-0.02,-0.114664031620553,0.349389051808407,-0.315066860332585,0.407418018321093,-0.371977742679229,-0.371977742679229,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.441447753974659,0.305370300046902,0.226551407215886,-0.336858155231429,-0.306709178145798,-0.324339071261964,-0.28912676056338,-0.309539071261964,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.308712023962345,-0.24,-0.283508771929825,-0.24,-0.34124135524529,-0.246666666666667,0,0.02,-0.2,-0.315538871192486,0.0572257383966245,0.0851674835292736
"RKIP",-0.29367237413749,-0.319171652093879,-0.266341463414634,-0.22,-0.2,-0.226371814092954,-0.17,-0.217228853139595,-0.187241379310345,-0.17,-0.156785116894231,-0.153754813863928,-0.151248548199768,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.372722702134467,-0.1,-0.1,-0.0613968253968254,0.331078431372549,-0.624195488721805,0.47456648377701,-0.370472370766488,-0.370472370766488,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.542367270040342,0.378718918876399,0.164381402679275,-0.377119387544748,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.16017316017316,-0.1,-0.0904761904761905,-0.1,-0.337271448663854,-0.0333333333333333,0.1,0.1,0,-0.0227081076332972,0.184,0.22315186944343
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.2,-0.33671420000923,-0.328877005347594,-0.281818181818182,-0.105159420289855,-0.0906666666666667,-0.111306340718105,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.26,-0.266666666666667,-0.412614379084967,-0.233333333333333,-0.2,-0.28138936535163,0.266666666666667,-0.4649781869926,0.592777865765671,-0.354514963880289,-0.354514963880289,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.362568172568173,0.348106210167198,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.37710088691796,-0.266666666666667,-0.342954545454545,-0.266666666666667,-0.40259545543053,-0.305454545454545,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.231646438150589,-0.220838321238766,-0.213311439518336,-0.201587301587302,-0.19047619047619,-0.158522562835326,-0.158333333333333,-0.152957938402496,-0.150448028673835,-0.147222222222222,-0.137701849302229,-0.136443987667009,-0.13439389548923,-0.132004608294931,-0.128690476190476,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.122396319265317,-0.114285714285714,-0.111111111111111,-0.0667097608274079,-0.0590384156525889,-0.0481336150871746,-0.0445365364543068,-0.0438731924965652,-0.0438731924965652,-0.0217722794446932,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00183392940698587,0.00669734783413444,0.011351563450444,0.0451667229515726,0.0470720020720021,0.049303295505742,0.0517016317016317,0.0540990326282997,0.0540990326282997,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.070825849423739,0.0727272727272727,0.0776960784313726,0.08,0.0868626564148952,0.0875,0.1,0.1,0.1,0.114226139936331,0.127857142857143,0.167432835820896
