"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","MEK","NOTCH","ERK","cfos","NOTCHic","EGR1","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.433070654670615,-0.455295620483663,-0.421415839062898,-0.378991596638655,-0.314285714285714,-0.339995095687069,-0.0917813152247406,-0.0973766854412016,-0.0838282983444274,-0.176092109006087,-0.182041910331384,-0.391190758516845,-0.152412280701754,-0.120833333333333,-0.1321044546851,-0.10952380952381,-0.0833333333333333,-0.230211315610089,-0.171333824613117,-0.241941391941392,-0.151333824613117,-0.119130434782609,-0.208974358974359,-0.08,-0.17051282051282,-0.279689218921892,0.54928077023159,-0.596013097774579,-0.596013097774579,-0.564466254125313,0.56930483961518,-0.380694945630383,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.648874883953432,0.327982683982684,0.607936120148721,-0.4496094448836,-0.397673180240574,-0.426437031090496,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.385983683274576,0.153092109006087,0.326433437648907
"SUFU",-0.498569463146186,-0.594449126830469,-0.564271612037569,-0.52490990990991,-0.481666666666667,-0.405447317841803,-0.140402220444127,-0.135792426881602,-0.126323604710702,-0.358742151242151,-0.29111630651228,-0.34548773955646,-0.267626373626374,-0.236857142857143,-0.318611111111111,-0.290833333333333,-0.192857142857143,-0.280502209418301,-0.216786431958846,-0.387929292929293,-0.196786431958846,-0.17034965034965,-0.360151515151515,-0.143076923076923,-0.323787878787879,-0.363844927002822,0.501549632974488,-0.558150497383106,-0.558150497383106,-0.515337094747127,0.4695189239288,-0.438876701928009,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.521422307056982,0.370634195287792,0.57026516720926,-0.345123518722397,-0.406940869952022,-0.325737329464085,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.35405712298028,0.339823232323232,0.384317039530589
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.105128205128205,-0.11,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,0,-0.203597883597884,-0.143076923076923,-0.278787878787879,-0.12,-0.1,-0.233333333333333,-0.1,-0.2,-0.283333333333333,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.413946360153257,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.3003663003663,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.288571428571429
"RKIP",-0.343442381373416,-0.361842456608812,-0.308571428571429,-0.246666666666667,-0.2,-0.273512686750608,-0.20267131242741,-0.19981454178794,-0.196844244758237,-0.24848087431694,-0.18474025974026,-0.404554367201426,-0.139285714285714,-0.114285714285714,-0.173333333333333,-0.133333333333333,-0.1,-0.292145686797639,-0.331584739545121,-0.232634032634033,-0.274137931034483,-0.25,-0.178787878787879,-0.35,-0.133333333333333,0.051047619047619,0.370827355332377,-0.418827355332377,-0.418827355332377,-0.69249723145072,0.500312917959977,-0.0934371184371184,-0.0464285714285714,-0.0464285714285714,-0.0464285714285714,0.58644831492767,0.210677698975571,0.425754631502767,-0.400196529063544,-0.327692307692308,-0.367372101582628,-0.27,-0.326113360323887,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.342334739803094,0.1,0.1,0,-0.0104042313789627,0.217333333333333,0.33452380952381
"Ecadherin",-0.418330966095899,-0.401681556891189,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.354934170672564,-0.120421654934091,-0.104801908972874,-0.0968115942028986,-0.340758085682838,-0.367166907166907,-0.437381604410852,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.26,-0.37197755189391,-0.254513479243619,-0.403454815742806,-0.234513479243619,-0.210802139037433,-0.376317269274404,-0.187272727272727,-0.342296650717703,-0.321537871264783,0.30464135021097,-0.387690319330526,-0.387690319330526,-0.486858474272716,0.620470173457978,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604302029193382,0.360720755677156,0.39701882433726,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354257260492672,0.322647849462366,0.342839192197138
"cateninmemb",-0.418330966095899,-0.401681556891189,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.354934170672564,-0.120421654934091,-0.104801908972874,-0.0968115942028986,-0.340758085682838,-0.367166907166907,-0.437381604410852,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.26,-0.37197755189391,-0.254513479243619,-0.403454815742806,-0.234513479243619,-0.210802139037433,-0.376317269274404,-0.187272727272727,-0.342296650717703,-0.321537871264783,0.30464135021097,-0.387690319330526,-0.387690319330526,-0.486858474272716,0.524561650270257,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605376762556779,0.360720755677156,0.39701882433726,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354257260492672,0.322647849462366,0.342839192197138
"GSK3",-0.246010325863447,-0.274583920851153,-0.257404433671666,-0.240331262939959,-0.203188405797101,-0.150563660583883,-0.0860473384856418,-0.0815624038979016,-0.0736163769113948,-0.144864781910518,-0.190549661066902,-0.280236100106537,-0.174310344827586,-0.161666666666667,-0.116191872643486,-0.10974025974026,-0.136666666666667,-0.195226851755193,-0.121107362136774,-0.256274901569019,-0.113152816682228,-0.0988671023965142,-0.238352823646941,-0.0729411764705882,-0.222268907563025,-0.185871534402448,0.354253216887437,-0.383434991088657,-0.383434991088657,-0.410147282940289,0.416226848839041,-0.215746738736183,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.486650254893643,0.0222355838182176,0.388560175443423,-0.379229544895363,-0.348815133468151,-0.365808492263784,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0158617355622768,0.129075308226308,0.170545068966122
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102694157694158,-0.0134180790960452,-0.015854506821855,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.113281131623112,-0.0653927025355597,-0.129777072722719,-0.0524675324675325,-0.0342857142857143,-0.111133004926108,-0.0142857142857143,-0.0869950738916256,-0.11642166344294,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314637625546022,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226135606800086,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.080955773562146
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.334997461811805,-0.107669977081742,-0.0968115942028986,-0.0866666666666667,-0.322647849462366,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.2,-0.352984416882468,-0.234513479243619,-0.376317269274404,-0.210802139037433,-0.187272727272727,-0.342296650717703,-0.16,-0.305454545454545,-0.30180102915952,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.462836800582168,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.67324068547381,0.344826715942057,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342234893297891,0.297916666666667,0.316996495567924
"SOSGRB2",-0.158400488400488,-0.173803288909672,-0.144725274725275,-0.0985714285714286,-0.0785714285714286,-0.105402985074627,-0.0606060606060606,-0.054676291450485,-0.0567741935483871,-0.0948879111669809,0.0375730994152047,-0.139623188405797,0.0625730994152047,0.0888888888888889,-0.0666666666666667,-0.0333333333333333,0.1,-0.123381569248757,-0.121017121017121,0.00468826947700187,-0.0785928785928786,-0.0650793650793651,0.0342657342657343,-0.142857142857143,0.0727272727272727,-0.0269444444444444,0.189473684210526,-0.210902255639098,-0.210902255639098,-0.416285204178562,0.352389142389142,0.0985078951180646,0.119020715630885,0.119020715630885,0.119020715630885,0.382496376097215,0.0534584816772755,0.22400129922551,-0.26456168686743,-0.237732919254658,-0.250986161054811,-0.213095238095238,-0.2351966873706,-0.21055900621118,-0.171428571428571,-0.171428571428571,-0.1,-0.1,-0.26045104510451,0,0,0,-0.0623644811564275,0.0855855855855856,0.150950292397661
