"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","miR200","KLF4","EGR1","ERK","HEY1","cfos","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","ZEB2","ZEB1","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.476873847027104,-0.493267371503192,-0.456050543024227,-0.407836257309942,-0.338947368421053,-0.488182300790996,-0.439614520226695,0.467113793874357,0.452952380952381,-0.32,-0.434214046822742,-0.184545454545455,-0.376521739130435,-0.196188548293811,-0.17523616734143,-0.282607767819035,-0.27816091954023,-0.244827586206897,-0.2,-0.229220779220779,-0.428096978557505,-0.192857142857143,-0.15,-0.303310864215427,-0.308115210764217,-0.273015873015873,-0.228571428571429,-0.235330261136713,0.575464245378929,-0.572890558553761,-0.378229435530515,-0.341960005478702,-0.341960005478702,-0.341960005478702,0.671612673905593,0.339372754620247,-0.447191200098875,-0.391849279309953,-0.422352490421456,-0.358141414141414,-0.392611111111111,-0.513145539906103,-0.513145539906103,-0.321777777777778,-0.359277777777778,-0.321777777777778,-0.277777777777778,-0.277777777777778,-0.428176855506953,0.1,0.142857142857143,-0.2,-0.377947541909491,0.253030303030303,0.440397925318123
"SUFU",-0.51364593261145,-0.606207310135437,-0.572595619112473,-0.52989898989899,-0.485454545454545,-0.468534100771309,-0.429931802335744,0.41025641025641,0.374681805438744,-0.353846153846154,-0.43371267219988,-0.247587442755691,-0.395781637717122,-0.246452774501048,-0.23269130661114,-0.398651716500554,-0.322850267379679,-0.294909090909091,-0.254,-0.34702380952381,-0.353091365466396,-0.304166666666667,-0.21,-0.311958614545782,-0.405618846694796,-0.375661040787623,-0.333888888888889,-0.299900839054157,0.466054042539275,-0.521852296229924,-0.436381338651783,-0.411178086619263,-0.411178086619263,-0.411178086619263,0.523131796762479,0.378670044698082,-0.341456916466093,-0.403038725217714,-0.321521921883211,-0.376190476190476,-0.298968730393849,-0.444562979599476,-0.444562979599476,-0.342857142857143,-0.272197076850542,-0.23952380952381,-0.3,-0.196666666666667,-0.432796055799167,0.15,0.266666666666667,-0.15,-0.348849944411588,0.374930786267996,0.435978815027471
"miR200",-0.122511684616948,-0.148118597320725,-0.127748226950355,-0.102748226950355,-0.0708333333333333,-0.109455782312925,-0.11201587922047,0.413283699059561,0.406848975545274,-0.0142857142857143,-0.0842857142857143,-0.0173934108527132,-0.0442857142857143,-0.0218420193801208,-0.0131283264340627,-0.0782097649186257,-0.08,-0.06,-0.04,-0.05,-0.232600081699346,-0.0366666666666667,-0.02,-0.120329150906468,-0.135749790872758,-0.114995073891626,-0.0908571428571429,-0.115050505050505,0.411580195452423,-0.316548506215317,-0.284913228289187,-0.264708624708625,-0.264708624708625,-0.264708624708625,0.449554016610234,0.22739970630375,-0.338858967773665,-0.30771665852467,-0.325981384307846,-0.289739130434783,-0.310564717641179,-0.431418414085468,-0.431418414085468,-0.268,-0.292173913043478,-0.270434782608696,-0.24,-0.24,-0.342217889637244,0,0.02,-0.2,-0.316306747288607,0.0642857142857143,0.0898550387897094
"Ecadherin",-0.420770783621977,-0.403584798258831,-0.37430303030303,-0.340969696969697,-0.307636363636364,-0.395636770411051,-0.362236799184387,0.343629343629344,0.273418803418803,-0.281818181818182,-0.364959479574398,-0.147976698626049,-0.328877005347594,-0.136629131191065,-0.124242424242424,-0.354125434122383,-0.372586872586873,-0.342857142857143,-0.302857142857143,-0.302380952380952,-0.438742070993489,-0.266666666666667,-0.26,-0.37885472914185,-0.406297631951605,-0.377780521685445,-0.342296650717703,-0.295863049562156,0.618506270217737,-0.489385484205253,-0.421625727213963,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.602447189178293,0.364550654611642,-0.41056374811194,-0.376715988354944,-0.394419398634258,-0.353897196408636,-0.375826433810137,-0.376519709077849,-0.376519709077849,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427647215264899,0.2,0.233333333333333,-0.266666666666667,-0.353051561248678,0.33111658456486,0.361359004572504
"cateninmemb",-0.420770783621977,-0.403584798258831,-0.37430303030303,-0.340969696969697,-0.307636363636364,-0.395636770411051,-0.362236799184387,0.343629343629344,0.273418803418803,-0.281818181818182,-0.364959479574398,-0.147976698626049,-0.328877005347594,-0.136629131191065,-0.124242424242424,-0.354125434122383,-0.372586872586873,-0.342857142857143,-0.302857142857143,-0.302380952380952,-0.438742070993489,-0.266666666666667,-0.26,-0.37885472914185,-0.406297631951605,-0.377780521685445,-0.342296650717703,-0.295863049562156,0.522601504691575,-0.489385484205253,-0.421625727213963,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.603535112811185,0.364550654611642,-0.41056374811194,-0.376715988354944,-0.394419398634258,-0.353897196408636,-0.375826433810137,-0.376519709077849,-0.376519709077849,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427647215264899,0.2,0.233333333333333,-0.266666666666667,-0.353051561248678,0.33111658456486,0.361359004572504
"RKIP",-0.304528727445394,-0.329067222511725,-0.272631578947368,-0.22,-0.2,-0.231427425821973,-0.235830875122911,0.328666666666667,0.328666666666667,-0.17,-0.187241379310345,-0.189541595925297,-0.17,-0.186985397244452,-0.182637571157495,-0.243904518329071,-0.167434715821813,-0.119047619047619,-0.0857142857142857,-0.166666666666667,-0.379539043687651,-0.1,-0.1,-0.285864197530864,-0.222666666666667,-0.166666666666667,-0.111111111111111,-0.0613968253968254,0.470988083416087,-0.622783251231527,-0.0935827216261999,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543068079945156,0.164444444444444,-0.37226124064568,-0.318,-0.346855835240275,-0.27,-0.316421052631579,-0.367797101449275,-0.367797101449275,-0.2,-0.268421052631579,-0.2,-0.1,-0.1,-0.336219336219336,0.1,0.1,0,-0.0201145060901158,0.214492753623188,0.234557823129252
"KLF4",-0.391028394863195,-0.37430303030303,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.339057991237367,0.303088803088803,0.236666666666667,-0.2,-0.328877005347594,-0.127315541601256,-0.281818181818182,-0.124242424242424,-0.106060606060606,-0.33111658456486,-0.342857142857143,-0.302857142857143,-0.26,-0.266666666666667,-0.413222222222222,-0.233333333333333,-0.2,-0.357478807765928,-0.377780521685445,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.591376519234775,-0.464749561875156,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.671076630802658,0.348106210167198,-0.394419398634258,-0.353897196408636,-0.375826433810137,-0.326310989512084,-0.353267511251214,-0.343629343629344,-0.343629343629344,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341774069437728,0.302380952380952,0.330324521813883
"Patched",-0.394444444444444,-0.485454545454545,-0.44,-0.4,-0.3,-0.353846153846154,-0.331935483870968,0.25,0.22,-0.1,-0.3,-0.171794871794872,-0.2,-0.2,-0.166666666666667,-0.304166666666667,-0.21,-0.15,-0.1,-0.333333333333333,-0.244,-0.3,0,-0.220740740740741,-0.288888888888889,-0.233333333333333,-0.2,-0.25,0.352063492063492,-0.415928342135239,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.394366767983789,0.305128205128205,-0.272197076850542,-0.3,-0.23952380952381,-0.25,-0.196666666666667,-0.316666666666667,-0.316666666666667,-0.2,-0.15,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.297431457431457,0.266666666666667,0.31
"GSK3",-0.260383402052733,-0.286398923778069,-0.26895211526743,-0.25108139283397,-0.212937062937063,-0.222842755678695,-0.175095998149433,0.251132307005801,0.238587848932677,-0.126666666666667,-0.200143369175627,-0.15748158647939,-0.171111111111111,-0.156454202234253,-0.143824802648332,-0.207384502430027,-0.213141619026306,-0.196558704453441,-0.180769230769231,-0.175258467023173,-0.28728823509432,-0.165454545454545,-0.15,-0.2408454945085,-0.276735359036244,-0.258741258741259,-0.241818181818182,-0.170512906972388,0.412027221267647,-0.40950716067252,-0.211703807614678,-0.191748650664005,-0.191748650664005,-0.191748650664005,0.487779676038322,0.0223401561792063,-0.373402540508166,-0.342382344452124,-0.359929918029779,-0.321570161711007,-0.342260015117158,-0.273609371225984,-0.273609371225984,-0.301851851851852,-0.321851851851852,-0.301851851851852,-0.283333333333333,-0.283333333333333,-0.380345561381835,0.1,0.145454545454545,-0.25,-0.0107384663205191,0.188235566259814,0.200793694987022
"ZEB2",-0.239656659765355,-0.226120737993586,-0.219870737993586,-0.208921832884097,-0.195714285714286,-0.164173518869914,-0.164113730538681,-0.160736399823087,-0.158695517965181,-0.158333333333333,-0.15567678684377,-0.155458937198068,-0.152450980392157,-0.146346153846154,-0.143846153846154,-0.134066621953946,-0.13157175032175,-0.129488416988417,-0.126785714285714,-0.125396825396825,-0.124865092394649,-0.114285714285714,-0.114285714285714,-0.111788824202617,-0.100732208967503,-0.0972027972027972,-0.0911421911421912,-0.0687552213868003,-0.0540059539395093,-0.0441241644965414,-0.0176489758821047,-0.0127600869932158,-0.0127600869932158,-0.0127600869932158,-0.0105895352017823,0.00828900676788001,0.0520344792249454,0.0532357921006979,0.0558672318381858,0.057119287246329,0.0603281983809367,0.0611848303163607,0.0611848303163607,0.0623824451410658,0.0642497670083877,0.0696551724137931,0.0727272727272727,0.08,0.0924938191260962,0.1,0.1,0.1,0.118786019009272,0.129622177509501,0.179523746057133
