"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","TWIST1","EGR1","cfos","HEY1","SHH","SMAD","AKT","ILK","IKK","SMO","Jagged","NFB","FUS","NOTCH","NOTCHic","Csn","Csl","SNAI2","SOSGRB2","RAS","ZEB2","ZEB1","RAF","PI3K","DELTA","KLF4","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","miR200","cateninmemb","DSH","AXIN2","GSK3","STAT","LIV1","Destcompl","Ecadherin","TrCP","SUFU","Patched","RKIP"
"TrCP",-0.422945821315387,-0.442948338096241,-0.411101204338279,-0.371278195488722,-0.311278195488722,-0.425654659805603,-0.330734955227676,-0.381715265866209,-0.375335182616736,-0.28,-0.334545454545455,-0.0991887777041712,-0.165604858892472,-0.105890110558458,-0.173347763347763,-0.0923953008698771,-0.148095238095238,-0.127601134497686,-0.212729980364634,-0.116666666666667,-0.103463203463203,-0.226290660357804,-0.197176736307171,-0.0833333333333333,-0.161462450592885,-0.557356375715452,-0.210606060606061,-0.360906735953434,-0.592816001091477,-0.592816001091477,-0.327759103641457,-0.327759103641457,-0.327759103641457,0.54828738512949,-0.433322208402571,-0.411460926576408,-0.383571715923622,-0.384700363196126,-0.35228337236534,-0.353450363196126,-0.317857142857143,-0.317857142857143,0.605047010449395,0.552713578210966,-0.275,-0.420101637492942,0.317716176176364,-0.275,-0.2,-0.366655368089749,0.628720153866049,0.0333333333333333,0.0761904761904762,0.14493446783102,0.341439858709797
"SUFU",-0.499952437516192,-0.593472285290467,-0.562893772893773,-0.523333333333333,-0.481666666666667,-0.462327124823317,-0.411651899040958,-0.430449395565675,-0.340949094117765,-0.353846153846154,-0.393240093240093,-0.158132769971429,-0.364698344569684,-0.155323713832439,-0.294848010437052,-0.145253456221198,-0.270190476190476,-0.322261904761905,-0.278202647563407,-0.236857142857143,-0.290833333333333,-0.385819164969763,-0.358848210612917,-0.192857142857143,-0.322377622377622,-0.513191883245264,-0.295212374991648,-0.429324626864772,-0.562211790214738,-0.562211790214738,-0.405834693978866,-0.405834693978866,-0.405834693978866,0.503248054313628,-0.328901468541157,-0.310534121602382,-0.394093137254902,-0.289457888418525,-0.369093137254902,-0.264559929234852,-0.337843137254902,-0.234033613445378,0.573993072101421,0.451069624307283,-0.296666666666667,-0.424140062469176,0.372197314637795,-0.192857142857143,-0.15,-0.340698530575021,0.506210870783319,0.15,0.253333333333333,0.34597324496809,0.420971177944862
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.3,-0.238461538461538,-0.1,-0.2,-0.105128205128205,-0.290833333333333,-0.12,-0.192857142857143,-0.1,-0.15,-0.333333333333333,-0.201318681318681,-0.1,-0.3,-0.278787878787879,-0.233333333333333,0,-0.2,-0.412777777777778,-0.25,-0.345781637717122,-0.433333333333333,-0.433333333333333,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.355555555555556,-0.264559929234852,-0.234033613445378,-0.296666666666667,-0.192857142857143,-0.25,-0.15,-0.2,-0.1,0.440476190476191,0.344389920424403,-0.2,-0.319047619047619,0.303502188868043,-0.1,-0.1,-0.293529411764706,0.386797568957457,0,0.2,0.253333333333333,0.302857142857143
"Ecadherin",-0.418920145190563,-0.401885774982936,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358370250964644,-0.364959479574398,-0.436453494406044,-0.281818181818182,-0.328877005347594,-0.128084864208038,-0.344639656938044,-0.115086781064673,-0.368465608465608,-0.105159420289855,-0.33989417989418,-0.297916666666667,-0.372359073708972,-0.302857142857143,-0.266666666666667,-0.403658093244442,-0.376317269274404,-0.26,-0.342296650717703,-0.487165556777172,-0.295863049562156,-0.4202853032556,-0.388638186629104,-0.388638186629104,-0.40034188034188,-0.40034188034188,-0.40034188034188,0.30464135021097,-0.406175671665516,-0.390885002393411,-0.37412848547041,-0.373207583038572,-0.352626778985768,-0.351974706326243,-0.326310989512084,-0.326310989512084,0.39776370329443,0.613240336316459,-0.296078431372549,-0.425773646763164,0.363360837342637,-0.296078431372549,-0.266666666666667,-0.351065524461437,0.595577705020248,0.2,0.233333333333333,0.324798387096774,0.359011578754757
"cateninmemb",-0.418920145190563,-0.401885774982936,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358370250964644,-0.364959479574398,-0.436453494406044,-0.281818181818182,-0.328877005347594,-0.128084864208038,-0.344639656938044,-0.115086781064673,-0.368465608465608,-0.105159420289855,-0.33989417989418,-0.297916666666667,-0.372359073708972,-0.302857142857143,-0.266666666666667,-0.403658093244442,-0.376317269274404,-0.26,-0.342296650717703,-0.487165556777172,-0.295863049562156,-0.4202853032556,-0.388638186629104,-0.388638186629104,-0.40034188034188,-0.40034188034188,-0.40034188034188,0.30464135021097,-0.406175671665516,-0.390885002393411,-0.37412848547041,-0.373207583038572,-0.352626778985768,-0.351974706326243,-0.326310989512084,-0.326310989512084,0.39776370329443,0.517310743086294,-0.296078431372549,-0.425773646763164,0.363360837342637,-0.296078431372549,-0.266666666666667,-0.351065524461437,0.596576992184895,0.2,0.233333333333333,0.324798387096774,0.359011578754757
"GSK3",-0.238522145839219,-0.26541638186375,-0.249583048530417,-0.234545454545455,-0.201212121212121,-0.206933037890766,-0.143156499581373,-0.187413518371247,-0.269628876345265,-0.119607843137255,-0.163004069552349,-0.0878881327705516,-0.137606048773561,-0.084600877045244,-0.184544930875576,-0.0759321463950892,-0.171152073732719,-0.112121212121212,-0.183695652173913,-0.159247311827957,-0.105454545454545,-0.245935330654001,-0.229968944099379,-0.136666666666667,-0.215683229813665,-0.398532450148702,-0.160283155898828,-0.201711151436861,-0.379998614044859,-0.379998614044859,-0.182975788439203,-0.182975788439203,-0.182975788439203,0.352793247961069,-0.358160101680507,-0.346178534860231,-0.330419452333779,-0.33038906117602,-0.310636254501801,-0.3109370063815,-0.290636254501801,-0.290636254501801,0.385460346587344,0.401086839870634,-0.272268907563025,-0.370102059781136,0.0127170103503899,-0.272268907563025,-0.242857142857143,-0.000517414166150257,0.47576288640546,0.0866666666666667,0.0954545454545455,0.122377622377622,0.172666352253366
"RKIP",-0.294816490698844,-0.319075358298659,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.218551384719621,-0.187241379310345,-0.368686735612498,-0.17,-0.17,-0.159581881533101,-0.206033898305085,-0.156725110893631,-0.156168831168831,-0.153754813863928,-0.110714285714286,-0.14,-0.251587301587302,-0.0857142857142857,-0.1,-0.208565656565657,-0.156565656565657,-0.1,-0.111111111111111,-0.61703798109938,-0.0613968253968254,-0.0888095238095238,-0.372663797226208,-0.372663797226208,-0.0488095238095238,-0.0488095238095238,-0.0488095238095238,0.332663797226208,-0.364002600178949,-0.339074233416771,-0.311347517730496,-0.309386733416771,-0.266666666666667,-0.264705882352941,-0.2,-0.2,0.380952950808151,0.466315478514515,-0.1,-0.331555555555555,0.158693710932517,-0.1,0,-0.0134486832830681,0.53752287633371,0.1,0.1,0.184,0.226050420168067
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.328877005347594,-0.411925192519252,-0.2,-0.281818181818182,-0.111306340718105,-0.324798387096774,-0.105159420289855,-0.33989417989418,-0.0906666666666667,-0.302857142857143,-0.266666666666667,-0.353289306267112,-0.26,-0.233333333333333,-0.376317269274404,-0.342296650717703,-0.2,-0.305454545454545,-0.463367776259293,-0.28138936535163,-0.40034188034188,-0.354514963880289,-0.354514963880289,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.266666666666667,-0.390885002393411,-0.373207583038572,-0.352626778985768,-0.351974706326243,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.362568172568173,0.587289249359937,-0.266666666666667,-0.401824066931232,0.347641773797487,-0.266666666666667,-0.233333333333333,-0.340471700233408,0.665604514671722,0.1,0.2,0.297916666666667,0.328674500103071
"miR200",-0.0379008299311905,-0.0487914999915608,-0.0404214559386973,-0.0277777777777778,-0.0166666666666667,-0.0336867880336421,-0.0329906891256776,-0.0227956989247312,-0.0611475431589284,0,-0.00666666666666667,-0.0029126213592233,-0.0197763975155279,-0.00398634161835941,-0.0193543240080842,-0.00204081632653061,-0.0130252100840336,-0.0106666666666667,-0.0453671832226428,-0.00588235294117647,-0.00666666666666667,-0.0488490562522126,-0.0412860310421286,0,-0.0290909090909091,-0.11465025533653,-0.0424184782608696,-0.0996775554648156,-0.335145109943969,-0.335145109943969,-0.0891290322580645,-0.0891290322580645,-0.0891290322580645,0.327261072261072,-0.177422033737439,-0.170875178795205,-0.160280373831776,-0.163756534727409,-0.15,-0.153076923076923,-0.14,-0.143076923076923,0.267717814931891,0.208327344243376,-0.12,-0.187249039107499,0.149471694158082,-0.12,-0.1,-0.171893201236574,0.213307750085377,0,0,0.0154285714285714,0.0251863975268231
"ZEB2",-0.259151913192461,-0.251479838312136,-0.241541950113379,-0.224081632653061,-0.205714285714286,-0.182151067323481,-0.181706582879688,-0.169047619047619,-0.160398263584794,-0.158333333333333,-0.158333333333333,-0.148587223587224,-0.144895104895105,-0.141629075082802,-0.141027655048274,-0.138697478991597,-0.135873015873016,-0.132167832167832,-0.131769575520012,-0.131111111111111,-0.123076923076923,-0.122848063964098,-0.115841694537347,-0.111111111111111,-0.105072463768116,-0.100022868551867,-0.0856410256410257,-0.0621296827399845,-0.0612654556772204,-0.0612654556772204,-0.0523671497584541,-0.0523671497584541,-0.0523671497584541,-0.0460870024284658,-0.0141091933262053,-0.00701995229201012,-0.00685514628084938,0.00105179658691365,0.00191678354371203,0.00992753623188406,0.0115942028985507,0.0199275362318841,0.0247229711558182,0.0264779167736818,0.0333333333333333,0.0390430622009569,0.0398100036609695,0.0416666666666667,0.0666666666666667,0.081056975555349,0.0947706513359956,0.1,0.1,0.138834498834499,0.193125
