"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","DSH","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","Destcompl","RKIP"
"SUFU",-0.626797782942964,-0.752560457954009,-0.68714259051885,-0.616929824561404,-0.545,-0.546762567889488,-0.366666666666667,-0.520687411292334,-0.489856490541422,-0.430952380952381,-0.170981461347341,-0.171176914889965,-0.155012531328321,-0.456509884555249,-0.273188405797101,-0.323188405797101,-0.368487551096247,-0.376666666666667,-0.566484685979655,-0.33,-0.216666666666667,-0.44767767822789,-0.533888086062942,-0.473194444444445,-0.406527777777778,-0.373641440620014,0.546324786324786,-0.627740108893955,-0.627740108893955,0.741966378388307,-0.857817809522501,-0.658520942490706,-0.594603416717511,-0.594603416717511,-0.594603416717511,0.698886514242401,0.537107860744707,0.636924105306458,-0.84198558794147,-0.763478800611154,-0.780032815852581,-0.692982456140351,-0.68109243697479,-0.6,-0.592857142857143,-0.5,-0.5,-0.4,-0.786880244088482,0.15,0.283333333333333,-0.3,0.418438818565401,-0.550843533429022,0.500434609250399
"TrCP",-0.467753659603376,-0.499365079365079,-0.445714285714286,-0.385714285714286,-0.314285714285714,-0.450559401150489,-0.28,-0.375399462430528,-0.391694152923538,-0.336521739130435,-0.100476967398654,-0.109141581552447,-0.0933521078682369,-0.204401196361068,-0.120833333333333,-0.161373873873874,-0.198628775834658,-0.142857142857143,-0.464145477305168,-0.10952380952381,-0.0833333333333333,-0.292686435812246,-0.282917341394077,-0.232598870056497,-0.176666666666667,-0.240053191489362,0.554936507936508,-0.610018414524647,-0.610018414524647,0.66206783422708,-0.690429359683536,-0.45615380894132,-0.395923261390887,-0.395923261390887,-0.395923261390887,0.698270414987445,0.392592670782133,0.620664749405423,-0.661701090388551,-0.596109692539088,-0.523960772337032,-0.453748006379585,-0.527378129117259,-0.381818181818182,-0.456363636363636,-0.3,-0.381818181818182,-0.3,-0.543781158191639,0.0333333333333333,0.0761904761904762,-0.2,0.171804511278195,-0.47118619970444,0.368262150290548
"Ecadherin",-0.593771131570078,-0.611800804800033,-0.54011938887083,-0.466396761133603,-0.389473684210526,-0.508541458541458,-0.3,-0.507374216674477,-0.444805194805195,-0.378571428571429,-0.149533613445378,-0.140697574030907,-0.121561771561772,-0.520247208931419,-0.366666666666667,-0.429457364341085,-0.486600221483942,-0.418333333333333,-0.721932747885539,-0.36,-0.3,-0.677673553221973,-0.624071484071484,-0.553162393162393,-0.477777777777778,-0.39719396530542,0.368788819875776,-0.488871205091434,-0.488871205091434,0.978309093286014,-0.88503892681667,-0.671938814223188,-0.604759327043701,-0.604759327043701,-0.604759327043701,0.849424199499331,0.53982072982073,0.494656650539003,-0.978332604257801,-0.890925196850394,-0.7984375,-0.7,-0.798425196850394,-0.6,-0.7,-0.5,-0.6,-0.5,-0.799086757990868,0.2,0.3,-0.4,0.472878787878788,-0.562203330109302,0.471725853612526
"cateninmemb",-0.593771131570078,-0.611800804800033,-0.54011938887083,-0.466396761133603,-0.389473684210526,-0.508541458541458,-0.3,-0.507374216674477,-0.444805194805195,-0.378571428571429,-0.149533613445378,-0.140697574030907,-0.121561771561772,-0.520247208931419,-0.366666666666667,-0.429457364341085,-0.486600221483942,-0.418333333333333,-0.721932747885539,-0.36,-0.3,-0.677673553221973,-0.624071484071484,-0.553162393162393,-0.477777777777778,-0.39719396530542,0.368788819875776,-0.488871205091434,-0.488871205091434,0.878313264837261,-0.88503892681667,-0.671938814223188,-0.604759327043701,-0.604759327043701,-0.604759327043701,0.84941624116634,0.53982072982073,0.494656650539003,-0.978332604257801,-0.890925196850394,-0.7984375,-0.7,-0.798425196850394,-0.6,-0.7,-0.5,-0.6,-0.5,-0.799086757990868,0.2,0.3,-0.4,0.472878787878788,-0.562203330109302,0.471725853612526
"Patched",-0.436134453781513,-0.545,-0.475,-0.4,-0.3,-0.366666666666667,-0.1,-0.367142857142857,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.33,-0.1,-0.15,-0.216666666666667,-0.333333333333333,-0.350375939849624,-0.3,0,-0.278571428571429,-0.337777777777778,-0.26,-0.2,-0.27,0.355555555555556,-0.447727272727273,-0.447727272727273,0.492592592592593,-0.596078431372549,-0.456818181818182,-0.381818181818182,-0.381818181818182,-0.381818181818182,0.472865853658537,0.379886363636364,0.452564102564103,-0.592857142857143,-0.5,-0.5,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.1,-0.5,0,0.2,-0.1,0.283333333333333,-0.409936507936508,0.326666666666667
"KLF4",-0.527455342096394,-0.54011938887083,-0.466396761133603,-0.389473684210526,-0.3,-0.444805194805195,-0.2,-0.454461595315254,-0.378571428571429,-0.3,-0.121533613445378,-0.121561771561772,-0.0984848484848485,-0.472878787878788,-0.3,-0.366666666666667,-0.429457364341085,-0.36,-0.646339527546556,-0.3,-0.2,-0.61537847125476,-0.553162393162393,-0.477777777777778,-0.4,-0.357978279030911,0.306884057971014,-0.426607054148038,-0.426607054148038,0.890901685878607,-0.793978901273885,-0.604759327043701,-0.535434173669468,-0.535434173669468,-0.535434173669468,0.869920596617025,0.48982072982073,0.431421356421356,-0.890925196850394,-0.798425196850394,-0.7,-0.6,-0.7,-0.5,-0.6,-0.4,-0.5,-0.4,-0.7,0.1,0.2,-0.3,0.418333333333333,-0.517311108928421,0.411309186945859
"miR200",-0.136000939036746,-0.168720614182705,-0.138285831574009,-0.105527210884354,-0.0708333333333333,-0.115249169435216,-0.0142857142857143,-0.121271999365784,-0.0838205980066445,-0.0442857142857143,-0.0134180790960452,-0.017246636780692,-0.00989839396919043,-0.0836031421511819,-0.0357894736842105,-0.0593188854489164,-0.0808875128998968,-0.0497413793103448,-0.270831360759512,-0.0325,-0.02,-0.147603616416091,-0.153794162826421,-0.124761904761905,-0.0914285714285714,-0.124845505617978,0.350409069658719,-0.376183383277513,-0.376183383277513,0.46260596087063,-0.391694340628991,-0.336234567901235,-0.301666666666667,-0.301666666666667,-0.301666666666667,0.468607409554773,0.264911800446165,0.308534055570669,-0.461924097948743,-0.426570562595208,-0.383337625135119,-0.344406327425195,-0.389109262285611,-0.301010101010101,-0.34895178197065,-0.255555555555556,-0.305555555555556,-0.255555555555556,-0.414548187199408,0,0.02,-0.2,0.0655308529945554,-0.374617528760618,0.0915018315018315
"RKIP",-0.283982683982684,-0.308493223024115,-0.249797570850202,-0.207692307692308,-0.2,-0.217619047619048,-0.17,-0.214315851444831,-0.184285714285714,-0.17,-0.159581881533101,-0.154807445442875,-0.153754813863928,-0.203571428571429,-0.0857142857142857,-0.105714285714286,-0.147649769585253,-0.133333333333333,-0.359632719601074,-0.1,-0.1,-0.26781288886552,-0.2,-0.14,-0.1,-0.0415584415584416,0.329411764705882,-0.36625386996904,-0.36625386996904,0.518311381290105,-0.671569865319865,-0.102665104912296,-0.0431145431145431,-0.0431145431145431,-0.0431145431145431,0.547392120816778,0.163939393939394,0.374908890530877,-0.518485958485958,-0.457802197802198,-0.388571428571429,-0.3,-0.388571428571429,-0.2,-0.3,-0.1,-0.2,-0.1,-0.392727272727273,0.1,0.1,0,0.175,-0.0461956355575938,0.216558441558442
"GSK3",-0.219404966014273,-0.24317609644773,-0.218283392585069,-0.190909090909091,-0.140909090909091,-0.186934328095025,-0.0888888888888889,-0.143056329050335,-0.157418909592823,-0.126984126984127,-0.0741523113488235,-0.0753604521348192,-0.0650018863977674,-0.133658361021275,-0.132600732600733,-0.145503958407184,-0.16135761694377,-0.101618690029203,-0.21954109275854,-0.0909803921568628,-0.10952380952381,-0.196600176464581,-0.228435430288411,-0.204706616729089,-0.181111111111111,-0.0688588007736944,0.3390093708166,-0.365616251781075,-0.365616251781075,0.494883496133496,-0.52671099988465,-0.164316870510091,-0.127220096316543,-0.127220096316543,-0.127220096316543,0.489165595335781,0.0402170863690485,0.369557434180076,-0.494757083277527,-0.456245227185949,-0.412278432278432,-0.368688688688689,-0.413564814814815,-0.328148148148148,-0.369814814814815,-0.28,-0.328148148148148,-0.28,-0.443445869575901,0.0666666666666667,0.0733333333333333,-0.2,0.11422373204601,-0.0431225890736597,0.156602190230097
"ZEB2",-0.231607893925839,-0.218355987607229,-0.212509833761075,-0.204239157069346,-0.194805194805195,-0.159904324895697,-0.158333333333333,-0.157343945640556,-0.154709519700892,-0.153070175438596,-0.146407624633431,-0.13834485171901,-0.137102615694165,-0.127277258114558,-0.123611111111111,-0.123611111111111,-0.123611111111111,-0.120168067226891,-0.119014961888696,-0.114285714285714,-0.111111111111111,-0.105856427627311,-0.0924848642053588,-0.0893001508295626,-0.0863589743589744,-0.0632783882783883,-0.0536820380761629,-0.0478065979997014,-0.0478065979997014,-0.0471628885352802,-0.041954583417458,-0.0104923820854281,-0.00422535211267606,-0.00422535211267606,-0.00422535211267606,0.000391536637292147,0.00200228936276551,0.0115247456046848,0.0460576403501263,0.0543722470916993,0.0550839822873721,0.0631920903954802,0.0635644476488024,0.0716666666666667,0.0717836257309941,0.08,0.0805555555555555,0.0888888888888889,0.0994846036252457,0.1,0.1,0.1,0.122799646174259,0.124318299546214,0.17335527949077
