"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","Jagged","ILK","SHH","NOTCH","AKT","TWIST1","NOTCHic","IKK","NFB","Csl","SMO","FUS","Csn","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43872482709009,-0.459788607846625,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.346935429699607,-0.28,-0.389064112011791,-0.336521739130435,-0.0964530892448512,-0.108190817545656,-0.0933521078682369,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.187305068226121,-0.394580912275735,-0.157675438596491,-0.157675438596491,-0.120833333333333,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.225728822882288,0.55255945875618,-0.601141337161801,-0.601141337161801,-0.571153759850055,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652436363695621,0.336759199134199,0.612938740150235,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.354234654234654
"SUFU",-0.503416557363417,-0.598378197610253,-0.56530889067956,-0.524132420091324,-0.481666666666667,-0.46406641684227,-0.414876649454963,-0.353846153846154,-0.430449395565675,-0.393240093240093,-0.152727434257285,-0.15562938353636,-0.145396825396825,-0.145396825396825,-0.370041760012577,-0.297647024116823,-0.297647024116823,-0.348928445189457,-0.271472527472527,-0.271472527472527,-0.236857142857143,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.192857142857143,-0.298437589097337,0.502724230254351,-0.562639005700402,-0.562639005700402,-0.52385188868382,0.470524262813345,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525026342267688,0.379948491516398,0.574335020784459,-0.346277133655471,-0.406940869952022,-0.326072005450343,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.35210293837134,0.349419191919192,0.422498954526446
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.323333333333333,-0.1,-0.3,-0.2,-0.1,-0.12,-0.1,-0.1,-0.290833333333333,-0.192857142857143,-0.192857142857143,-0.240740740740741,-0.15,-0.15,-0.1,-0.1,-0.333333333333333,-0.3,0,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.417070114663101,-0.400685950411219,-0.372088500502294,-0.340068796068796,-0.307636363636364,-0.39421493185678,-0.355832944440123,-0.281818181818182,-0.36429367201426,-0.328877005347594,-0.114068466993999,-0.115176470588235,-0.105372549019608,-0.105372549019608,-0.345433307731695,-0.368465608465608,-0.368465608465608,-0.436838747199073,-0.33989417989418,-0.33989417989418,-0.302857142857143,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.26,-0.295296650119841,0.302797935816804,-0.386359728506787,-0.386359728506787,-0.489667921508764,0.620037905680211,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604106440406793,0.364662501557927,0.395577196185839,-0.411885838954088,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353555143896749,0.324798387096774,0.356759048511626
"cateninmemb",-0.417070114663101,-0.400685950411219,-0.372088500502294,-0.340068796068796,-0.307636363636364,-0.39421493185678,-0.355832944440123,-0.281818181818182,-0.36429367201426,-0.328877005347594,-0.114068466993999,-0.115176470588235,-0.105372549019608,-0.105372549019608,-0.345433307731695,-0.368465608465608,-0.368465608465608,-0.436838747199073,-0.33989417989418,-0.33989417989418,-0.302857142857143,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.26,-0.295296650119841,0.302797935816804,-0.386359728506787,-0.386359728506787,-0.489667921508764,0.524128895148669,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605178822894648,0.364662501557927,0.395577196185839,-0.411885838954088,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353555143896749,0.324798387096774,0.356759048511626
"GSK3",-0.247303035823205,-0.275630198238894,-0.258513081121777,-0.240331262939959,-0.203188405797101,-0.214378958961002,-0.15125217957824,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0837385478001291,-0.0858720650341141,-0.0763983808235878,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.191993810786914,-0.280897267983982,-0.176609195402299,-0.176609195402299,-0.161666666666667,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.136666666666667,-0.169099159490538,0.355484535070584,-0.384658686178707,-0.384658686178707,-0.412613618597326,0.416835885510958,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487666635279718,0.0250060374516847,0.389889258647191,-0.379792067482284,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0155425736053356,0.13107412081289,0.179133896578463
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.110714285714286,-0.0857142857142857,-0.0857142857142857,-0.14,-0.1,-0.1,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117015373037611,-0.143389083744097,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.101668379068739,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0102279368790181,-0.0164814660695039,-0.00989839396919043,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0727706057596822,-0.228144522144522,-0.0557894736842105,-0.0557894736842105,-0.0357894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.114294003868472,0.34836093857833,-0.369994317685112,-0.369994317685112,-0.314833511931918,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440106252997181,0.226551407215886,0.3030886479837,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0816828810377197
"KLF4",-0.388201754385965,-0.372088500502294,-0.340068796068796,-0.307636363636364,-0.263636363636364,-0.36429367201426,-0.333717559824739,-0.2,-0.328877005347594,-0.281818181818182,-0.0977564102564102,-0.105372549019608,-0.0906666666666667,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.33989417989418,-0.411370582405065,-0.302857142857143,-0.302857142857143,-0.26,-0.26,-0.266666666666667,-0.233333333333333,-0.2,-0.28138936535163,0.265618448637317,-0.352705882352941,-0.352705882352941,-0.464864059106832,0.592542735042735,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.672669461495562,0.348106210167198,0.360860215053763,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.326456018208595
"ZEB2",-0.239005439005439,-0.226789401075115,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.164583950091897,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.148311258278146,-0.138931883986848,-0.137102615694165,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.12863707165109,-0.12770749634059,-0.125833333333333,-0.125833333333333,-0.123611111111111,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.0689194139194139,-0.0523565158559132,-0.0514510164116463,-0.0514510164116463,-0.0500526944936086,-0.0415318495285875,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00662106787576708,0.0118535064556254,0.0146934759761475,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.127735191637631,0.179182522332875
