"","FOXC2","TGF","TGFR","CDC42","PAK1","HEY1","MEK","SMAD","ERK","EGR1","SNAI1","cfos","SHH","SMO","FUS","Jagged","TWIST1","NOTCH","NOTCHic","GSK3","Csl","KLF4","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","Ecadherin","miR200","TrCP","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","RAS","STAT","RAF","PI3K","DELTA","AKT","IKK","AXIN2","Destcompl","SUFU","NFB","LIV1","Csn","Patched","RKIP"
"TrCP",-0.444587801675854,-0.464628107606679,-0.428832653061225,-0.381632653061225,-0.314285714285714,-0.1010562900368,-0.442885375494071,-0.109272220446717,-0.392885375494071,-0.28,-0.356189028814789,-0.336521739130435,-0.183013109664415,-0.138556067588326,-0.10952380952381,-0.234861111111111,-0.399572902942468,-0.246330857224712,-0.213369963369963,0.378055720464066,-0.17051282051282,0.555692918192918,-0.226388888888889,0.571803155018533,-0.572110512404901,-0.605947774710719,-0.605947774710719,0.654581981755927,0.6174385010361,0,-0.451916778999225,-0.39799517951968,-0.427691426886549,-0.364990253411306,-0.398985985985986,-0.328148148148148,-0.365985985985986,-0.328148148148148,-0.28,-0.394031374688446,-0.28,-0.356915535444947,-0.356915535444947,-0.356915535444947,-0.314607843137255,-0.261666666666667,-0.433097836253663,-0.389875697584291,0.0761904761904762,-0.175,-0.2,-0.1,0.159543721909313,0.359422795032774
"SUFU",-0.504806217304934,-0.599463258439162,-0.566531531531532,-0.52490990990991,-0.481666666666667,-0.158132769971429,-0.464795581871323,-0.155792097907381,-0.431171127722852,-0.353846153846154,-0.41685289913926,-0.393240093240093,-0.369882512382512,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.349675856625384,-0.391741511500548,-0.362424242424242,0.380470351464165,-0.323787878787879,0.504112799324715,-0.298969451601031,0.470982021053762,-0.524085747046312,-0.564250581588568,-0.564250581588568,0.52582676250932,0.575850905692818,0.2,-0.34658946305722,-0.406940869952022,-0.326240028319296,-0.379059829059829,-0.302911242507563,-0.344444444444444,-0.275091693635383,-0.241111111111111,-0.3,-0.438718411699011,-0.196666666666667,-0.41262440845752,-0.41262440845752,-0.41262440845752,-0.382535912882298,-0.347596153846154,-0.43597673166823,-0.353694826341332,0.253333333333333,-0.303846153846154,-0.15,-0.25,0.349419191919192,0.423861187168731
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.105128205128205,-0.353846153846154,-0.12,-0.3,-0.1,-0.325268817204301,-0.2,-0.290833333333333,-0.333333333333333,-0.3,-0.203597883597884,-0.240740740740741,-0.278787878787879,-0.233333333333333,0.305128205128205,-0.2,0.355555555555556,-0.25,0.354623655913978,-0.416613026819923,-0.433333333333333,-0.433333333333333,0.397006472491909,0.440476190476191,0,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.2,-0.15,-0.1,-0.2,-0.347596153846154,-0.1,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.25,-0.2,-0.321645021645022,-0.298261738261738,0.2,-0.1,-0.1,0,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.128084864208038,-0.39515555800577,-0.115086781064673,-0.364959479574398,-0.281818181818182,-0.358758928443735,-0.328877005347594,-0.345270828041656,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.438126483368021,-0.404198310166598,-0.376317269274404,0.364143427391239,-0.342296650717703,0.30464135021097,-0.295863049562156,0.620598378586183,-0.489963135818609,-0.388638186629104,-0.388638186629104,0.605247826870112,0.39776370329443,0.2,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.421742506319971,-0.296078431372549,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.375897435897436,-0.345128205128205,-0.427956280172798,-0.353763680652224,0.233333333333333,-0.306666666666667,-0.266666666666667,-0.26,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.128084864208038,-0.39515555800577,-0.115086781064673,-0.364959479574398,-0.281818181818182,-0.358758928443735,-0.328877005347594,-0.345270828041656,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.438126483368021,-0.404198310166598,-0.376317269274404,0.364143427391239,-0.342296650717703,0.30464135021097,-0.295863049562156,0.524689773268335,-0.489963135818609,-0.388638186629104,-0.388638186629104,0.606322543684083,0.39776370329443,0.2,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.421742506319971,-0.296078431372549,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.375897435897436,-0.345128205128205,-0.427956280172798,-0.353763680652224,0.233333333333333,-0.306666666666667,-0.266666666666667,-0.26,0.324798387096774,0.359011578754757
"GSK3",-0.248702098878976,-0.27679298150108,-0.259623912038433,-0.241052483467004,-0.203188405797101,-0.0887765239612944,-0.215277810725491,-0.0862191159502873,-0.192734458124335,-0.119607843137255,-0.153820245270554,-0.164052287581699,-0.147016149798397,-0.119417679095098,-0.10974025974026,-0.196625370399099,-0.281681833144951,-0.257276890927921,-0.239999404016926,0.0290603830904026,-0.222268907563025,0.356470801904766,-0.169217076293682,0.417126552389418,-0.412854324125285,-0.386084626891976,-0.386084626891976,0.488395321945226,0.391267597278111,0,-0.379947792089526,-0.348911261519657,-0.36627968434094,-0.328532114600226,-0.348896171796137,-0.308270676691729,-0.328800478016233,-0.308270676691729,-0.286842105263158,-0.217321450185224,-0.286842105263158,-0.196676288894902,-0.196676288894902,-0.196676288894902,-0.174710970975827,-0.152130325814536,-0.38611293891121,-0.0170943857503492,0.0954545454545455,-0.118796992481203,-0.25,-0.0714285714285714,0.13107412081289,0.18038127965963
"miR200",-0.128442019138114,-0.154415174570424,-0.133529098621057,-0.108105369807497,-0.0761904761904762,-0.0142264752791069,-0.115968899521531,-0.0177585509201272,-0.0881493506493506,-0.0142857142857143,-0.116994937509888,-0.0517857142857143,-0.0703333333333333,-0.0458333333333333,-0.0325,-0.114443787611875,-0.239218906279566,-0.132920999817552,-0.112920999817552,0.31398911811086,-0.0887830687830688,0.355067920585162,-0.117636909227307,0.409504743350734,-0.317631851705379,-0.378918623196469,-0.378918623196469,0.444858137949108,0.309908501084972,0,-0.338912660378453,-0.30771665852467,-0.325917414736615,-0.289739130434783,-0.310564717641179,-0.268,-0.292173913043478,-0.270434782608696,-0.24,-0.331890747518976,-0.24,-0.310481533426835,-0.310481533426835,-0.310481533426835,-0.281449275362319,-0.246666666666667,-0.342217889637244,-0.325165669968569,0.02,-0.2,-0.2,-0.1,0.0578333333333333,0.0916174055829228
"RKIP",-0.286456908344733,-0.31400269541779,-0.259285714285714,-0.214285714285714,-0.2,-0.15970695970696,-0.221536643026005,-0.155920708364317,-0.181111111111111,-0.17,-0.215404907195525,-0.17,-0.209423728813559,-0.14,-0.1,-0.258400167084378,-0.367182130584192,-0.207814407814408,-0.153968253968254,0.147415690239695,-0.111111111111111,0.326666666666667,-0.0587301587301587,0.472985583224115,-0.622187902187902,-0.366872852233677,-0.366872852233677,0.540672849403994,0.375443510737628,0,-0.374876387425071,-0.319019607843137,-0.349355554091737,-0.27,-0.317440660474716,-0.2,-0.268421052631579,-0.2,-0.1,-0.0901501168943029,-0.1,-0.0438538205980066,-0.0438538205980066,-0.0438538205980066,0.0142857142857143,0.0857142857142857,-0.336752136752137,-0.0388284703801945,0.1,0.1,0,0,0.184,0.222358974358974
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.111306340718105,-0.364959479574398,-0.105159420289855,-0.328877005347594,-0.2,-0.33671420000923,-0.281818181818182,-0.324798387096774,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.412614379084967,-0.376317269274404,-0.342296650717703,0.347869577784056,-0.305454545454545,0.266666666666667,-0.28138936535163,0.592777865765671,-0.4649781869926,-0.354514963880289,-0.354514963880289,0.673504886266412,0.362568172568173,0.1,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.400897435897436,-0.266666666666667,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.345128205128205,-0.306666666666667,-0.40259545543053,-0.341987979717644,0.2,-0.26,-0.233333333333333,-0.2,0.297916666666667,0.328674500103071
"ZEB2",-0.20888064231321,-0.198501891333107,-0.193329477540004,-0.182051282051282,-0.166666666666667,-0.141153846153846,-0.140374035961635,-0.134570479354533,-0.133524720893142,-0.133333333333333,-0.130164652925847,-0.128070175438597,-0.127901510254451,-0.123376623376623,-0.114285714285714,-0.106181055191098,-0.0993363095238095,-0.0921878322732809,-0.0892976588628763,-0.0826776828959213,-0.0820512820512821,-0.0690476190476191,-0.0611452991452991,-0.0522902264545993,-0.0380434642886844,-0.03215515771526,-0.03215515771526,-0.00749825334336563,-0.000909349409831557,0,0.0533429017183628,0.0537376447342517,0.0569390289659423,0.057119287246329,0.0608351328620462,0.0623824451410658,0.0642497670083877,0.0696551724137931,0.0727272727272727,0.0782760453045181,0.08,0.0822573099415205,0.0822573099415205,0.0822573099415205,0.0848888888888889,0.0888888888888889,0.0928188003771779,0.0984791154997061,0.1,0.1,0.1,0.1,0.125940725940726,0.161840490797546
