"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","AKT","SHH","TWIST1","IKK","NFB","SMO","SOSGRB2","FUS","Jagged","Csn","NOTCH","LIV1","NOTCHic","Csl","STAT","SRC","cMet","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","DSH","AXIN2","TrCP","SUFU","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.402809137803979,-0.366809137803979,-0.347578991806659,-0.327826086956522,-0.28,-0.100476967398654,-0.107545656255334,-0.0933521078682369,-0.183601364522417,-0.182543721909313,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.05752200220022,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.242820512820513,0.2,-0.212051282051282,-0.17051282051282,0.28,0.328148148148148,0.365985985985986,0.56311683580536,-0.601332188733215,-0.601332188733215,-0.570972928023653,0.570888002215292,-0.355804167934727,-0.327622349752909,-0.327622349752909,-0.327622349752909,0.652656109659312,0.336395562770563,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.328148148148148,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.384679021204463,0.159543721909313,0.353491867248773
"SUFU",-0.501870364282401,-0.59709086588792,-0.565335441824804,-0.52490990990991,-0.481666666666667,-0.401260725090512,-0.374452214452214,-0.411339889907112,-0.341118881118881,-0.313846153846154,-0.155234219246791,-0.151547675217496,-0.142078853046595,-0.280304742237628,-0.36786231036231,-0.34777197337737,-0.255472527472527,-0.220857142857143,-0.324166666666667,-0.14193963930806,-0.290833333333333,-0.286228576031684,-0.192857142857143,-0.380995670995671,0.15,-0.352424242424242,-0.313787878787879,0.196666666666667,0.241111111111111,0.275091693635383,0.527364669567968,-0.561309858397895,-0.561309858397895,-0.522399502277547,0.471218782422122,-0.399234274541676,-0.378348198592309,-0.378348198592309,-0.378348198592309,0.525333038180714,0.376411881892702,0.57311400227864,-0.346757150435952,-0.406940869952022,-0.326552546855389,-0.379059829059829,-0.302911242507563,-0.344444444444444,-0.3,-0.43597673166823,0.15,0.253333333333333,-0.352910640420222,0.34739898989899,0.412792855974005
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.313846153846154,-0.26,-0.325268817204301,-0.2,-0.1,-0.105128205128205,-0.12,-0.1,-0.192857142857143,-0.290833333333333,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.15,-0.3,-0.203597883597884,0,-0.278787878787879,0.1,-0.233333333333333,-0.2,0.1,0.1,0.15,0.377777777777778,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.316826923076923,-0.273076923076923,-0.273076923076923,-0.273076923076923,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.2,-0.2,-0.321645021645022,0,0.2,-0.298261738261738,0.253333333333333,0.302857142857143
"CD44",-0.37875,-0.372222222222222,-0.35,-0.3,-0.2,-0.415,-0.385,-0.373019670388091,-0.325,-0.3,-0.204093567251462,-0.197619047619048,-0.183333333333333,-0.26,-0.177272727272727,-0.351941391941392,-0.266666666666667,-0.2,-0.15,-0.0119047619047619,-0.1,-0.188531468531469,-0.2,-0.24812030075188,-0.1,-0.242857142857143,-0.2,-0.1,-0.2,-0.15,0.277777777777778,-0.420634920634921,-0.420634920634921,-0.439156399156399,0.144450549450549,-0.203809523809524,-0.166666666666667,-0.166666666666667,-0.166666666666667,0.283107697318424,0.223809523809524,0.431699604743083,-0.132277877161598,-0.0233333333333333,-0.0861240310077519,0.05,-0.0233333333333333,0.1,0,0.02,0.1,0.1,0.159085452362763,0.15,0.423703703703704
"Ecadherin",-0.416181066386885,-0.399982619829486,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.304804748516089,-0.280883179888638,-0.352093406695342,-0.253048128342246,-0.223636363636364,-0.12310621869248,-0.108184721198723,-0.0997101449275362,-0.338114478114478,-0.342332888832444,-0.436028772775404,-0.313439153439153,-0.283809523809524,-0.297916666666667,0.0331467605549036,-0.266666666666667,-0.37289288370169,-0.26,-0.387317799765542,0.266666666666667,-0.361667242144725,-0.33177033492823,0.296078431372549,0.326310989512084,0.353267511251214,0.354055321143929,-0.385426662558264,-0.385426662558264,-0.487864863738836,0.620946810641933,-0.374784794020745,-0.357187028657617,-0.357187028657617,-0.357187028657617,0.605029301920654,0.36050000512528,0.394843304843305,-0.412516096849518,-0.377230529741969,-0.395896115523654,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.354350457137593,0.322647849462366,0.344880008523668
"cateninmemb",-0.416181066386885,-0.399982619829486,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.304804748516089,-0.280883179888638,-0.352093406695342,-0.253048128342246,-0.223636363636364,-0.12310621869248,-0.108184721198723,-0.0997101449275362,-0.338114478114478,-0.342332888832444,-0.436028772775404,-0.313439153439153,-0.283809523809524,-0.297916666666667,0.0331467605549036,-0.266666666666667,-0.37289288370169,-0.26,-0.387317799765542,0.266666666666667,-0.361667242144725,-0.33177033492823,0.296078431372549,0.326310989512084,0.353267511251214,0.354055321143929,-0.385426662558264,-0.385426662558264,-0.487864863738836,0.525038813407951,-0.374784794020745,-0.357187028657617,-0.357187028657617,-0.357187028657617,0.606106689564079,0.36050000512528,0.394843304843305,-0.412516096849518,-0.377230529741969,-0.395896115523654,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.354350457137593,0.322647849462366,0.344880008523668
"GSK3",-0.247741927595049,-0.27597764907415,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.180154439500415,-0.163677166773142,-0.151249939814146,-0.144880174291939,-0.107843137254902,-0.0878562301471743,-0.08448924105385,-0.0756436638424557,-0.183977306218686,-0.146385125597579,-0.281142375930403,-0.172011494252874,-0.161666666666667,-0.119417679095098,0.0154433730383815,-0.10974025974026,-0.196179889174025,-0.136666666666667,-0.252278897573015,0.25,-0.23695422224834,-0.222268907563025,0.286842105263158,0.308270676691729,0.328800478016233,0.367478769466728,-0.385009794238263,-0.385009794238263,-0.412156279662321,0.416992924078127,-0.19272356382556,-0.175706757102871,-0.175706757102871,-0.175706757102871,0.488148098168481,0.0238764429243887,0.390248620815567,-0.379914681043837,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.308270676691729,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.0156130209459485,0.13107412081289,0.17720682825946
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.219156272927366,-0.187241379310345,-0.22073762506942,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.156168831168831,-0.208590163934426,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,0.031047619047619,-0.1,-0.258543536260005,-0.1,-0.21041181041181,0,-0.156565656565657,-0.111111111111111,0.1,0.2,0.268421052631579,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0877261627261627,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.2,-0.1,-0.337271448663854,0.1,0.1,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.07856524427953,-0.0615584415584416,-0.102165057165057,-0.0342857142857143,-0.0142857142857143,-0.0134180790960452,-0.015854506821855,-0.00989839396919043,-0.0689970208540218,-0.0691822601357549,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,0.0127143778207608,-0.0325,-0.113281131623112,-0.02,-0.127517185717069,0.2,-0.111133004926108,-0.0869950738916256,0.24,0.270434782608696,0.291561543172076,0.355883367839889,-0.370282258064516,-0.370282258064516,-0.314637625546022,0.406960753020097,-0.266349835323669,-0.250639112131649,-0.250639112131649,-0.250639112131649,0.440369895337747,0.226135606800086,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.268,-0.24,-0.34124135524529,0,0.02,-0.315503569275578,0.0572257383966245,0.080955773562146
"KLF4",-0.38894994510542,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.280883179888638,-0.253048128342246,-0.33184024213838,-0.223636363636364,-0.16,-0.107669977081742,-0.0997101449275362,-0.0866666666666667,-0.313439153439153,-0.322647849462366,-0.411633986928105,-0.283809523809524,-0.26,-0.266666666666667,0.0344625500285878,-0.233333333333333,-0.352984416882468,-0.2,-0.361667242144725,0.233333333333333,-0.33177033492823,-0.305454545454545,0.266666666666667,0.296078431372549,0.326310989512084,0.314814814814815,-0.353199174406605,-0.353199174406605,-0.46348196187249,0.59312629782142,-0.357187028657617,-0.335128205128205,-0.335128205128205,-0.335128205128205,0.673967958201083,0.344826715942057,0.361509971509972,-0.395896115523654,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.296078431372549,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.342234893297891,0.297916666666667,0.319037311894455
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.175358883045537,-0.166822297679683,-0.164324979777844,-0.16359649122807,-0.158333333333333,-0.146407624633431,-0.139541640084409,-0.137102615694165,-0.1323753894081,-0.132280646183085,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.115970695970696,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.103514081546868,-0.1,-0.0964102564102564,-0.0897435897435897,-0.08,-0.0666666666666667,-0.0587719298245614,-0.0558652877857378,-0.0511363304682179,-0.0511363304682179,-0.0502246635391804,-0.0415318495285875,-0.0279383464501238,-0.0234415584415584,-0.0234415584415584,-0.0234415584415584,0.00634897850979154,0.012198929598976,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0593939393939394,0.0727272727272727,0.0863063873152894,0.1,0.1,0.11336339621102,0.127735191637631,0.179710144927536
"Destcompl",0.0584260129058319,0.0268695136856921,0.0293325678728842,0.0272273047149894,0.0210204081632653,0.0860847916004587,0.0877725553135389,0.09853061361505,0.0872261072261072,0.0902564102564102,0.0117733548502779,0.0165329991645781,0.0157142857142857,0.0579506598181824,-0.11840569160638,-0.038849499100198,0.0619775054557663,0.0610766045548654,-0.111877394636015,0.0488143448693155,-0.111877394636015,-0.184768046911485,0.0523809523809524,-0.0518929084176971,0.188888888888889,-0.0484860947904426,-0.0495730513121817,0.181746031746032,0.180376168732333,0.182863730921388,-0.188245118091897,0.193700607902736,0.193700607902736,-0.232603956689998,0.215196343424102,0.0218754892359568,0.0232883620774011,0.0232883620774011,0.0232883620774011,0.0515076774494451,-0.0909636011251572,-0.205218351429146,-0.186708371208666,-0.185758339602481,-0.186198427302496,-0.183346465762036,-0.185102536891537,-0.180376168732333,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.0203745284410991,0.115504337641197,-0.128439029395167
"AXIN2",0.110948544039879,0.0648582296774417,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.145860523123439,0.147929488640681,0.156591889872717,0.154471544715447,0.166666666666667,0.0197285810876075,0.0199677938808374,0.0231423970554405,0.111739130434783,-0.152784032906984,-0.036758485298039,0.110628019323672,0.109178743961353,-0.152930402930403,0.0809219828013657,-0.157692307692308,-0.219640377249073,0.122222222222222,-0.047389250152408,0.233333333333333,-0.0487406015037594,-0.0505263157894737,0.24,0.237674418604651,0.235950280673617,-0.238071272023014,0.245565365004779,0.245565365004779,-0.276379583113632,0.249477819289689,0.0867863481784687,0.0891485529028782,0.0891485529028782,0.0891485529028782,0.0629313489877675,-0.171785151284007,-0.259667828414558,-0.239995403083791,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.237674418604651,-0.24,0.182032686545068,-0.133333333333333,0.15,0.15963092790824,0.151144688644689,-0.182302473512151
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.107843137254902,0.0666666666666667,0.104658385093168,0.0666666666666667,0.1,0.0656410256410257,0.0566487775790101,0.058974358974359,0.136666666666667,0.10974025974026,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,-0.0424242424242424,0,0.153259803921569,0.1,0.192857142857143,0,0.142857142857143,0.1,-0.1,-0.2,-0.25,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.141524265208476,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.3,0.2,0.31030303030303,-0.1,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.144880174291939,0.107843137254902,0.118944099378882,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.161666666666667,0.119417679095098,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,-0.0333333333333333,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,-0.1,0.192857142857143,0.142857142857143,-0.2,-0.25,-0.286842105263158,-0.305602240896359,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.158059698279342,0.141524265208476,0.141524265208476,0.141524265208476,-0.437673688755514,-0.0929623824451411,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.3,0.340535588442565,-0.1,0,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.38894994510542,0.372677014042868,0.340969696969697,0.307636363636364,0.263636363636364,0.280883179888638,0.253048128342246,0.33184024213838,0.223636363636364,0.16,0.107669977081742,0.0997101449275362,0.0866666666666667,0.313439153439153,0.322647849462366,0.411633986928105,0.283809523809524,0.26,0.266666666666667,-0.0344625500285878,0.233333333333333,0.352984416882468,0.2,0.361667242144725,-0.233333333333333,0.33177033492823,0.305454545454545,-0.266666666666667,-0.296078431372549,-0.326310989512084,-0.314814814814815,0.353199174406605,0.353199174406605,0.46348196187249,-0.59312629782142,0.357187028657617,0.335128205128205,0.335128205128205,0.335128205128205,-0.673967958201083,-0.344826715942057,-0.361509971509972,0.395896115523654,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.296078431372549,0.266666666666667,0.40259545543053,-0.1,-0.2,0.342234893297891,-0.297916666666667,-0.319037311894455
