"","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","HEY1","SMAD","ILK","NFB","SHH","IKK","AKT","SMO","FUS","Csn","TWIST1","Jagged","cateninmemb","NOTCH","NOTCHic","Csl","Ecadherin","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","GSK3","RAS","RAF","PI3K","DELTA","miR200","FOXC2","GLI","Wnt","cateninnuc","TCFLEF","Frizzled","CD44","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","Destcompl","RKIP"
"TrCP",-0.408614384651029,-0.379106187929717,-0.344257703081232,-0.295238095238095,-0.28,-0.400752640628838,-0.363419307295505,-0.327826086956522,-0.307785721020971,-0.0960652026927713,-0.10173920464243,-0.090126301416624,-0.108333333333333,-0.152956306536952,-0.134649122807018,-0.158723196881092,-0.115437788018433,-0.0928571428571428,-0.0833333333333333,-0.331182571052136,-0.191067229038855,0.440366608328678,-0.198241758241758,-0.170769230769231,-0.138461538461538,0.505361446557671,-0.188641364136414,0.538002081707,-0.577620392171983,-0.577620392171983,-0.483565142855543,0.269729978354978,-0.30479056466144,-0.276608746479622,-0.276608746479622,-0.276608746479622,0.590482438168314,0.00449955591992895,-0.309148956401845,-0.282319688109162,-0.348810060999887,-0.331016957551611,-0.250740740740741,-0.3099058464405,-0.283173173173173,-0.21,-0.250740740740741,0.0333333333333333,0.0761904761904762,-0.21,-0.15,-0.336367692164699,0.133956306536952,-0.296902508692201,0.323687362361396
"SUFU",-0.585338152580378,-0.556738547057696,-0.519504504504505,-0.481666666666667,-0.353846153846154,-0.458233979275799,-0.428872277148139,-0.393240093240093,-0.406311963786967,-0.158132769971429,-0.154722278392099,-0.145253456221198,-0.236857142857143,-0.359990152490152,-0.267626373626374,-0.29111630651228,-0.318611111111111,-0.290833333333333,-0.192857142857143,-0.330348309885837,-0.269989745204094,0.412203931849267,-0.378275613275613,-0.352878787878788,-0.318787878787879,0.437677930022057,-0.290927493559073,0.501549632974488,-0.559116680957986,-0.559116680957986,-0.497407418956279,0.364873777098627,-0.419178347163401,-0.397342904125427,-0.397342904125427,-0.397342904125427,0.571008661633052,0.106152134850689,-0.378655117084485,-0.355235042735043,-0.310249131937476,-0.293522789226478,-0.326388888888889,-0.273685832704739,-0.250377562028047,-0.2875,-0.222222222222222,0.15,0.253333333333333,-0.183333333333333,-0.15,-0.408625865904604,0.341843434343434,-0.332443991863803,0.417102882390069
"Patched",-0.481666666666667,-0.44,-0.4,-0.3,-0.1,-0.353846153846154,-0.3,-0.2,-0.325268817204301,-0.105128205128205,-0.12,-0.1,-0.1,-0.290833333333333,-0.15,-0.192857142857143,-0.333333333333333,-0.3,0,-0.233333333333333,-0.196190476190476,0.314838709677419,-0.278787878787879,-0.233333333333333,-0.2,0.332572815533981,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.404383141762452,0.3003663003663,-0.341346153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.440476190476191,0.1,-0.2875,-0.25,-0.250377562028047,-0.222222222222222,-0.2,-0.183333333333333,-0.15,-0.2,-0.1,0,0.2,-0.1,-0.1,-0.312554112554113,0.253333333333333,-0.288151848151848,0.302857142857143
"Ecadherin",-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.281818181818182,-0.39515555800577,-0.364959479574398,-0.328877005347594,-0.357600275958597,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.302857142857143,-0.34369602489205,-0.33989417989418,-0.368465608465608,-0.297916666666667,-0.266666666666667,-0.26,-0.434303501661372,-0.369850098874008,0.603674457881775,-0.402711321319014,-0.376317269274404,-0.342296650717703,0.574605993180517,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.483835574588119,0.36196450994263,-0.418421261069963,-0.399426847662142,-0.399426847662142,-0.399426847662142,0.39776370329443,-0.0644105822332499,-0.370448920546567,-0.350448920546567,-0.401241910035969,-0.386582713023831,-0.326310989512084,-0.369521691853221,-0.349789250381649,-0.296078431372549,-0.326310989512084,0.2,0.233333333333333,-0.296078431372549,-0.266666666666667,-0.422919144600246,0.324798387096774,-0.349131845318841,0.359011578754757
"cateninmemb",-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.281818181818182,-0.39515555800577,-0.364959479574398,-0.328877005347594,-0.357600275958597,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.302857142857143,-0.34369602489205,-0.33989417989418,-0.368465608465608,-0.297916666666667,-0.266666666666667,-0.26,-0.434303501661372,-0.369850098874008,0.507719424714332,-0.402711321319014,-0.376317269274404,-0.342296650717703,0.575426675026692,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.483835574588119,0.36196450994263,-0.418421261069963,-0.399426847662142,-0.399426847662142,-0.399426847662142,0.39776370329443,-0.0644105822332499,-0.370448920546567,-0.350448920546567,-0.401241910035969,-0.386582713023831,-0.326310989512084,-0.369521691853221,-0.349789250381649,-0.296078431372549,-0.326310989512084,0.2,0.233333333333333,-0.296078431372549,-0.266666666666667,-0.422919144600246,0.324798387096774,-0.349131845318841,0.359011578754757
"GSK3",-0.255152987698057,-0.23899914154421,-0.224016563146998,-0.194492753623188,-0.119607843137255,-0.198831153939513,-0.180649335757695,-0.160348583877996,-0.136769704848572,-0.0864721471021916,-0.0828349738478304,-0.0748889468613236,-0.155416666666667,-0.133157040722635,-0.165761494252874,-0.179436707928087,-0.106668063119676,-0.10021645021645,-0.136666666666667,-0.256391831094276,-0.175829416868315,0.340994443327745,-0.237141388023741,-0.220777751660105,-0.20609243697479,0.38865613400583,-0.152930782584781,0.348843004184554,-0.374734975762979,-0.374734975762979,-0.375628727758385,0.00303916127942583,-0.187587750693843,-0.170570943971154,-0.170570943971154,-0.170570943971154,0.380276195659018,-0.0946753858136967,-0.309986930886224,-0.293005798810752,-0.332957009706098,-0.322496483390309,-0.272744360902256,-0.309940828893426,-0.293274162226759,-0.251315789473684,-0.272744360902256,0.0866666666666667,0.0954545454545455,-0.251315789473684,-0.225,-0.345453604522243,0.118324504837467,0.0112897803458175,0.1672667683194
"RKIP",-0.313413440142412,-0.267619047619048,-0.22,-0.2,-0.17,-0.227666911225238,-0.187241379310345,-0.17,-0.214233560028769,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.0857142857142857,-0.202032786885246,-0.110714285714286,-0.156168831168831,-0.14,-0.1,-0.1,-0.357944147355912,-0.241565607567305,0.422201529260353,-0.202719502719503,-0.156565656565657,-0.111111111111111,0.472218520559881,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.599633968642536,0.149881796690307,-0.0769258519258519,-0.0418831168831169,-0.0418831168831169,-0.0418831168831169,0.380952950808151,-0.0329796640141468,-0.288461538461538,-0.25,-0.340072917573922,-0.3158998895841,-0.2,-0.28582995951417,-0.247368421052632,-0.1,-0.2,0.1,0.1,-0.1,0,-0.309798406000938,0.184,-0.000467016074722562,0.226050420168067
"miR200",-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0142857142857143,-0.105819418676562,-0.0806493506493507,-0.0442857142857143,-0.102694157694158,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0357894736842105,-0.0691822601357549,-0.0557894736842105,-0.0727706057596822,-0.0458333333333333,-0.0325,-0.02,-0.228397471649005,-0.113281131623112,0.404541133597524,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.434404016847772,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314441739160126,0.226551407215886,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.303281447511538,-0.0238154257666453,-0.306709178145798,-0.28912676056338,-0.334791596514489,-0.323427960150852,-0.268,-0.309539071261964,-0.291561543172076,-0.24,-0.270434782608696,0,0.02,-0.24,-0.2,-0.34124135524529,0.0572257383966245,-0.315173263742961,0.0821827674271767
"KLF4",-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.2,-0.364959479574398,-0.328877005347594,-0.281818181818182,-0.33671420000923,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.26,-0.324798387096774,-0.302857142857143,-0.33989417989418,-0.266666666666667,-0.233333333333333,-0.2,-0.410653594771242,-0.351772295670347,0.5793154835228,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.647634230765716,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.461017994816897,0.346953472415037,-0.399426847662142,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.362568172568173,-0.0660124128968654,-0.350448920546567,-0.326310989512084,-0.386582713023831,-0.369521691853221,-0.296078431372549,-0.349789250381649,-0.326310989512084,-0.266666666666667,-0.296078431372549,0.1,0.2,-0.266666666666667,-0.233333333333333,-0.400444917796122,0.297916666666667,-0.338973411022476,0.328674500103071
"ZEB2",-0.210085892943036,-0.206382189239332,-0.20025974025974,-0.194805194805195,-0.158333333333333,-0.15550919982884,-0.153070175438596,-0.153070175438596,-0.151803758188806,-0.146407624633431,-0.137712371791726,-0.137102615694165,-0.123611111111111,-0.123218245169465,-0.121388888888889,-0.120454309449637,-0.117142857142857,-0.114285714285714,-0.111111111111111,-0.106436168607675,-0.0953795755506649,-0.0900611699926669,-0.0850239596469105,-0.0833846153846154,-0.0820512820512821,-0.0594242975495763,-0.0581501831501832,-0.055409950970417,-0.0449927121929574,-0.0449927121929574,-0.021475800362355,-0.00847874510390944,0.00141540828906996,0.0041991341991342,0.0041991341991342,0.0041991341991342,0.00873894157818875,0.0245796425796426,0.0763619255362375,0.0791142191142191,0.0791738683028528,0.0817712709002553,0.0842424242424242,0.0852923976608187,0.0880701754385965,0.0909090909090909,0.0933333333333333,0.1,0.1,0.1,0.1,0.117048118083996,0.119581881533101,0.138447471017456,0.169468599033816
