"","FOXC2","SNAI1","HEY1","TWIST1","EGR1","ILK","SHH","SMAD","AKT","SMO","MEK","NFB","IKK","Csn","Jagged","ERK","cfos","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","SNAI2","ZEB2","ZEB1","Ecadherin","miR200","PAK1","RAS","GSK3","RAF","PI3K","DELTA","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","SUFU","AXIN2","TrCP","LIV1","Patched","Destcompl","RKIP","SOSGRB2"
"TrCP",-0.412958224482913,-0.296934273420978,-0.0292562744646558,-0.381280686619153,-0.133333333333333,-0.0210989010989011,-0.133202518874161,-0.0255631868131868,-0.136397684712291,-0.0974358974358974,-0.299607940521341,-0.0666666666666667,-0.106060606060606,-0.0333333333333333,-0.207481931573119,-0.25093537414966,-0.195833333333333,-0.0666666666666667,-0.221585921325052,-0.188666666666667,-0.145333333333333,0.53,0.56123298157378,-0.562126347328579,-0.577136752136752,-0.577136752136752,0.640195416802677,0.588704786262331,0,-0.376234372369092,0.329672610629893,-0.34339855147357,-0.34339855147357,-0.34339855147357,-0.441614230699343,-0.392875120017977,-0.419837100327894,-0.363283283283283,-0.394156166475754,-0.364259259259259,-0.328148148148148,-0.328148148148148,-0.28,-0.28,0.0333333333333333,-0.429899749373434,0,-0.2,0.116838882510524,-0.383855353954721,0.299509803921569,-0.1108228980322
"SUFU",-0.472624372957692,-0.366706516931701,-0.0465056022408964,-0.328008762852658,-0.325,-0.0282916117698726,-0.29348055711935,-0.0308557143339752,-0.238348842758292,-0.252109181141439,-0.419304967644626,-0.186666666666667,-0.213939393939394,-0.153333333333333,-0.243648328896776,-0.388122171945701,-0.355769230769231,-0.223076923076923,-0.355292397660819,-0.327222222222222,-0.292222222222222,0.478058015659094,0.460663055512865,-0.514676954688361,-0.53531566472743,-0.53531566472743,0.509698717303679,0.548000992311669,0,-0.407634824231561,0.371047996180526,-0.383236198802007,-0.383236198802007,-0.383236198802007,-0.337454727843377,-0.403162393162393,-0.319820319241226,-0.377777777777778,-0.299365773786681,-0.273784378437844,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,0.2,-0.433555545275564,0.133333333333333,-0.15,0.276499425043878,-0.351262163190981,0.378018331955183,0.0236909770920991
"Patched",-0.372268907563025,-0.286666666666667,-0.02,-0.228857142857143,-0.1,-0.0111111111111111,-0.223076923076923,-0.0177777777777778,-0.153333333333333,-0.3,-0.325,-0.1,-0.133333333333333,0,-0.166666666666667,-0.3,-0.2,-0.3,-0.253333333333333,-0.22,-0.2,0.35,0.353353814644137,-0.415224898966042,-0.423809523809524,-0.423809523809524,0.39228320194057,0.431818181818182,0,-0.321264367816092,0.301794871794872,-0.283333333333333,-0.283333333333333,-0.283333333333333,-0.273784378437844,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,0.2,-0.321645021645022,0,-0.1,0.2,-0.298261738261738,0.277272727272727,0.0333333333333333
"Ecadherin",-0.410823715757926,-0.343995408531854,-0.071428232784165,-0.432816497521268,-0.277777777777778,-0.0284534779861883,-0.314201913511768,-0.0322270628918486,-0.349749779124069,-0.274761904761905,-0.37297199638663,-0.296842105263158,-0.326008771929825,-0.26,-0.3584979516014,-0.347046070460705,-0.317777777777778,-0.253333333333333,-0.393655058851909,-0.368458208458208,-0.338787878787879,0.299196581196581,0.619189071162755,-0.488682568429788,-0.380127025621332,-0.380127025621332,0.60146447101902,0.389769645516549,0,-0.41317344931138,0.362796921260198,-0.39317344931138,-0.39317344931138,-0.39317344931138,-0.411171427070007,-0.377230529741969,-0.395243057607236,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.233333333333333,-0.427956280172798,0.2,-0.266666666666667,0.2967131242741,-0.353681150905671,0.346577252601921,-0.166404828048664
"cateninmemb",-0.410823715757926,-0.343995408531854,-0.071428232784165,-0.432816497521268,-0.277777777777778,-0.0284534779861883,-0.314201913511768,-0.0322270628918486,-0.349749779124069,-0.274761904761905,-0.37297199638663,-0.296842105263158,-0.326008771929825,-0.26,-0.3584979516014,-0.347046070460705,-0.317777777777778,-0.253333333333333,-0.393655058851909,-0.368458208458208,-0.338787878787879,0.299196581196581,0.523280019871172,-0.488682568429788,-0.380127025621332,-0.380127025621332,0.602534893467483,0.389769645516549,0,-0.41317344931138,0.362796921260198,-0.39317344931138,-0.39317344931138,-0.39317344931138,-0.411171427070007,-0.377230529741969,-0.395243057607236,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.233333333333333,-0.427956280172798,0.2,-0.266666666666667,0.2967131242741,-0.353681150905671,0.346577252601921,-0.166404828048664
"miR200",-0.120281685932409,-0.105528390377887,-0.00596842510589141,-0.230149745432764,-0.02,-0.0010989010989011,-0.0680370128771955,-0.00346110582331055,-0.0765542345970646,-0.0485714285714286,-0.120129638632312,-0.0376470588235294,-0.0602277039848197,-0.02,-0.113461022256231,-0.0945098039215686,-0.0533333333333333,-0.0342857142857143,-0.133052189975267,-0.114708994708995,-0.0887830687830688,0.35030303030303,0.407539688301213,-0.315340078086484,-0.372767936500576,-0.372767936500576,0.441789929708669,0.306168077020998,0,-0.29166986756647,0.227177658236874,-0.272408653846154,-0.272408653846154,-0.272408653846154,-0.336915758378528,-0.306709178145798,-0.324339071261964,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,0.02,-0.34124135524529,0,-0.2,0.058160469667319,-0.315574407868608,0.0866986092682687,-0.155772357723577
"GSK3",-0.237202670438872,-0.137071048650967,-0.0371336783074091,-0.27335461874596,-0.046031746031746,-0.0218627450980392,-0.120991249248468,-0.0259723341391351,-0.166374085684431,-0.102767295597484,-0.140582153545129,-0.136190476190476,-0.153073593073593,-0.10952380952381,-0.18012726520791,-0.122302583652656,-0.0948689553340716,-0.0933333333333333,-0.244106207076132,-0.228197116167041,-0.209400123685838,0.343051177188947,0.411005976325736,-0.407219588250376,-0.371219160956003,-0.371219160956003,0.479680456812616,0.376223637903205,0,-0.207568964315059,0.0205186976205832,-0.189961740838761,-0.189961740838761,-0.189961740838761,-0.37481045641632,-0.346030191572444,-0.362162101041616,-0.327475974704974,-0.346180365881799,-0.327733763940051,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,0.0733333333333333,-0.384187138970369,0.0666666666666667,-0.25,0.110568714037201,-0.0146851830434032,0.162965481568657,-0.11729055258467
"RKIP",-0.287986425339367,-0.206167212647771,-0.127960927960928,-0.368686735612498,-0.17,-0.115064102564103,-0.186787365177196,-0.112564102564103,-0.135714285714286,-0.125,-0.114277673545966,-0.0857142857142857,-0.1,-0.1,-0.247527472527472,-0.0776923076923077,-0.07,-0.1,-0.200047281323877,-0.151111111111111,-0.111111111111111,0.329411764705882,0.474191788761325,-0.62361636414268,-0.364895635673624,-0.364895635673624,0.540378960777732,0.373870639164757,0,-0.0872340049487451,0.162476344958097,-0.0428861788617886,-0.0428861788617886,-0.0428861788617886,-0.376738056964007,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,0.1,-0.337271448663854,0.1,0,0.161363636363636,-0.0227081076332972,0.211255411255411,0.0357142857142857
"KLF4",-0.384381408065619,-0.324200186688851,-0.0612587412587413,-0.408678566486786,-0.2,-0.0219114219114219,-0.2967131242741,-0.0284534779861883,-0.326008771929825,-0.253333333333333,-0.347046070460705,-0.26,-0.296842105263158,-0.2,-0.33977873977874,-0.317777777777778,-0.277777777777778,-0.233333333333333,-0.368458208458208,-0.338787878787879,-0.305454545454545,0.264529914529915,0.592305954279639,-0.464519452179027,-0.349144657863145,-0.349144657863145,0.671304150377738,0.357753835239869,0,-0.39317344931138,0.347171921260198,-0.369801801801802,-0.369801801801802,-0.369801801801802,-0.395243057607236,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,0.2,-0.40259545543053,0.1,-0.233333333333333,0.274761904761905,-0.341987979717644,0.319964349376114,-0.165034965034965
"ZEB2",-0.22396372967872,-0.141269841269841,-0.123974603174603,-0.117767807451036,-0.114285714285714,-0.111996066863324,-0.111717979519027,-0.110819596275088,-0.103157894736842,-0.102497502497502,-0.102433862433862,-0.1,-0.1,-0.1,-0.0985971081789854,-0.0942857142857143,-0.0942857142857143,-0.0934065934065934,-0.0858187134502924,-0.0805555555555556,-0.075,-0.064837623547301,-0.0460861637130651,-0.0459687393817991,-0.0358328507424546,-0.0358328507424546,-0.00173134614486138,-0.000609053778596158,0,0.00277132876301689,0.0074258683413613,0.0080105087174588,0.0080105087174588,0.0080105087174588,0.0465020600644397,0.0470720020720021,0.0498133183425854,0.0517016317016317,0.0540990326282997,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0857142857142857,0.0868626564148952,0.1,0.1,0.108053058053058,0.113652478729776,0.152127255460589,0.178562091503268
