"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","cfos","EGR1","HEY1","SMAD","AKT","TWIST1","IKK","ILK","SHH","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","ZEB2","ZEB1","SOSGRB2","RAS","SNAI2","RAF","PI3K","DELTA","cateninmemb","KLF4","Ecadherin","cateninnuc","miR200","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","GSK3","RKIP"
"GSK3",-0.484161824986405,-0.51224005033821,-0.478906717004876,-0.44025641025641,-0.383333333333333,-0.367483978246953,-0.44946540965878,-0.405819000819001,-0.362575757575758,-0.305,-0.138695982380193,-0.136331035571101,-0.303243564945693,-0.490303353164603,-0.275551257253385,-0.120239081548112,-0.218798969890609,-0.243636363636364,-0.169121447028424,-0.274604658470386,-0.138888888888889,-0.213636363636364,-0.378269156317937,-0.347374847374847,-0.311111111111111,-0.619383622828784,-0.619383622828784,-0.315710342017336,-0.528516816273187,-0.528837422127044,-0.494224250325945,-0.494224250325945,-0.494224250325945,0.542492605702679,0.560978203083466,0.656725835732422,-0.484638943767319,0.63253384782522,-0.464381390523138,-0.438864172550613,-0.439190550828482,-0.408735967422408,-0.409320420958352,-0.374837662337662,-0.374837662337662,-0.333928571428571,-0.333928571428571,-0.475527652879096,0.15,0.105555555555556,-0.271428571428571,-0.109682189023981,0.192599707897989,0.408780435251023,0.395555555555556
"SUFU",-0.504756583123815,-0.594966595921041,-0.562474482356372,-0.517592592592593,-0.469444444444444,-0.435304967951684,-0.468977501371868,-0.433766233766234,-0.390909090909091,-0.345454545454545,-0.164665459908823,-0.164762086712866,-0.282960584983057,-0.326879058543168,-0.259365079365079,-0.150915932866712,-0.374451543366188,-0.222222222222222,-0.32952380952381,-0.282714951714952,-0.296190476190476,-0.166666666666667,-0.375201586252479,-0.348235294117647,-0.31,-0.582854981567796,-0.582854981567796,-0.284202403811962,-0.350361661654126,-0.507609854908341,-0.323030471943515,-0.323030471943515,-0.323030471943515,0.456631480437084,0.509203296703297,0.515651564747309,-0.326764183875778,0.594969165933215,-0.308145361939421,-0.391616161616162,-0.286912485227092,-0.367171717171717,-0.262588160902768,-0.336060606060606,-0.232251082251082,-0.296666666666667,-0.192857142857143,-0.422273272136286,0.133333333333333,0.253333333333333,-0.15,-0.463762618746748,0.353208020050125,0.412847222222222,0.44680404182455
"TrCP",-0.416893092717989,-0.444014001214717,-0.412306684141546,-0.372857142857143,-0.312857142857143,-0.309337245566059,-0.418600927096502,-0.375238095238095,-0.332380952380952,-0.28,-0.102053981719941,-0.109515559515559,-0.166666666666667,-0.379057526799671,-0.143939393939394,-0.0944361944361944,-0.183730968908592,-0.116666666666667,-0.138556067588326,-0.233247712418301,-0.10952380952381,-0.0833333333333333,-0.234525879917184,-0.205333333333333,-0.168666666666667,-0.579312846229575,-0.579312846229575,-0.222968509984639,-0.358283997052919,-0.565422345371968,-0.322162324049116,-0.322162324049116,-0.322162324049116,0.565113865304041,0.535030719566802,0.644413597139777,-0.440753769725447,0.591931612104911,-0.420539374625907,-0.394451178451178,-0.395390859774421,-0.364148148148148,-0.365134449518011,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.430787417351232,0.0333333333333333,0.0761904761904762,-0.2,-0.454308167105653,0.160075054930098,0.268575579801524,0.323333333333333
"RKIP",-0.420723362658847,-0.447459948636419,-0.38981288981289,-0.338461538461538,-0.3,-0.326164874551971,-0.338031189083821,-0.295925925925926,-0.27,-0.17,-0.165204678362573,-0.168401055201197,-0.181481481481481,-0.459285714285714,-0.133333333333333,-0.159967320261438,-0.218735177865613,-0.1,-0.14,-0.272899159663866,-0.1,-0.1,-0.237380952380952,-0.177380952380952,-0.125,-0.438462332301342,-0.438462332301342,-0.0821428571428571,-0.230773607160203,-0.6503259157996,-0.181477832512315,-0.181477832512315,-0.181477832512315,0.503072787427626,0.393725490196078,0.5815447408412,-0.407421221362108,0.447591706539075,-0.376961451247166,-0.33813104189044,-0.336961451247166,-0.278947368421053,-0.277777777777778,-0.2,-0.2,-0.1,-0.1,-0.352615384615385,0.1,0.1,0,-0.0570886453440692,0.187826086956522,0.236842105263158,0.337925407925408
"Patched",-0.376190476190476,-0.469444444444444,-0.425,-0.4,-0.3,-0.331746031746032,-0.345454545454545,-0.3,-0.2,-0.1,-0.112121212121212,-0.126666666666667,-0.166666666666667,-0.219047619047619,-0.133333333333333,-0.106666666666667,-0.296190476190476,-0.1,-0.333333333333333,-0.204523809523809,-0.3,0,-0.26,-0.22,-0.2,-0.429166666666667,-0.429166666666667,-0.23,-0.258333333333333,-0.408631239935588,-0.208333333333333,-0.208333333333333,-0.208333333333333,0.347167698202181,0.342857142857143,0.388106060606061,-0.262588160902768,0.435672514619883,-0.232251082251082,-0.296666666666667,-0.192857142857143,-0.25,-0.15,-0.2,-0.1,-0.2,-0.1,-0.319047619047619,0,0.2,-0.1,-0.382528180354267,0.253333333333333,0.266666666666667,0.305555555555556
"Ecadherin",-0.404348339832211,-0.380199207342511,-0.352748226950355,-0.319414893617021,-0.2875,-0.396415235250187,-0.390727326298329,-0.358419633990637,-0.318796992481203,-0.271428571428571,-0.173333333333333,-0.161950715561357,-0.358827586206897,-0.398637605588604,-0.32816091954023,-0.148467569493942,-0.351969973625482,-0.283333333333333,-0.306666666666667,-0.362380867667639,-0.273333333333333,-0.233333333333333,-0.375819164875252,-0.35140056022409,-0.319047619047619,-0.422727426674795,-0.422727426674795,-0.287610428786899,-0.39878169440115,-0.460848245877083,-0.379794352628998,-0.379794352628998,-0.379794352628998,0.591292627474359,0.266806311967602,0.577945698750651,-0.376368029178329,0.430363408521303,-0.364009979746131,-0.351469744640695,-0.350297605164191,-0.335151753008896,-0.334331218609569,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.407463234458935,0.2,0.233333333333333,-0.266666666666667,-0.460009809425366,0.33247311827957,0.373404856013552,0.401990483743061
"Destcompl",-0.404348339832211,-0.380199207342511,-0.352748226950355,-0.319414893617021,-0.2875,-0.396415235250187,-0.390727326298329,-0.358419633990637,-0.318796992481203,-0.271428571428571,-0.173333333333333,-0.161950715561357,-0.358827586206897,-0.398637605588604,-0.32816091954023,-0.148467569493942,-0.351969973625482,-0.283333333333333,-0.306666666666667,-0.362380867667639,-0.273333333333333,-0.233333333333333,-0.375819164875252,-0.35140056022409,-0.319047619047619,-0.422727426674795,-0.422727426674795,-0.287610428786899,-0.39878169440115,-0.460848245877083,-0.379794352628998,-0.379794352628998,-0.379794352628998,0.486644435235158,0.266806311967602,0.476378950917655,-0.376368029178329,0.430363408521303,-0.364009979746131,-0.351469744640695,-0.350297605164191,-0.335151753008896,-0.334331218609569,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.407463234458935,0.2,0.233333333333333,-0.266666666666667,-0.152665014098883,0.33247311827957,0.373404856013552,0.401990483743061
"cateninmemb",-0.404348339832211,-0.380199207342511,-0.352748226950355,-0.319414893617021,-0.2875,-0.396415235250187,-0.390727326298329,-0.358419633990637,-0.318796992481203,-0.271428571428571,-0.173333333333333,-0.161950715561357,-0.358827586206897,-0.398637605588604,-0.32816091954023,-0.148467569493942,-0.351969973625482,-0.283333333333333,-0.306666666666667,-0.362380867667639,-0.273333333333333,-0.233333333333333,-0.375819164875252,-0.35140056022409,-0.319047619047619,-0.422727426674795,-0.422727426674795,-0.287610428786899,-0.39878169440115,-0.460848245877083,-0.379794352628998,-0.379794352628998,-0.379794352628998,0.495483148686779,0.266806311967602,0.5790736199262,-0.376368029178329,0.430363408521303,-0.364009979746131,-0.351469744640695,-0.350297605164191,-0.335151753008896,-0.334331218609569,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.407463234458935,0.2,0.233333333333333,-0.266666666666667,-0.460009809425366,0.33247311827957,0.373404856013552,0.401990483743061
"AXIN2",-0.413262322472849,-0.396106983332129,-0.36042859137233,-0.320954907161804,-0.269230769230769,-0.40569386809842,-0.388806133625411,-0.341818181818182,-0.281818181818182,-0.2,-0.162857142857143,-0.162142857142857,-0.36076726342711,-0.421252695902229,-0.312941176470588,-0.137142857142857,-0.375821274435136,-0.26,-0.306666666666667,-0.396960172444043,-0.26,-0.2,-0.398051948051948,-0.362337662337662,-0.321428571428571,-0.399206349206349,-0.399206349206349,-0.321738709052142,-0.426752777353729,-0.487765896951381,-0.398114279701147,-0.398114279701147,-0.398114279701147,0.501926544507768,0.240909090909091,0.484496381967074,-0.423178950174651,0.405627705627706,-0.407463234458935,-0.389231337767923,-0.388759992563674,-0.366060606060606,-0.366060606060606,-0.338787878787879,-0.338787878787879,-0.305454545454545,-0.305454545454545,0.0444639554947939,0.1,0.2,-0.26,0.0998094562144526,0.345128205128205,0.346524064171123,0.385238095238095
"KLF4",-0.37357910906298,-0.352748226950355,-0.319414893617021,-0.2875,-0.25,-0.369230769230769,-0.358419633990637,-0.318796992481203,-0.271428571428571,-0.2,-0.153333333333333,-0.148467569493942,-0.32816091954023,-0.377634470792365,-0.283333333333333,-0.130434782608696,-0.33247311827957,-0.233333333333333,-0.273333333333333,-0.345992907801418,-0.233333333333333,-0.2,-0.35140056022409,-0.319047619047619,-0.283333333333333,-0.3781328320802,-0.3781328320802,-0.273324714501185,-0.379794352628998,-0.441620570897196,-0.356959706959707,-0.356959706959707,-0.356959706959707,0.568734901008995,0.221645021645022,0.650047419019911,-0.364009979746131,0.384047619047619,-0.350297605164191,-0.335151753008896,-0.334331218609569,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.266666666666667,-0.266666666666667,-0.388759992563674,0.1,0.2,-0.233333333333333,-0.443954763553806,0.306666666666667,0.327950310559006,0.363846153846154
