"","FOXC2","TGF","TGFR","CDC42","GSK3","PAK1","HEY1","SMAD","ILK","SMO","SHH","MEK","FUS","ERK","AKT","EGR1","IKK","cfos","NFB","Jagged","SNAI1","TWIST1","Csn","KLF4","NOTCH","NOTCHic","Csl","cateninmemb","SOSGRB2","SNAI2","miR200","Ecadherin","ZEB2","ZEB1","GLI","cateninnuc","Wnt","TCFLEF","Frizzled","CD44","cMet","DSH","SRC","RAS","RAF","PI3K","DELTA","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"TrCP",-0.433596106230549,-0.455717875823951,-0.422930990578049,-0.378991596638655,0.307758658008658,-0.314285714285714,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.138556067588326,-0.182543721909313,-0.435730778678457,-0.10952380952381,-0.389064112011791,-0.185453216374269,-0.28,-0.157675438596491,-0.336521739130435,-0.120833333333333,-0.234377982276755,-0.33697002915516,-0.391075475249388,-0.0833333333333333,0.550920114493885,-0.243919413919414,-0.212051282051282,-0.17051282051282,0.570521701848991,-0.225728822882288,-0.570792096197252,0.608735695478007,0.651186524382746,-0.596421839395376,-0.596421839395376,-0.397673180240574,-0.44997981525397,-0.364990253411306,-0.426807401460867,-0.328148148148148,-0.398659253312719,-0.365985985985986,-0.28,-0.328148148148148,-0.369385920418919,-0.336204102237101,-0.336204102237101,-0.336204102237101,-0.28,-0.389297569650267,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,0.159543721909313,0.346843616788368
"SUFU",-0.495294231557331,-0.591866026293195,-0.560505079547633,-0.522207207207207,0.342463498580155,-0.481666666666667,-0.158132769971429,-0.155184172156533,-0.145253456221198,-0.324166666666667,-0.369882512382512,-0.456786192530873,-0.290833333333333,-0.426573426573427,-0.29111630651228,-0.353846153846154,-0.267626373626374,-0.393240093240093,-0.236857142857143,-0.28695833592637,-0.400803747110157,-0.343371305353913,-0.192857142857143,0.497073339659479,-0.387929292929293,-0.360151515151515,-0.323787878787879,0.469010058802194,-0.297570850202429,-0.522333621021492,0.566125070831734,0.522108226106683,-0.554016764797041,-0.554016764797041,-0.406197375528231,-0.343725858971998,-0.379059829059829,-0.324441971503967,-0.344444444444444,-0.302159362808315,-0.275091693635383,-0.3,-0.241111111111111,-0.423064257284456,-0.399962991461671,-0.399962991461671,-0.399962991461671,-0.196666666666667,-0.358735242110596,-0.435508347593289,0.15,0.253333333333333,-0.15,0.349419191919192,0.412363653365126
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,0.28021978021978,-0.3,-0.105128205128205,-0.12,-0.1,-0.333333333333333,-0.290833333333333,-0.353846153846154,-0.3,-0.3,-0.192857142857143,-0.1,-0.15,-0.2,-0.1,-0.203597883597884,-0.318817204301075,-0.240740740740741,0,0.355555555555556,-0.278787878787879,-0.233333333333333,-0.2,0.354623655913978,-0.25,-0.416613026819923,0.440476190476191,0.397006472491909,-0.433333333333333,-0.433333333333333,-0.3,-0.275091693635383,-0.25,-0.241111111111111,-0.2,-0.196666666666667,-0.15,-0.2,-0.1,-0.341346153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.1,-0.30045954045954,-0.321645021645022,0,0.2,-0.1,0.253333333333333,0.302857142857143
"Ecadherin",-0.410263654722346,-0.395364733650624,-0.368059127864006,-0.33830303030303,0.335681143718387,-0.307636363636364,-0.128084864208038,-0.114602519563463,-0.105159420289855,-0.297916666666667,-0.345270828041656,-0.387894591763603,-0.266666666666667,-0.360835768234192,-0.362164502164502,-0.281818181818182,-0.336190476190476,-0.328877005347594,-0.302857142857143,-0.374105004913811,-0.344201312316116,-0.432381713951875,-0.26,0.297140178152836,-0.400649465648911,-0.374255413604301,-0.342296650717703,0.618747668320839,-0.294547260088472,-0.488354699392825,0.387474460156024,0.601738985428124,-0.377925647684866,-0.377925647684866,-0.376563863075302,-0.409668163699935,-0.353897196408636,-0.393981889190131,-0.326310989512084,-0.375675538007067,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.409446902095604,-0.390452488687783,-0.390452488687783,-0.390452488687783,-0.296078431372549,-0.358808570227653,-0.427543909038778,0.2,0.233333333333333,-0.266666666666667,0.324798387096774,0.347876263205316
"cateninmemb",-0.410263654722346,-0.395364733650624,-0.368059127864006,-0.33830303030303,0.335681143718387,-0.307636363636364,-0.128084864208038,-0.114602519563463,-0.105159420289855,-0.297916666666667,-0.345270828041656,-0.387894591763603,-0.266666666666667,-0.360835768234192,-0.362164502164502,-0.281818181818182,-0.336190476190476,-0.328877005347594,-0.302857142857143,-0.374105004913811,-0.344201312316116,-0.432381713951875,-0.26,0.297140178152836,-0.400649465648911,-0.374255413604301,-0.342296650717703,0.5228385860064,-0.294547260088472,-0.488354699392825,0.387474460156024,0.602812079281865,-0.377925647684866,-0.377925647684866,-0.376563863075302,-0.409668163699935,-0.353897196408636,-0.393981889190131,-0.326310989512084,-0.375675538007067,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.409446902095604,-0.390452488687783,-0.390452488687783,-0.390452488687783,-0.296078431372549,-0.358808570227653,-0.427543909038778,0.2,0.233333333333333,-0.266666666666667,0.324798387096774,0.347876263205316
"miR200",-0.116581738045153,-0.143043297589103,-0.124438646426312,-0.100245098039216,0.21694968648209,-0.0708333333333333,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0458333333333333,-0.0691822601357549,-0.105819418676562,-0.0325,-0.0806493506493507,-0.0727706057596822,-0.0142857142857143,-0.0557894736842105,-0.0442857142857143,-0.0357894736842105,-0.113281131623112,-0.0997082547082547,-0.22778397471649,-0.02,0.34836093857833,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.406960753020097,-0.114294003868472,-0.314833511931918,0.302769938560132,0.440074037349581,-0.369587813620072,-0.369587813620072,-0.306709178145798,-0.336494338217231,-0.28912676056338,-0.324221610944503,-0.268,-0.309539071261964,-0.291561543172076,-0.24,-0.270434782608696,-0.281013520542311,-0.262809031764256,-0.262809031764256,-0.262809031764256,-0.24,-0.316640370817004,-0.34124135524529,0,0.02,-0.2,0.0572257383966245,0.080955773562146
"GSK3",-0.228783366776023,-0.25851626987364,-0.244926526283896,-0.226459627329193,-0.0265472059123072,-0.185507246376812,-0.084025719614788,-0.0823100485129313,-0.0722650710016869,-0.119417679095098,-0.142017262269431,-0.194444611975572,-0.10974025974026,-0.172853702884663,-0.182382110226938,-0.096078431372549,-0.168706896551724,-0.140522875816993,-0.149166666666667,-0.190374251743876,-0.125383263517743,-0.266278844989381,-0.124166666666667,0.339253323800431,-0.248141368435486,-0.232816693110811,-0.213935574229692,0.407306077695447,-0.166407810378315,-0.403432885798281,0.370631227657728,0.475618232412069,-0.365395271373342,-0.365395271373342,-0.341214231472132,-0.370078687028529,-0.32234630694383,-0.35744710808116,-0.304699248120301,-0.341151471393716,-0.322580042822287,-0.286842105263158,-0.304699248120301,-0.184397298458999,-0.167800659803536,-0.167800659803536,-0.167800659803536,-0.286842105263158,-0.0257434791464473,-0.379363697585336,0.0866666666666667,0.0954545454545455,-0.25,0.128620133082828,0.153941058941059
"RKIP",-0.27736516357206,-0.304663996439697,-0.24952380952381,-0.206666666666667,0.127226162332545,-0.2,-0.159581881533101,-0.154744912873829,-0.153754813863928,-0.14,-0.208590163934426,-0.213873807776963,-0.1,-0.173448275862069,-0.143668831168831,-0.17,-0.0982142857142857,-0.17,-0.0857142857142857,-0.256392998625596,-0.208244976738681,-0.362240047534165,-0.1,0.316021042563367,-0.201320901320901,-0.147474747474747,-0.111111111111111,0.468064703358821,-0.0533968253968254,-0.618219385673486,0.362764484309021,0.533433213807597,-0.354021042563367,-0.354021042563367,-0.316153846153846,-0.368817856845177,-0.27,-0.344644828855355,-0.2,-0.314574898785425,-0.268421052631579,-0.1,-0.2,-0.0758186258186258,-0.0305194805194805,-0.0305194805194805,-0.0305194805194805,-0.1,-0.037275746535548,-0.334739803094233,0.1,0.1,0,0.184,0.215686274509804
"KLF4",-0.383032533440882,-0.368059127864006,-0.33830303030303,-0.307636363636364,0.322436110605804,-0.263636363636364,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.266666666666667,-0.324798387096774,-0.360835768234192,-0.233333333333333,-0.328877005347594,-0.336190476190476,-0.2,-0.302857142857143,-0.281818181818182,-0.26,-0.354196538094589,-0.323948147759154,-0.407986928104575,-0.2,0.262962962962963,-0.374255413604301,-0.342296650717703,-0.305454545454545,0.592081001654172,-0.28138936535163,-0.464333025702278,0.355258445258445,0.671456609576128,-0.346646026831785,-0.346646026831785,-0.353897196408636,-0.393981889190131,-0.326310989512084,-0.375675538007067,-0.296078431372549,-0.353267511251214,-0.326310989512084,-0.266666666666667,-0.296078431372549,-0.390452488687783,-0.366923076923077,-0.366923076923077,-0.366923076923077,-0.266666666666667,-0.34659980974303,-0.40259545543053,0.1,0.2,-0.233333333333333,0.297916666666667,0.319037311894455
"AKT",-0.0491735436151354,-0.0716334268140975,-0.0634763271162123,-0.0366470588235294,0.0350688141010722,0.00735294117647059,-0.0498152100056417,-0.0496194405034741,-0.040528531412565,-0.091025641025641,-0.0920782726045884,-0.123452219651089,-0.0833333333333333,-0.101933232309317,-0.125138260432378,-0.0380952380952381,-0.014027149321267,-0.0675070028011205,0.00392156862745098,-0.128622632740792,-0.0532538471783323,-0.0733670001902557,0.0333333333333333,0.257506747638327,-0.180434848393149,-0.171898263027295,-0.155769230769231,0.260788020672159,-0.10491452991453,-0.194991027347561,0.282470637991371,0.281903372751164,-0.277286631002252,-0.277286631002252,-0.25825476604199,-0.278132229453762,-0.250992196209588,-0.268439921761454,-0.246376811594203,-0.258336828977949,-0.250992196209588,-0.233333333333333,-0.246376811594203,-0.0895005833688785,-0.0834764869833363,-0.0834764869833363,-0.0834764869833363,-0.233333333333333,0.0219438753293071,-0.296739556472408,-0.0333333333333333,0.05,-0.2,0.091025641025641,0.0796485483825637
