"","FOXC2","TGF","TGFR","CDC42","PAK1","KLF4","miR200","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","cateninmemb","SOSGRB2","SNAI2","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","GLI","Wnt","cateninnuc","TCFLEF","Frizzled","CD44","cMet","DSH","SRC","STAT","ZEB2","ZEB1","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,0.331728778467909,0.233529558750037,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.228397471649005,-0.0325,-0.02,-0.113281131623112,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.406567052232695,-0.114294003868472,-0.314833511931918,0.438405213385084,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.226551407215886,-0.306709178145798,-0.28912676056338,-0.336342823065715,-0.324221610944503,-0.268,-0.309539071261964,-0.291561543172076,-0.24,-0.270434782608696,-0.24,-0.342912186379928,-0.342912186379928,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,0.153492733239569,-0.104748830726484,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.437381604410852,-0.266666666666667,-0.26,-0.373647339009921,-0.404198310166598,-0.376317269274404,-0.342296650717703,0.613743399779985,-0.295863049562156,-0.488234290000893,0.590905843453118,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.364221000454174,-0.375897196408636,-0.353897196408636,-0.407598474600151,-0.392565794861588,-0.326310989512084,-0.375006641685997,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.198276084691796,-0.198276084691796,-0.427131537904757,0.2,0.233333333333333,-0.266666666666667,-0.352304963367961,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,0.153492733239569,-0.104748830726484,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.437381604410852,-0.266666666666667,-0.26,-0.373647339009921,-0.404198310166598,-0.376317269274404,-0.342296650717703,0.517840714357109,-0.295863049562156,-0.488234290000893,0.592009034853746,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.364221000454174,-0.375897196408636,-0.353897196408636,-0.407598474600151,-0.392565794861588,-0.326310989512084,-0.375006641685997,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.198276084691796,-0.198276084691796,-0.427131537904757,0.2,0.233333333333333,-0.266666666666667,-0.352304963367961,0.324798387096774,0.359011578754757
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,0.137037037037037,-0.103072853072853,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.26,-0.266666666666667,-0.412614379084967,-0.233333333333333,-0.2,-0.354196538094589,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.588486989523575,-0.28138936535163,-0.464333025702278,0.662473516286614,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.348106210167198,-0.353897196408636,-0.326310989512084,-0.392565794861588,-0.375006641685997,-0.296078431372549,-0.353267511251214,-0.326310989512084,-0.266666666666667,-0.296078431372549,-0.266666666666667,-0.185479876160991,-0.185479876160991,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341494152557151,0.297916666666667,0.328674500103071
"TrCP",-0.418865840701293,-0.434834500118975,-0.40751209574739,-0.371148459383754,-0.314285714285714,0.143235493104346,-0.0766744784361984,-0.427007614836649,-0.329203880920143,-0.28,-0.385674281503316,-0.336521739130435,-0.100476967398654,-0.106900494965011,-0.0933521078682369,-0.167153837401149,-0.176486354775828,-0.152412280701754,-0.120833333333333,-0.1321044546851,-0.361151891586674,-0.10952380952381,-0.0833333333333333,-0.204389059304703,-0.22040293040293,-0.195128205128205,-0.162820512820513,0.484143203761813,-0.212252475247525,-0.524530111238972,0.530610417017944,-0.341555270543793,-0.313373452361975,-0.313373452361975,-0.313373452361975,0.306350649350649,-0.345502781343603,-0.319649122807018,-0.387178285831068,-0.368695527210379,-0.293333333333333,-0.346102934617786,-0.32036036036036,-0.26,-0.293333333333333,-0.26,-0.165802995312973,-0.165802995312973,-0.384365957183134,0.0333333333333333,0.0761904761904762,-0.2,-0.344387854144351,0.148153837401149,0.342405311079344
"SUFU",-0.501374086366768,-0.594843604148023,-0.564271612037569,-0.52490990990991,-0.481666666666667,0.138685743267563,-0.0768842860677095,-0.46393708516966,-0.413039411282953,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.366317908817909,-0.296304742237628,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.341309449683809,-0.290833333333333,-0.192857142857143,-0.27860197188861,-0.387135642135642,-0.360151515151515,-0.323787878787879,0.441408716824323,-0.297570850202429,-0.51169601442347,0.478429010675084,-0.43076647623439,-0.407665210411605,-0.407665210411605,-0.407665210411605,0.373686430301708,-0.393078194007562,-0.36965811965812,-0.326035721795031,-0.308797870132627,-0.338888888888889,-0.288960913610888,-0.265652642934196,-0.3,-0.235555555555556,-0.196666666666667,-0.157763275479864,-0.157763275479864,-0.424586291057154,0.15,0.253333333333333,-0.15,-0.342703061822861,0.34739898989899,0.422042920260888
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,0.120946915351506,-0.0538602219778174,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.369964349376114,-0.1,-0.1,-0.254242460991188,-0.21041181041181,-0.156565656565657,-0.111111111111111,0.449213919802155,-0.0613968253968254,-0.616226030191758,0.502770962398081,-0.0911449661449661,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.161544523246651,-0.312307692307692,-0.27,-0.358231369541132,-0.336602870813397,-0.2,-0.310728744939271,-0.268421052631579,-0.1,-0.2,-0.1,-0.134946915351506,-0.134946915351506,-0.332208157524613,0.1,0.1,0,-0.0152651304424209,0.184,0.226050420168067
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,0.0666666666666667,-0.0785714285714286,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.240740740740741,-0.3,0,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,0.342616487455197,-0.25,-0.413946360153257,0.369242179072276,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.305128205128205,-0.3,-0.25,-0.265652642934196,-0.235555555555556,-0.2,-0.196666666666667,-0.15,-0.2,-0.1,-0.1,-0.116666666666667,-0.116666666666667,-0.321645021645022,0,0.2,-0.1,-0.296063936063936,0.253333333333333,0.302857142857143
"GSK3",-0.239082329339367,-0.264910017518713,-0.250807453416149,-0.236521739130435,-0.203188405797101,0.0644333268770341,-0.0385476807758193,-0.209686258873565,-0.144649076347762,-0.119607843137255,-0.190368077055384,-0.164052287581699,-0.0885482716696657,-0.0852439580349821,-0.0763983808235878,-0.139748393616862,-0.187130857648099,-0.174310344827586,-0.161666666666667,-0.116191872643486,-0.266738097260317,-0.10974025974026,-0.136666666666667,-0.182687991329513,-0.245919766508002,-0.231634052222288,-0.218347338935574,0.375566578666413,-0.162939204867736,-0.392357639879408,0.425797987198701,-0.20038443776712,-0.182947462977204,-0.182947462977204,-0.182947462977204,0.0133068923535362,-0.325337599455539,-0.306941373040444,-0.351223061834201,-0.340302009202622,-0.290601503759398,-0.325253033245365,-0.307157795150127,-0.276315789473684,-0.290601503759398,-0.276315789473684,-0.0794368284929153,-0.0794368284929153,-0.364296566546174,0.0866666666666667,0.0954545454545455,-0.25,-0.000401405211977413,0.125394326631216,0.174805720595194
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,-0.0411764705882353,0.0381818181818182,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.217941176470588,0,0.1,0.147009803921569,0.192857142857143,0.142857142857143,0.1,-0.305423728813559,0.0939393939393939,0.330086206896552,-0.357841594544978,0.14606971975393,0.118796992481203,0.118796992481203,0.118796992481203,-0.0695141065830721,0.276315789473684,0.25,0.307157795150127,0.290601503759398,0.3,0.276315789473684,0.25,0.2,0.2,0.1,0.0533715925394548,0.0533715925394548,0.303636363636364,-0.1,0,0,-0.031747069537197,-0.0954545454545455,-0.12
