"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","Destcompl","TrCP","SUFU","LIV1","Patched","RKIP"
"GSK3",-0.467103182673652,-0.480846626140744,-0.442343952343952,-0.394195804195804,-0.326923076923077,-0.447376373626374,-0.394749241451745,-0.393626373626374,-0.285714285714286,-0.342857142857143,-0.119771254500138,-0.121255649446393,-0.105713127452258,-0.187705524572707,-0.292175141242938,-0.261666666666667,-0.411982564464565,-0.226666666666667,-0.143939393939394,-0.116666666666667,-0.237408022171604,-0.193333333333333,-0.345060412224591,-0.311727078891258,-0.271428571428571,-0.187906234931939,-0.629711937047706,-0.629711937047706,0.576015037593985,-0.579095330392693,0.5808133759314,-0.487317340246237,-0.443109302421178,-0.443109302421178,-0.443109302421178,0.667283870075448,0.641244417670475,0.508558413264296,-0.455607630977198,-0.399605638026691,-0.430731656491018,-0.364990253411306,-0.400620132327449,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.434063962678207,-0.488909069413386,0.133333333333333,0.0833333333333333,-0.2,0.163504611330698,0.405839490968801
"TrCP",-0.445937821481768,-0.465145442792502,-0.426683904330963,-0.378991596638655,-0.314285714285714,-0.442488769546037,-0.367076630592087,-0.389064112011791,-0.28,-0.336521739130435,-0.100476967398654,-0.108384787606799,-0.0933521078682369,-0.181765944131536,-0.189750910294604,-0.157675438596491,-0.397672619047619,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.231710855740824,-0.0833333333333333,-0.245759147219821,-0.212051282051282,-0.17051282051282,-0.225728822882288,-0.608371882086168,-0.608371882086168,0.554936507936508,-0.568227272727273,0.568899338989156,-0.399086369504637,-0.356875314228255,-0.356875314228255,-0.356875314228255,0.653423464139243,0.619369726586705,0.405950079789128,-0.443614820700991,-0.393895528181242,-0.421165841109154,-0.363283283283283,-0.394829207445788,-0.364259259259259,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.430341815450679,-0.483400693413332,0.0333333333333333,0.0761904761904762,-0.2,0.159543721909313,0.365430412944447
"SUFU",-0.529358169527377,-0.617749340743727,-0.581001011122346,-0.535652173913044,-0.487826086956522,-0.484814934927757,-0.460295007557047,-0.446135689644738,-0.353846153846154,-0.402233250620347,-0.159821048190522,-0.158976562030356,-0.146916260522818,-0.367133588102488,-0.311044417767107,-0.281632653061224,-0.361364697764661,-0.242857142857143,-0.322261904761905,-0.290833333333333,-0.282184482184482,-0.192857142857143,-0.396919702797316,-0.365915335985089,-0.32615629984051,-0.299143754909662,-0.594704706999717,-0.594704706999717,0.526272158038628,-0.52117547734086,0.471836073453049,-0.47870144414972,-0.446134394341291,-0.446134394341291,-0.446134394341291,0.533448836621724,0.60545749738495,0.49701780969093,-0.339806754457533,-0.399385690446391,-0.318572634675319,-0.371885690446391,-0.294793107116264,-0.267366946778712,-0.337843137254902,-0.234033613445378,-0.296666666666667,-0.192857142857143,-0.428261378261378,-0.495128575817578,0.15,0.253333333333333,-0.15,0.346472431077694,0.457470538644179
"RKIP",-0.415882352941176,-0.437748917748918,-0.375844155844156,-0.327272727272727,-0.3,-0.333617463617464,-0.346808510638298,-0.293076923076923,-0.17,-0.27,-0.165204678362573,-0.166140159767611,-0.159967320261438,-0.20955710955711,-0.176719576719577,-0.128571428571429,-0.46344298245614,-0.1,-0.133333333333333,-0.1,-0.261223973395026,-0.1,-0.223558897243108,-0.161654135338346,-0.114285714285714,-0.0619047619047619,-0.441873638344227,-0.441873638344227,0.393725490196078,-0.650509944495837,0.50989010989011,-0.243058943089431,-0.182083333333333,-0.182083333333333,-0.182083333333333,0.578882802404629,0.450116959064327,0.378814409484724,-0.426989322552221,-0.3525,-0.394785932721713,-0.2875,-0.351666666666667,-0.286666666666667,-0.2,-0.2,-0.1,-0.1,-0.364246682279469,-0.426975638740345,0.1,0.1,0,0.178787878787879,0.344304993252362
"Patched",-0.397368421052632,-0.487826086956522,-0.44,-0.4,-0.3,-0.353846153846154,-0.34717868338558,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.244,-0.1,-0.333333333333333,-0.3,-0.201318681318681,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,-0.440217391304348,-0.440217391304348,0.355555555555556,-0.412777777777778,0.352063492063492,-0.368390804597701,-0.316666666666667,-0.316666666666667,-0.316666666666667,0.397666666666667,0.446296296296296,0.375151515151515,-0.267366946778712,-0.296666666666667,-0.234033613445378,-0.25,-0.192857142857143,-0.15,-0.2,-0.1,-0.2,-0.1,-0.319047619047619,-0.394992983798954,0,0.2,-0.1,0.253333333333333,0.313846153846154
"Ecadherin",-0.448804027833534,-0.422223320158103,-0.389723320158103,-0.352766798418972,-0.313636363636364,-0.419076502914609,-0.414590229619356,-0.382512626262626,-0.281818181818182,-0.338068181818182,-0.13090692880926,-0.120075116488017,-0.107945736434109,-0.340870598550925,-0.387333333333333,-0.354,-0.449259301085388,-0.31,-0.295698924731183,-0.266666666666667,-0.365715432470399,-0.26,-0.409359570811853,-0.37989898989899,-0.344343434343434,-0.295382485682861,-0.433404309293263,-0.433404309293263,0.336308719232374,-0.483340485473148,0.618574342364424,-0.46061868834435,-0.434193817878028,-0.434193817878028,-0.434193817878028,0.61276035685168,0.441620417832299,0.478477424803222,-0.399597612553883,-0.363804071246819,-0.382070669842596,-0.341666666666667,-0.362777591786631,-0.340938511326861,-0.316666666666667,-0.316666666666667,-0.291666666666667,-0.291666666666667,-0.416462315394256,-0.479528376670809,0.2,0.233333333333333,-0.266666666666667,0.320698924731183,0.405009458106153
"cateninmemb",-0.448804027833534,-0.422223320158103,-0.389723320158103,-0.352766798418972,-0.313636363636364,-0.419076502914609,-0.414590229619356,-0.382512626262626,-0.281818181818182,-0.338068181818182,-0.13090692880926,-0.120075116488017,-0.107945736434109,-0.340870598550925,-0.387333333333333,-0.354,-0.449259301085388,-0.31,-0.295698924731183,-0.266666666666667,-0.365715432470399,-0.26,-0.409359570811853,-0.37989898989899,-0.344343434343434,-0.295382485682861,-0.433404309293263,-0.433404309293263,0.336308719232374,-0.483340485473148,0.522728558391787,-0.46061868834435,-0.434193817878028,-0.434193817878028,-0.434193817878028,0.613839440308181,0.441620417832299,0.478477424803222,-0.399597612553883,-0.363804071246819,-0.382070669842596,-0.341666666666667,-0.362777591786631,-0.340938511326861,-0.316666666666667,-0.316666666666667,-0.291666666666667,-0.291666666666667,-0.416462315394256,-0.479528376670809,0.2,0.233333333333333,-0.266666666666667,0.320698924731183,0.405009458106153
"KLF4",-0.414229559748428,-0.389723320158103,-0.352766798418972,-0.313636363636364,-0.263636363636364,-0.382512626262626,-0.385269841269841,-0.338068181818182,-0.2,-0.281818181818182,-0.112335500237831,-0.107945736434109,-0.0916666666666667,-0.320698924731183,-0.354,-0.31,-0.42112077294686,-0.26,-0.266666666666667,-0.233333333333333,-0.345715432470399,-0.2,-0.37989898989899,-0.344343434343434,-0.305454545454545,-0.281907308377897,-0.389294720252167,-0.389294720252167,0.287372549019608,-0.457874646963831,0.589119796909879,-0.434193817878028,-0.403492063492063,-0.403492063492063,-0.403492063492063,0.678157527689547,0.39612685560054,0.449455342784295,-0.382070669842596,-0.341666666666667,-0.362777591786631,-0.316666666666667,-0.340938511326861,-0.316666666666667,-0.291666666666667,-0.291666666666667,-0.266666666666667,-0.266666666666667,-0.393028440684279,-0.456915311344176,0.1,0.2,-0.233333333333333,0.295698924731183,0.366412966878083
"miR200",-0.121473493798977,-0.146837577126859,-0.125864932749959,-0.100245098039216,-0.0708333333333333,-0.108308925117436,-0.113754038552936,-0.0806493506493507,-0.0142857142857143,-0.0442857142857143,-0.0134180790960452,-0.0166076591449093,-0.00989839396919043,-0.0688279483413759,-0.0742360756259581,-0.0557894736842105,-0.230045140121162,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.111674525620188,-0.02,-0.130431250540143,-0.111133004926108,-0.0869950738916256,-0.114294003868472,-0.374180662934329,-0.374180662934329,0.349832096147048,-0.313182013501674,0.405858608440768,-0.29597652217912,-0.272560544217687,-0.272560544217687,-0.272560544217687,0.440797771811911,0.306718524215539,0.268103979593341,-0.332102304051282,-0.304497326203209,-0.320734923491151,-0.288588235294118,-0.307302087670255,-0.291023017902813,-0.268,-0.270434782608696,-0.24,-0.24,-0.339947974730583,-0.378063059033715,0,0.02,-0.2,0.0572257383966245,0.0881364157451818
"ZEB2",-0.240957223785344,-0.227851403554648,-0.220887615253812,-0.20962000962001,-0.194805194805195,-0.167912942734194,-0.167687429290663,-0.159736842105263,-0.158333333333333,-0.153070175438596,-0.146449792038027,-0.139323542501113,-0.137142857142857,-0.131190476190476,-0.130079642579643,-0.128156565656566,-0.127962962962963,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111136126099545,-0.111111111111111,-0.101087286834555,-0.0965929048120829,-0.0897435897435897,-0.0691456582633053,-0.0540643566602659,-0.0540643566602659,-0.04941829004329,-0.0488578092988935,-0.042134748847939,-0.0259622000910784,-0.019040959040959,-0.019040959040959,-0.019040959040959,0.00680421718681319,0.017812817524356,0.0248777523946792,0.0441904310274442,0.0481462448843264,0.0490825173583794,0.0544877082989606,0.0551431234189855,0.061547064305685,0.0623824451410658,0.0696551724137931,0.0727272727272727,0.08,0.0886027389369699,0.0962002812739566,0.1,0.1,0.1,0.126560846560847,0.181811463181559
