"","FOXC2","TGF","SNAI1","TWIST1","HEY1","SHH","Csn","ILK","SMAD","SMO","Jagged","KLF4","AKT","NFB","FUS","IKK","NOTCH","EGR1","NOTCHic","Csl","cateninmemb","MEK","SNAI2","cfos","ERK","miR200","ZEB2","ZEB1","Ecadherin","GSK3","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","RKIP","PAK1","CDC42","TGFR","SOSGRB2"
"TGF",-0.486273291925466,-0.509603174603175,-0.364694850603942,-0.431296296296296,-0.136041263700838,-0.172887931034483,-0.233333333333333,-0.104242424242424,-0.0977908113391985,-0.13,-0.25311119293078,0.479150775489448,-0.258145363408521,-0.233333333333333,-0.113333333333333,-0.247619047619048,-0.327816091954023,-0.133333333333333,-0.293333333333333,-0.253333333333333,0.504895813393479,-0.178964076858814,-0.50168391266957,-0.147619047619048,-0.163408521303258,0.527073118452429,-0.517332593671266,-0.517332593671266,0.574229331956246,0.360360948032181,-0.310714285714286,-0.260714285714286,-0.260714285714286,-0.260714285714286,-0.342264150943396,-0.419656495441004,-0.28,-0.385685203574975,-0.342264150943396,-0.28,-0.2,-0.2,-0.1,0.133333333333333,-0.1,-0.356084656084656,0.154137931034483,0.2,0,-0.180510097044069,0.34025974025974,0.26,0.315555555555556,0.363174603174603,0.265789473684211
"TrCP",-0.338413326642684,-0.376253929291538,-0.199374322142214,-0.323319593450028,0.0455411999882412,-0.0574466063605849,0.0333333333333333,0.0498634579279741,0.0563150708311999,-0.0368663594470046,-0.138901883094751,0.465372365339578,-0.0454678362573099,0.00833333333333333,-0.0142857142857143,-0.0232456140350877,-0.144322344322344,0.04,-0.117948717948718,-0.0794871794871795,0.53379772973327,-0.0608076639646279,-0.537170239905156,0.00956521739130435,-0.0328076639646279,0.512906439302378,-0.49967639898076,-0.49967639898076,0.591119376490345,0.303244588744589,-0.234674168755948,-0.208765077846857,-0.208765077846857,-0.208765077846857,-0.383629534540959,-0.42294480550882,-0.359727095516569,-0.405703426198476,-0.385333055828105,-0.360580580580581,-0.328148148148148,-0.328148148148148,-0.28,-0.019047619047619,-0.28,-0.423121417727794,0.0504466063605848,-0.0333333333333333,-0.2,-0.378694557971693,0.189178740228464,0.257142857142857,0.310084033613445,0.349477973007385,0.145792079207921
"SUFU",-0.402277744502439,-0.51588849834349,-0.268184269190033,-0.277886196945328,0.0812860615898856,-0.19015756015756,-0.0857142857142857,0.0962621607782898,0.10018825777598,-0.163333333333333,-0.169195355489749,0.408936225908838,-0.12603127074268,-0.0977142857142857,-0.146666666666667,-0.109252747252747,-0.281313131313131,-0.136923076923077,-0.259090909090909,-0.234090909090909,0.436999993742732,-0.179254387090044,-0.494523810247368,-0.146013986013986,-0.160956514749618,0.463802044005096,-0.44787338142651,-0.44787338142651,0.46331300562468,0.354209192435924,-0.335322691315392,-0.315385982454633,-0.315385982454633,-0.315385982454633,-0.396403266291742,-0.321919359384316,-0.375213675213675,-0.308773579333165,-0.293012709767947,-0.271208198489752,-0.344444444444444,-0.241111111111111,-0.3,0.146666666666667,-0.196666666666667,-0.428808418869126,0.180505050505051,0.1,-0.15,-0.347969022939227,0.273175304486056,0.436666666666667,0.463693693693694,0.492417097949013,0.242479450374187
"Patched",-0.335,-0.436666666666667,-0.216129032258065,-0.200925925925926,0.0743589743589744,-0.146666666666667,0,0.0833333333333333,0.0933333333333333,-0.266666666666667,-0.112804232804233,0.333333333333333,-0.0857142857142857,-0.1,-0.3,-0.1,-0.209090909090909,-0.1,-0.2,-0.2,0.349068100358423,-0.136923076923077,-0.41127969348659,-0.1,-0.16,0.395238095238095,-0.383333333333333,-0.383333333333333,0.374244875943905,0.295604395604396,-0.263461538461538,-0.238461538461538,-0.238461538461538,-0.238461538461538,-0.3,-0.271208198489752,-0.25,-0.241111111111111,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,0.2,-0.1,-0.321645021645022,0.146666666666667,0,-0.1,-0.298261738261738,0.22,0.3,0.4,0.42,0.233333333333333
"miR200",-0.115849137312552,-0.142461902240266,-0.0956641506641507,-0.227170477783975,0.00336158192090395,-0.0575972298660796,-0.02,0.00812848246476565,0.0109497990791857,-0.0458333333333333,-0.105957420282906,0.34836093857833,-0.0689970208540218,-0.0357894736842105,-0.0325,-0.0557894736842105,-0.127517185717069,-0.0142857142857143,-0.111133004926108,-0.0869950738916256,0.406960753020097,-0.08856524427953,-0.314833511931918,-0.0442857142857143,-0.0715584415584416,0.302258429608725,-0.368893369175627,-0.368893369175627,0.439630250367333,0.226551407215886,-0.278024723877257,-0.261316494450823,-0.261316494450823,-0.261316494450823,-0.306709178145798,-0.336645853368746,-0.28912676056338,-0.324221610944503,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,0.02,-0.24,-0.34124135524529,0.052162447257384,0,-0.2,-0.315503569275578,0.0797287796971153,0.0708333333333333,0.100245098039216,0.124438646426312,0.00398452611218568
"Ecadherin",-0.394692882603533,-0.383118390717032,-0.315132772693982,-0.42281396282908,0.0190210263483063,-0.261647510795022,-0.26,0.0616811594202899,0.0648288591781591,-0.239583333333333,-0.328943757786179,0.287107360525082,-0.312910052910053,-0.283809523809524,-0.233333333333333,-0.298624338624339,-0.373122421694795,-0.245454545454545,-0.353419819464312,-0.33177033492823,0.616640547799084,-0.296111509271,-0.486505444183177,-0.268983957219251,-0.282386019074921,0.370971980636785,-0.360316126949657,-0.360316126949657,0.593242974107037,0.36014952053484,-0.395120094879379,-0.377801659125189,-0.377801659125189,-0.377801659125189,-0.377230529741969,-0.409496723886551,-0.353897196408636,-0.394650785511201,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,0.233333333333333,-0.296078431372549,-0.427956280172798,0.251411290322581,0.2,-0.266666666666667,-0.353637560332742,0.320337981975221,0.307636363636364,0.335636363636364,0.360514412416851,0.0600689115584845
"cateninmemb",-0.394692882603533,-0.383118390717032,-0.315132772693982,-0.42281396282908,0.0190210263483063,-0.261647510795022,-0.26,0.0616811594202899,0.0648288591781591,-0.239583333333333,-0.328943757786179,0.287107360525082,-0.312910052910053,-0.283809523809524,-0.233333333333333,-0.298624338624339,-0.373122421694795,-0.245454545454545,-0.353419819464312,-0.33177033492823,0.520731152748308,-0.296111509271,-0.486505444183177,-0.268983957219251,-0.282386019074921,0.370971980636785,-0.360316126949657,-0.360316126949657,0.594310279166986,0.36014952053484,-0.395120094879379,-0.377801659125189,-0.377801659125189,-0.377801659125189,-0.377230529741969,-0.409496723886551,-0.353897196408636,-0.394650785511201,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,0.233333333333333,-0.296078431372549,-0.427956280172798,0.251411290322581,0.2,-0.266666666666667,-0.353637560332742,0.320337981975221,0.307636363636364,0.335636363636364,0.360514412416851,0.0600689115584845
"RKIP",-0.268803418803419,-0.298282153983089,-0.173530348965304,-0.353903743315508,-0.086566008517228,-0.144590163934426,-0.1,-0.0721758664955071,-0.0652451734262001,-0.1,-0.214182634004366,0.322907699665232,-0.100865800865801,-0.0857142857142857,-0.1,-0.0857142857142857,-0.172999222999223,-0.17,-0.138383838383838,-0.111111111111111,0.472321901733667,-0.08995597945708,-0.621728157603311,-0.07,-0.066551724137931,0.359452292624737,-0.348907699665232,-0.348907699665232,0.531848977851509,0.158707643814027,-0.0523559773559774,-0.00876623376623377,-0.00876623376623377,-0.00876623376623377,-0.32,-0.375461213488534,-0.27,-0.351288185498712,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,0.1,-0.1,-0.337271448663854,0.12,0.1,0,-0.0227081076332972,0.181932773109244,0.2,0.22,0.258095238095238,0.23231746031746
"GSK3",-0.20508140574236,-0.239782200832042,-0.0905634198404674,-0.250453849886592,0.0190172660653951,-0.0639506309447043,-0.0716666666666667,0.0329543751680859,0.0355031008052673,-0.0575338639854769,-0.132617142194913,0.315855653756352,-0.120156203949307,-0.0966666666666667,-0.0510822510822511,-0.111609195402299,-0.20672112201524,-0.0211764705882353,-0.194513329807447,-0.17703081232493,0.399568271453924,-0.0827651012558133,-0.397261634597585,-0.0545098039215686,-0.0748105558012679,0.343900007404702,-0.338150224112445,-0.338150224112445,0.458929328374062,0.0125115808084795,-0.16729471579914,-0.15384933764788,-0.15384933764788,-0.15384933764788,-0.341955471364315,-0.366999525969157,-0.325917735515259,-0.356144262811263,-0.342341947584192,-0.326151471393716,-0.308270676691729,-0.308270676691729,-0.286842105263158,0.0272727272727273,-0.286842105263158,-0.381315504825048,0.0606013486480536,0.0466666666666667,-0.25,-0.012756744276118,0.114823159296844,0.176811594202899,0.210144927536232,0.227218098267939,0.094975162859451
"KLF4",-0.37341141807264,-0.360514412416851,-0.300575810668665,-0.401398692810458,0.0183498854087089,-0.251411290322581,-0.2,0.0573333333333333,0.0616811594202899,-0.233333333333333,-0.314527281813639,0.259259259259259,-0.298624338624339,-0.26,-0.233333333333333,-0.283809523809524,-0.353419819464312,-0.2,-0.33177033492823,-0.305454545454545,0.591384137542674,-0.282386019074921,-0.463687864411955,-0.245454545454545,-0.268983957219251,0.345832315832316,-0.336145510835913,-0.336145510835913,0.666368582675683,0.345800734662875,-0.377801659125189,-0.357948717948718,-0.357948717948718,-0.357948717948718,-0.353897196408636,-0.394650785511201,-0.326310989512084,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,0.2,-0.266666666666667,-0.40259545543053,0.239583333333333,0.1,-0.233333333333333,-0.341987979717644,0.301236858379716,0.263636363636364,0.307636363636364,0.335636363636364,0.0495425957690109
