"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","FUS","Csn","TWIST1","Jagged","cateninmemb","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","Ecadherin","ZEB2","ZEB1","SNAI2","GSK3","RAS","RAF","PI3K","DELTA","miR200","GLI","Wnt","cateninnuc","TCFLEF","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","Destcompl","RKIP"
"SOSGRB2",0.367155067155067,0.386998675083781,0.343736263736264,0.301428571428571,0.271428571428571,0.276190476190476,0.359400959400959,0.323037323037323,0.30952380952381,0.35163184079602,0.261647727272727,0.259196932100158,0.252903225806452,0.294049863817306,0.288888888888889,0.304678362573099,0.338011695906433,0.233333333333333,0.2,0.3,0.388695652173913,0.342034507883522,-0.42765562965563,0.388397517974983,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,-0.466435488727647,0.400588972431078,0.400588972431078,0.619458175107242,-0.302529099387444,0.317557583659279,0.27909604519774,0.27909604519774,0.27909604519774,-0.410651126415904,0.30036231884058,0.258333333333333,0.351830386507461,0.329077040427155,0.298550724637681,0.2,0.256521739130435,0.1,0.2,-0.2,-0.2,0.1,0,0.31924504950495,-0.268468468468469,-0.0594361268857913,-0.381834795321637
"MEK",0.326543917923228,0.349179863500076,0.313413440142412,0.267619047619048,0.22,0.17,0.171000244558572,0.227666911225238,0.187241379310345,0.23474638054159,0.163218245169465,0.165950203144554,0.156725110893631,0.217065466623808,0.110714285714286,0.156168831168831,0.180874713521772,0.184,0.14,0.0857142857142857,0.384684074095839,0.258778722321404,-0.440032645886304,0.232646510018773,0.202719502719503,0.156565656565657,0.0880634920634921,-0.369918699186992,-0.478655783309991,0.407584432146842,0.407584432146842,0.62652890927029,-0.173223320031831,0.106449661449661,0.0769258519258519,0.0769258519258519,0.0769258519258519,-0.416556665978429,0.315734265734266,0.288461538461538,0.349052439428384,0.332695562104964,0.313102686786897,0.25,0.28582995951417,0.2,0.247368421052632,-0.1,-0.1,0.2,0.1,0.344032640235172,-0.202032786885246,0.0147820068648222,-0.252366209641751
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.3,0.415,0.385,0.325,0.373019670388091,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.2,0.266666666666667,0.26,0.15,0.1,0.2,0.346227106227106,0.182470862470862,-0.0952564102564103,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,-0.207144718271632,0.420634920634921,0.420634920634921,0.425361305361305,-0.219642857142857,0.198095238095238,0.166666666666667,0.166666666666667,0.166666666666667,-0.431699604743083,0.01,-0.05,0.094221824686941,0.0588372093023256,0.01,-0.1,0.05,0,0,-0.1,-0.1,0.1,0.1,-0.03,-0.15,-0.173131070610062,-0.423703703703704
"Csn",0.229764353618477,0.250892108876649,0.230605712695265,0.194708276797829,0.145454545454545,0.106666666666667,0.229069264069264,0.204069264069264,0.161212121212121,0.142848864162328,0.0753737541528239,0.0803051834347241,0.0687370600414079,0.121335207480104,0.155,0.175833333333333,0.191033333333333,0.0963924963924964,0.0873015873015873,0.105,0.258087891538102,0.158200509910354,-0.337223556499644,0.236402486402486,0.217171717171717,0.18989898989899,0.153649256312695,-0.394652014652015,-0.381032469494016,0.426504549214227,0.426504549214227,0.384527991533598,-0.115836045852966,0.196600874615432,0.174527937955164,0.174527937955164,0.174527937955164,-0.435008646556517,0.317089590102618,0.296565572635369,0.347304440158926,0.334496262167345,0.317454461524258,0.271264367816092,0.296565572635369,0.233333333333333,0.271264367816092,-0.18,-0.0428571428571429,0.233333333333333,0.2,0.348118114573497,-0.108220453381744,0.0068186929286719,-0.164449499197186
"STAT",0.194651670074983,0.18390743822666,0.17183014354067,0.153409090909091,0.140909090909091,0.2,0.191258697027198,0.185882352941176,0.18,0.126669862128012,0.0586666666666667,0.0626631128880004,0.0615136876006441,0.0448381011181999,0.02,0.0247619047619048,0.0264568200161421,0.0316666666666667,0.025,0,0.0476023892815497,0.0427210242430597,0.00552964057656457,0.0065651030813795,-0.0021727609962904,-0.0156862745098039,-0.025615763546798,-0.320845712022183,-0.122961933380293,0.430957504034427,0.430957504034427,0.0632848784889314,0.0728348909657321,-0.0666787804155402,-0.0763802729528536,-0.0763802729528536,-0.0763802729528536,-0.44729163250441,-0.0316080977845684,-0.0425324675324675,-0.0170637202088005,-0.0229040062636277,-0.0314213564213564,-0.0607142857142857,-0.0425324675324675,-0.0857142857142857,-0.0607142857142857,0,0,-0.0857142857142857,0,-0.0874368768486415,-0.0386434108527132,-0.0992594110754225,-0.154179536679537
"ERK",0.349962721342032,0.373355687675901,0.349179863500076,0.313413440142412,0.267619047619048,0.187241379310345,0.200248155422082,0.171000244558572,0.227666911225238,0.254885269430479,0.175163637660932,0.176284549649113,0.165950203144554,0.232524403821876,0.156168831168831,0.180874713521772,0.201058199760304,0.202032786885246,0.184,0.110714285714286,0.4047950311,0.274140168104536,-0.461743777441042,0.255638199769465,0.232646510018773,0.202719502719503,0.112335336723686,-0.401701644923426,-0.501141193539995,0.435773408524795,0.435773408524795,0.649071740649911,-0.190752838651268,0.129001916675184,0.106449661449661,0.106449661449661,0.106449661449661,-0.445968430684311,0.335032511348301,0.315734265734266,0.36196910609505,0.349052439428384,0.332695562104964,0.288461538461538,0.313102686786897,0.25,0.28582995951417,-0.0857142857142857,-0.14,0.247368421052632,0.2,0.36891068901566,-0.217065466623808,0.0262438633097677,-0.275485986800526
"cMet",0.402800632911392,0.402009456264775,0.372222222222222,0.35,0.3,0.325,0.420454545454546,0.415,0.385,0.401833229710125,0.21781905744754,0.21034632034632,0.197619047619048,0.202272727272727,0.266666666666667,0.26,0.2725,0.15,0.15,0.2,0.381058566901263,0.212905645079558,-0.134758189615841,0.275779875219965,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,-0.245058204276721,0.458008658008658,0.458008658008658,0.466237217770064,-0.248675115207373,0.232057502246181,0.198095238095238,0.198095238095238,0.198095238095238,-0.467637104743083,0.06,0.01,0.1196455535005,0.094221824686941,0.0588372093023256,-0.05,0.01,-0.1,0.05,-0.2,-0.1,0,0.1,0.0192063492063492,-0.177272727272727,-0.148806746285738,-0.453333333333333
"Jagged",0.302857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.1,0.286666666666667,0.22,0.2,0.241666666666667,0.166666666666667,0.0714285714285714,0.0666666666666667,0.106410256410256,0,0.0333333333333333,0.0888888888888889,0.0333333333333333,0,0,0.26,0.138787878787879,-0.345439912200476,0.217142857142857,0.16,0.1,0.12,-0.405555555555556,-0.393964912280702,0.46207729468599,0.46207729468599,0.389316239316239,-0.200383141762452,0.214545454545455,0.16,0.16,0.16,-0.472121212121212,0.213846153846154,0.16,0.280712620712621,0.253240093240093,0.213846153846154,0.1,0.16,0,0.1,0,0,0,0,0.231428571428571,-0.0833333333333333,0.247861003861004,-0.235897435897436
"DELTA",0.302857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.1,0.286666666666667,0.22,0.2,0.241666666666667,0.166666666666667,0.0714285714285714,0.0666666666666667,0.106410256410256,0,0.0333333333333333,0.0888888888888889,0.0333333333333333,0,0,0.26,0.138787878787879,-0.345439912200476,0.217142857142857,0.16,0.1,0.12,-0.405555555555556,-0.393964912280702,0.46207729468599,0.46207729468599,0.389316239316239,-0.200383141762452,0.214545454545455,0.16,0.16,0.16,-0.472121212121212,0.213846153846154,0.16,0.280712620712621,0.253240093240093,0.213846153846154,0.1,0.16,0,0.1,0,0,0,0,0.231428571428571,-0.0833333333333333,0.247861003861004,-0.235897435897436
"SRC",0.396050420168067,0.383755411255411,0.360119047619048,0.345833333333333,0.333333333333333,0.3,0.329369163331427,0.316161616161616,0.327272727272727,0.295839936617475,0.126804038397881,0.113934329065908,0.109429824561404,0.0850326797385621,0.15,0.157692307692308,0.163247863247863,0.0533333333333333,0.0333333333333333,0.15,0.233476064165719,0.0891778405081158,-0.0337415806017063,0.152142857142857,0.134285714285714,0.12,0.00285714285714286,-0.354328165374677,-0.174948858331211,0.47730607966457,0.47730607966457,0.171611482546077,-0.131168831168831,0.192910076990177,0.171697955778056,0.171697955778056,0.171697955778056,-0.490115649246084,-0.00713114754098361,-0.035,0.0278172891917059,0.0123810475809676,-0.00713114754098361,-0.075,-0.035,-0.1,-0.075,-0.1,-0.0333333333333333,0,0,-0.0669492966126907,-0.0644444444444444,-0.111619684663163,-0.398957315086347
