"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","cfos","EGR1","HEY1","SMAD","ILK","IKK","AKT","TWIST1","NFB","SHH","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","RAS","KLF4","cateninmemb","RAF","PI3K","DELTA","Ecadherin","miR200","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","DSH","GSK3","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP","Destcompl"
"SUFU",-0.621744102179035,-0.744915583344579,-0.685225660863959,-0.61613475177305,-0.541666666666667,-0.550659340659341,-0.513138746285443,-0.496813186813187,-0.431428571428571,-0.36,-0.178939393939394,-0.180766741183144,-0.161386896221903,-0.311515151515151,-0.352255892255892,-0.545259592208977,-0.26,-0.463088768115942,-0.383333333333333,-0.337179487179487,-0.434624272866247,-0.193333333333333,-0.516109969167523,-0.460714285714286,-0.396428571428571,-0.365079365079365,-0.628503853090671,-0.628503853090671,-0.798715476539029,-0.564032641591007,0.541143380429095,0.698022535086367,-0.505277777777778,-0.505277777777778,-0.505277777777778,0.68266769925665,0.63912343687166,-0.736195298833037,-0.67515339622828,-0.711120599122301,-0.609693786200425,-0.640698063911034,-0.538470764617691,-0.564426877470356,-0.462608695652174,-0.481818181818182,0.373128389792834,-0.38,-0.724511944755506,0.133333333333333,0.283333333333333,-0.3,0.423958333333333,0.503886693017128,-0.338332983607229
"TrCP",-0.445089315864118,-0.484299003322259,-0.434299003322259,-0.380299003322259,-0.312857142857143,-0.429123376623377,-0.330904242074754,-0.378214285714286,-0.332380952380952,-0.28,-0.102053981719941,-0.11030921030921,-0.0944361944361944,-0.147916666666667,-0.177328431372549,-0.448614486001923,-0.116666666666667,-0.206704519645696,-0.142857142857143,-0.10952380952381,-0.290824078013809,-0.0833333333333333,-0.273330725091288,-0.226851851851852,-0.175,-0.238183994528044,-0.584025345230925,-0.584025345230925,-0.676840952047894,-0.439495129121685,0.535703978561121,0.650262355543435,-0.378499278499279,-0.378499278499279,-0.378499278499279,0.689448828848707,0.59579805609902,-0.62595012959863,-0.574102425231329,-0.513725814624461,-0.516761705009722,-0.451309707241911,-0.453748006379585,-0.381818181818182,-0.381818181818182,-0.3,0.273005565862709,-0.3,-0.536421169448569,0.0333333333333333,0.0761904761904762,-0.2,0.172586872586873,0.331980495123781,-0.196072796934866
"Ecadherin",-0.631804927099045,-0.630460719530103,-0.560416666666667,-0.483333333333333,-0.4,-0.538129869544137,-0.581088479430451,-0.466958698372966,-0.388235294117647,-0.3,-0.2075,-0.200207415089448,-0.173891625615764,-0.458741258741259,-0.524366258741259,-0.704961638511152,-0.381818181818182,-0.552971014492754,-0.441666666666667,-0.375,-0.661261743575573,-0.3,-0.625285714285714,-0.556952380952381,-0.480952380952381,-0.413369963369963,-0.546907056607954,-0.546907056607954,-0.801931562555891,-0.695335159067864,0.348917748917749,0.913341028396618,-0.633309842612168,-0.633309842612168,-0.633309842612168,0.834055977129373,0.551418301550281,-0.824428649705845,-0.761589940028426,-0.696395473416365,-0.695659340659341,-0.626929824561403,-0.626428571428571,-0.555,-0.555,-0.48,0.439535826492348,-0.48,-0.717281298484306,0.2,0.3,-0.4,0.501666666666667,0.53625,-0.415664745493719
"cateninmemb",-0.631804927099045,-0.630460719530103,-0.560416666666667,-0.483333333333333,-0.4,-0.538129869544137,-0.581088479430451,-0.466958698372966,-0.388235294117647,-0.3,-0.2075,-0.200207415089448,-0.173891625615764,-0.458741258741259,-0.524366258741259,-0.704961638511152,-0.381818181818182,-0.552971014492754,-0.441666666666667,-0.375,-0.661261743575573,-0.3,-0.625285714285714,-0.556952380952381,-0.480952380952381,-0.413369963369963,-0.546907056607954,-0.546907056607954,-0.801931562555891,-0.695335159067864,0.348917748917749,0.813597791768358,-0.633309842612168,-0.633309842612168,-0.633309842612168,0.834093313388953,0.551418301550281,-0.824428649705845,-0.761589940028426,-0.696395473416365,-0.695659340659341,-0.626929824561403,-0.626428571428571,-0.555,-0.555,-0.48,0.439535826492348,-0.48,-0.717281298484306,0.2,0.3,-0.4,0.501666666666667,0.53625,-0.415664745493719
"KLF4",-0.562393162393162,-0.560416666666667,-0.483333333333333,-0.4,-0.3,-0.466958698372966,-0.525642934875995,-0.388235294117647,-0.3,-0.2,-0.17,-0.173891625615764,-0.142857142857143,-0.381818181818182,-0.458741258741259,-0.637189126662811,-0.3,-0.501666666666667,-0.375,-0.3,-0.603814935064935,-0.2,-0.556952380952381,-0.480952380952381,-0.4,-0.37051282051282,-0.473050847457627,-0.473050847457627,-0.730660844323847,-0.633309842612168,0.277489177489178,0.839603654659244,-0.5656330749354,-0.5656330749354,-0.5656330749354,0.859082945845662,0.475783783783784,-0.761589940028426,-0.695659340659341,-0.626929824561403,-0.626428571428571,-0.555,-0.555,-0.48,-0.48,-0.4,0.394081281037803,-0.4,-0.645351473922902,0.1,0.2,-0.3,0.441666666666667,0.4675,-0.38960840746555
"Patched",-0.429230769230769,-0.541666666666667,-0.466666666666667,-0.4,-0.3,-0.36,-0.373182957393484,-0.3,-0.2,-0.1,-0.112121212121212,-0.126666666666667,-0.106666666666667,-0.133333333333333,-0.193333333333333,-0.343137254901961,-0.1,-0.337179487179487,-0.333333333333333,-0.3,-0.276666666666667,0,-0.325,-0.25,-0.2,-0.25,-0.441666666666667,-0.441666666666667,-0.574313725490196,-0.377777777777778,0.342857142857143,0.475618073316283,-0.3,-0.3,-0.3,0.466536203522505,0.446198830409357,-0.538470764617691,-0.462608695652174,-0.481818181818182,-0.38,-0.4,-0.3,-0.3,-0.2,-0.2,0.25,-0.1,-0.486666666666667,0,0.2,-0.1,0.283333333333333,0.327777777777778,-0.253333333333333
"GSK3",-0.257064961473473,-0.301227881097858,-0.273751245583839,-0.247435456110155,-0.202857142857143,-0.209977446160772,-0.145351835526611,-0.181914205054052,-0.153758865248227,-0.113333333333333,-0.0896857052412608,-0.0874957436957847,-0.0766849328849739,-0.169047619047619,-0.187025147137507,-0.329450028090384,-0.154761904761905,-0.171729006610621,-0.131244019138756,-0.115454545454545,-0.247757356514234,-0.133333333333333,-0.28607354919631,-0.259429950580393,-0.233766233766234,-0.188838717158215,-0.368726989885957,-0.368726989885957,-0.506823215919965,-0.257396376832716,0.336374089305793,0.491038625350307,-0.220907224958949,-0.220907224958949,-0.220907224958949,0.523383116115486,0.37309674945201,-0.522572256724851,-0.491557113707465,-0.456081956686664,-0.456634252557395,-0.417937626789757,-0.41865515848074,-0.378114617940199,-0.378114617940199,-0.333928571428571,-0.0178853586501519,-0.333928571428571,-0.489308870793835,0.0866666666666667,0.0954545454545455,-0.271428571428571,0.148974515592657,0.163700564681197,0.0529913360693115
"RKIP",-0.289653092006033,-0.319838709677419,-0.265,-0.22,-0.2,-0.222125100240577,-0.196134172732638,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156847597369083,-0.153754813863928,-0.110714285714286,-0.152649769585253,-0.389101504055437,-0.0857142857142857,-0.212813559322034,-0.14,-0.1,-0.278874883286648,-0.1,-0.21489898989899,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.362745098039216,-0.362745098039216,-0.667820994794679,-0.0946078431372549,0.329411764705882,0.510354603529794,-0.0446078431372549,-0.0446078431372549,-0.0446078431372549,0.552308195069676,0.372246707540825,-0.477946445035695,-0.42622230710466,-0.366161616161616,-0.365508021390374,-0.288888888888889,-0.288235294117647,-0.2,-0.2,-0.1,0.0550769230769231,-0.1,-0.374608695652174,0.1,0.1,0,0.184,0.209775495822007,0.121666666666667
"miR200",-0.111608391608392,-0.150327209098863,-0.123555555555556,-0.0955555555555555,-0.0666666666666667,-0.0919013830518255,-0.0803500754193014,-0.0662376662376662,-0.0365079365079365,-0.0142857142857143,-0.0133712660028449,-0.0158884473460119,-0.00961538461538462,-0.0472401433691756,-0.0644815226795205,-0.253905188503173,-0.0311111111111111,-0.083457595526561,-0.0497413793103448,-0.0325,-0.144328584295423,-0.02,-0.144068959363077,-0.118194833488951,-0.0887830687830688,-0.121923824329576,-0.351750538256371,-0.351750538256371,-0.37937836643225,-0.30770288782947,0.333200515645142,0.451688122105234,-0.274369554496137,-0.274369554496137,-0.274369554496137,0.45836872180678,0.284976375320858,-0.435535319200347,-0.409169523475882,-0.37411934470758,-0.379689754689755,-0.340295815295815,-0.34484126984127,-0.301010101010101,-0.305555555555556,-0.255555555555556,0.105433591483213,-0.255555555555556,-0.407462121212121,0,0.02,-0.2,0.065957595526561,0.0560813564848781,-0.197078768909755
"ZEB2",-0.248040914217385,-0.233261161873386,-0.226197964847364,-0.214893617021277,-0.2,-0.176549652118912,-0.175442759829501,-0.170098039215686,-0.16421568627451,-0.158333333333333,-0.147338559659846,-0.141124646240925,-0.138161683277962,-0.133675213675214,-0.133675213675214,-0.13336064354086,-0.131111111111111,-0.130483856700575,-0.120168067226891,-0.114285714285714,-0.11178382446231,-0.111111111111111,-0.102170745920746,-0.097275641025641,-0.091025641025641,-0.067756469826251,-0.0636660842138614,-0.0636660842138614,-0.0523013904489426,-0.0391282051282051,-0.0387848801372716,-0.03790023999209,-0.0306666666666667,-0.0306666666666667,-0.0306666666666667,0.0105464004421751,0.0274960492620151,0.0327172464714652,0.0427381232981875,0.0458327662645634,0.0541964566315209,0.0565245901639344,0.0650244821092279,0.068,0.0768888888888889,0.08,0.0818210050818746,0.0888888888888889,0.0915153753809216,0.1,0.1,0.1,0.124168067226891,0.192498057498058,0.227700440245509
