"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","AXIN2","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.437288147864631,-0.459043770179828,-0.424029764577587,-0.378991596638655,-0.314285714285714,-0.341984673357092,-0.437712760660439,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108287172803302,-0.0933521078682369,-0.183161812361575,-0.186647401213314,-0.396469769930444,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.237720363079615,-0.245384615384615,-0.212051282051282,-0.17051282051282,-0.225728822882288,-0.599520779971908,-0.599520779971908,0.552085268267086,-0.578006364147187,0.576773185910519,-0.377821178349539,-0.342541372996741,-0.342541372996741,-0.342541372996741,0,0.653988975902618,0.611541394702016,0.321773448674164,-0.466241322990897,-0.403498231900242,-0.437942202756293,-0.366814814814815,-0.404608869422959,-0.328148148148148,-0.367874175545408,-0.328148148148148,-0.28,-0.28,0.0333333333333333,0.0761904761904762,-0.2,-0.365858597554574,0.159543721909313,0.351401186384237
"SUFU",-0.508854861659476,-0.607562097476208,-0.570034982508746,-0.524057971014493,-0.479130434782609,-0.416962227687758,-0.462952427704591,-0.353846153846154,-0.425915390667554,-0.389330024813896,-0.158563186555301,-0.156012670365496,-0.145564909171467,-0.378528390648753,-0.298203194321207,-0.364173701298701,-0.26921768707483,-0.23452380952381,-0.327976190476191,-0.290833333333333,-0.192857142857143,-0.303024075479318,-0.401372184839735,-0.368324974539306,-0.32615629984051,-0.303621366849961,-0.562799113950856,-0.562799113950856,0.5001306873445,-0.549654175669222,0.49221107504877,-0.449153605015674,-0.420062695924765,-0.420062695924765,-0.420062695924765,0,0.537302582971916,0.573959983855158,0.36782900491053,-0.383734655126505,-0.434231826877092,-0.358487992329058,-0.402524509803922,-0.330718644832852,-0.362941176470588,-0.299031402034498,-0.260084033613445,-0.31,-0.207142857142857,0.15,0.253333333333333,-0.15,-0.326580577152046,0.356397243107769,0.423277238293762
"Patched",-0.386842105263158,-0.479130434782609,-0.44,-0.4,-0.3,-0.315203761755486,-0.353846153846154,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.244,-0.15,-0.1,-0.333333333333333,-0.3,0,-0.209010989010989,-0.278787878787879,-0.233333333333333,-0.2,-0.25,-0.431521739130435,-0.431521739130435,0.355555555555556,-0.428253968253968,0.364444444444444,-0.344827586206897,-0.3,-0.3,-0.3,0,0.399666666666667,0.438888888888889,0.284415584415584,-0.299031402034498,-0.31,-0.260084033613445,-0.25,-0.207142857142857,-0.2,-0.15,-0.1,-0.2,-0.1,0,0.2,-0.1,-0.271189388997608,0.253333333333333,0.298461538461538
"Ecadherin",-0.420373792076653,-0.408868973295203,-0.37485257985258,-0.338636363636364,-0.30530303030303,-0.354434905089478,-0.390779244409157,-0.281818181818182,-0.358901515151515,-0.325568181818182,-0.129478357380688,-0.116314919882786,-0.106395348837209,-0.357900343384214,-0.366935251798561,-0.453460749354633,-0.336,-0.3,-0.302150537634409,-0.266666666666667,-0.26,-0.396841701491935,-0.414631500187056,-0.382121212121212,-0.344343434343434,-0.299637804831797,-0.382735790020545,-0.382735790020545,0.296227561447114,-0.518276324255411,0.645846527382371,-0.429353598308822,-0.403980463980464,-0.403980463980464,-0.403980463980464,0,0.618586856121258,0.391662772152368,0.348102736043913,-0.452446938893326,-0.408243713215623,-0.431244753100976,-0.379404761904762,-0.40735347985348,-0.344166666666667,-0.378782051282051,-0.344166666666667,-0.304166666666667,-0.304166666666667,0.2,0.233333333333333,-0.266666666666667,-0.332204850291411,0.33396871945259,0.353529403850552
"cateninmemb",-0.420373792076653,-0.408868973295203,-0.37485257985258,-0.338636363636364,-0.30530303030303,-0.354434905089478,-0.390779244409157,-0.281818181818182,-0.358901515151515,-0.325568181818182,-0.129478357380688,-0.116314919882786,-0.106395348837209,-0.357900343384214,-0.366935251798561,-0.453460749354633,-0.336,-0.3,-0.302150537634409,-0.266666666666667,-0.26,-0.396841701491935,-0.414631500187056,-0.382121212121212,-0.344343434343434,-0.299637804831797,-0.382735790020545,-0.382735790020545,0.296227561447114,-0.518276324255411,0.549875501601356,-0.429353598308822,-0.403980463980464,-0.403980463980464,-0.403980463980464,0,0.619650243312602,0.391662772152368,0.348102736043913,-0.452446938893326,-0.408243713215623,-0.431244753100976,-0.379404761904762,-0.40735347985348,-0.344166666666667,-0.378782051282051,-0.344166666666667,-0.304166666666667,-0.304166666666667,0.2,0.233333333333333,-0.266666666666667,-0.332204850291411,0.33396871945259,0.353529403850552
"GSK3",-0.245411075038291,-0.275184010192706,-0.257584010192706,-0.239726867335563,-0.203188405797101,-0.146679098377809,-0.212052643667427,-0.119607843137255,-0.190769844833608,-0.164052287581699,-0.088661602511328,-0.0859500379568461,-0.076498818444651,-0.14875364936958,-0.190030635388105,-0.283519448740449,-0.17562015503876,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.136666666666667,-0.20143863119222,-0.258084510399905,-0.239999404016926,-0.222268907563025,-0.169217076293682,-0.381780025225883,-0.381780025225883,0.353613663364178,-0.420817131543841,0.423629860463007,-0.213411479467922,-0.192364835554383,-0.192364835554383,-0.192364835554383,0,0.490058868545765,0.387161535638085,0.0107248309173582,-0.393929317552757,-0.357613721982472,-0.377934979265425,-0.333968401785428,-0.35767107728616,-0.310478468899522,-0.334287992709045,-0.310478468899522,-0.286842105263158,-0.286842105263158,0.0866666666666667,0.0954545454545455,-0.25,0.0012634545582997,0.131763358107444,0.175181933193603
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.219662572996585,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.1,-0.258543536260005,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.372663797226208,-0.372663797226208,0.332663797226208,-0.625341531085238,0.475882273250694,-0.0935827216261999,-0.050974025974026,-0.050974025974026,-0.050974025974026,0,0.543314330360812,0.380952950808151,0.15712141971684,-0.38267674213031,-0.32,-0.353172825681224,-0.27,-0.318421052631579,-0.2,-0.268421052631579,-0.2,-0.1,-0.1,0.1,0.1,0,-0.00916295058405757,0.184,0.226050420168067
"miR200",-0.11545267271063,-0.142516695829378,-0.123822333811573,-0.100245098039216,-0.0708333333333333,-0.0975197548797886,-0.104787281683833,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0165229996474239,-0.00989839396919043,-0.0697940444075534,-0.0719799498746867,-0.229157554316752,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.115777777196912,-0.129990147783251,-0.111133004926108,-0.0869950738916256,-0.114294003868472,-0.368245233512406,-0.368245233512406,0.347776811594203,-0.31946989714882,0.410734685404347,-0.281236546298106,-0.261659826721386,-0.261659826721386,-0.261659826721386,0,0.441071592668062,0.301534914361001,0.212937057494102,-0.346056952539079,-0.311081861958266,-0.331336952539079,-0.290857142857143,-0.313981580638252,-0.268,-0.293291925465838,-0.270434782608696,-0.24,-0.24,0,0.02,-0.2,-0.299219180477625,0.0572257383966245,0.0788234427702414
"KLF4",-0.386692329935661,-0.37485257985258,-0.338636363636364,-0.30530303030303,-0.263636363636364,-0.328453596678263,-0.358901515151515,-0.2,-0.325568181818182,-0.281818181818182,-0.112335500237831,-0.106395348837209,-0.0916666666666667,-0.33396871945259,-0.336,-0.422952274778362,-0.3,-0.26,-0.266666666666667,-0.233333333333333,-0.2,-0.372791068580542,-0.382121212121212,-0.344343434343434,-0.305454545454545,-0.281907308377897,-0.346886733416771,-0.346886733416771,0.259607843137255,-0.488283094736115,0.613657686180654,-0.403980463980464,-0.374065934065934,-0.374065934065934,-0.374065934065934,0,0.682849504129869,0.355087719298246,0.329488017429194,-0.431244753100976,-0.379404761904762,-0.40735347985348,-0.344166666666667,-0.378782051282051,-0.304166666666667,-0.344166666666667,-0.304166666666667,-0.266666666666667,-0.266666666666667,0.1,0.2,-0.233333333333333,-0.319736656907187,0.302150537634409,0.319623824451411
"ZEB2",-0.240490163801453,-0.227720313246541,-0.219861234655755,-0.207532467532468,-0.194805194805195,-0.167061313200641,-0.166172525100086,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138943106491711,-0.137102615694165,-0.131844780678727,-0.129606918238994,-0.127752356417019,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.111079263766272,-0.101382632100864,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0530686948118141,-0.0530686948118141,-0.0514757172651909,-0.0488591453161288,-0.0423238832613039,-0.0249376833653189,-0.0190016103059581,-0.0190016103059581,-0.0190016103059581,0,0.00641854633143355,0.0162349056244405,0.019599576622585,0.0439112212769326,0.0481834517683574,0.0493557422969188,0.0529004329004329,0.0552380952380952,0.0593939393939394,0.06,0.0666666666666667,0.0727272727272727,0.08,0.1,0.1,0.1,0.105519017048032,0.127735191637631,0.181564119900834
