"","TGF","FOXC2","TGFR","SNAI2","CDC42","cateninnuc","AXIN2","TWIST1","MEK","TCFLEF","RAS","PAK1","GLI","CD44","SNAI1","RAF","PI3K","DELTA","ERK","Wnt","NOTCH","cMet","Destcompl","Jagged","NOTCHic","Frizzled","SRC","cfos","Csl","SOSGRB2","DSH","AKT","STAT","SHH","IKK","EGR1","SMO","NFB","HEY1","SMAD","FUS","ILK","LIV1","Csn","ZEB2","ZEB1","KLF4","miR200","TrCP","SUFU","Patched","RKIP","GSK3","cateninmemb","Ecadherin"
"TrCP",-0.434834500118975,-0.418865840701293,-0.40751209574739,-0.524530111238972,-0.371148459383754,-0.387178285831068,-0.384365957183134,-0.361151891586674,-0.427007614836649,-0.368695527210379,-0.341555270543793,-0.314285714285714,-0.345502781343603,-0.346102934617786,-0.329203880920143,-0.313373452361975,-0.313373452361975,-0.313373452361975,-0.385674281503316,-0.319649122807018,-0.22040293040293,-0.32036036036036,-0.344387854144351,-0.204389059304703,-0.195128205128205,-0.293333333333333,-0.293333333333333,-0.336521739130435,-0.162820512820513,-0.212252475247525,-0.26,-0.176486354775828,-0.26,-0.167153837401149,-0.152412280701754,-0.28,-0.1321044546851,-0.120833333333333,-0.100476967398654,-0.106900494965011,-0.10952380952381,-0.0933521078682369,-0.2,-0.0833333333333333,-0.593440750507698,-0.593440750507698,0.54928077023159,0.605905663295929,0.0333333333333333,0.0761904761904762,0.148153837401149,0.342405311079344,0.306350649350649,0.484143203761813,0.530748825322442
"SUFU",-0.594843604148023,-0.501374086366768,-0.564271612037569,-0.511827853579699,-0.52490990990991,-0.326409762715747,-0.424586291057154,-0.341309449683809,-0.46393708516966,-0.309069609263062,-0.43076647623439,-0.481666666666667,-0.393078194007562,-0.288960913610888,-0.413039411282953,-0.407665210411605,-0.407665210411605,-0.407665210411605,-0.431171127722852,-0.36965811965812,-0.387135642135642,-0.265652642934196,-0.342809388244977,-0.27860197188861,-0.360151515151515,-0.338888888888889,-0.235555555555556,-0.393240093240093,-0.323787878787879,-0.297570850202429,-0.3,-0.296304742237628,-0.196666666666667,-0.366317908817909,-0.271472527472527,-0.353846153846154,-0.324166666666667,-0.236857142857143,-0.158132769971429,-0.155646065920967,-0.290833333333333,-0.145253456221198,-0.15,-0.192857142857143,-0.563019944050366,-0.563019944050366,0.503944842555326,0.574847595712333,0.15,0.253333333333333,0.34739898989899,0.422042920260888,0.373686430301708,0.44191758195093,0.479270004666899
"Patched",-0.481666666666667,-0.39,-0.44,-0.413946360153257,-0.4,-0.265652642934196,-0.321645021645022,-0.240740740740741,-0.353846153846154,-0.235555555555556,-0.347596153846154,-0.3,-0.3,-0.196666666666667,-0.325268817204301,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.3,-0.25,-0.278787878787879,-0.15,-0.296063936063936,-0.203597883597884,-0.233333333333333,-0.2,-0.1,-0.2,-0.2,-0.25,-0.2,-0.192857142857143,-0.1,-0.290833333333333,-0.15,-0.1,-0.333333333333333,-0.1,-0.105128205128205,-0.12,-0.3,-0.1,-0.1,0,-0.433333333333333,-0.433333333333333,0.355555555555556,0.440476190476191,0,0.2,0.253333333333333,0.302857142857143,0.305128205128205,0.342616487455197,0.369242179072276
"Ecadherin",-0.402404884196795,-0.41924629790368,-0.373652623798965,-0.488354699392825,-0.340969696969697,-0.408034281965853,-0.427131537904757,-0.437381604410852,-0.39515555800577,-0.392814860864079,-0.42128849734995,-0.307636363636364,-0.375897196408636,-0.375006641685997,-0.358866098743407,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.364959479574398,-0.353897196408636,-0.404198310166598,-0.353267511251214,-0.352398160012882,-0.373647339009921,-0.376317269274404,-0.326310989512084,-0.326310989512084,-0.328877005347594,-0.342296650717703,-0.295863049562156,-0.296078431372549,-0.368465608465608,-0.296078431372549,-0.345270828041656,-0.33989417989418,-0.281818181818182,-0.297916666666667,-0.302857142857143,-0.128084864208038,-0.115086781064673,-0.266666666666667,-0.105159420289855,-0.266666666666667,-0.26,-0.388638186629104,-0.388638186629104,0.30464135021097,0.39776370329443,0.2,0.233333333333333,0.324798387096774,0.359011578754757,0.364221000454174,0.614348242092144,0.592092058939887
"cateninmemb",-0.402404884196795,-0.41924629790368,-0.373652623798965,-0.488354699392825,-0.340969696969697,-0.408034281965853,-0.427131537904757,-0.437381604410852,-0.39515555800577,-0.392814860864079,-0.42128849734995,-0.307636363636364,-0.375897196408636,-0.375006641685997,-0.358866098743407,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.364959479574398,-0.353897196408636,-0.404198310166598,-0.353267511251214,-0.352398160012882,-0.373647339009921,-0.376317269274404,-0.326310989512084,-0.326310989512084,-0.328877005347594,-0.342296650717703,-0.295863049562156,-0.296078431372549,-0.368465608465608,-0.296078431372549,-0.345270828041656,-0.33989417989418,-0.281818181818182,-0.297916666666667,-0.302857142857143,-0.128084864208038,-0.115086781064673,-0.266666666666667,-0.105159420289855,-0.266666666666667,-0.26,-0.388638186629104,-0.388638186629104,0.30464135021097,0.39776370329443,0.2,0.233333333333333,0.324798387096774,0.359011578754757,0.364221000454174,0.518446000492882,0.59319765092795
"GSK3",-0.264910017518713,-0.239082329339367,-0.250807453416149,-0.392357639879408,-0.236521739130435,-0.351288851307886,-0.364296566546174,-0.266738097260317,-0.209686258873565,-0.340302009202622,-0.20038443776712,-0.203188405797101,-0.325337599455539,-0.325253033245365,-0.144649076347762,-0.182947462977204,-0.182947462977204,-0.182947462977204,-0.190368077055384,-0.306941373040444,-0.245919766508002,-0.307157795150127,-0.000401405211977413,-0.182687991329513,-0.231634052222288,-0.290601503759398,-0.290601503759398,-0.164052287581699,-0.218347338935574,-0.162939204867736,-0.276315789473684,-0.187130857648099,-0.276315789473684,-0.139748393616862,-0.174310344827586,-0.119607843137255,-0.116191872643486,-0.161666666666667,-0.0885482716696657,-0.0852439580349821,-0.10974025974026,-0.0763983808235878,-0.25,-0.136666666666667,-0.381651930167409,-0.381651930167409,0.354253216887437,0.387153375912356,0.0866666666666667,0.0954545454545455,0.125394326631216,0.174805720595194,0.0133068923535362,0.375654995996209,0.426105288747091
"RKIP",-0.320890075656431,-0.296006483937518,-0.267619047619048,-0.616226030191758,-0.22,-0.358231369541132,-0.332208157524613,-0.369964349376114,-0.227666911225238,-0.336602870813397,-0.0911449661449661,-0.2,-0.312307692307692,-0.310728744939271,-0.22073762506942,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.187241379310345,-0.27,-0.21041181041181,-0.268421052631579,-0.0152651304424209,-0.254242460991188,-0.156565656565657,-0.2,-0.2,-0.17,-0.111111111111111,-0.0613968253968254,-0.1,-0.156168831168831,-0.1,-0.208590163934426,-0.110714285714286,-0.17,-0.14,-0.0857142857142857,-0.159581881533101,-0.156725110893631,-0.1,-0.153754813863928,0,-0.1,-0.372663797226208,-0.372663797226208,0.332663797226208,0.380952950808151,0.1,0.1,0.184,0.226050420168067,0.161544523246651,0.449213919802155,0.502770962398081
"miR200",-0.0741499713163585,-0.0612438509999486,-0.0660104364326376,-0.182676033984842,-0.0595588235294118,-0.150265073984739,-0.185170162405775,-0.139911193101377,-0.058126159554731,-0.14617416489383,-0.169218142931993,-0.0458333333333333,-0.139353660424083,-0.139824958544624,-0.0525539275539275,-0.161986222732491,-0.161986222732491,-0.161986222732491,-0.0479220779220779,-0.133859154929577,-0.0600016698672456,-0.134206981016534,-0.175673734350907,-0.0423262686805722,-0.0515270935960591,-0.124,-0.124347826086957,-0.0342857142857143,-0.0446305418719212,-0.0583462282398453,-0.12,-0.0413817562774862,-0.12,-0.0358989176297927,-0.0338345864661654,-0.0142857142857143,-0.0266666666666667,-0.0252631578947368,-0.0084180790960452,-0.00980684682240984,-0.02,-0.00635857096034087,-0.1,-0.02,-0.342912186379928,-0.342912186379928,0.333316080055211,0.27862201252315,0,0.02,0.030464135021097,0.0424147842394429,0.102535190582771,0.180775300447358,0.0975478736541096
"ZEB2",-0.386298357726929,-0.371934731934732,-0.363017934446506,-0.349302418816814,-0.333766233766234,-0.309185467224756,-0.308365118680738,-0.307694451396692,-0.299112454622,-0.295549103588392,-0.291887149253316,-0.288311688311688,-0.280811146040504,-0.277943469785575,-0.277774189308533,-0.27025974025974,-0.27025974025974,-0.27025974025974,-0.266185625353707,-0.263379953379953,-0.263019756200084,-0.260350877192982,-0.248045712317836,-0.24713351508568,-0.240615384615385,-0.24030303030303,-0.236666666666667,-0.230701754385965,-0.217948717948718,-0.214981684981685,-0.213636363636364,-0.212328660436137,-0.21,-0.202751029458346,-0.190833333333333,-0.183333333333333,-0.173571428571429,-0.170833333333333,-0.166348973607038,-0.162203030566136,-0.153571428571429,-0.151837176907599,-0.15,-0.133333333333333,-0.12528000038373,-0.12528000038373,-0.00095319840197301,0.0849470583331751,0.1,0.125,0.188205574912892,0.28,0.340976892798098,0.381280459945193,0.425503904564867
"Destcompl",0.0229260342975666,0.0549090591695193,0.0277536205044631,-0.239658391533951,0.0272273047149894,-0.194744623205408,-0.244778682272315,-0.0442371281843714,0.0512389816726816,-0.193826724174301,-0.00221740429312648,0.0210204081632653,-0.19295259271524,-0.192319874859233,0.0930263640063337,0.000137383775947303,0.000137383775947303,0.000137383775947303,0.0529267453857618,-0.189056488819136,-0.062563191404352,-0.188588531575651,-0.0242628486977058,-0.190174477315883,-0.0571523697610654,-0.18311589475973,-0.18311589475973,0.0534731934731935,-0.0549784567175871,-0.0622669800230309,-0.181746031746032,0.0443091221614712,-0.181746031746032,-0.122025619247915,0.0496782496782497,0.0625641025641026,-0.111877394636015,0.0523809523809524,0.00964317733548503,0.0137635756056809,-0.111877394636015,0.0134126984126984,-0.188888888888889,0.0523809523809524,0.191661050174001,0.191661050174001,-0.203149190846705,-0.203434245489915,-0.0666666666666667,0.122222222222222,0.1175768765013,-0.120927546640674,-0.0854938788301916,0.227525657084867,0.0702955381688722
