"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","TWIST1","ERK","cfos","EGR1","NOTCH","Jagged","NOTCHic","AKT","ZEB2","SHH","IKK","Csl","NFB","Csn","SMO","SNAI2","FUS","HEY1","SOSGRB2","SMAD","ILK","ZEB1","RAS","RAF","PI3K","DELTA","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","AXIN2","Frizzled","SRC","DSH","STAT","Destcompl","LIV1","KLF4","GSK3","cateninmemb","miR200","SUFU","Ecadherin","Patched","TrCP","RKIP"
"SUFU",-0.470803321729497,-0.569807593064549,-0.543574851447192,-0.508468468468468,-0.473333333333333,-0.36801525443236,-0.450725586470267,-0.320754616738475,-0.420512820512821,-0.387179487179487,-0.353846153846154,-0.348852813852814,-0.215363601977945,-0.327424242424243,-0.235987314698724,-0.455649566814804,-0.271907979407979,-0.219208791208791,-0.295606060606061,-0.192285714285714,-0.164285714285714,-0.248055555555556,-0.504736392517927,-0.225833333333333,-0.0146193949232189,-0.290927493559073,0.000286005186549029,0.00282642089093702,0.00286255870366435,-0.427121017166345,-0.405918485520776,-0.405918485520776,-0.405918485520776,-0.316669498711188,-0.302091493596098,-0.389668128236901,-0.285515406639576,-0.367735042735043,-0.263710895361381,-0.421938902807485,-0.338888888888889,-0.235555555555556,-0.3,-0.196666666666667,-0.340068009353181,-0.15,0.414610124014267,0.36845264672198,0.428163985755539,0.379243905453621,0.213333333333333,0.453966653184744,0.259166666666667,0.15,0.385991771278958
"Patched",-0.38,-0.473333333333333,-0.44,-0.4,-0.3,-0.295698924731183,-0.353846153846154,-0.233333333333333,-0.3,-0.2,-0.1,-0.260606060606061,-0.16021164021164,-0.233333333333333,-0.164285714285714,-0.383333333333333,-0.225833333333333,-0.15,-0.2,-0.1,0,-0.333333333333333,-0.413946360153257,-0.3,-0.00769230769230769,-0.25,0,0,0.0166666666666667,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.263710895361381,-0.235555555555556,-0.3,-0.196666666666667,-0.25,-0.15,-0.321645021645022,-0.2,-0.1,-0.2,-0.1,-0.296063936063936,-0.1,0.333333333333333,0.305128205128205,0.339838709677419,0.321428571428571,0.2,0.361744875943905,0.213333333333333,0,0.288571428571429
"TrCP",-0.330465871798677,-0.359292122214012,-0.337980646804176,-0.306162464985994,-0.257142857142857,-0.206843813065377,-0.358226479980349,-0.293280726519857,-0.324893146647016,-0.279130434782609,-0.24,-0.12959706959707,-0.0985084355828221,-0.108717948717949,-0.0561159844054581,-0.365404912487276,-0.0348751777891563,-0.0357456140350877,-0.0794871794871795,-0.00416666666666667,0.0333333333333333,-0.00829493087557604,-0.492749451724782,0.0142857142857143,0.0451281712085134,-0.186661166116612,0.0451425157876771,0.0464328383683222,0.075575392654564,-0.320012608147472,-0.298648971783835,-0.298648971783835,-0.298648971783835,-0.352229489304942,-0.338574316891149,-0.322100508724385,-0.323389131705963,-0.306978557504873,-0.307547547547548,-0.366255537999194,-0.285925925925926,-0.285925925925926,-0.26,-0.26,-0.329837474044725,-0.2,0.336601613322925,0.280836038961039,0.43689945753293,0.256452465619381,-0.0476190476190476,0.461339578010392,0.0218751777891563,-0.0333333333333333,0.22497353475254
"Ecadherin",-0.412658168966199,-0.397198691809374,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.345095256940969,-0.39358693055479,-0.432813743747033,-0.364959479574398,-0.328877005347594,-0.281818181818182,-0.394870137859849,-0.353689279762033,-0.372193557934198,-0.351967291967292,-0.358052470177395,-0.309843048852764,-0.332486772486772,-0.342296650717703,-0.302857142857143,-0.26,-0.285416666666667,-0.487752652433163,-0.266666666666667,-0.0656780881968407,-0.295863049562156,-0.036726392251816,-0.036,-0.109208961209827,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.406446747823927,-0.392067662856607,-0.375897196408636,-0.375006641685997,-0.353897196408636,-0.353267511251214,-0.427131537904757,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.35211857007812,-0.266666666666667,0.285841537740272,0.363779499350421,0.612149099771051,0.322906687767023,0.233333333333333,0.585696019449388,0.297244623655914,0.2,0.349686500408812
"cateninmemb",-0.412658168966199,-0.397198691809374,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.345095256940969,-0.39358693055479,-0.432813743747033,-0.364959479574398,-0.328877005347594,-0.281818181818182,-0.394870137859849,-0.353689279762033,-0.372193557934198,-0.351967291967292,-0.358052470177395,-0.309843048852764,-0.332486772486772,-0.342296650717703,-0.302857142857143,-0.26,-0.285416666666667,-0.487752652433163,-0.266666666666667,-0.0656780881968407,-0.295863049562156,-0.036726392251816,-0.036,-0.109208961209827,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.406446747823927,-0.392067662856607,-0.375897196408636,-0.375006641685997,-0.353897196408636,-0.353267511251214,-0.427131537904757,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.35211857007812,-0.266666666666667,0.285841537740272,0.363779499350421,0.51624577309133,0.322906687767023,0.233333333333333,0.586794459323431,0.297244623655914,0.2,0.349686500408812
"KLF4",-0.387715377204185,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.326107915168817,-0.364959479574398,-0.410653594771242,-0.328877005347594,-0.281818181818182,-0.2,-0.372193557934198,-0.338815137885603,-0.342296650717703,-0.332486772486772,-0.334829721362229,-0.297244623655914,-0.302857142857143,-0.305454545454545,-0.26,-0.2,-0.266666666666667,-0.464333025702278,-0.233333333333333,-0.0623223834988541,-0.28138936535163,-0.036,-0.036,-0.108261093911249,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.392067662856607,-0.375006641685997,-0.353897196408636,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.40259545543053,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.341494152557151,-0.233333333333333,0.259259259259259,0.348106210167198,0.587790125412077,0.304098494098494,0.2,0.659697966869057,0.285416666666667,0.1,0.32459286745001
"RKIP",-0.268803418803419,-0.298282153983089,-0.258095238095238,-0.22,-0.2,-0.176782381485629,-0.219156272927366,-0.349863339275104,-0.187241379310345,-0.17,-0.17,-0.172999222999223,-0.197204705311666,-0.138383838383838,-0.100865800865801,-0.290988043998087,-0.125311475409836,-0.0857142857142857,-0.111111111111111,-0.0857142857142857,-0.1,-0.1,-0.613568222882788,-0.1,-0.0626403406891212,-0.0613968253968254,-0.0531758792053788,-0.0462451861360719,0.0170205643232903,-0.0911449661449661,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.352889637481843,-0.333805668016194,-0.312307692307692,-0.310728744939271,-0.27,-0.268421052631579,-0.332208157524613,-0.2,-0.2,-0.1,-0.1,-0.0140989496844034,0,0.274988043998087,0.158707643814027,0.442342342342342,0.225583864723838,0.1,0.483879406437094,0.104,0.1,0.189775910364146
"GSK3",-0.20508140574236,-0.235017615823554,-0.223222744028682,-0.20824016563147,-0.176811594202899,-0.0993300110741971,-0.18880960012926,-0.239910778434021,-0.171195963765623,-0.144880174291939,-0.107843137254902,-0.204803040097158,-0.11953216133395,-0.193114728408846,-0.132713306808134,-0.274225063606641,-0.0610410893109029,-0.122456896551724,-0.17703081232493,-0.102916666666667,-0.0716666666666667,-0.0490294651584974,-0.378292487155204,-0.0329004329004329,0.0066253830227373,-0.152000550026642,0.0217231495008587,0.0200739740885648,0.0550903771269957,-0.191142394493117,-0.176436512140176,-0.176436512140176,-0.176436512140176,-0.335978781408298,-0.326768255092509,-0.314434810667067,-0.314746883765706,-0.300755565384048,-0.300937359956182,-0.355786371544676,-0.28703007518797,-0.28703007518797,-0.276315789473684,-0.276315789473684,0.00572851355635759,-0.25,0.254994362675034,0.00379667444943016,0.35366948723993,0.204083184517234,0.00909090909090909,0.393191827767674,0.0557779314161661,0.0466666666666667,0.134099058835901
"ZEB2",-0.3995337995338,-0.397516663230949,-0.37899814471243,-0.352467532467532,-0.332467532467532,-0.277654104670469,-0.274795022568222,-0.257678422768817,-0.252843803056027,-0.230263157894737,-0.225,-0.224497688104245,-0.221120574929932,-0.20974358974359,-0.208411214953271,-0.204246900411265,-0.200267659170098,-0.2,-0.18974358974359,-0.188888888888889,-0.188888888888889,-0.183571428571429,-0.178374659343465,-0.175,-0.171788856304985,-0.167564102564103,-0.153726379540533,-0.150067842955167,-0.141022699462513,-0.130665711875562,-0.114177489177489,-0.114177489177489,-0.114177489177489,-0.0826723142327294,-0.07332166488208,-0.0700252347041338,-0.0627582846003899,-0.0544289044289044,-0.0470175438596491,-0.0338206995773761,-0.0287878787878788,-0.0233333333333333,0.00454545454545455,0.01,0.019476468694956,0.05,0.0920606512812218,0.105087631241834,0.120017357657445,0.126769980605554,0.175,0.185347846563613,0.188449477351916,0.2,0.28877616747182
"miR200",0.318402139865555,0.337970154303282,0.313551549652119,0.287745098039216,0.258333333333333,0.210634920634921,0.238033395176252,0.319358616843279,0.215584415584416,0.192857142857143,0.142857142857143,0.197698922935627,0.172065324062975,0.175665024630542,0.152702510994467,0.140681003584229,0.136269950467804,0.133834586466165,0.151527093596059,0.125263157894737,0.12,0.1075,0.337617493773227,0.1075,0.0850847457627119,0.17717279174726,0.0707273910325482,0.068533033665777,0.135470430107527,0.289341008366951,0.269640260237275,0.269640260237275,0.269640260237275,0.258761869624382,0.247246718109231,0.236342980962699,0.232564178426691,0.218760563380282,0.214586650336803,0.272458368542973,0.192,0.187826086956522,0.14,0.14,0.22936970918048,0.1,-0.121394064872326,-0.224267362585656,-0.319916555419797,-0.18280536202487,-0.12,-0.274219625239218,-0.126487341772152,-0.1,-0.210952286713221
