"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","SMO","TWIST1","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","TrCP","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.439837531034199,-0.460682632875146,-0.425145442792502,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348334663658745,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.138556067588326,-0.396519010705057,-0.10952380952381,-0.234377982276755,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571426522042166,0.570959582011642,-0.380402293077457,-0.344785854721292,-0.344785854721292,-0.344785854721292,0,0.652828459005295,0.337061883560488,0.613088570299678,-0.451210921002508,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0761904761904762,-0.2,-0.384708462277024,0.159543721909313,0.354596839624464
"SUFU",-0.504107488405874,-0.598889561412658,-0.566086380498145,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.416370022079091,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.324166666666667,-0.348305082680829,-0.290833333333333,-0.287433395308792,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,-0.523891204277957,0.470937138170037,-0.438442891821487,-0.412610879143199,-0.412610879143199,-0.412610879143199,0,0.525589739321415,0.379541405092039,0.575591090136125,-0.346649282648189,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.253333333333333,-0.15,-0.352254558178163,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.333333333333333,-0.240740740740741,-0.3,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358618961913992,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.297916666666667,-0.436212261543163,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489713275029631,0.620552080005568,-0.421736596736597,-0.400897435897436,-0.400897435897436,-0.400897435897436,0,0.605031118568429,0.364246344549095,0.39776370329443,-0.412321500712196,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.359011578754757
"cateninmemb",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358618961913992,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.297916666666667,-0.436212261543163,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489713275029631,0.524643534006849,-0.421736596736597,-0.400897435897436,-0.400897435897436,-0.400897435897436,0,0.606105925857271,0.364246344549095,0.39776370329443,-0.412321500712196,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.359011578754757
"GSK3",-0.24657832549135,-0.275010487785804,-0.257804795677136,-0.239365079365079,-0.202222222222222,-0.21371091691365,-0.15171593038792,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0882575181133412,-0.0855718839760033,-0.0760696215325644,-0.146661650788909,-0.191630654629767,-0.119417679095098,-0.278683148080746,-0.10974025974026,-0.19622990467028,-0.256938925045543,-0.239751425045543,-0.222268907563025,-0.168225928536006,0.355186863393602,-0.384478565439763,-0.384478565439763,-0.411652868855902,0.41623046620394,-0.215050814658418,-0.194966248062223,-0.194966248062223,-0.194966248062223,0,0.487057087333733,0.0242481112364434,0.389664122158195,-0.3792186492883,-0.34862667724798,-0.365678358667428,-0.328532114600226,-0.348609547228643,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385927684768592,0.0954545454545455,-0.25,-0.0156998233431627,0.13107412081289,0.178958566629339
"RKIP",-0.295423400129282,-0.320627177700348,-0.266341463414634,-0.22,-0.2,-0.227666911225238,-0.219662572996585,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.14,-0.372959861775651,-0.1,-0.258543536260005,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624078178162041,0.47475198852248,-0.094077474249888,-0.050974025974026,-0.050974025974026,-0.050974025974026,0,0.54300769303879,0.163763328959474,0.380952950808151,-0.377308593661977,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0,-0.0230780801837209,0.184,0.226050420168067
"miR200",-0.119254163027748,-0.145281983761246,-0.125639126618389,-0.101445578231292,-0.0708333333333333,-0.105819418676562,-0.103197251722432,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0165229996474239,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0458333333333333,-0.23255538712952,-0.0325,-0.113281131623112,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114664031620553,0.34836093857833,-0.370526780756222,-0.370526780756222,-0.315508568373518,0.407208195840862,-0.284409372838301,-0.264708624708625,-0.264708624708625,-0.264708624708625,0,0.440913023123416,0.227858243221011,0.30353786285152,-0.336780107118537,-0.306709178145798,-0.324280107118537,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0.02,-0.2,-0.315607223892418,0.0572257383966245,0.0826612178651132
"KLF4",-0.389770434331706,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.266666666666667,-0.411024291618351,-0.233333333333333,-0.354196538094589,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.464864059106832,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0,0.673421362470867,0.347874663133166,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.231464532063179,-0.220644845350728,-0.213692973692974,-0.203203463203463,-0.19047619047619,-0.162545981890209,-0.160946724550788,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.145779220779221,-0.138265225712034,-0.136413373860182,-0.131844780678727,-0.127720125786164,-0.122857142857143,-0.11553078914781,-0.114285714285714,-0.111785067434646,-0.100805860805861,-0.0964102564102564,-0.0897435897435897,-0.0664835164835165,-0.0536820380761629,-0.0492021488551609,-0.0492021488551609,-0.0469625639222779,-0.0433327475938444,-0.0204785954785955,-0.0144179894179894,-0.0144179894179894,-0.0144179894179894,0,0.0034824177795378,0.00771987798074755,0.0124392940158403,0.0444399672087874,0.0466325072776686,0.0486911117477018,0.0517016317016317,0.053655650754794,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0865836940836941,0.1,0.1,0.113071974574912,0.127735191637631,0.176003316749585
