"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","SOSGRB2","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.404142471137313,-0.366809137803979,-0.348056318775632,-0.327826086956522,-0.28,-0.100476967398654,-0.107545656255334,-0.0933521078682369,-0.182543721909313,-0.185453216374269,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.05752200220022,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.243919413919414,-0.212051282051282,-0.17051282051282,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.570972928023653,0.570888002215292,-0.368022284055283,-0.336204102237101,-0.336204102237101,-0.336204102237101,0.652517701354814,0.336395562770563,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.353491867248773
"SUFU",-0.503682431671718,-0.598549172992708,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.408172394980906,-0.380512820512821,-0.41406155779062,-0.347179487179487,-0.313846153846154,-0.155234219246791,-0.15200956898193,-0.142078853046595,-0.36786231036231,-0.288304742237628,-0.348819093796218,-0.263472527472527,-0.228857142857143,-0.324166666666667,-0.140541037909459,-0.290833333333333,-0.286228576031684,-0.192857142857143,-0.385995670995671,-0.357424242424242,-0.318787878787879,0.503944842555326,-0.563019944050366,-0.563019944050366,-0.522531341433776,0.470846342943538,-0.418897260386741,-0.395479538867754,-0.395479538867754,-0.395479538867754,0.525074976626861,0.377337847622512,0.574847595712333,-0.346485411305517,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352697987575991,0.34739898989899,0.41567103817472
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.313846153846154,-0.26,-0.325268817204301,-0.2,-0.1,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.15,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.332211538461538,-0.288461538461538,-0.288461538461538,-0.288461538461538,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.418330966095899,-0.401681556891189,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.314317584578349,-0.288827388499917,-0.355883537761172,-0.258930481283422,-0.223636363636364,-0.12310621869248,-0.108668982699933,-0.0997101449275362,-0.342332888832444,-0.352640692640693,-0.437381604410852,-0.326666666666667,-0.293333333333333,-0.297916666666667,0.0344625500285878,-0.266666666666667,-0.37289288370169,-0.26,-0.395386307754174,-0.368992255709564,-0.337033492822967,0.30464135021097,-0.387690319330526,-0.387690319330526,-0.487985273130769,0.620470173457978,-0.398315975294286,-0.379042232277526,-0.379042232277526,-0.379042232277526,0.604496771160275,0.361517875105113,0.39701882433726,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354164063847752,0.322647849462366,0.348418952191023
"cateninmemb",-0.418330966095899,-0.401681556891189,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.314317584578349,-0.288827388499917,-0.355883537761172,-0.258930481283422,-0.223636363636364,-0.12310621869248,-0.108668982699933,-0.0997101449275362,-0.342332888832444,-0.352640692640693,-0.437381604410852,-0.326666666666667,-0.293333333333333,-0.297916666666667,0.0344625500285878,-0.266666666666667,-0.37289288370169,-0.26,-0.395386307754174,-0.368992255709564,-0.337033492822967,0.30464135021097,-0.387690319330526,-0.387690319330526,-0.487985273130769,0.524561650270257,-0.398315975294286,-0.379042232277526,-0.379042232277526,-0.379042232277526,0.605571599380939,0.361517875105113,0.39701882433726,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354164063847752,0.322647849462366,0.348418952191023
"GSK3",-0.248060906861396,-0.27623405933056,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.182794562535275,-0.165180926171638,-0.152272617843902,-0.144880174291939,-0.107843137254902,-0.0878562301471743,-0.08448924105385,-0.0756436638424557,-0.146385125597579,-0.1879855585028,-0.281398457876626,-0.174310344827586,-0.161666666666667,-0.119417679095098,0.0154433730383815,-0.10974025974026,-0.196179889174025,-0.136666666666667,-0.254716460010578,-0.238352823646941,-0.222268907563025,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.412156279662321,0.416904506748331,-0.204130109264065,-0.185642714306082,-0.185642714306082,-0.185642714306082,0.487906651081732,0.0240428322754703,0.390483087404078,-0.379848891570153,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0156130209459485,0.13107412081289,0.177708081392292
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.219156272927366,-0.187241379310345,-0.22073762506942,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,0.031047619047619,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0911449661449661,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0799257884972171,-0.0615584415584416,-0.102694157694158,-0.0342857142857143,-0.0142857142857143,-0.0134180790960452,-0.015854506821855,-0.00989839396919043,-0.0691822601357549,-0.070883813306852,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,0.0127143778207608,-0.0325,-0.113281131623112,-0.02,-0.128647129219894,-0.111133004926108,-0.0869950738916256,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314637625546022,0.406960753020097,-0.275176076265517,-0.257470340604669,-0.257470340604669,-0.257470340604669,0.440221966343664,0.226135606800086,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.080955773562146
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.288827388499917,-0.258930481283422,-0.334997461811805,-0.223636363636364,-0.16,-0.107669977081742,-0.0997101449275362,-0.0866666666666667,-0.322647849462366,-0.326666666666667,-0.412614379084967,-0.293333333333333,-0.26,-0.266666666666667,0.0344625500285878,-0.233333333333333,-0.352984416882468,-0.2,-0.368992255709564,-0.337033492822967,-0.305454545454545,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.46348196187249,0.592777865765671,-0.379042232277526,-0.355512820512821,-0.355512820512821,-0.355512820512821,0.67324068547381,0.345403084818137,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342234893297891,0.297916666666667,0.321078128220985
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.174139370850415,-0.166822297679683,-0.16387755248478,-0.16359649122807,-0.158333333333333,-0.146407624633431,-0.139541640084409,-0.137102615694165,-0.132280646183085,-0.130506230529595,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.115970695970696,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.102421185372005,-0.0964102564102564,-0.0897435897435897,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0502246635391804,-0.0415318495285875,-0.0251585138630106,-0.0198051948051948,-0.0198051948051948,-0.0198051948051948,0.00647944165395331,0.012198929598976,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.127735191637631,0.179710144927536
