"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","SHH","ILK","TWIST1","AKT","IKK","SMO","NFB","Jagged","FUS","NOTCH","Csn","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","Wnt","Frizzled","GLI","TCFLEF","SRC","cMet","CD44","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.404186037745628,-0.414814629279432,-0.398421186656481,-0.371148459383754,-0.314285714285714,-0.423007614836649,-0.313494385738729,-0.385674281503316,-0.28,-0.336521739130435,-0.100476967398654,-0.106900494965011,-0.152746429993742,-0.0933521078682369,-0.33093713532844,-0.170930799220273,-0.152412280701754,-0.1321044546851,-0.120833333333333,-0.176043583844581,-0.10952380952381,-0.20018315018315,-0.0833333333333333,-0.185897435897436,-0.162820512820513,-0.206311881188119,-0.48318175618462,-0.589582229607377,-0.589582229607377,0.54928077023159,0.223230455733897,-0.310067219299644,-0.290067219299644,-0.290067219299644,-0.290067219299644,0.535348561822152,0.602859978016741,0.2808170995671,-0.326775356442137,-0.279005847953216,-0.271111111111111,-0.297054628441021,-0.315189149545585,-0.271111111111111,-0.279219219219219,-0.297041001397437,-0.26,-0.26,-0.341518108870093,0.0333333333333333,0.0761904761904762,-0.2,-0.309976618586577,0.140746429993742,0.335775476825201
"SUFU",-0.423497791067898,-0.5032653546156,-0.481766340808894,-0.443468468468468,-0.408333333333333,-0.39790216631009,-0.345936723473815,-0.369391528012218,-0.338461538461538,-0.347552447552448,-0.141003382857757,-0.139150096553062,-0.305770250770251,-0.132452636968766,-0.229352608858084,-0.242518032303267,-0.223054945054945,-0.277222222222222,-0.192285714285714,-0.190874588350764,-0.238333333333333,-0.301327561327561,-0.164285714285714,-0.285454545454545,-0.249090909090909,-0.229162066004171,-0.366365824924117,-0.514534974549396,-0.514534974549396,0.466977793047784,0.0464657347551593,-0.31238805105653,-0.302894380170454,-0.302894380170454,-0.302894380170454,0.336521562168302,0.526619669738037,0.282204611384865,-0.136052968849963,-0.218482905982906,-0.206944444444444,-0.221085136466177,-0.125260129975283,-0.104444444444444,-0.11512405609493,-0.117379695192674,-0.1625,-0.06,-0.261464903060499,0.15,0.213333333333333,0,-0.23388314754949,0.298434343434343,0.368212357107792
"Patched",-0.335,-0.408333333333333,-0.4,-0.4,-0.3,-0.338461538461538,-0.27258064516129,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.238333333333333,-0.1,-0.158333333333333,-0.164285714285714,-0.15,-0.333333333333333,-0.1,-0.142433862433862,-0.3,-0.209090909090909,0,-0.2,-0.2,-0.216666666666667,-0.310375478927203,-0.416666666666667,-0.416666666666667,0.355555555555556,0.0187813620071685,-0.260576923076923,-0.223076923076923,-0.223076923076923,-0.223076923076923,0.266491370010787,0.426190476190476,0.236263736263736,-0.11512405609493,-0.1,-0.1,-0.1625,-0.104444444444444,0,0,-0.06,-0.2,-0.1,-0.188744588744589,0,0.2,-0.1,-0.213986013986014,0.213333333333333,0.274285714285714
"RKIP",-0.291408782788093,-0.313413440142412,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.214233560028769,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.202032786885246,-0.153754813863928,-0.347843137254902,-0.156168831168831,-0.110714285714286,-0.14,-0.0857142857142857,-0.230812919395262,-0.1,-0.202719502719503,-0.1,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.577573002273125,-0.372663797226208,-0.372663797226208,0.332663797226208,0.19370984429808,-0.0683788433788434,-0.0418831168831169,-0.0418831168831169,-0.0418831168831169,0.470317308288786,0.380952950808151,0.142789598108747,-0.287140481053699,-0.25,-0.2,-0.269230769230769,-0.27569009937431,-0.2,-0.247368421052632,-0.266599190283401,-0.1,-0.1,-0.297140178152836,0.1,0.1,0,0.0195981528499902,0.184,0.226050420168067
"GSK3",-0.210117210410968,-0.230085534825726,-0.221623996364187,-0.21639751552795,-0.194492753623188,-0.188437271506157,-0.118812813969538,-0.177641816960702,-0.119607843137255,-0.160348583877996,-0.0864721471021916,-0.0816355735479803,-0.117221176197605,-0.0748889468613236,-0.224201046152517,-0.168856100795756,-0.161163793103448,-0.10021645021645,-0.155416666666667,-0.145758254557719,-0.10021645021645,-0.212235313705902,-0.136666666666667,-0.203144404614993,-0.198249299719888,-0.139680640781038,-0.331855321294519,-0.366830540340438,-0.366830540340438,0.34578956907005,0.0714518360908018,-0.154377981460451,-0.142613275578098,-0.142613275578098,-0.142613275578098,0.375338510894556,0.373147839498551,-0.0226657137260135,-0.271630490957333,-0.244945697577277,-0.233834586466165,-0.258624942860295,-0.267419964641543,-0.233834586466165,-0.245092864611861,-0.258426197945194,-0.230263157894737,-0.230263157894737,-0.29763416136598,0.0866666666666667,0.0954545454545455,-0.225,0.0439210034440045,0.105737922609088,0.155657325131009
"miR200",-0.0920788696398453,-0.11183181824868,-0.103692283364959,-0.0924019607843137,-0.0708333333333333,-0.0917501546072974,-0.0782238132238132,-0.0761038961038961,-0.0142857142857143,-0.0442857142857143,-0.0134180790960452,-0.0152275475742061,-0.0494858741515318,-0.00989839396919043,-0.185402920188196,-0.0595091502340757,-0.0500751879699248,-0.0391666666666667,-0.0357894736842105,-0.0781833133541117,-0.0325,-0.098917926024881,-0.02,-0.0904433497536946,-0.0800985221674877,-0.0975950999355255,-0.251301298172245,-0.360806451612903,-0.360806451612903,0.345186335403727,0.14623000923376,-0.232873976558794,-0.222150784538844,-0.222150784538844,-0.222150784538844,0.362225903332256,0.29489622835641,0.185692808350725,-0.254135916792123,-0.231042253521127,-0.224,-0.240932363411237,-0.249438947095153,-0.224347826086957,-0.231390079608083,-0.241502439158645,-0.22,-0.22,-0.275584017556472,0,0.02,-0.2,-0.261513764255807,0.042964135021097,0.0671421974687361
"Ecadherin",-0.303055830759084,-0.274520231646505,-0.255532889874353,-0.232606060606061,-0.223272727272727,-0.30075785140673,-0.256854423500724,-0.284679420034181,-0.263636363636364,-0.275401069518717,-0.103752954507001,-0.0896779310102818,-0.223696130725595,-0.0870144927536232,-0.291836637820864,-0.274689754689755,-0.256507936507937,-0.191666666666667,-0.234285714285714,-0.204690955957428,-0.166666666666667,-0.269200385004906,-0.22,-0.25247176046959,-0.226698564593301,-0.207910535343505,-0.317693672072351,-0.306440533309857,-0.306440533309857,0.245007032348804,0.0937787460958193,-0.281756111125155,-0.275610859728507,-0.275610859728507,-0.275610859728507,0.311398200963115,0.316557754267251,0.258304870953806,-0.206693848312068,-0.196730191675708,-0.181212950296398,-0.200063525009041,-0.201371719460527,-0.181212950296398,-0.19599555899205,-0.199005592436866,-0.150980392156863,-0.150980392156863,-0.26483661793802,0.2,0.166666666666667,-0.133333333333333,-0.23905129612884,0.214247311827957,0.272138375268391
"cateninmemb",-0.303055830759084,-0.274520231646505,-0.255532889874353,-0.232606060606061,-0.223272727272727,-0.30075785140673,-0.256854423500724,-0.284679420034181,-0.263636363636364,-0.275401069518717,-0.103752954507001,-0.0896779310102818,-0.223696130725595,-0.0870144927536232,-0.291836637820864,-0.274689754689755,-0.256507936507937,-0.191666666666667,-0.234285714285714,-0.204690955957428,-0.166666666666667,-0.269200385004906,-0.22,-0.25247176046959,-0.226698564593301,-0.207910535343505,-0.317693672072351,-0.306440533309857,-0.306440533309857,0.245007032348804,0.00342266030977947,-0.281756111125155,-0.275610859728507,-0.275610859728507,-0.275610859728507,0.336949820722159,0.316557754267251,0.258304870953806,-0.206693848312068,-0.196730191675708,-0.181212950296398,-0.200063525009041,-0.201371719460527,-0.181212950296398,-0.19599555899205,-0.199005592436866,-0.150980392156863,-0.150980392156863,-0.26483661793802,0.2,0.166666666666667,-0.133333333333333,-0.23905129612884,0.214247311827957,0.272138375268391
"KLF4",-0.283147363939862,-0.255532889874353,-0.232606060606061,-0.223272727272727,-0.227272727272727,-0.284679420034181,-0.246094929829838,-0.275401069518717,-0.2,-0.263636363636364,-0.100397249809015,-0.0870144927536232,-0.214247311827957,-0.0826666666666667,-0.280849673202614,-0.256507936507937,-0.234285714285714,-0.166666666666667,-0.22,-0.201258461678252,-0.166666666666667,-0.25247176046959,-0.2,-0.226698564593301,-0.210909090909091,-0.197384219554031,-0.30944562872497,-0.285113519091847,-0.285113519091847,0.222222222222222,0.0878813101983834,-0.275610859728507,-0.263846153846154,-0.263846153846154,-0.263846153846154,0.397571521313651,0.294770044770045,0.253227608260649,-0.201371719460527,-0.181212950296398,-0.150980392156863,-0.196730191675708,-0.199005592436866,-0.150980392156863,-0.181212950296398,-0.19599555899205,-0.133333333333333,-0.133333333333333,-0.256383009690597,0.1,0.2,-0.166666666666667,-0.237000969940583,0.191666666666667,0.252288188002474
"ZEB2",-0.249653457653458,-0.23869030440459,-0.231811997526283,-0.214805194805195,-0.194805194805195,-0.174155934683286,-0.172371928436235,-0.159521788341822,-0.158333333333333,-0.153070175438596,-0.146407624633431,-0.14015139618197,-0.137706683560342,-0.137102615694165,-0.136974858307285,-0.136819833852544,-0.130277777777778,-0.128571428571429,-0.123611111111111,-0.116868686868687,-0.114285714285714,-0.113261034047919,-0.111111111111111,-0.109435897435897,-0.0974358974358975,-0.0796886446886447,-0.0615099872980821,-0.0572799487434784,-0.0572799487434784,-0.0493030807414094,-0.0358173021453195,-0.0349868832095813,-0.0317748917748918,-0.0317748917748918,-0.0317748917748918,0.0150703687931235,0.0201102069866434,0.0230243113624136,0.0329136773502971,0.0345454545454545,0.0345454545454545,0.0363803169307756,0.0379786124152321,0.04,0.04,0.0418518518518518,0.0545454545454545,0.06,0.0710783039458518,0.1,0.1,0.1,0.102487872852637,0.13588850174216,0.187729468599034
