"","ZEB2","ZEB1","FOXC2","TGF","TGFR","MEK","ERK","CDC42","SNAI1","EGR1","cfos","Jagged","HEY1","PAK1","SHH","SMAD","ILK","AKT","NOTCH","SMO","IKK","SNAI2","NOTCHic","NFB","TWIST1","FUS","Csl","Csn","RAS","RAF","PI3K","DELTA","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","SOSGRB2","Frizzled","SRC","AXIN2","DSH","STAT","Destcompl","LIV1","GSK3","TrCP","SUFU","cateninmemb","Patched","RKIP","Ecadherin","KLF4","miR200"
"TrCP",-0.573145334120944,-0.573145334120944,-0.459033030178468,-0.475867784651723,-0.4395582608422,-0.448063776462433,-0.396290726817043,-0.392017277235642,-0.377933843393817,-0.28,-0.341904761904762,-0.260432009507541,-0.128852049910873,-0.321804511278195,-0.219956125673917,-0.139827586206897,-0.12,-0.219940476190476,-0.267307261003645,-0.169333333333333,-0.186607142857143,-0.56871622600582,-0.23316091954023,-0.142857142857143,-0.404447579484641,-0.133333333333333,-0.188333333333333,-0.1,-0.37752651882623,-0.342920313575633,-0.342920313575633,-0.342920313575633,-0.444308572151071,-0.420470491191551,-0.391650421496312,-0.392582044976411,-0.360400421496312,-0.36136511375948,-0.230366082603254,-0.326153846153846,-0.326153846153846,-0.428497758150339,-0.28,-0.28,-0.379770838567542,-0.2,0.335443021106771,0.0333333333333333,0.0933333333333333,0.566179268466677,0.193575757575758,0.380480791350357,0.652383608428429,0.52093674679174,0.573145334120944
"SUFU",-0.541108546389143,-0.541108546389143,-0.508082368082368,-0.601970975296666,-0.568502415458937,-0.465969202051,-0.432063622651858,-0.526111111111111,-0.422655562691776,-0.353846153846154,-0.393240093240093,-0.293858337600273,-0.172358847169284,-0.481666666666667,-0.381608379783069,-0.170980742974866,-0.158651975851579,-0.304740783770499,-0.395981639992976,-0.331484593837535,-0.276683229813665,-0.523033905511034,-0.365691183561441,-0.240683229813665,-0.351179058283278,-0.296190476190476,-0.32615629984051,-0.192857142857143,-0.437863541611205,-0.412304436179895,-0.412304436179895,-0.412304436179895,-0.343796691216069,-0.324048131760857,-0.405492696141649,-0.301440642163076,-0.378425026968716,-0.274444444444444,-0.299316622160967,-0.344444444444444,-0.241111111111111,-0.434941874991398,-0.3,-0.196666666666667,-0.350890363426264,-0.15,0.379497803359668,0.15,0.253333333333333,0.467903692118947,0.359574481477984,0.4287658445237,0.522332087481164,0.480174391201885,0.541108546389143
"ZEB2",-0.447489048187973,-0.447489048187973,-0.307898351648352,-0.297868563502918,-0.274917743830787,-0.270423728813559,-0.245,-0.240135135135135,-0.229680892371775,-0.225,-0.225,-0.207974735544829,-0.206551724137931,-0.205,-0.204176340943109,-0.199181117533719,-0.191666666666667,-0.185151515151515,-0.178759932324239,-0.172268907563025,-0.17,-0.165574125591689,-0.160115864527629,-0.153333333333333,-0.151028269079151,-0.142857142857143,-0.132843137254902,-0.12,-0.110393564685547,-0.0917391304347826,-0.0917391304347826,-0.0917391304347826,-0.0915704465109504,-0.0784310282561861,-0.0686324786324786,-0.0633116648609606,-0.051965811965812,-0.0464102564102564,-0.0380736714975845,-0.0288888888888889,-0.0233333333333333,-0.0206436999578592,0.0111111111111111,0.0166666666666667,0.0339387241557322,0.0666666666666667,0.0793102071924672,0.1,0.1,0.138670734051758,0.189660211910851,0.231625258799172,0.254096870488634,0.324153846153846,0.447489048187973
"Patched",-0.418796992481203,-0.418796992481203,-0.39,-0.481666666666667,-0.44,-0.353846153846154,-0.3,-0.4,-0.32816091954023,-0.1,-0.2,-0.206857142857143,-0.112121212121212,-0.3,-0.296190476190476,-0.128888888888889,-0.106666666666667,-0.192857142857143,-0.278787878787879,-0.333333333333333,-0.15,-0.416613026819923,-0.233333333333333,-0.1,-0.240740740740741,-0.3,-0.2,0,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.274444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.25,-0.15,-0.25,-0.2,-0.1,-0.321645021645022,-0.2,-0.1,-0.298261738261738,-0.1,0.305128205128205,0,0.2,0.353997677823212,0.253333333333333,0.302857142857143,0.39516973125884,0.35,0.418796992481203
"Ecadherin",-0.371812078839905,-0.371812078839905,-0.419514767048225,-0.402614372432845,-0.373652623798965,-0.39515555800577,-0.364959479574398,-0.340969696969697,-0.359709522362267,-0.281818181818182,-0.328877005347594,-0.375687097903039,-0.131430989662052,-0.307636363636364,-0.347318029716952,-0.119311956521739,-0.108378623188406,-0.369227513227513,-0.404619156066857,-0.297916666666667,-0.33989417989418,-0.489872701760533,-0.376317269274404,-0.302857142857143,-0.438317943812922,-0.266666666666667,-0.342296650717703,-0.26,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.411807489475448,-0.395445557923643,-0.377230529741969,-0.376344434328137,-0.353897196408636,-0.353267511251214,-0.295863049562156,-0.326310989512084,-0.326310989512084,-0.427956280172798,-0.296078431372549,-0.296078431372549,-0.353555143896749,-0.266666666666667,0.364662501557927,0.2,0.233333333333333,0.619944411380582,0.326006554307116,0.359472979190524,0.603787086662334,0.289255126511036,0.371812078839905
"cateninmemb",-0.371812078839905,-0.371812078839905,-0.419514767048225,-0.402614372432845,-0.373652623798965,-0.39515555800577,-0.364959479574398,-0.340969696969697,-0.359709522362267,-0.281818181818182,-0.328877005347594,-0.375687097903039,-0.131430989662052,-0.307636363636364,-0.347318029716952,-0.119311956521739,-0.108378623188406,-0.369227513227513,-0.404619156066857,-0.297916666666667,-0.33989417989418,-0.489872701760533,-0.376317269274404,-0.302857142857143,-0.438317943812922,-0.266666666666667,-0.342296650717703,-0.26,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.411807489475448,-0.395445557923643,-0.377230529741969,-0.376344434328137,-0.353897196408636,-0.353267511251214,-0.295863049562156,-0.326310989512084,-0.326310989512084,-0.427956280172798,-0.296078431372549,-0.296078431372549,-0.353555143896749,-0.266666666666667,0.364662501557927,0.2,0.233333333333333,0.524035521215089,0.326006554307116,0.359472979190524,0.604859528844273,0.289255126511036,0.371812078839905
"KLF4",-0.340320366132723,-0.340320366132723,-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.364959479574398,-0.328877005347594,-0.307636363636364,-0.337201483777058,-0.2,-0.281818181818182,-0.354844006568145,-0.113445378151261,-0.263636363636364,-0.326006554307116,-0.108378623188406,-0.0927536231884058,-0.33989417989418,-0.376317269274404,-0.266666666666667,-0.302857142857143,-0.4649781869926,-0.342296650717703,-0.26,-0.412614379084967,-0.233333333333333,-0.305454545454545,-0.2,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.395445557923643,-0.376344434328137,-0.353897196408636,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.28138936535163,-0.296078431372549,-0.296078431372549,-0.40259545543053,-0.266666666666667,-0.266666666666667,-0.341987979717644,-0.233333333333333,0.348106210167198,0.1,0.2,0.592542735042735,0.297916666666667,0.328674500103071,0.672499957949463,0.255442176870748,0.340320366132723
"RKIP",-0.333663704716336,-0.333663704716336,-0.298388425496859,-0.32295885344429,-0.267619047619048,-0.227666911225238,-0.187241379310345,-0.22,-0.227082614108318,-0.17,-0.17,-0.266118516372066,-0.165602240896359,-0.2,-0.21965367965368,-0.164719887955182,-0.161190476190476,-0.16243842364532,-0.21489898989899,-0.14,-0.110714285714286,-0.624003738443098,-0.156565656565657,-0.0857142857142857,-0.37608875128999,-0.1,-0.111111111111111,-0.1,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.375206412569844,-0.3503359462486,-0.32,-0.318421052631579,-0.27,-0.268421052631579,-0.0613968253968254,-0.2,-0.2,-0.337271448663854,-0.1,-0.1,-0.0222772021332673,0,0.164381402679275,0.1,0.1,0.472793832945409,0.192380952380952,0.229888551165147,0.540185417903021,0.291558441558442,0.333663704716336
"GSK3",-0.332779304716479,-0.332779304716479,-0.253613874833387,-0.280121192764438,-0.262916891689169,-0.217173119525481,-0.194005964100261,-0.244371437143714,-0.162356685923092,-0.119607843137255,-0.165761689291101,-0.20413429400444,-0.102094988344988,-0.205757575757576,-0.162311512251704,-0.100184619327965,-0.0885395176643792,-0.203210956446164,-0.263280661962577,-0.132456140350877,-0.186931886678722,-0.410300130095169,-0.245925290061751,-0.17047619047619,-0.283192497081291,-0.121345029239766,-0.228014842300557,-0.143809523809524,-0.213559756598806,-0.194204917889128,-0.194204917889128,-0.194204917889128,-0.375624349976354,-0.36208663037594,-0.345020967051776,-0.344972846842175,-0.325508771929825,-0.325761024182077,-0.169772727272727,-0.306842105263158,-0.306842105263158,-0.382962358597406,-0.286842105263158,-0.286842105263158,-0.0128987035814502,-0.25,0.0236093854058695,0.0866666666666667,0.105555555555556,0.412224332411614,0.144956140350877,0.18730101010101,0.483624319897384,0.302656881072723,0.332779304716479
"miR200",-0.326060064088233,-0.326060064088233,-0.138101414514356,-0.164308643447304,-0.146619112761384,-0.118060394889663,-0.0928571428571429,-0.123089700996678,-0.113508668614836,-0.02,-0.05,-0.126191431117902,-0.0215909090909091,-0.0928571428571429,-0.0802752163427437,-0.0255240004454839,-0.0162557077625571,-0.0856343656343656,-0.145115633964834,-0.0542857142857143,-0.0661538461538462,-0.300722372336338,-0.126867458782352,-0.0430769230769231,-0.238606715794461,-0.04,-0.103463203463203,-0.02,-0.271789390533673,-0.25424553088455,-0.25424553088455,-0.25424553088455,-0.313316846959984,-0.302022081119763,-0.286771810173345,-0.289041311888994,-0.271739130434783,-0.273809523809524,-0.12952380952381,-0.255072463768116,-0.257142857142857,-0.32394676537987,-0.233333333333333,-0.233333333333333,-0.299204796117729,-0.2,0.217820268832202,0,0.02,0.38256324385164,0.0674932614555256,0.0938636363636364,0.415172762011343,0.298386773044307,0.241647150663544
