"","ZEB2","ZEB1","FOXC2","TGF","TGFR","MEK","ERK","CDC42","SNAI1","EGR1","cfos","Jagged","HEY1","PAK1","SHH","SMAD","ILK","AKT","NOTCH","SMO","IKK","SNAI2","NOTCHic","NFB","TWIST1","FUS","Csl","Csn","RAS","RAF","PI3K","DELTA","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","SOSGRB2","Frizzled","SRC","AXIN2","DSH","STAT","Destcompl","LIV1","GSK3","TrCP","SUFU","cateninmemb","Patched","RKIP","Ecadherin","KLF4","miR200"
"Destcompl",0.154619377883132,0.154619377883132,0.0567127325544919,0.0253937198228752,0.0289183925318379,0.0516441115406673,0.0529207072853482,0.0273141144569716,0.0948838103339648,0.0625641025641026,0.0534731934731935,-0.186528417243074,0.00812976540221072,0.0210204081632653,-0.119977369478865,0.0126407318662958,0.0122325686009897,0.0446126750561032,-0.0601638703469842,-0.111111111111111,0.0495772140631954,-0.234909057717385,-0.0560144927536232,0.0523809523809524,-0.0407104727337073,-0.111111111111111,-0.0549033816425121,0.0523809523809524,0.00123591435243957,0.00273551971944825,0.00273551971944825,0.00273551971944825,-0.18876794078076,-0.187911465307103,-0.187036325890468,-0.186383687529326,-0.18385875579701,-0.183376168732333,-0.0615227986225714,-0.180376168732333,-0.180376168732333,-0.239574594024465,-0.181746031746032,-0.181746031746032,-0.0208660389500448,-0.188888888888889,-0.0882111133002287,-0.0666666666666667,0.122222222222222,0.218221566087834,0.116195856873823,-0.121495483814166,0.0568374157136406,-0.168738390092879,-0.154619377883132
"AXIN2",0.213580660910679,0.213580660910679,0.110529040967362,0.0645291255979662,0.0638602292768959,0.111807866676798,0.117363422232353,0.0647530864197531,0.154619377883132,0.153333333333333,0.131382113821138,-0.220133180792356,0.0188034188034188,0.0783333333333333,-0.153279013472693,0.0179589074383016,0.0224837943161296,0.101252856158985,-0.0537238079524831,-0.152692307692308,0.104701132021054,-0.277534150854716,-0.0523444976076555,0.109178743961353,-0.0372622948302819,-0.157692307692308,-0.0505263157894737,0.122222222222222,0.0666270310543008,0.069649370081896,0.069649370081896,0.069649370081896,-0.241410258360129,-0.239574594024465,-0.237527567739863,-0.237216103458427,-0.235950280673617,-0.235950280673617,-0.0772774023545412,-0.237674418604651,-0.237674418604651,0.181830690537084,-0.24,-0.24,0.1593334916097,-0.233333333333333,-0.170311631870874,-0.133333333333333,0.15,0.251525571850775,0.150805515239477,-0.178579056336493,0.0670138406998791,-0.224472081875891,-0.213580660910679
"Wnt",0.253076923076923,0.253076923076923,0.17957264957265,0.205757575757576,0.146666666666667,0.119607843137255,0.0666666666666667,0.1,0.112360446570973,0.1,0.0666666666666667,0.16,0.0742424242424242,0.1,0.121345029239766,0.0642424242424242,0.0670995670995671,0.143809523809524,0.197402597402597,0.05,0.0866666666666667,0.339673913043478,0.142857142857143,0.0666666666666667,0.225572755417957,0,0.1,0.1,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,0.325761024182077,0.306842105263158,0.286842105263158,0.286842105263158,0.25,0.25,0.0939393939393939,0.3,0.2,0.31030303030303,0.2,0.1,-0.0239205939771222,0,-0.0729623824451411,-0.1,0,-0.331396321070234,-0.105555555555556,-0.124545454545455,-0.397857142857143,-0.203076923076923,-0.253076923076923
"Frizzled",0.289919028340081,0.289919028340081,0.218597039816552,0.244371437143714,0.205757575757576,0.165761689291101,0.119607843137255,0.146666666666667,0.127614683859108,0.0666666666666667,0.0666666666666667,0.171111111111111,0.0716783216783217,0.1,0.132456140350877,0.0721075927817501,0.0642424242424242,0.17047619047619,0.228014842300557,0.105555555555556,0.143809523809524,0.367005102754089,0.197402597402597,0.0866666666666667,0.247141382868937,0.05,0.142857142857143,0.0666666666666667,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,0.344972846842175,0.325761024182077,0.306842105263158,0.306842105263158,0.286842105263158,0.286842105263158,0.127272727272727,0.25,0.25,0.339714795008913,0.3,0.2,-0.00971147869562081,0.1,-0.0927154688648942,-0.1,0,-0.362522148884804,-0.121345029239766,-0.146767676767677,-0.433500707213578,-0.248531468531469,-0.289919028340081
"DSH",0.313630368546267,0.313630368546267,0.23677885799837,0.262916891689169,0.244371437143714,0.194005964100261,0.165761689291101,0.205757575757576,0.144023352589759,0.0666666666666667,0.119607843137255,0.185879043600563,0.0820949883449883,0.146666666666667,0.144956140350877,0.0885395176643792,0.0721075927817501,0.186931886678722,0.245925290061751,0.121345029239766,0.17047619047619,0.390210844380883,0.228014842300557,0.143809523809524,0.264484556300671,0.105555555555556,0.197402597402597,0.0866666666666667,0.194204917889128,0.172837396521607,0.172837396521607,0.172837396521607,0.36208663037594,0.344972846842175,0.325508771929825,0.325761024182077,0.306842105263158,0.306842105263158,0.157272727272727,0.286842105263158,0.286842105263158,0.362461576124792,0.25,0.25,0.00237429128488601,0.2,-0.109421351217835,-0.0666666666666667,-0.05,-0.389929556292211,-0.132456140350877,-0.166767676767677,-0.461064206743212,-0.281864801864802,-0.313630368546267
"RAF",0.333663704716336,0.333663704716336,0.298388425496859,0.32295885344429,0.267619047619048,0.227666911225238,0.187241379310345,0.22,0.227082614108318,0.17,0.17,0.266118516372066,0.165602240896359,0.2,0.21965367965368,0.164719887955182,0.161190476190476,0.16243842364532,0.21489898989899,0.14,0.110714285714286,0.624003738443098,0.156565656565657,0.0857142857142857,0.37608875128999,0.1,0.111111111111111,0.1,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,0.375206412569844,0.3503359462486,0.32,0.318421052631579,0.27,0.268421052631579,0.0613968253968254,0.2,0.2,0.337271448663854,0.1,0.1,0.0222772021332673,0,-0.164381402679275,-0.1,-0.1,-0.472793832945409,-0.192380952380952,-0.229888551165147,-0.540185417903021,-0.291558441558442,-0.333663704716336
"PI3K",0.333982683982684,0.333982683982684,0.259510073260073,0.277450980392157,0.236274509803922,0.19394198357309,0.148179271708683,0.177941176470588,0.180886662357251,0.0666666666666667,0.0952380952380952,0.190685537372844,0.0844444444444444,0.125,0.145416666666667,0.0917270502802115,0.0791056910569106,0.284324324324324,0.241666666666667,0.11,0.26,0.39438158753047,0.208333333333333,0.2,0.27900857312622,0.05,0.15,0.166666666666667,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,0.378362195627239,0.35564457354656,0.331506642512077,0.331506642512077,0.303381642512077,0.303381642512077,0.163461538461538,0.255555555555556,0.255555555555556,0.358326118326118,0.2,0.2,-0.0204983724705303,0.1,-0.18471000325839,-0.2,0,-0.393904617696824,-0.126666666666667,-0.17012987012987,-0.469594282110574,-0.293564993564994,-0.333982683982684
"ILK",0.333982683982684,0.333982683982684,0.259510073260073,0.277450980392157,0.236274509803922,0.19394198357309,0.148179271708683,0.177941176470588,0.180886662357251,0.0666666666666667,0.0952380952380952,0.190685537372844,0.0844444444444444,0.125,0.145416666666667,0.0917270502802115,0.0791056910569106,0.284324324324324,0.241666666666667,0.11,0.26,0.39438158753047,0.208333333333333,0.2,0.27900857312622,0.05,0.15,0.166666666666667,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,0.378362195627239,0.35564457354656,0.331506642512077,0.331506642512077,0.303381642512077,0.303381642512077,0.163461538461538,0.255555555555556,0.255555555555556,0.358326118326118,0.2,0.2,-0.0204983724705303,0.1,-0.18471000325839,-0.2,0,-0.393904617696824,-0.126666666666667,-0.17012987012987,-0.469594282110574,-0.293564993564994,-0.333982683982684
"HEY1",0.340320366132723,0.340320366132723,0.390184513006655,0.373652623798965,0.340969696969697,0.364959479574398,0.328877005347594,0.307636363636364,0.337201483777058,0.2,0.281818181818182,0.354844006568145,0.113445378151261,0.263636363636364,0.326006554307116,0.108378623188406,0.0927536231884058,0.33989417989418,0.376317269274404,0.266666666666667,0.302857142857143,0.4649781869926,0.342296650717703,0.26,0.412614379084967,0.233333333333333,0.305454545454545,0.2,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0.395445557923643,0.376344434328137,0.353897196408636,0.353267511251214,0.326310989512084,0.326310989512084,0.28138936535163,0.296078431372549,0.296078431372549,0.40259545543053,0.266666666666667,0.266666666666667,0.341987979717644,0.233333333333333,-0.348106210167198,-0.1,-0.2,-0.592542735042735,-0.297916666666667,-0.328674500103071,-0.672499957949463,-0.255442176870748,-0.340320366132723
"FOXC2",0.340320366132723,0.340320366132723,0.390184513006655,0.373652623798965,0.340969696969697,0.364959479574398,0.328877005347594,0.307636363636364,0.337201483777058,0.2,0.281818181818182,0.354844006568145,0.113445378151261,0.263636363636364,0.326006554307116,0.108378623188406,0.0927536231884058,0.33989417989418,0.376317269274404,0.266666666666667,0.302857142857143,0.4649781869926,0.342296650717703,0.26,0.412614379084967,0.233333333333333,0.305454545454545,0.2,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0.395445557923643,0.376344434328137,0.353897196408636,0.353267511251214,0.326310989512084,0.326310989512084,0.28138936535163,0.296078431372549,0.296078431372549,0.40259545543053,0.266666666666667,0.266666666666667,0.341987979717644,0.233333333333333,-0.348106210167198,-0.1,-0.2,-0.592542735042735,-0.297916666666667,-0.328674500103071,-0.672499957949463,-0.255442176870748,-0.340320366132723
"cateninnuc",0.359709522362267,0.359709522362267,0.395883055811555,0.379231001659155,0.358480449782775,0.375601717174364,0.353842457915105,0.331736263736264,0.339471762119748,0.297101449275362,0.327260179434092,0.249757438799473,0.128699096094974,0.299428571428571,0.220757572773337,0.116875633373211,0.107505433680431,0.346766666666667,0.376097399047098,0.189649122807018,0.329166666666667,0.463524559340385,0.357203389830509,0.304166666666667,0.325146043555543,0.163333333333333,0.332203389830509,0.270833333333333,0.388569154741161,0.372717552717553,0.372717552717553,0.372717552717553,0.181334383018047,0.268475247732133,0.254721529215275,0.253760533017419,0.238054862548609,0.237027465288335,0.260300632619561,0.217402688635565,0.216375291375291,0.395445557923643,0.191375291375291,0.191375291375291,0.319604303694069,0.160606060606061,-0.337989113399599,-0.233333333333333,-0.133333333333333,-0.408720412948644,-0.207068477645727,-0.351158512116067,-0.491235500425742,-0.280277777777778,-0.359709522362267
"AKT",0.361661255411255,0.361661255411255,0.283431641887524,0.302215870674289,0.277450980392157,0.22342916306027,0.19394198357309,0.236274509803922,0.204211059140092,0.0952380952380952,0.148179271708683,0.210541133040714,0.0997597597597598,0.177941176470588,0.163979540918164,0.107079747375647,0.0917270502802115,0.205203445203445,0.265537634408602,0.126666666666667,0.284324324324324,0.422159365308248,0.241666666666667,0.26,0.302426294645208,0.11,0.208333333333333,0.2,0.242032991823397,0.215871622630243,0.215871622630243,0.215871622630243,0.397629711550806,0.378362195627239,0.355370278875714,0.35564457354656,0.331506642512077,0.331506642512077,0.197552447552448,0.303381642512077,0.303381642512077,0.387263847263847,0.255555555555556,0.255555555555556,-0.00592381476202141,0.2,-0.20471000325839,-0.166666666666667,-0.05,-0.425393979398952,-0.145416666666667,-0.195620066208301,-0.502174927271864,-0.326898326898327,-0.361661255411255
"RAS",0.363666666666667,0.363666666666667,0.346558265582656,0.368829471182412,0.315294117647059,0.315727554179567,0.286315789473684,0.28,0.311694352159468,0.26,0.26,0.265432098765432,0.168614718614719,0.26,0.201747655583973,0.16601909756784,0.163580073177596,0.214509803921569,0.279256965944272,0.116666666666667,0.173333333333333,0.576157244817039,0.226315789473684,0.166666666666667,0.376399108138239,0.1,0.2,0.2,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,0.408364615454773,0.379257987212698,0.338970588235294,0.338172715894869,0.276470588235294,0.276470588235294,0.0125541125541125,0.2,0.2,0.349934123847167,0.1,0.1,-0.0342918162918163,0,-0.216989664082687,-0.2,-0.1,-0.398954868010219,-0.164492753623188,-0.394176470588235,-0.468591165599185,-0.325,-0.363666666666667
"SNAI2",0.367957006411791,0.367957006411791,0.425495673461765,0.41151863197899,0.375493787258493,0.393614202437732,0.349019607843137,0.333613445378151,0.371812078839905,0.2,0.288235294117647,0.40221111369449,0.117857142857143,0.276470588235294,0.366305130747951,0.115024875621891,0.0950248756218905,0.36889281262983,0.41441672362725,0.301176470588235,0.326724137931034,0.710777486540221,0.376754385964912,0.275,0.448322008191805,0.26,0.332894736842105,0.2,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,0.449418177528942,0.427956280172798,0.402974962071897,0.40259545543053,0.373563197366014,0.373563197366014,0.323799864773496,0.341168831168831,0.341168831168831,0.447100565604419,0.305454545454545,0.305454545454545,0.385743987724154,0.26,-0.386470390385003,-0.1,-0.2,-0.63740252833956,-0.335870348139256,-0.355166666666667,-0.80811998606693,-0.278538812785388,-0.367957006411791
"SOSGRB2",0.370925925925926,0.370925925925926,0.372116870346959,0.394101227239913,0.343736263736264,0.359400959400959,0.323037323037323,0.301428571428571,0.360857142857143,0.276190476190476,0.30952380952381,0.363091334094613,0.266558441558442,0.271428571428571,0.306060606060606,0.265454763101822,0.257891737891738,0.341041998936736,0.396806178895731,0.233333333333333,0.304678362573099,0.645185136153225,0.347552447552448,0.288888888888889,0.405412935323383,0.2,0.309090909090909,0.3,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,0.398728523571307,0.369796484736355,0.331521739130435,0.330434782608696,0.275,0.273913043478261,-0.0272222222222222,0.2,0.2,0.345606435643564,0.1,0.1,-0.0359243253625276,0,-0.31585308255715,-0.2,-0.2,-0.492675946623315,-0.272727272727273,-0.384027777777778,-0.561000536235478,-0.333888888888889,-0.370925925925926
"SHH",0.371428571428571,0.371428571428571,0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.1,0.162857142857143,0.0666666666666667,0.2,0.253333333333333,0.106666666666667,0.0666666666666667,0.15,0.233333333333333,0.3,0.1,0.36727969348659,0.2,0,0.2,0.2,0.1,0,0.303846153846154,0.25,0.25,0.25,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.25,0.2,0.1,0.276190476190476,0.2,0.1,0.272987012987013,0,-0.271794871794872,0,-0.2,-0.299068100358423,-0.333333333333333,-0.26,-0.340714285714286,-0.3,-0.371428571428571
"MEK",0.372523808343279,0.372523808343279,0.341784651911954,0.36765582314126,0.32295885344429,0.175942773294204,0.227666911225238,0.267619047619048,0.254109641135345,0.17,0.187241379310345,0.287357454425163,0.169857560045295,0.22,0.240821562865358,0.175930650287021,0.164719887955182,0.194083993265573,0.253830287608914,0.192380952380952,0.16243842364532,0.658243540668067,0.21489898989899,0.110714285714286,0.408918939969235,0.14,0.156565656565657,0.0857142857142857,0.129388050713929,0.0945637695637696,0.0945637695637696,0.0945637695637696,0.397386144883419,0.375206412569844,0.351914893617021,0.3503359462486,0.32,0.318421052631579,0.0925079365079365,0.27,0.268421052631579,0.379089630482036,0.2,0.2,0.0416013837594553,0.1,-0.192062200684263,-0.1,-0.1,-0.50940999456157,-0.21965367965368,-0.262765263493914,-0.581747616552973,-0.33001998001998,-0.372523808343279
"Csn",0.386826359876556,0.386826359876556,0.262376622867668,0.286638478578025,0.259182559182559,0.248067265484928,0.211897052718971,0.210533910533911,0.178698005396056,0.106666666666667,0.161212121212121,0.198460133800784,0.0888795518207283,0.145454545454545,0.159315748997111,0.0989244068045655,0.081432657629648,0.221142506142506,0.273722239518472,0.124137931034483,0.196818181818182,0.436048393870883,0.247680572851806,0.165,0.298614443563001,0.1,0.207954545454545,0.105,0.235630333335672,0.208321885398541,0.208321885398541,0.208321885398541,0.414542627681198,0.394011989652139,0.370552682469594,0.370986779568105,0.346785866326096,0.346785866326096,0.173290368779091,0.318390804597701,0.318390804597701,0.404537612146308,0.266666666666667,0.266666666666667,0.0475164237533402,0.2,-0.148181518691479,-0.18,-0.0428571428571429,-0.437158737235324,-0.143125272806635,-0.190556426846749,-0.512630667927998,-0.347871007305498,-0.386826359876556
"STAT",0.387143640350877,0.387143640350877,0.222749231444884,0.214882582166846,0.198131313131313,0.208983516483516,0.1925,0.167575757575758,0.154780702360073,0.2,0.18,0.0752778151335844,0.0733606557377049,0.140909090909091,0.0760462189033617,0.0811650114591291,0.0767532467532467,0.0502234359483615,0.0382142857142857,0.0564102564102564,0.0407894736842105,0.101467630319278,0.0257142857142857,0.025,0.0810401310401311,0.0333333333333333,0,0,-0.0329158582041921,-0.0451295986622074,-0.0451295986622074,-0.0451295986622074,0.025236974829723,0.0163730547298479,0.00698104021079162,0.00716252841405841,-0.00336378737541528,-0.00336378737541528,-0.00595238095238095,-0.0196428571428571,-0.0196428571428571,-0.0460708737686642,-0.0571428571428571,-0.0571428571428571,-0.0667264996617101,0,0.0443223443223443,0,0,-0.0536787013448895,-0.0699237699237699,-0.177777777777778,-0.192181064099714,-0.273333333333333,-0.387143640350877
"IKK",0.399166666666667,0.399166666666667,0.500401002506266,0.531175390266299,0.469191919191919,0.252190476190476,0.178857142857143,0.405555555555556,0.299824146981627,0.1,0.142857142857143,0.293333333333333,0.193333333333333,0.35,0.266151368760064,0.198627450980392,0.183333333333333,0.327922077922078,0.366681341257612,0.18,0.264285714285714,0.660045193467653,0.307359307359307,0.314285714285714,0.534780256930358,0.12,0.245454545454545,0.3,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,0.437870573870574,0.408810744810745,0.376239316239316,0.376239316239316,0.331623931623932,0.331623931623932,0.301890756302521,0.277777777777778,0.277777777777778,0.403095238095238,0.2,0.2,0.138921516685266,0.1,-0.224505494505495,-0.2,-0.1,-0.567727272727273,-0.236521739130435,-0.281578947368421,-0.681424718881224,-0.331720430107527,-0.399166666666667
