"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.430398953564421,-0.348056318775632,-0.383636363636364,-0.28,-0.334545454545455,-0.100476967398654,-0.107915214664353,-0.0933521078682369,-0.182543721909313,-0.186647401213314,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.244647967134155,-0.212051282051282,-0.17051282051282,-0.158254302774851,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571095173611275,0.570888002215292,-0.376832589112872,-0.342413984461709,-0.342413984461709,-0.342413984461709,0.652517701354814,0.336625402147943,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.354234654234654
"SUFU",-0.504338360088888,-0.59907253893877,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.465145281720205,-0.415696167631651,-0.432117758784425,-0.353846153846154,-0.393846153846154,-0.156896623338863,-0.15410352588147,-0.143870967741935,-0.369119783048354,-0.295166591399468,-0.349348431483781,-0.269139194139194,-0.23452380952381,-0.324166666666667,-0.290833333333333,-0.286987977273013,-0.192857142857143,-0.390331255090291,-0.361013986013986,-0.322377622377622,-0.277338877338877,0.503944842555326,-0.563678918770126,-0.563678918770126,-0.523659659695176,0.470937138170037,-0.434833804088288,-0.409509128763613,-0.409509128763613,-0.409509128763613,0.525551999127469,0.379114480352097,0.575362215919846,-0.346608508697817,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352488268153597,0.348656462585034,0.421634756995582
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.34375,-0.3,-0.3,-0.3,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.418920145190563,-0.402146271711851,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.393502406034595,-0.357745982529217,-0.363030303030303,-0.28,-0.326666666666667,-0.12617575558752,-0.112519711719928,-0.10298425939719,-0.344161725955204,-0.363849056603774,-0.43784802394478,-0.335849056603774,-0.3,-0.297916666666667,-0.266666666666667,-0.373929174370076,-0.26,-0.401470183734335,-0.373923013923014,-0.340589680589681,-0.199047619047619,0.30464135021097,-0.388324487689813,-0.388324487689813,-0.489299710789899,0.620552080005568,-0.416081972599645,-0.395392317427231,-0.395392317427231,-0.395392317427231,0.604997741192195,0.363492710489993,0.39752144359621,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353934255180941,0.324003623188406,0.355957933917408
"cateninmemb",-0.418920145190563,-0.402146271711851,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.393502406034595,-0.357745982529217,-0.363030303030303,-0.28,-0.326666666666667,-0.12617575558752,-0.112519711719928,-0.10298425939719,-0.344161725955204,-0.363849056603774,-0.43784802394478,-0.335849056603774,-0.3,-0.297916666666667,-0.266666666666667,-0.373929174370076,-0.26,-0.401470183734335,-0.373923013923014,-0.340589680589681,-0.199047619047619,0.30464135021097,-0.388324487689813,-0.388324487689813,-0.489299710789899,0.524643534006849,-0.416081972599645,-0.395392317427231,-0.395392317427231,-0.395392317427231,0.606072515885944,0.363492710489993,0.39752144359621,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353934255180941,0.324003623188406,0.355957933917408
"GSK3",-0.248060906861396,-0.27623405933056,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.206361357699724,-0.152533187187919,-0.184780810587262,-0.116666666666667,-0.158974358974359,-0.0882575181133412,-0.0852425538633914,-0.0760696215325644,-0.146661650788909,-0.190275327452553,-0.281398457876626,-0.17562015503876,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196351059191526,-0.136666666666667,-0.256141595387098,-0.239170316013729,-0.222268907563025,-0.0456380613200009,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.41245612659927,0.416904506748331,-0.211775805533501,-0.192119521967443,-0.192119521967443,-0.192119521967443,0.487947083465295,0.024600375346202,0.390483087404078,-0.379848891570153,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0155816696453163,0.13107412081289,0.179133896578463
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.225019157088123,-0.22073762506942,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0157894736842105,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0935827216261999,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0974642488574377,-0.102694157694158,-0.0739348370927318,-0.0142857142857143,-0.0406015037593985,-0.0134180790960452,-0.0161877021452911,-0.00989839396919043,-0.0691822601357549,-0.0719799498746867,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129314823107927,-0.111133004926108,-0.0869950738916256,-0.0693581780538302,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314753621013749,0.406960753020097,-0.281017592807874,-0.261836007130125,-0.261836007130125,-0.261836007130125,0.440221966343664,0.226375558290037,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0816828810377197
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.363030303030303,-0.336089931573803,-0.326666666666667,-0.2,-0.28,-0.109959539371304,-0.10298425939719,-0.0891156462585034,-0.324003623188406,-0.335849056603774,-0.412614379084967,-0.3,-0.26,-0.266666666666667,-0.233333333333333,-0.353745688131544,-0.2,-0.373923013923014,-0.340589680589681,-0.305454545454545,-0.188571428571429,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.464465873931893,0.592777865765671,-0.395392317427231,-0.370392317427231,-0.370392317427231,-0.370392317427231,0.673421362470867,0.347048266045549,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342128375572915,0.297916666666667,0.326456018208595
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.170278341221546,-0.16387755248478,-0.161781609195402,-0.158333333333333,-0.158333333333333,-0.146407624633431,-0.13924328847704,-0.137102615694165,-0.132280646183085,-0.129606918238994,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101904761904762,-0.0964102564102564,-0.0897435897435897,-0.0895890410958904,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0501447467710145,-0.0415318495285875,-0.0241749694250095,-0.0182668731449219,-0.0182668731449219,-0.0182668731449219,0.00647944165395331,0.0120327918241465,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.127735191637631,0.179182522332875
