"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","TWIST1","KLF4","cateninmemb","SOSGRB2","HEY1","Ecadherin","SMAD","ILK","Jagged","SHH","SNAI2","NFB","IKK","NOTCH","SMO","AKT","NOTCHic","Csl","FUS","miR200","Csn","GSK3","RAS","RAF","PI3K","DELTA","TrCP","SUFU","ZEB2","ZEB1","Patched","GLI","Wnt","cateninnuc","Frizzled","TCFLEF","CD44","cMet","SRC","DSH","STAT","LIV1","AXIN2","Destcompl","RKIP"
"TrCP",-0.334990034475329,-0.355175646078909,-0.323969972320044,-0.280535628885701,-0.209803921568627,-0.26,-0.417609633492141,-0.370068649885584,-0.317894736842105,-0.262980577357097,-0.354907376672083,0.52526013143483,0.55413256405526,-0.193300248138958,0.00109649122807018,0.633107612273712,-0.00518603530082194,0.00766312671035124,-0.144276915693489,-0.102121212121212,-0.556423175732185,-0.05,-0.086,-0.15543167950112,-0.0733333333333333,-0.107518987341772,-0.128812974465148,-0.0896825396825397,-0.0433333333333333,0.583968266141746,1.11022302462516e-17,0.317548816298091,-0.362438875678312,-0.328917748917749,-0.328917748917749,-0.328917748917749,-0.0666666666666667,-0.00666666666666668,-0.571648550724638,-0.544137757667169,0.0824242424242424,-0.381782461618527,-0.351782461618527,-0.433489097118096,-0.320634920634921,-0.410745414807626,-0.383904559700738,-0.353968253968254,-0.320634920634921,-0.277777777777778,-0.277777777777778,-0.2,-0.420653460098184,-0.372937506225559,0.332840145974484
"SUFU",-0.489809455009186,-0.58485913475066,-0.553870123761649,-0.513640238704177,-0.472463768115942,-0.35,-0.457014590347924,-0.425196408529742,-0.389393939393939,-0.394535588219799,-0.334327339327339,0.481868131868132,0.453278020346986,-0.290426170468187,-0.110340802987862,0.508834182862765,-0.0966306766130088,-0.092037037037037,-0.25820454950792,-0.328666666666667,-0.51288425477573,-0.219047619047619,-0.253830227743271,-0.374106229029776,-0.286666666666667,-0.279033479775792,-0.34658329324996,-0.308311688311688,-0.253333333333333,0.55443910584187,-0.176190476190476,0.371405932777188,-0.429483342627514,-0.405834693978866,-0.405834693978866,-0.405834693978866,0.133333333333333,0.22,-0.543211605116398,-0.518744282953586,0.312,-0.395573809523809,-0.37077380952381,-0.330503770081857,-0.33952380952381,-0.312198685336095,-0.291240601503759,-0.266240601503759,-0.235714285714286,-0.296666666666667,-0.192857142857143,-0.15,-0.425826154790951,-0.342952746696227,0.411768735851305
"Patched",-0.379699248120301,-0.472463768115942,-0.433333333333333,-0.4,-0.3,-0.1,-0.35,-0.3,-0.2,-0.307407407407407,-0.231318681318681,0.35,0.345769230769231,-0.25,-0.0666666666666667,0.388191489361702,-0.0783333333333333,-0.0583333333333333,-0.179220779220779,-0.253333333333333,-0.412777777777778,-0.1,-0.133333333333333,-0.265454545454545,-0.3,-0.176190476190476,-0.22,-0.2,-0.3,0.427950310559006,0,0.301794871794872,-0.345781637717122,-0.303846153846154,-0.303846153846154,-0.303846153846154,0,0.2,-0.418796992481203,-0.371428571428571,0.22,-0.296666666666667,-0.25,-0.266240601503759,-0.2,-0.235714285714286,-0.192857142857143,-0.15,-0.1,-0.2,-0.1,-0.1,-0.319047619047619,-0.294397644655411,0.292857142857143
"miR200",-0.127219214847837,-0.153841599931112,-0.13358843537415,-0.106802721088435,-0.0761904761904762,-0.0142857142857143,-0.111390091390091,-0.083982683982684,-0.0476190476190476,-0.116088541343029,-0.236082844096543,0.358417508417508,0.419264393753169,-0.117214076246334,-0.00870748299319728,0.463745482651462,-0.00716748768472906,-0.00285714285714286,-0.135808296575767,-0.0866931285365195,-0.320468859876185,-0.0491228070175439,-0.0750487329434698,-0.152323002609125,-0.0640151515151515,-0.0920700095392145,-0.133304597701149,-0.104137931034483,-0.0458333333333333,0.318166025407144,-0.0333333333333333,0.23055247524244,-0.287635993843448,-0.266791666666667,-0.266791666666667,-0.266791666666667,0,0.0333333333333333,-0.383479195030088,-0.390768765133172,0.0744629127091814,-0.311451021477213,-0.292173913043478,-0.343436787307952,-0.270434782608696,-0.330210165572484,-0.314825550187869,-0.295072463768116,-0.273333333333333,-0.24,-0.24,-0.2,-0.346196832164743,-0.318816753254885,0.091031746031746
"Ecadherin",-0.413951134350062,-0.397962761823613,-0.370143212951432,-0.339143212951432,-0.307636363636364,-0.281818181818182,-0.392978926817936,-0.363613847452857,-0.328877005347594,-0.351135463899251,-0.433749378994784,0.289255126511036,0.61431133478329,-0.294722698684963,-0.089946151409566,0.596709416159064,-0.0544982698961938,-0.05,-0.361665101979667,-0.323302369139909,-0.487165556777172,-0.296842105263158,-0.330175438596491,-0.397975499677627,-0.277471264367816,-0.35874686716792,-0.3707027724049,-0.338787878787879,-0.253333333333333,0.383587250361491,-0.26,0.362796921260198,-0.4202853032556,-0.40034188034188,-0.40034188034188,-0.40034188034188,0.2,0.233333333333333,-0.372560803291193,-0.350420168067227,0.304053542848829,-0.374660677290853,-0.352626778985768,-0.407036961104889,-0.326310989512084,-0.391738272421062,-0.373743413809236,-0.351974706326243,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.42609184935801,-0.351600176849021,0.353907903914634
"cateninmemb",-0.413951134350062,-0.397962761823613,-0.370143212951432,-0.339143212951432,-0.307636363636364,-0.281818181818182,-0.392978926817936,-0.363613847452857,-0.328877005347594,-0.351135463899251,-0.433749378994784,0.289255126511036,0.518377055456408,-0.294722698684963,-0.089946151409566,0.597689411527667,-0.0544982698961938,-0.05,-0.361665101979667,-0.323302369139909,-0.487165556777172,-0.296842105263158,-0.330175438596491,-0.397975499677627,-0.277471264367816,-0.35874686716792,-0.3707027724049,-0.338787878787879,-0.253333333333333,0.383587250361491,-0.26,0.362796921260198,-0.4202853032556,-0.40034188034188,-0.40034188034188,-0.40034188034188,0.2,0.233333333333333,-0.372560803291193,-0.350420168067227,0.304053542848829,-0.374660677290853,-0.352626778985768,-0.407036961104889,-0.326310989512084,-0.391738272421062,-0.373743413809236,-0.351974706326243,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.42609184935801,-0.351600176849021,0.353907903914634
"KLF4",-0.385721469278291,-0.370143212951432,-0.339143212951432,-0.307636363636364,-0.263636363636364,-0.2,-0.363613847452857,-0.328877005347594,-0.281818181818182,-0.32984074498954,-0.409038954284359,0.255442176870748,0.588265450842669,-0.28138936535163,-0.0754006968641115,0.666645450274203,-0.05,-0.0388888888888889,-0.342581132514018,-0.304053542848829,-0.463367776259293,-0.26,-0.296842105263158,-0.3707027724049,-0.253333333333333,-0.330175438596491,-0.338787878787879,-0.305454545454545,-0.233333333333333,0.350420168067227,-0.2,0.347171921260198,-0.40034188034188,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.1,0.2,-0.340320366132723,-0.311644657863145,0.277471264367816,-0.352626778985768,-0.326310989512084,-0.391738272421062,-0.296078431372549,-0.373743413809236,-0.351974706326243,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.233333333333333,-0.401824066931232,-0.340689360909742,0.323473121305939
"RKIP",-0.276141158419639,-0.305921226539783,-0.251282051282051,-0.207692307692308,-0.2,-0.17,-0.22024154589372,-0.181111111111111,-0.17,-0.203340268146093,-0.364260964260964,0.291558441558442,0.467665170650245,-0.055831608005521,-0.123611111111111,0.536892641258894,-0.110561660561661,-0.118253968253968,-0.242895389839363,-0.176666666666667,-0.61703798109938,-0.04,-0.06,-0.188571428571429,-0.0833333333333333,-0.117142857142857,-0.128571428571429,-0.0857142857142857,-0.05,0.358245614035088,-0.1,0.156740740740741,-0.0888095238095238,-0.0488095238095238,-0.0488095238095238,-0.0488095238095238,0.1,0.1,-0.336558441558442,-0.318245614035088,0.143333333333333,-0.313605442176871,-0.266666666666667,-0.365740852366316,-0.2,-0.34187721600268,-0.311644657863145,-0.264705882352941,-0.2,-0.1,-0.1,0,-0.332756756756757,-0.016105757863454,0.215942028985507
"GSK3",-0.215624717903356,-0.251844851102671,-0.238371797210455,-0.2236176988498,-0.18383275261324,-0.108496732026144,-0.201485927704415,-0.181485927704415,-0.155435507536348,-0.0926711645241683,-0.255980033038857,0.303518869190511,0.402873255672254,-0.160989253237807,-0.00275360335705163,0.476258768316056,-0.00131488836652165,0.0106851116334783,-0.16838168069747,-0.0654098360655738,-0.397734032521578,-0.122564102564103,-0.130026789131267,-0.226926108374384,-0.05,-0.137395210183898,-0.214926108374384,-0.202857142857143,-0.05,0.362526994765315,-0.0892307692307692,0.0118540205915132,-0.202056207378885,-0.183232677967121,-0.183232677967121,-0.183232677967121,0.02,0.025,-0.330168578119379,-0.343930503537245,0.05,-0.331005971871037,-0.312204881952781,-0.360251775064785,-0.294557823129252,-0.347616116150056,-0.331533641923252,-0.31307634164777,-0.294557823129252,-0.276190476190476,-0.276190476190476,-0.242857142857143,-0.371480157250461,-0.00301264370425907,0.16356362217018
"ZEB2",-0.205620992679816,-0.193931341987414,-0.190587876941821,-0.181632653061225,-0.171428571428571,-0.147619047619048,-0.146355889724311,-0.142355889724311,-0.142355889724311,-0.122442824715692,-0.102410082461501,-0.0995408163265306,-0.0782627711975604,-0.0555707968079102,-0.0500971250971251,-0.0474661053491603,-0.0443932411674347,-0.0443932411674347,-0.0372135580905029,-0.0311494252873563,-0.0283814599093782,-0.0277777777777778,-0.0277777777777778,-0.0269880997206076,-0.0266666666666667,-0.0265729585006693,-0.0263258480649785,-0.021978021978022,-0.02,-0.0192391914654688,-0.0111111111111111,-0.0060659330534839,-0.00471456634323472,-0.00191082802547771,-0.00191082802547771,-0.00191082802547771,0,0,0.000498120300751879,0.0265384615384615,0.03,0.0657980295566502,0.0667980295566502,0.0691750876785444,0.0696551724137931,0.071510854101902,0.0740953471436515,0.0756028848320938,0.078544061302682,0.08,0.0888888888888889,0.1,0.105938106148159,0.129887984328916,0.156509016776646
