"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","IKK","AKT","NFB","SHH","TWIST1","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","ZEB2","ZEB1","SOSGRB2","Destcompl","cateninmemb","RAS","RAF","PI3K","DELTA","KLF4","SNAI2","Ecadherin","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","GSK3","RKIP"
"TrCP",-0.366833603079583,-0.421416882699429,-0.388629997453527,-0.353781512605042,-0.304761904761905,-0.36383099975436,-0.341164333087693,-0.190170896342311,-0.319130434782609,-0.28,-0.0990063791633595,-0.102706946577914,-0.0917392046424304,-0.124122807017544,-0.138937621832359,-0.108333333333333,-0.214341013824885,-0.403773103707886,-0.145007680491551,-0.10952380952381,-0.0833333333333333,-0.307215831629175,-0.254688644688645,-0.215128205128205,-0.17051282051282,-0.506176286708118,-0.506176286708118,-0.231669416941694,0.405973994460564,0.647936275012372,-0.253917800675333,-0.228463255220788,-0.228463255220788,-0.228463255220788,0.487888108248764,-0.676854082195485,0.667076684715918,0.522401703336311,-0.627807334818601,-0.580772852059981,-0.522771834735891,-0.458869395711501,-0.525217296504425,-0.385185185185185,-0.460860860860861,-0.3,-0.385185185185185,0.0333333333333333,0.0761904761904762,-0.3,-0.2,-0.541950924807138,0.178341013824885,-0.201675324675325,0.232539118340223
"SUFU",-0.358553791212008,-0.506609956298991,-0.478010350776308,-0.438648648648649,-0.39,-0.35459306650796,-0.331188811188811,-0.189715816628246,-0.297855477855478,-0.258461538461538,-0.144016678275453,-0.140220647100629,-0.128904249871992,-0.21378021978022,-0.230558743270153,-0.186857142857143,-0.444037284037284,-0.3786753902007,-0.382222222222222,-0.343333333333333,-0.142857142857143,-0.414510384031318,-0.431551226551227,-0.397424242424242,-0.351969696969697,-0.373372849206744,-0.373372849206744,-0.355723224144277,0.372760002135767,0.612322289616308,-0.205062694127651,-0.185125985266891,-0.185125985266891,-0.185125985266891,0.338795087420787,-0.72090019069908,0.560910053778048,0.381935991652366,-0.644613721822662,-0.604357967346959,-0.659997458138722,-0.606837606837607,-0.558162315173046,-0.547222222222222,-0.504778856526429,-0.475,-0.445555555555556,0.1,0.293333333333333,-0.373333333333333,-0.3,-0.680743075343316,0.413535353535354,-0.27968661728744,0.217548448932838
"RKIP",-0.266504568228706,-0.300151312861593,-0.258095238095238,-0.22,-0.2,-0.210645634629494,-0.187241379310345,-0.134748131355894,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.110714285714286,-0.144047619047619,-0.0857142857142857,-0.215147540983607,-0.374004753416518,-0.14,-0.1,-0.1,-0.286274153124747,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.342907699665232,-0.342907699665232,-0.0613968253968254,0.427818723308139,0.515214374037903,-0.0164973914973915,0.00487012987012987,0.00487012987012987,0.00487012987012987,0.322907699665232,-0.673856734860407,0.548578622540522,0.354801129834039,-0.490494165001999,-0.435277880014722,-0.370769230769231,-0.29,-0.370242914979757,-0.2,-0.289473684210526,-0.1,-0.2,0.1,0.1,-0.1,0,-0.377402719174871,0.184,-0.135618597320725,0.178011204481793
"miR200",-0.069679859435957,-0.117861450656782,-0.0992567994939911,-0.0799019607843137,-0.0583333333333333,-0.0494867037724181,-0.0379220779220779,0.00024938024938025,-0.0242857142857143,-0.0142857142857143,-0.0117514124293785,-0.0122037175744835,-0.00812848246476565,-0.0338345864661654,-0.0432685487303164,-0.0252631578947368,-0.0910525591634563,-0.235768873253536,-0.0525,-0.0325,-0.02,-0.160051802125789,-0.137745122596087,-0.114581280788177,-0.0869950738916256,-0.309068100358423,-0.309068100358423,-0.120676982591876,0.316640370817004,0.459281276532244,-0.187509526986208,-0.173295063145809,-0.173295063145809,-0.173295063145809,0.305175983436853,-0.391806913730184,0.450559371500839,0.244265220331011,-0.454699089465563,-0.428941513707987,-0.393024609193623,-0.355661971830986,-0.398385958152432,-0.312,-0.360183710961421,-0.26,-0.316521739130435,0,0.02,-0.26,-0.2,-0.422330730973131,0.0714873417721519,-0.214175373707777,-0.00169442009932807
"Patched",-0.265,-0.39,-0.34,-0.3,-0.3,-0.258461538461538,-0.22,-0.162365591397849,-0.2,-0.1,-0.105128205128205,-0.11,-0.1,-0.1,-0.142857142857143,-0.1,-0.343333333333333,-0.255555555555556,-0.333333333333333,-0.3,0,-0.286984126984127,-0.296969696969697,-0.233333333333333,-0.2,-0.308333333333333,-0.308333333333333,-0.25,0.310569430569431,0.450089605734767,-0.141346153846154,-0.103846153846154,-0.103846153846154,-0.103846153846154,0.261111111111111,-0.55264367816092,0.415331715210356,0.311904761904762,-0.504778856526429,-0.445555555555556,-0.475,-0.4,-0.373333333333333,-0.3,-0.3,-0.2,-0.2,0,0.2,-0.1,-0.1,-0.481818181818182,0.293333333333333,-0.226739926739927,0.162857142857143
"GSK3",-0.19099439116575,-0.249075975279581,-0.230358026561632,-0.212587991718426,-0.181159420289855,-0.148422675822057,-0.134786312185693,-0.033371451040814,-0.122004357298475,-0.096078431372549,-0.084025719614788,-0.078556830782174,-0.0715103540205548,-0.142413793103448,-0.151815502505158,-0.136666666666667,-0.181352345024265,-0.294269831832807,-0.138618907973747,-0.119264069264069,-0.124166666666667,-0.265961513090908,-0.272384282384282,-0.249267399267399,-0.226190476190476,-0.296812480995241,-0.296812480995241,-0.185718558242665,0.399434044878912,0.491917694487204,-0.130018652150609,-0.113842181562374,-0.113842181562374,-0.113842181562374,0.283761057969471,-0.513565622048938,0.503837024156095,0.303891656806968,-0.534774566651838,-0.507735092967628,-0.474947751361385,-0.437211902304782,-0.475410961177779,-0.393421052631579,-0.437791913558731,-0.343421052631579,-0.393421052631579,0.0866666666666667,0.0954545454545455,-0.343421052631579,-0.275,-0.5045150640614,0.158864306746753,-0.297398960091062,0.0779674711253659
"ZEB2",-0.245550893550894,-0.227280972995259,-0.224106369820656,-0.216623376623377,-0.203896103896104,-0.184232956506136,-0.18057441992077,-0.17417324698228,-0.174122807017544,-0.158333333333333,-0.147697947214076,-0.141559846886195,-0.13851106639839,-0.138333333333333,-0.137398753894081,-0.136111111111111,-0.125036426987646,-0.123000850245045,-0.117142857142857,-0.114285714285714,-0.111111111111111,-0.100852690075805,-0.0964758301807482,-0.0937435897435897,-0.0897435897435897,-0.0669825907036525,-0.0669825907036525,-0.0631501831501832,-0.0629001098710393,-0.0510287481838769,-0.0390607821871205,-0.0362770562770563,-0.0362770562770563,-0.0362770562770563,-0.0342884449152026,-0.0329576974740137,0.00357458060413574,0.0301499112582754,0.060028255658352,0.0679503335804299,0.0682932358161716,0.0765501165501165,0.0771052631578947,0.0842424242424242,0.0854385964912281,0.0909090909090909,0.0933333333333333,0.1,0.1,0.1,0.1,0.11124092285139,0.119581881533101,0.193834270873943,0.195764895330113
"SNAI2",0.272583148137184,0.350568187141077,0.310816634346046,0.267226890756303,0.219607843137255,0.221886592474828,0.192156862745098,0.00519345405566661,0.162745098039216,0.133333333333333,0.0977094635322483,0.0845975373773743,0.072635814889336,0.189367816091954,0.219488298019665,0.158333333333333,0.480724684239893,0.478184392726774,0.376470588235294,0.3,0.133333333333333,0.588930408908615,0.451965140123035,0.401315789473684,0.343421052631579,-0.0137967275015733,-0.0137967275015733,0.364435429344151,-0.389909123884912,-0.785991328092458,0.27414275635077,0.24994184310876,0.24994184310876,0.24994184310876,0.0453846153846154,0.894203653092141,-0.847204242272516,0.0147421577785901,0.720748511058349,0.675717455157728,0.622929017958015,0.560362173038229,0.622727764436079,0.485714285714286,0.560362173038229,0.4,0.485714285714286,-0.1,-0.2,0.4,0.3,0.642582136010781,-0.435654261704682,0.35207222171435,-0.00620512820512821
"HEY1",0.245313235195268,0.318348854397635,0.280787878787879,0.239454545454545,0.195454545454545,0.206581399195104,0.17668449197861,0.00675110319684406,0.147272727272727,0.12,0.0886325439266616,0.0754782608695652,0.0653333333333333,0.153333333333333,0.182962962962963,0.12,0.454301075268817,0.447625272331155,0.366666666666667,0.3,0.1,0.562207986915633,0.422659695161052,0.376267942583732,0.323636363636364,-0.00947368421052632,-0.00947368421052632,0.335077186963979,-0.347093636903524,-0.758134759323784,0.234913273001508,0.213589743589744,0.213589743589744,0.213589743589744,0.0444444444444444,0.667197318810222,-0.716553512797101,0.00961741961741962,0.686076407433756,0.645852248031514,0.599084862493514,0.54391244870041,0.598695057396063,0.476470588235294,0.54391244870041,0.4,0.476470588235294,-0.1,-0.2,0.4,0.3,0.622727764436079,-0.416666666666667,0.309173996806461,-0.00875077303648732
"FOXC2",0.245313235195268,0.318348854397635,0.280787878787879,0.239454545454545,0.195454545454545,0.206581399195104,0.17668449197861,0.00675110319684406,0.147272727272727,0.12,0.0886325439266616,0.0754782608695652,0.0653333333333333,0.153333333333333,0.182962962962963,0.12,0.454301075268817,0.447625272331155,0.366666666666667,0.3,0.1,0.562207986915633,0.422659695161052,0.376267942583732,0.323636363636364,-0.00947368421052632,-0.00947368421052632,0.335077186963979,-0.347093636903524,-0.758134759323784,0.234913273001508,0.213589743589744,0.213589743589744,0.213589743589744,0.0444444444444444,0.667197318810222,-0.716553512797101,0.00961741961741962,0.686076407433756,0.645852248031514,0.599084862493514,0.54391244870041,0.598695057396063,0.476470588235294,0.54391244870041,0.4,0.476470588235294,-0.1,-0.2,0.4,0.3,0.622727764436079,-0.416666666666667,0.309173996806461,-0.00875077303648732
