"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","SMO","AKT","NFB","IKK","MEK","FUS","EGR1","Jagged","Csn","ERK","cfos","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","Ecadherin","RAF","PI3K","DELTA","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","SOSGRB2"
"TrCP",-0.43650696273213,-0.458051425698485,-0.42360698125404,-0.378991596638655,-0.314285714285714,-0.343536354914673,-0.0933490442524221,-0.101098348349496,-0.0861481822365393,-0.178803541517109,-0.392903883994793,-0.136190476190476,-0.174756032037585,-0.10952380952381,-0.144658944658945,-0.319774104683196,-0.10952380952381,-0.15,-0.232051929269889,-0.0761904761904762,-0.272666666666667,-0.216666666666667,-0.239594696969697,-0.206261363636364,-0.165636363636364,0.551603174603175,-0.599262404038307,-0.599262404038307,-0.569057166640778,0.570362880821798,-0.379433504836765,0.651239860258034,-0.345457601222307,-0.345457601222307,-0.345457601222307,0.333956840078401,0.611210268874202,-0.450437371049008,-0.397673180240574,-0.426912041416808,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.386507186884227,0.156190476190476,0.344738474092207,-0.0950793650793651
"SUFU",-0.502865456440545,-0.597905853506588,-0.565770124963673,-0.52490990990991,-0.481666666666667,-0.412521407138227,-0.150393093692326,-0.147207631391199,-0.137301971013841,-0.365967386954782,-0.348224789915966,-0.322261904761905,-0.279166666666667,-0.225,-0.254166666666667,-0.438153654016598,-0.290833333333333,-0.333333333333333,-0.285067253556462,-0.183333333333333,-0.40515873015873,-0.369047619047619,-0.381382301908618,-0.352637362637363,-0.316923076923077,0.503248054313628,-0.562369568313692,-0.562369568313692,-0.521595993512815,0.47054739187262,-0.41079284727034,0.524586737106657,-0.385040338909136,-0.385040338909136,-0.385040338909136,0.375868986852076,0.57411077371001,-0.34611311541951,-0.406940869952022,-0.326072005450343,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.353538659304355,0.346751700680272,0.412110262618737,0.0322916666666667
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.105128205128205,-0.115789473684211,-0.1,-0.290833333333333,-0.240740740740741,-0.333333333333333,-0.183333333333333,-0.1,-0.15,-0.333333333333333,-0.3,-0.1,-0.203597883597884,0,-0.3,-0.2,-0.273333333333333,-0.233333333333333,-0.2,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.415928342135239,0.354623655913978,-0.321264367816092,0.397006472491909,-0.283333333333333,-0.283333333333333,-0.283333333333333,0.303502188868043,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.298461538461538,0.0333333333333333
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.358370250964644,-0.126952599221507,-0.11294841555204,-0.103901960784314,-0.344639656938044,-0.438126483368021,-0.297916666666667,-0.364139194139194,-0.302857142857143,-0.337472527472527,-0.376658086658087,-0.266666666666667,-0.277777777777778,-0.374196538094589,-0.26,-0.348730158730159,-0.317777777777778,-0.40172068249526,-0.374928229665072,-0.342296650717703,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489462552811712,0.620598378586183,-0.413406345963491,0.605181299521773,-0.39317344931138,-0.39317344931138,-0.39317344931138,0.363641773797487,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353741711060928,0.324798387096774,0.356676556438914,-0.166404828048664
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.358370250964644,-0.126952599221507,-0.11294841555204,-0.103901960784314,-0.344639656938044,-0.438126483368021,-0.297916666666667,-0.364139194139194,-0.302857142857143,-0.337472527472527,-0.376658086658087,-0.266666666666667,-0.277777777777778,-0.374196538094589,-0.26,-0.348730158730159,-0.317777777777778,-0.40172068249526,-0.374928229665072,-0.342296650717703,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489462552811712,0.524689773268335,-0.413406345963491,0.606255951478458,-0.39317344931138,-0.39317344931138,-0.39317344931138,0.363641773797487,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353741711060928,0.324798387096774,0.356676556438914,-0.166404828048664
"GSK3",-0.246538174300322,-0.275021865415139,-0.258225999782064,-0.240331262939959,-0.203188405797101,-0.150282985758316,-0.0853417174078967,-0.0826609386859783,-0.0731808163618193,-0.144913476778231,-0.280287764590372,-0.117936981051735,-0.186763651697238,-0.155913978494624,-0.171208096141683,-0.144764740917213,-0.10974025974026,-0.0488888888888889,-0.19528390594948,-0.133333333333333,-0.12695652173913,-0.1,-0.253966917756927,-0.236413726267565,-0.218683229813665,0.355186863393602,-0.384004882758004,-0.384004882758004,-0.41133117440636,0.416578516416864,-0.209530754965085,0.487158777680567,-0.191308532742863,-0.191308532742863,-0.191308532742863,0.0231369455882073,0.389290553532383,-0.37944516033698,-0.348815133468151,-0.366017248756643,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0162427039469365,0.129048092162846,0.174982682923272,-0.112638322655795
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.22073762506942,-0.159581881533101,-0.154764914874029,-0.153754813863928,-0.208590163934426,-0.374004753416518,-0.14,-0.152649769585253,-0.0857142857142857,-0.110714285714286,-0.117227191413238,-0.1,-0.17,-0.258543536260005,-0.1,-0.0776923076923077,-0.07,-0.208565656565657,-0.156565656565657,-0.111111111111111,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624003738443098,0.474936280818634,-0.0872340049487451,0.543314330360812,-0.0428861788617886,-0.0428861788617886,-0.0428861788617886,0.163442579269917,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.223809523809524,0.0357142857142857
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102869581398993,-0.0135593220338983,-0.0166346156882434,-0.01001001001001,-0.0693136504845366,-0.228397471649005,-0.0458333333333333,-0.074309287204024,-0.0357894736842105,-0.0570015948963317,-0.117022222222222,-0.0325,-0.02,-0.113373879456023,-0.02,-0.0922222222222222,-0.0533333333333333,-0.130852216748768,-0.111995073891626,-0.0869950738916256,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.315030241473873,0.406960753020097,-0.29156875883303,0.440254401145329,-0.272408653846154,-0.272408653846154,-0.272408653846154,0.226894396770239,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315521191034763,0.0572257383966245,0.083064182194617,-0.155772357723577
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.33671420000923,-0.111306340718105,-0.103901960784314,-0.0906666666666667,-0.324798387096774,-0.412614379084967,-0.266666666666667,-0.337472527472527,-0.26,-0.302857142857143,-0.348730158730159,-0.233333333333333,-0.2,-0.354196538094589,-0.2,-0.317777777777778,-0.277777777777778,-0.374928229665072,-0.342296650717703,-0.305454545454545,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.464749561875156,0.592777865765671,-0.39317344931138,0.673504886266412,-0.369801801801802,-0.369801801801802,-0.369801801801802,0.347641773797487,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.32739898989899,-0.165034965034965
"ZEB2",-0.238024540709104,-0.226011986999829,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.161833531277921,-0.143893698893699,-0.135991051084918,-0.134452589546457,-0.130670435601942,-0.126941803699897,-0.122857142857143,-0.119700854700855,-0.117777777777778,-0.117777777777778,-0.114327520305781,-0.114285714285714,-0.114285714285714,-0.111303671711268,-0.111111111111111,-0.105631868131868,-0.101785714285714,-0.0962088242088242,-0.0917643797643798,-0.0863589743589744,-0.0523565158559132,-0.0505627787764207,-0.0505627787764207,-0.0488312420115172,-0.041611850007095,0.00153903070662227,0.00602556478999521,0.00742138364779874,0.00742138364779874,0.00742138364779874,0.00951206746773287,0.0139951568548365,0.0430312060424816,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.112935690489502,0.126560846560847,0.172314156431803,0.181074168797954
