"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","cfos","ERK","SNAI1","HEY1","NFB","SMAD","IKK","ILK","AKT","Csn","SHH","TWIST1","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","RAS","RAF","PI3K","DELTA","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.438259488824967,-0.459418819688829,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.24,-0.319162859248342,-0.261739130434783,-0.287162859248342,-0.343449207208006,-0.0975357909280654,-0.0458333333333333,-0.103997269158559,-0.0405701754385965,-0.0917392046424304,-0.046125730994152,-0.0583333333333333,-0.181543721909313,-0.393677583286279,-0.138556067588326,-0.10952380952381,-0.23376448534424,-0.158681318681319,-0.14,-0.123076923076923,0.0292094305078523,0.032845794144216,0.032845794144216,0.032845794144216,-0.239205170517052,0.55255945875618,-0.600689101916495,-0.600689101916495,-0.569762982713181,0.570888002215292,0.652240884745817,0.324693722943723,0.61258095608648,-0.451039840796754,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.385996214602897,0.159543721909313,0.345738644412678
"SUFU",-0.493158930525595,-0.590132844036281,-0.558377419973165,-0.522207207207207,-0.481666666666667,-0.253846153846154,-0.315807068939864,-0.281118881118881,-0.298360260429226,-0.402353880197367,-0.13908515092381,-0.0208571428571429,-0.144260384627665,-0.0208571428571429,-0.135253456221198,-0.0255551294343241,0.00714285714285715,-0.364326956826957,-0.340207750732517,-0.318611111111111,-0.290833333333333,-0.283386907354941,-0.148636363636364,-0.131969696969697,-0.113787878787879,-0.0674696684739019,-0.0649380229042817,-0.0649380229042817,-0.0649380229042817,-0.333701386332965,0.49587573486906,-0.55327286271945,-0.55327286271945,-0.517337244766719,0.4679554910835,0.519485422654208,0.358247059125479,0.565134971821833,-0.343521255391435,-0.406197375528231,-0.324441971503967,-0.379059829059829,-0.302159362808315,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435508347593289,-0.05,0.253333333333333,-0.15,-0.355622574457193,0.343863636363636,0.396016083409309
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.1,-0.253846153846154,-0.1,-0.2,-0.318817204301075,-0.105128205128205,0.1,-0.11,0.05,-0.1,0.00714285714285715,0,-0.290833333333333,-0.240740740740741,-0.333333333333333,-0.3,-0.203597883597884,-0.0787878787878788,-0.0333333333333333,0,-0.0668269230769231,-0.0730769230769231,-0.0730769230769231,-0.0730769230769231,-0.283333333333333,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.413946360153257,0.354623655913978,0.397006472491909,0.284981684981685,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.30045954045954,0.253333333333333,0.288571428571429
"GSK3",-0.244962251131162,-0.27374232342419,-0.258101297783164,-0.240331262939959,-0.203188405797101,-0.076078431372549,-0.137774021357613,-0.105708061002179,-0.123001294084885,-0.146014893992649,-0.0822713336498757,-0.0716666666666667,-0.0812656650442882,-0.0705172413793104,-0.073019787982819,-0.0739360447981138,-0.0716666666666667,-0.144679662833027,-0.278187444536754,-0.119417679095098,-0.10974025974026,-0.195112724572656,-0.179166715637304,-0.169036845507434,-0.161344537815126,0.0727667942435988,0.0744474665125064,0.0744474665125064,0.0744474665125064,-0.18375874456419,0.355016575666063,-0.38273650856242,-0.38273650856242,-0.410455738155522,0.416639254758941,0.486699357830195,0.0142700975297506,0.388232065186939,-0.379276060338021,-0.348815133468151,-0.365986586653811,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0466666666666667,0.0954545454545455,-0.25,-0.0174000150876445,0.129847126947859,0.167830678093836
"Ecadherin",-0.404271621499192,-0.390629586118317,-0.365132298595713,-0.33830303030303,-0.307636363636364,-0.0236363636363636,-0.096658397192054,-0.0589304812834225,-0.0805799658195049,-0.338203328665468,-0.0945981614122159,0.0561904761904762,-0.0948513878653894,0.0450793650793651,-0.0863768115942029,0.035988455988456,0.08,-0.336082888832444,-0.425656552378866,-0.291666666666667,-0.266666666666667,-0.368986941935731,-0.209904770147707,-0.193176145612391,-0.173588516746411,0.0443003488460275,0.0462556561085973,0.0462556561085973,0.0462556561085973,-0.33504333303241,0.294608532583216,-0.373398334140341,-0.373398334140341,-0.481885427960553,0.617373595239449,0.597507000434037,0.341879380110701,0.383123421168114,-0.408765502926202,-0.376563863075302,-0.39373282318764,-0.353897196408636,-0.375675538007067,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427543909038778,-0.1,0.233333333333333,-0.266666666666667,-0.35790928013296,0.316397849462366,0.315020185806703
"cateninmemb",-0.404271621499192,-0.390629586118317,-0.365132298595713,-0.33830303030303,-0.307636363636364,-0.0236363636363636,-0.096658397192054,-0.0589304812834225,-0.0805799658195049,-0.338203328665468,-0.0945981614122159,0.0561904761904762,-0.0948513878653894,0.0450793650793651,-0.0863768115942029,0.035988455988456,0.08,-0.336082888832444,-0.425656552378866,-0.291666666666667,-0.266666666666667,-0.368986941935731,-0.209904770147707,-0.193176145612391,-0.173588516746411,0.0443003488460275,0.0462556561085973,0.0462556561085973,0.0462556561085973,-0.33504333303241,0.294608532583216,-0.373398334140341,-0.373398334140341,-0.481885427960553,0.521464561882159,0.598579073569999,0.341879380110701,0.383123421168114,-0.408765502926202,-0.376563863075302,-0.39373282318764,-0.353897196408636,-0.375675538007067,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427543909038778,-0.1,0.233333333333333,-0.266666666666667,-0.35790928013296,0.316397849462366,0.315020185806703
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.17,-0.188341892883346,-0.17,-0.173448275862069,-0.22073762506942,-0.159581881533101,-0.0857142857142857,-0.156725110893631,-0.0857142857142857,-0.153754813863928,-0.0948051948051948,-0.1,-0.208590163934426,-0.374004753416518,-0.14,-0.1,-0.258543536260005,-0.169153069153069,-0.138383838383838,-0.111111111111111,0.14468586968587,0.143831168831169,0.143831168831169,0.143831168831169,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,0.543314330360812,0.161544523246651,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.116581738045153,-0.143043297589103,-0.124438646426312,-0.100245098039216,-0.0708333333333333,0.0142857142857143,-0.0295423623995053,0.00428571428571428,-0.0138961038961039,-0.0986500536500537,-0.0100847457627119,0.0252631578947368,-0.0134576360697813,0.0281203007518797,-0.00812848246476565,0.0243467158462193,0.02,-0.0680953036140158,-0.227170477783975,-0.0458333333333333,-0.0325,-0.112593846399744,-0.0657098327349642,-0.0549753694581281,-0.0446305418719212,0.117092296049009,0.119835438193647,0.119835438193647,0.119835438193647,-0.124609929078014,0.34836093857833,-0.369587813620072,-0.369587813620072,-0.313700893646164,0.406960753020097,0.439926108355498,0.21736548689789,0.302769938560132,-0.336494338217231,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.316640370817004,0.0572257383966245,0.0752759793804718
"KLF4",-0.379328829737178,-0.365132298595713,-0.33830303030303,-0.307636363636364,-0.263636363636364,0.04,-0.0805799658195049,-0.0236363636363636,-0.0589304812834225,-0.317633708412304,-0.0805042016806723,0.08,-0.0863768115942029,0.0561904761904762,-0.0733333333333333,0.0450793650793651,0.1,-0.316397849462366,-0.40237908496732,-0.266666666666667,-0.233333333333333,-0.349536141020399,-0.193176145612391,-0.173588516746411,-0.147272727272727,0.0462556561085973,0.0484615384615385,0.0484615384615385,0.0484615384615385,-0.319253859348199,0.262962962962963,-0.344014447884417,-0.344014447884417,-0.459067848189331,0.591732569598423,0.668879931300638,0.326868342583107,0.353142043142043,-0.39373282318764,-0.353897196408636,-0.375675538007067,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,-0.1,0.2,-0.233333333333333,-0.346352896162783,0.291666666666667,0.289177489177489
"ZEB2",-0.239313131313131,-0.227033601319316,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.183333333333333,-0.178502905572349,-0.178070175438596,-0.174844368986984,-0.166462070388819,-0.148988269794721,-0.145833333333333,-0.140340334691073,-0.139166666666667,-0.13851106639839,-0.134493769470405,-0.133333333333333,-0.133189737092176,-0.128469221661901,-0.122857142857143,-0.114285714285714,-0.112880416125877,-0.10700798654897,-0.106461538461538,-0.105128205128205,-0.0776940404349398,-0.0766233766233766,-0.0766233766233766,-0.0766233766233766,-0.0639194139194139,-0.0523565158559132,-0.0517351328634275,-0.0517351328634275,-0.0506823294430706,-0.0415318495285875,0.00674036794227686,0.0145149646038982,0.0149065019932594,0.0427773766469096,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.114042242032692,0.127735191637631,0.182608695652174
