"","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","cateninmemb","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","miR200","GLI","cateninnuc","TCFLEF","Wnt","CD44","Frizzled","cMet","DSH","SRC","STAT","TrCP","SUFU","LIV1","AXIN2","Patched","Destcompl","RKIP"
"TrCP",-0.447514365589923,-0.413158537369064,-0.371278195488722,-0.311278195488722,-0.426491385269194,-0.28,-0.334699172789063,-0.381715265866209,-0.334545454545455,-0.0991887777041712,-0.105890110558458,-0.0923953008698771,-0.169486025562905,-0.116666666666667,-0.148095238095238,-0.174827911362565,-0.127601134497686,-0.382151012036069,-0.103463203463203,-0.0833333333333333,-0.220374123185542,-0.231100802148815,-0.199393485075644,-0.161462450592885,0.565381917239321,-0.212222222222222,0.54828738512949,-0.593680445940624,-0.593680445940624,-0.564868279391524,0.644818039546709,-0.367744766471167,-0.332638383492444,-0.332638383492444,-0.332638383492444,0.323937408628039,0.605725582146049,-0.394620958751394,-0.445690807480392,-0.423275588290979,-0.36128762541806,-0.395841959972395,-0.322826086956522,-0.362508626639061,-0.275,-0.322826086956522,-0.275,0.0333333333333333,0.0761904761904762,-0.2,-0.428562071668816,0.147081653978206,-0.375408109485191,0.343085646888042
"SUFU",-0.592800734618917,-0.562222222222222,-0.523333333333333,-0.481666666666667,-0.462028342934096,-0.353846153846154,-0.411082040415898,-0.430449395565675,-0.393240093240093,-0.158132769971429,-0.155323713832439,-0.145253456221198,-0.36422619047619,-0.236857142857143,-0.270190476190476,-0.294328407224959,-0.322261904761905,-0.340820320030846,-0.290833333333333,-0.192857142857143,-0.278223206783286,-0.385062862448755,-0.358091908091908,-0.322377622377622,0.454078871217909,-0.294649347153049,0.503248054313628,-0.561893896563511,-0.561893896563511,-0.513683612944176,0.512207722149447,-0.429045504015487,-0.405011890570109,-0.405011890570109,-0.405011890570109,0.371953628436648,0.573756328827979,-0.394335158420888,-0.330963747972565,-0.311870263553301,-0.368019368947204,-0.289730590447804,-0.336060606060606,-0.263501082251082,-0.296666666666667,-0.232251082251082,-0.192857142857143,0.15,0.253333333333333,-0.15,-0.423896650820509,0.345178571428571,-0.340971507060918,0.420375939849624
"Patched",-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.1,-0.325268817204301,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.1,-0.15,-0.192857142857143,-0.333333333333333,-0.238461538461538,-0.3,0,-0.201318681318681,-0.278787878787879,-0.233333333333333,-0.2,0.343658008658009,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.412034428794992,0.388911088911089,-0.345781637717122,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.303502188868043,0.440476190476191,-0.296666666666667,-0.263501082251082,-0.232251082251082,-0.25,-0.192857142857143,-0.2,-0.15,-0.2,-0.1,-0.1,0,0.2,-0.1,-0.319047619047619,0.253333333333333,-0.292641219497203,0.302857142857143
"Ecadherin",-0.400429548732845,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.394880739416917,-0.281818181818182,-0.357117218893225,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.343203623188406,-0.302857142857143,-0.33989417989418,-0.367998755057579,-0.297916666666667,-0.434313643778135,-0.266666666666667,-0.26,-0.369825736094785,-0.402145135566188,-0.375629984051037,-0.342296650717703,0.609480295805288,-0.295296650119841,0.30464135021097,-0.388324487689813,-0.388324487689813,-0.484652549349701,0.593752294941009,-0.418189521223819,-0.398820798124823,-0.398820798124823,-0.398820798124823,0.361595663771009,0.39752144359621,-0.370628880922999,-0.402969094665864,-0.387415754685804,-0.349649859943978,-0.369675938654267,-0.324649859943978,-0.348974184268302,-0.296078431372549,-0.324649859943978,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.422845191467059,0.324003623188406,-0.348747840935856,0.358485820857788
"cateninmemb",-0.400429548732845,-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.394880739416917,-0.281818181818182,-0.357117218893225,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.343203623188406,-0.302857142857143,-0.33989417989418,-0.367998755057579,-0.297916666666667,-0.434313643778135,-0.266666666666667,-0.26,-0.369825736094785,-0.402145135566188,-0.375629984051037,-0.342296650717703,0.513622058423224,-0.295296650119841,0.30464135021097,-0.388324487689813,-0.388324487689813,-0.484652549349701,0.594948880920289,-0.418189521223819,-0.398820798124823,-0.398820798124823,-0.398820798124823,0.361595663771009,0.39752144359621,-0.370628880922999,-0.402969094665864,-0.387415754685804,-0.349649859943978,-0.369675938654267,-0.324649859943978,-0.348974184268302,-0.296078431372549,-0.324649859943978,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.422845191467059,0.324003623188406,-0.348747840935856,0.358485820857788
"GSK3",-0.267828052211614,-0.250841750841751,-0.234545454545455,-0.201212121212121,-0.207413518371247,-0.119607843137255,-0.14497964825623,-0.187413518371247,-0.163004069552349,-0.0878881327705516,-0.084600877045244,-0.0759321463950892,-0.139382634816745,-0.159247311827957,-0.171152073732719,-0.185311365768117,-0.112121212121212,-0.272853025924163,-0.105454545454545,-0.136666666666667,-0.186881695688354,-0.248365857192425,-0.23123878536922,-0.215683229813665,0.4076095160079,-0.161175247166626,0.352793247961069,-0.380495502519674,-0.380495502519674,-0.402133391981719,0.484248191474709,-0.204839214172811,-0.185528869345225,-0.185528869345225,-0.185528869345225,0.0153065054578305,0.385851064086752,-0.335576665448788,-0.363241858889665,-0.351101403155634,-0.315576665448788,-0.335577209607247,-0.293837535014006,-0.315896358543417,-0.272268907563025,-0.293837535014006,-0.272268907563025,0.0866666666666667,0.0954545454545455,-0.242857142857143,-0.37460086656982,0.123513617184503,-0.00383927239955665,0.173520599723347
"RKIP",-0.319075358298659,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.17,-0.218551384719621,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.206033898305085,-0.0857142857142857,-0.110714285714286,-0.156168831168831,-0.14,-0.368686735612498,-0.1,-0.1,-0.251587301587302,-0.208565656565657,-0.156565656565657,-0.111111111111111,0.469914149443561,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.617891045837229,0.542161645325184,-0.0888095238095238,-0.0488095238095238,-0.0488095238095238,-0.0488095238095238,0.158693710932517,0.380952950808151,-0.311347517730496,-0.367815559492656,-0.341204915234953,-0.266666666666667,-0.309386733416771,-0.2,-0.264705882352941,-0.1,-0.2,-0.1,0.1,0.1,0,-0.331555555555555,0.184,-0.0143999691896888,0.226050420168067
"miR200",-0.145124616111505,-0.125245098039216,-0.100245098039216,-0.0708333333333333,-0.106166592028661,-0.0142857142857143,-0.103642961407272,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0697438672438672,-0.0357894736842105,-0.0557894736842105,-0.0730971659919028,-0.0458333333333333,-0.23098628448143,-0.0325,-0.02,-0.114791822256768,-0.131293319505661,-0.111995073891626,-0.0869950738916256,0.416940591264693,-0.114664031620553,0.34836093857833,-0.370526780756222,-0.370526780756222,-0.319347456007513,0.457368741528828,-0.287210514834206,-0.266791666666667,-0.266791666666667,-0.266791666666667,0.228877315773143,0.30353786285152,-0.31116603757646,-0.341576791226263,-0.329284432422276,-0.292822842310188,-0.314509271822705,-0.270434782608696,-0.295721393034826,-0.24,-0.273333333333333,-0.24,0,0.02,-0.2,-0.346291886698961,0.057521645021645,-0.318382950964308,0.0826612178651132
"KLF4",-0.372989401403195,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.2,-0.336089931573803,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324003623188406,-0.26,-0.302857142857143,-0.33989417989418,-0.266666666666667,-0.410321321321321,-0.233333333333333,-0.2,-0.351149613163343,-0.375629984051037,-0.342296650717703,-0.305454545454545,0.583317908574198,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.461141577562867,0.663555358398339,-0.398820798124823,-0.375225292506846,-0.375225292506846,-0.375225292506846,0.346341426482874,0.362568172568173,-0.349649859943978,-0.387415754685804,-0.369675938654267,-0.324649859943978,-0.348974184268302,-0.296078431372549,-0.324649859943978,-0.266666666666667,-0.296078431372549,-0.266666666666667,0.1,0.2,-0.233333333333333,-0.399669225801823,0.297916666666667,-0.33837639858178,0.328674500103071
"ZEB2",-0.21677595155363,-0.212040575509062,-0.204239157069346,-0.194805194805195,-0.159772810840132,-0.158333333333333,-0.156426275734514,-0.154709519700892,-0.153070175438596,-0.146407624633431,-0.13834485171901,-0.137102615694165,-0.1264063849839,-0.123611111111111,-0.123611111111111,-0.123611111111111,-0.120168067226891,-0.115053614822598,-0.114285714285714,-0.111111111111111,-0.102484208528073,-0.0914356027114648,-0.0891367521367521,-0.0863589743589744,-0.0709112175509492,-0.062945054945055,-0.0536820380761629,-0.047737574963263,-0.047737574963263,-0.0335218179630173,-0.033003771259246,-0.00749248017500684,-0.00314465408805031,-0.00314465408805031,-0.00314465408805031,-0.000469350329704404,0.0113366128225475,0.0628239753612888,0.0635153957663663,0.0670431135489437,0.0673015873015873,0.0715091329664194,0.0728571428571429,0.076031746031746,0.08,0.0817460317460317,0.0888888888888889,0.1,0.1,0.1,0.10505780125555,0.122668067226891,0.129084865305064,0.173273158019427
