"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","ERK","cfos","SNAI1","TWIST1","HEY1","AKT","SHH","IKK","SMAD","NFB","Csn","ILK","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","Destcompl","RKIP"
"TrCP",-0.418332661912536,-0.443365393847554,-0.409485612426789,-0.365546218487395,-0.304761904761905,-0.427035126504544,-0.28,-0.380368459837878,-0.327826086956522,-0.31950167472478,-0.380531996988519,-0.0476467648528677,-0.155190058479532,-0.14105154463219,-0.127412280701754,-0.0467912613073903,-0.0958333333333333,-0.0583333333333333,-0.0403396484041645,-0.103533026113671,-0.080952380952381,-0.204967834014997,-0.224175824175824,-0.192307692307692,-0.153846153846154,-0.220173267326733,0.534117616445485,-0.56658688627274,-0.579426566710031,-0.579426566710031,0.563570019057846,-0.377657251617079,-0.34356634252617,-0.34356634252617,-0.34356634252617,0.63971672520503,0.59161402447458,0.332811147186147,-0.44569054954579,-0.395721960728379,-0.423345721959583,-0.364990253411306,-0.396679055292917,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.431601140130743,0.0333333333333333,0.0476190476190476,-0.2,0.12205154463219,-0.38336182780603,0.329766770982241
"SUFU",-0.493805397810433,-0.590682594340532,-0.560505079547633,-0.522207207207207,-0.481666666666667,-0.460787170765161,-0.353846153846154,-0.428872277148139,-0.393240093240093,-0.397973558430912,-0.342546563085871,-0.100774046976247,-0.275243307028542,-0.330764985764986,-0.25578021978022,-0.08760761261469,-0.228857142857143,-0.192857142857143,-0.0836815156169995,-0.300555555555556,-0.278333333333333,-0.263533618696026,-0.378275613275613,-0.352878787878788,-0.318787878787879,-0.297570850202429,0.497073339659479,-0.523088204917469,-0.552567489434722,-0.552567489434722,0.469010058802194,-0.438243790535604,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.520101367238947,0.565009829196046,0.378765456377847,-0.345225820512678,-0.406940869952022,-0.325737329464085,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,0.315707070707071,-0.352087037506723,0.409914673773289
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.1,-0.3,-0.2,-0.318817204301075,-0.240740740740741,-0.0897435897435897,-0.192857142857143,-0.278333333333333,-0.15,-0.0833333333333333,-0.1,0,-0.0833333333333333,-0.333333333333333,-0.3,-0.196190476190476,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.440476190476191,0.305128205128205,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,0.253333333333333,-0.298261738261738,0.302857142857143
"Ecadherin",-0.415265734579104,-0.39925929252388,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39437124428028,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.349427301409309,-0.435283893818235,-0.0860578032311155,-0.358268398268398,-0.321181525696385,-0.336190476190476,-0.0609617854511001,-0.302857142857143,-0.26,-0.0587826086956522,-0.291666666666667,-0.266666666666667,-0.360934795760015,-0.398418982377535,-0.374255413604301,-0.342296650717703,-0.295863049562156,0.30337552742616,-0.489842726426676,-0.384478795259685,-0.384478795259685,0.620341968329773,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.603453602500098,0.394098425886135,0.36444175100605,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,0.307795698924731,-0.353637560332742,0.353225444076166
"cateninmemb",-0.415265734579104,-0.39925929252388,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39437124428028,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.349427301409309,-0.435283893818235,-0.0860578032311155,-0.358268398268398,-0.321181525696385,-0.336190476190476,-0.0609617854511001,-0.302857142857143,-0.26,-0.0587826086956522,-0.291666666666667,-0.266666666666667,-0.360934795760015,-0.398418982377535,-0.374255413604301,-0.342296650717703,-0.295863049562156,0.30337552742616,-0.489842726426676,-0.384478795259685,-0.384478795259685,0.524433527272179,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604528399841556,0.394098425886135,0.36444175100605,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,0.307795698924731,-0.353637560332742,0.353225444076166
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.102165057165057,-0.228397471649005,-0.0117514124293785,-0.0727706057596822,-0.0680953036140158,-0.0557894736842105,-0.0109497990791857,-0.0357894736842105,-0.02,-0.00812848246476565,-0.0458333333333333,-0.0325,-0.112593846399744,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.314833511931918,-0.370282258064516,-0.370282258064516,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.303281447511538,0.226551407215886,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,0.0572257383966245,-0.315503569275578,0.0821827674271767
"GSK3",-0.233430249880678,-0.264169337202211,-0.246989850022724,-0.227826086956522,-0.194492753623188,-0.206623519955563,-0.119607843137255,-0.184464429046472,-0.156644880174292,-0.131216556727174,-0.270059022165,-0.0438070510262143,-0.169292661361627,-0.10846260669034,-0.153908045977012,-0.0305520879396071,-0.136666666666667,-0.111666666666667,-0.0283032123773882,-0.086279849183075,-0.0733766233766234,-0.170583088188646,-0.241885957180075,-0.224483359777477,-0.205602240896359,-0.16422111071005,0.34008255343937,-0.408522367777944,-0.367742388632442,-0.367742388632442,0.410240765009653,-0.213155702321617,-0.194458223330021,-0.194458223330021,-0.194458223330021,0.477158384020148,0.373255359130579,0.0220826269741977,-0.374978975238808,-0.34692834101532,-0.362478975238808,-0.328532114600226,-0.346895716111471,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.384829752556393,0.0866666666666667,0.0590909090909091,-0.25,0.0979362909008664,-0.0143155261286679,0.162836111257164
"KLF4",-0.38894994510542,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.2,-0.328877005347594,-0.281818181818182,-0.330123503940955,-0.411633986928105,-0.0813598166539343,-0.336190476190476,-0.307795698924731,-0.302857142857143,-0.0587826086956522,-0.26,-0.2,-0.0573333333333333,-0.266666666666667,-0.233333333333333,-0.344687656171914,-0.374255413604301,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,-0.353199174406605,-0.353199174406605,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.672976484681208,0.361509971509972,0.348106210167198,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,0.291666666666667,-0.341987979717644,0.326633683776541
"ZEB2",-0.231724941724942,-0.220978492407064,-0.214100185528757,-0.203896103896104,-0.194805194805195,-0.16160676080445,-0.158333333333333,-0.153070175438596,-0.153070175438596,-0.152959701247407,-0.123343388945394,-0.120190615835777,-0.114267912772586,-0.113737725688945,-0.113333333333333,-0.112268828732243,-0.111111111111111,-0.111111111111111,-0.11043956043956,-0.108571428571429,-0.1,-0.0996419384722457,-0.0925430853299706,-0.0887179487179487,-0.0820512820512821,-0.066996336996337,-0.0573920053429897,-0.0490791214530031,-0.0441936915615543,-0.0441936915615543,-0.0433052446727691,-0.0219504157512723,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00263134649338286,0.00763634939125921,0.0108584815800035,0.0442608227782431,0.0461970445456684,0.0482867968042171,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.111010452961672,0.113506355467632,0.170080515297907
"RKIP",-0.048437960506926,-0.0654116599910992,-0.0495238095238095,-0.04,-0.0333333333333333,-0.0857006603081438,-0.12,-0.066551724137931,-0.07,-0.022255483025155,-0.157602495543672,0.10878823073945,0.0991341991341991,0.0663606557377049,0.114285714285714,0.0942055694658041,0.114285714285714,0.1,0.0971758664955071,0.08,0.1,0.0448116258387905,0.0644133644133644,0.0797979797979798,0.0888888888888889,0.0546031746031746,0.0298900047824008,-0.435048376755843,-0.0398900047824008,-0.0398900047824008,0.215595427360133,0.0341713841713842,0.0487012987012987,0.0487012987012987,0.0487012987012987,0.206012419367438,0.0356087294305811,0.0392828999211978,-0.174205993551112,-0.154871794871795,-0.168353576248313,-0.143333333333333,-0.160661268556005,-0.149122807017544,-0.133333333333333,-0.133333333333333,-0.1,-0.1,-0.192381622128458,-0.1,-0.1,0,-0.068,0.0675617285241623,0.0494397759103641
