"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","EGR1","MEK","HEY1","ERK","cfos","SMAD","ILK","SHH","TWIST1","SMO","AKT","FUS","IKK","Jagged","NFB","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","Ecadherin","GSK3","RAF","PI3K","DELTA","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.438259488824967,-0.459418819688829,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.345358515083901,-0.24,-0.398397445345124,-0.0975357909280654,-0.349064112011791,-0.296521739130435,-0.10657791431985,-0.0917392046424304,-0.181543721909313,-0.393677583286279,-0.138556067588326,-0.162305068226121,-0.10952380952381,-0.132675438596491,-0.23376448534424,-0.0958333333333333,-0.0583333333333333,-0.228351648351648,-0.195384615384615,-0.153846153846154,-0.231284378437844,0.55255945875618,-0.600689101916495,-0.600689101916495,-0.570486310018787,0.570888002215292,-0.261703814809984,0.652240884745817,0.333224025974026,-0.236249269355439,-0.236249269355439,-0.236249269355439,0.61258095608648,-0.451039840796754,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.385394710843499,0.159543721909313,0.35015853391544
"SUFU",-0.504178709587351,-0.598943650310263,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.413982807509369,-0.338461538461538,-0.432684620344195,-0.155723131417212,-0.399067599067599,-0.365734265734266,-0.153431955811454,-0.143963133640553,-0.369110311610312,-0.348819093796218,-0.324166666666667,-0.245383287853087,-0.290833333333333,-0.219208791208791,-0.28695833592637,-0.192285714285714,-0.164285714285714,-0.359062049062049,-0.32969696969697,-0.295606060606061,-0.305612808244387,0.503944842555326,-0.563503035837805,-0.563503035837805,-0.523351883229928,0.47098276859156,-0.33911391082491,0.525554922453082,0.375228846754151,-0.317594923483138,-0.317594923483138,-0.317594923483138,0.575219342924229,-0.346587713095799,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352910640420222,0.349419191919192,0.419164738060173
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.1,-0.338461538461538,-0.105128205128205,-0.3,-0.2,-0.12,-0.1,-0.290833333333333,-0.240740740740741,-0.333333333333333,-0.164285714285714,-0.3,-0.15,-0.203597883597884,-0.1,0,-0.260606060606061,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.254326923076923,0.397006472491909,0.305128205128205,-0.223076923076923,-0.223076923076923,-0.223076923076923,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.358549643047204,-0.281818181818182,-0.379950383152324,-0.128084864208038,-0.352891559622912,-0.322994652406417,-0.114602519563463,-0.105159420289855,-0.345270828041656,-0.438126483368021,-0.297916666666667,-0.342635882635883,-0.266666666666667,-0.319259259259259,-0.374562670817701,-0.293333333333333,-0.26,-0.389775607566384,-0.364868544369358,-0.337033492822967,-0.29717883903584,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489842726426676,0.620598378586183,-0.380261086815474,0.605247826870112,0.36320313047434,-0.361546003016591,-0.361546003016591,-0.361546003016591,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353730756977663,0.324798387096774,0.358262515084345
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.358549643047204,-0.281818181818182,-0.379950383152324,-0.128084864208038,-0.352891559622912,-0.322994652406417,-0.114602519563463,-0.105159420289855,-0.345270828041656,-0.438126483368021,-0.297916666666667,-0.342635882635883,-0.266666666666667,-0.319259259259259,-0.374562670817701,-0.293333333333333,-0.26,-0.389775607566384,-0.364868544369358,-0.337033492822967,-0.29717883903584,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489842726426676,0.524689773268335,-0.380261086815474,0.606322543684083,0.36320313047434,-0.361546003016591,-0.361546003016591,-0.361546003016591,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353730756977663,0.324798387096774,0.358262515084345
"RKIP",-0.313056292366637,-0.334997774810859,-0.272380952380952,-0.22,-0.2,-0.244029898305702,-0.22,-0.277666911225238,-0.17862950058072,-0.237241379310345,-0.22,-0.167251426683105,-0.164281129653402,-0.216590163934426,-0.390065359477124,-0.14,-0.256168831168831,-0.1,-0.210714285714286,-0.263806694154742,-0.185714285714286,-0.2,-0.31041181041181,-0.256565656565657,-0.211111111111111,-0.0328253968253968,0.337541846006695,-0.385541846006695,-0.385541846006695,-0.633798158186163,0.476897065132359,-0.181404706404706,0.550452158840288,0.203703703703704,-0.141233766233766,-0.141233766233766,-0.141233766233766,0.392478473698307,-0.380931061706474,-0.32,-0.352686786897313,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.2,0.1,0,-0.0144687143149943,0.192,0.260434173669468
"GSK3",-0.247741927595049,-0.27597764907415,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.151692907698974,-0.107843137254902,-0.204833561547958,-0.087164188624683,-0.183810834275231,-0.15599128540305,-0.0853887912787376,-0.0756436638424557,-0.146385125597579,-0.28088629398418,-0.119417679095098,-0.183179708222812,-0.10974025974026,-0.170359195402299,-0.196179889174025,-0.155416666666667,-0.124166666666667,-0.251183816183816,-0.23533966033966,-0.217857142857143,-0.170607951322642,0.355779934444689,-0.385009794238263,-0.385009794238263,-0.41241512349321,0.416904506748331,-0.18079234255583,0.487840796620092,0.0241266949417265,-0.166086460202888,-0.166086460202888,-0.166086460202888,0.390248620815567,-0.379783102096469,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.015803860640605,0.13107412081289,0.178710587657956
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102694157694158,-0.0142857142857143,-0.104458874458874,-0.0134180790960452,-0.0806493506493507,-0.0442857142857143,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.228397471649005,-0.0458333333333333,-0.070883813306852,-0.0325,-0.0557894736842105,-0.113281131623112,-0.0357894736842105,-0.02,-0.128647129219894,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.269697236052616,0.440221966343664,0.226551407215886,-0.254485265977803,-0.254485265977803,-0.254485265977803,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.33671420000923,-0.2,-0.352891559622912,-0.111306340718105,-0.322994652406417,-0.281818181818182,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.412614379084967,-0.266666666666667,-0.319259259259259,-0.233333333333333,-0.293333333333333,-0.354196538094589,-0.26,-0.2,-0.364868544369358,-0.337033492822967,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.361546003016591,0.673504886266412,0.347529841291117,-0.33948717948718,-0.33948717948718,-0.33948717948718,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.163430125191715,-0.158333333333333,-0.155525763661711,-0.146407624633431,-0.145769666100736,-0.142543859649123,-0.138322127889287,-0.137102615694165,-0.132280646183085,-0.127432952231849,-0.122857142857143,-0.118006230529595,-0.114285714285714,-0.113333333333333,-0.112321756908,-0.111111111111111,-0.111111111111111,-0.0947288776796973,-0.0887179487179487,-0.0820512820512821,-0.0708424908424909,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0498807254480368,-0.0415318495285875,0.00622213261399557,0.00647944165395331,0.0105130584366529,0.0111471861471861,0.0111471861471861,0.0111471861471861,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113220436954408,0.127735191637631,0.177487922705314
