"","FOXC2","EGR1","MEK","TGF","ERK","TGFR","cfos","CDC42","HEY1","SMAD","ILK","PAK1","SNAI1","ZEB1","TWIST1","ZEB2","SHH","NFB","AKT","SNAI2","SMO","IKK","Jagged","FUS","KLF4","cateninmemb","RAS","NOTCH","Csn","RAF","PI3K","DELTA","NOTCHic","Csl","SOSGRB2","TrCP","SUFU","GSK3","miR200","cateninnuc","Ecadherin","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","SRC","Patched","DSH","STAT","AXIN2","RKIP","LIV1","Destcompl"
"miR200",-0.574303588428436,-0.2,-0.414,-0.574182384711259,-0.356666666666667,-0.519965517241379,-0.266666666666667,-0.451,-0.458479532163743,-0.490675031480482,-0.451225490196078,-0.375,-0.522511052166225,-0.795223112128146,-0.548699478125694,-0.475384615384615,-0.501019912578922,-0.333333333333333,-0.457777777777778,-0.518883224780758,-0.4,-0.406666666666667,-0.468495976195307,-0.333333333333333,0.390555555555556,0.643146057794631,-0.433092355736428,-0.454923215898826,-0.233333333333333,-0.389823124967197,-0.389823124967197,-0.389823124967197,-0.403703703703704,-0.333333333333333,-0.31328531412565,0.2,0.233333333333333,0.380293106141503,0.69387192346525,-0.493863646091703,0.683341946425763,-0.462390777874649,-0.43010593010593,-0.387248787248787,-0.426906906906907,-0.335897435897436,-0.384684684684685,-0.333333333333333,0.451724137931034,-0.266666666666667,-0.266666666666667,-0.451194056569996,0.488028063890133,-0.2,-0.383803949937171
"TrCP",-0.537462887989204,-0.32,-0.512034632034632,-0.540962562882597,-0.451428571428571,-0.498375812093953,-0.391428571428571,-0.444927536231884,-0.327568557568558,-0.361287522379959,-0.319450787686082,-0.366666666666667,-0.506766131630015,-0.668827810600223,-0.461516109113363,-0.467110959216222,-0.384325396825397,-0.253846153846154,-0.35284947610529,-0.586535652615793,-0.307936507936508,-0.310989010989011,-0.373951694885547,-0.255555555555556,0.403728070175439,0.59358571913177,-0.388238018336058,-0.35732898341594,-0.2,-0.349472586237292,-0.349472586237292,-0.349472586237292,-0.3170692431562,-0.265217391304348,-0.250900537634409,0.1,0.2,0.351312887847606,0.675305321346561,-0.462377291385282,0.701928226086899,-0.434196182876305,-0.400594000594001,-0.363296703296703,-0.401001162129417,-0.326153846153846,-0.364389140271493,-0.326153846153846,0.341269841269841,-0.28,-0.28,-0.434842226152562,0.497809617918313,-0.2,-0.384968919680907
"SUFU",-0.530034647747896,-0.353846153846154,-0.475017165919105,-0.619624177928489,-0.438772624434389,-0.582978215195569,-0.397596153846154,-0.537121861604409,-0.311390182144899,-0.327498120240792,-0.302032281731475,-0.487826086956522,-0.456437856969531,-0.57665384797987,-0.364904274752431,-0.427892737264191,-0.458302688691766,-0.273188405797101,-0.353207602725593,-0.526065004818946,-0.388863287250384,-0.317869256860931,-0.345120553376284,-0.34047619047619,0.353600678373317,0.473124890079724,-0.439242910032842,-0.425011310640097,-0.216666666666667,-0.412876350547312,-0.412876350547312,-0.412876350547312,-0.390543225533714,-0.345964912280702,-0.303450490381688,0.15,0.283333333333333,0.382181382420064,0.579100473664414,-0.347242427130903,0.534526561762725,-0.326052836052836,-0.406181680961112,-0.378425026968716,-0.302136752136752,-0.344444444444444,-0.274444444444444,-0.241111111111111,0.428622323394962,-0.3,-0.196666666666667,-0.43540117928049,0.455766791091667,-0.15,-0.351396919296097
"Ecadherin",-0.423626880607901,-0.281818181818182,-0.396184776017085,-0.405842197694125,-0.364959479574398,-0.374959844752948,-0.328877005347594,-0.340969696969697,-0.177824334458193,-0.178833046225649,-0.158951740587667,-0.307636363636364,-0.368730899069567,-0.386543160894641,-0.441075201859809,-0.343812866282682,-0.3714621758888,-0.302857142857143,-0.379858712715856,-0.490023449515231,-0.306666666666667,-0.345164835164835,-0.388798654007492,-0.266666666666667,0.238552623846742,0.620180275495809,-0.421847156567827,-0.410436465904525,-0.26,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.379138755980861,-0.342296650717703,-0.295863049562156,0.2,0.233333333333333,0.364920369459233,0.386130483016401,-0.411947673579496,0.605430325578777,-0.395445557923643,-0.377230529741969,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,0.343875968992248,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.36541181041181,-0.266666666666667,-0.353555143896749
"cateninmemb",-0.423626880607901,-0.281818181818182,-0.396184776017085,-0.405842197694125,-0.364959479574398,-0.374959844752948,-0.328877005347594,-0.340969696969697,-0.177824334458193,-0.178833046225649,-0.158951740587667,-0.307636363636364,-0.368730899069567,-0.386543160894641,-0.441075201859809,-0.343812866282682,-0.3714621758888,-0.302857142857143,-0.379858712715856,-0.490023449515231,-0.306666666666667,-0.345164835164835,-0.388798654007492,-0.266666666666667,0.238552623846742,0.524271414308006,-0.421847156567827,-0.410436465904525,-0.26,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.379138755980861,-0.342296650717703,-0.295863049562156,0.2,0.233333333333333,0.364920369459233,0.386130483016401,-0.411947673579496,0.606502982979954,-0.395445557923643,-0.377230529741969,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,0.343875968992248,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.36541181041181,-0.266666666666667,-0.353555143896749
"KLF4",-0.391851179673321,-0.2,-0.364959479574398,-0.374959844752948,-0.328877005347594,-0.340969696969697,-0.281818181818182,-0.307636363636364,-0.148690476190476,-0.158951740587667,-0.131365533691115,-0.263636363636364,-0.343812866282682,-0.351504797723285,-0.413905390539054,-0.311954459203036,-0.343875968992248,-0.26,-0.345164835164835,-0.4649781869926,-0.266666666666667,-0.302857142857143,-0.364461304609901,-0.233333333333333,0.20668449197861,0.592542735042735,-0.400897435897436,-0.379138755980861,-0.2,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.1,0.2,0.348106210167198,0.350888192267503,-0.395445557923643,0.673061248272044,-0.376344434328137,-0.353897196408636,-0.326310989512084,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,0.306666666666667,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.331565656565657,-0.233333333333333,-0.341987979717644
"Patched",-0.397368421052632,-0.1,-0.353846153846154,-0.487826086956522,-0.3,-0.44,-0.2,-0.4,-0.196969696969697,-0.24,-0.193333333333333,-0.3,-0.34717868338558,-0.433333333333333,-0.246153846153846,-0.295454545454545,-0.34047619047619,-0.1,-0.216666666666667,-0.416613026819923,-0.333333333333333,-0.15,-0.238666666666667,-0.3,0.22,0.353997677823212,-0.347596153846154,-0.293333333333333,0,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.233333333333333,-0.2,-0.25,0,0.2,0.305128205128205,0.434545454545455,-0.274444444444444,0.397857142857143,-0.241111111111111,-0.3,-0.25,-0.196666666666667,-0.2,-0.15,-0.1,0.283333333333333,-0.2,-0.1,-0.321645021645022,0.313846153846154,-0.1,-0.298261738261738
"RKIP",-0.317251131221719,-0.17,-0.233908045977011,-0.339,-0.187241379310345,-0.275,-0.17,-0.22,-0.246428571428571,-0.259166666666667,-0.250595238095238,-0.2,-0.259958720330237,-0.369579831932773,-0.389851349274312,-0.219607843137255,-0.289615384615385,-0.0857142857142857,-0.2,-0.624963165489481,-0.175,-0.128571428571429,-0.313744588744589,-0.1,0.152941176470588,0.474346220311715,-0.0945637695637696,-0.241323877068558,-0.1,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.171111111111111,-0.111111111111111,-0.0613968253968254,0.1,0.1,0.166320277111644,0.358906659437969,-0.376125419932811,0.548411426661056,-0.3503359462486,-0.32,-0.27,-0.318421052631579,-0.2,-0.268421052631579,-0.2,0.255,-0.1,-0.1,-0.337271448663854,0.253943158290984,0,-0.0222772021332673
"GSK3",-0.281885812944614,-0.129166666666667,-0.233929695367573,-0.304320038327927,-0.208854166666667,-0.28509998261762,-0.179166666666667,-0.265998859022115,-0.213639800714095,-0.226192524678747,-0.202362737444705,-0.224584717607973,-0.204444557687974,-0.392260083085359,-0.302715644528225,-0.181040302368825,-0.250174372779415,-0.216666666666667,-0.252684863080903,-0.417126766486638,-0.20562891823396,-0.232882882882883,-0.268925619480558,-0.195424836601307,0.142489177489177,0.422780300970685,-0.217456061844463,-0.299932107509176,-0.188095238095238,-0.196581744904572,-0.196581744904572,-0.196581744904572,-0.280047381284393,-0.262217923920052,-0.177394086496028,0.116666666666667,0.177777777777778,0.0283702691217362,0.363465342643073,-0.382653687821817,0.502287226000389,-0.367623768779226,-0.348654363665278,-0.32656999641962,-0.348342105263158,-0.306842105263158,-0.326842105263158,-0.306842105263158,0.222295584900627,-0.286842105263158,-0.286842105263158,-0.3854152781007,0.223773764219206,-0.25,-0.0148469361926978
"ZEB2",-0.133092193399099,-0.125,-0.124854557207498,-0.121416798021123,-0.11456043956044,-0.114298153953326,-0.110714285714286,-0.100505050505051,-0.0895454545454545,-0.0891471493507817,-0.0826254102203469,-0.0777777777777778,-0.075030557084586,-0.0746628882140522,-0.0721177760560976,-0.0694258373205742,-0.0612159329140461,-0.0533333333333333,-0.0525166364186328,-0.0525139575530224,-0.05,-0.0498850574712644,-0.0407850319615026,-0.04,-0.0341666666666667,-0.0252018384205806,-0.0242449697336915,-0.0208513708513708,-0.02,-0.017679313168035,-0.017679313168035,-0.017679313168035,-0.0165656565656566,-0.0111111111111111,-0.010952380952381,0,0,0.00655528312167316,0.021303522825167,0.0306232702583028,0.0322239868221833,0.0357661274011599,0.0366292134831461,0.04,0.0416229603729604,0.0446153846153846,0.0450320512820513,0.0512820512820513,0.0556603773584906,0.06,0.0666666666666667,0.0753846153846154,0.0841479416106282,0.1,0.103542187676832
