"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","HEY1","cfos","SMAD","ILK","EGR1","SHH","TWIST1","SMO","AKT","IKK","FUS","NFB","Jagged","NOTCH","NOTCHic","Csn","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","RAS","RAF","PI3K","DELTA","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.347101664837685,-0.385390321788258,-0.354723655121592,-0.100476967398654,-0.319130434782609,-0.106900494965011,-0.0933521078682369,-0.28,-0.182543721909313,-0.394764539808018,-0.138556067588326,-0.110063352826511,-0.106359649122807,-0.10952380952381,-0.0958333333333333,-0.234377982276755,-0.198864468864469,-0.181282051282051,-0.0833333333333333,-0.155128205128205,-0.229689218921892,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.570792096197252,0.570888002215292,0.652517701354814,0.332130411255411,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.155706925785835,-0.147525107604017,-0.147525107604017,-0.147525107604017,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384979773084163,0.159543721909313,0.352386894873083
"SUFU",-0.500381530535503,-0.595907433935257,-0.565335441824804,-0.52490990990991,-0.481666666666667,-0.408771666449171,-0.373873175003036,-0.352171047343461,-0.149926029967937,-0.325734265734266,-0.150257352636851,-0.14078853046595,-0.298461538461538,-0.36709010959011,-0.34548773955646,-0.324166666666667,-0.1650528800059,-0.15767032967033,-0.290833333333333,-0.142285714285714,-0.285753516649261,-0.307799422799423,-0.289545454545455,-0.114285714285714,-0.262272727272727,-0.316139124033861,0.502747237764907,-0.560343674823016,-0.560343674823016,-0.52151307922534,0.470573491647494,0.523977111130198,0.36867995192302,0.572370507854849,-0.345906766804239,-0.406940869952022,-0.32600906859452,-0.0497024101172476,-0.0459049417628173,-0.0459049417628173,-0.0459049417628173,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.1,0.253333333333333,-0.15,-0.354269775824511,0.34739898989899,0.409098347242677
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.298461538461538,-0.26,-0.105128205128205,-0.2,-0.12,-0.1,-0.1,-0.290833333333333,-0.240740740740741,-0.333333333333333,-0.114285714285714,-0.1,-0.3,-0.1,-0.203597883597884,-0.227272727272727,-0.2,0,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,0.397006472491909,0.3003663003663,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.0355769230769231,-0.0230769230769231,-0.0230769230769231,-0.0230769230769231,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.414808068675214,-0.398897628871077,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.349427301409309,-0.277793336641123,-0.258577650366613,-0.115443009418532,-0.234866310160428,-0.106735445836404,-0.0982608695652174,-0.205454545454545,-0.341545487257641,-0.433558622704203,-0.297916666666667,-0.119490139490139,-0.109100529100529,-0.266666666666667,-0.0942857142857143,-0.3724352177978,-0.289265144165047,-0.271793025205939,-0.08,-0.250143540669856,-0.316448496885438,0.30337552742616,-0.384478795259685,-0.384478795259685,-0.487060645525944,0.620213763201568,0.603356231516651,0.352381359951648,0.394098425886135,-0.411551111436507,-0.377230529741969,-0.395397983518673,-0.108627219258997,-0.105275263951735,-0.105275263951735,-0.105275263951735,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.1,0.233333333333333,-0.266666666666667,-0.355920677984896,0.322647849462366,0.341341064856314
"cateninmemb",-0.414808068675214,-0.398897628871077,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.349427301409309,-0.277793336641123,-0.258577650366613,-0.115443009418532,-0.234866310160428,-0.106735445836404,-0.0982608695652174,-0.205454545454545,-0.341545487257641,-0.433558622704203,-0.297916666666667,-0.119490139490139,-0.109100529100529,-0.266666666666667,-0.0942857142857143,-0.3724352177978,-0.289265144165047,-0.271793025205939,-0.08,-0.250143540669856,-0.316448496885438,0.30337552742616,-0.384478795259685,-0.384478795259685,-0.487060645525944,0.524305404274101,0.604430981429476,0.352381359951648,0.394098425886135,-0.411551111436507,-0.377230529741969,-0.395397983518673,-0.108627219258997,-0.105275263951735,-0.105275263951735,-0.105275263951735,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.1,0.233333333333333,-0.266666666666667,-0.355920677984896,0.322647849462366,0.341341064856314
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102165057165057,-0.0726592455163884,-0.057012987012987,-0.0134180790960452,-0.0342857142857143,-0.015854506821855,-0.00989839396919043,-0.0142857142857143,-0.0691822601357549,-0.228397471649005,-0.0458333333333333,-0.0318938856575401,-0.0281203007518797,-0.0325,-0.0252631578947368,-0.113281131623112,-0.1046260888926,-0.0938916256157635,-0.02,-0.0800985221674877,-0.11642166344294,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314637625546022,0.406960753020097,0.440221966343664,0.223777094441573,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.138232327714964,-0.134990432453119,-0.134990432453119,-0.134990432453119,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315668722041887,0.0572257383966245,0.080955773562146
"RKIP",-0.2789566755084,-0.306782376502003,-0.262857142857143,-0.22,-0.2,-0.1990713680933,-0.219156272927366,-0.187241379310345,-0.140534262485482,-0.17,-0.148178993123959,-0.143228498074454,-0.12,-0.200590163934426,-0.357944147355912,-0.14,-0.0726190476190476,-0.0392857142857143,-0.1,-0.0142857142857143,-0.253280378365268,-0.124941724941725,-0.0787878787878788,0,-0.0333333333333333,-0.081968253968254,0.32778574844572,-0.35978574844572,-0.35978574844572,-0.615638223465641,0.472975496504908,0.536176501881336,0.130181245074862,0.369427427917994,-0.374062612089932,-0.32,-0.34988958410011,-0.102888777888778,-0.100324675324675,-0.100324675324675,-0.100324675324675,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0,0.1,0,-0.0303644105725914,0.176,0.195588235294118
"KLF4",-0.38894994510542,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.330123503940955,-0.258577650366613,-0.234866310160428,-0.104033613445378,-0.205454545454545,-0.0982608695652174,-0.0866666666666667,-0.16,-0.322647849462366,-0.410653594771242,-0.266666666666667,-0.109100529100529,-0.0942857142857143,-0.233333333333333,-0.08,-0.352984416882468,-0.271793025205939,-0.250143540669856,-0.1,-0.229090909090909,-0.298027444253859,0.266666666666667,-0.353199174406605,-0.353199174406605,-0.463159381227329,0.592777865765671,0.672976484681208,0.337149571872178,0.361509971509972,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.105275263951735,-0.100128205128205,-0.100128205128205,-0.100128205128205,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.343618720855352,0.297916666666667,0.316996495567924
"GSK3",-0.206038343541404,-0.239113887173272,-0.222703630763016,-0.201449275362319,-0.168115942028985,-0.103724380888183,-0.129553090241945,-0.117053090241945,-0.0525849222300281,-0.101263616557734,-0.0602909292107954,-0.0535443025241387,-0.0827450980392157,-0.125417431007128,-0.241641798681496,-0.104461667364893,-0.0180386089006779,-0.017183908045977,-0.0915584415584415,-0.0183333333333333,-0.176058933645319,-0.081274607745196,-0.0747811012516895,-0.0183333333333333,-0.0684873949579832,-0.201866652916001,0.314910542887577,-0.34226118914951,-0.34226118914951,-0.37468844357317,0.391442867797711,0.452878467577556,-0.0352485010377495,0.347283478712438,-0.358556688152449,-0.334354569368297,-0.347306688152449,-0.144819911161541,-0.141038398556499,-0.141038398556499,-0.141038398556499,-0.319731927858863,-0.334216750485485,-0.319931036199771,-0.304699248120301,-0.304699248120301,-0.286842105263158,-0.286842105263158,-0.37432737983877,-0.00666666666666668,0.0772727272727273,-0.25,-0.0224472363884497,0.114891115217654,0.104372557267294
"ZEB2",-0.237979797979798,-0.225975400261115,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.161740461873805,-0.152365177302028,-0.145048104131296,-0.143826979472141,-0.13859649122807,-0.138133189380184,-0.13569416498994,-0.133333333333333,-0.131371555273994,-0.126396682801797,-0.122857142857143,-0.121490134994808,-0.120555555555556,-0.114285714285714,-0.113888888888889,-0.111763097690123,-0.0952097519966373,-0.0913846153846154,-0.0888888888888889,-0.0820512820512821,-0.071996336996337,-0.0523565158559132,-0.0505375280730083,-0.0505375280730083,-0.0495950285897185,-0.0415318495285875,0.00621851536562977,0.0101870731829745,0.0139426465715727,0.0430371169066499,0.0461970445456684,0.0475825714521044,0.0494921067512074,0.0505627705627706,0.0505627705627706,0.0505627705627706,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11282750964596,0.127735191637631,0.175700483091787
