"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.439837531034199,-0.460682632875146,-0.425145442792502,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348056318775632,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.396519010705057,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571426522042166,0.570959582011642,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652828459005295,0.336759199134199,0.613088570299678,-0.451210921002508,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.354596839624464
"SUFU",-0.504107488405874,-0.598889561412658,-0.566086380498145,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.41662978124856,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.348305082680829,-0.290833333333333,-0.287433395308792,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,-0.523891204277957,0.470937138170037,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525589739321415,0.379948491516398,0.575591090136125,-0.346649282648189,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352193363928839,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.240740740740741,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.436212261543163,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489713275029631,0.620552080005568,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605031118568429,0.364662501557927,0.39776370329443,-0.412321500712196,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.359011578754757
"cateninmemb",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.436212261543163,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489713275029631,0.524643534006849,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606105925857271,0.364662501557927,0.39776370329443,-0.412321500712196,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.359011578754757
"GSK3",-0.247568907410182,-0.275798518710831,-0.258379163872122,-0.239365079365079,-0.202222222222222,-0.214378958961002,-0.152624487566163,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0882575181133412,-0.0855148988938837,-0.0760696215325644,-0.146661650788909,-0.191993810786914,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.279281769675757,-0.10974025974026,-0.19622990467028,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.168225928536006,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.411756673714829,0.416333939884375,-0.215368145193503,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487338773711894,0.0249349652309479,0.390483087404078,-0.379378270422309,-0.34862667724798,-0.3657524043715,-0.328532114600226,-0.348609547228643,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385927684768592,0.0866666666666667,0.0954545454545455,-0.25,-0.0153336376008003,0.13107412081289,0.180109189056557
"RKIP",-0.295423400129282,-0.320627177700348,-0.266341463414634,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.372959861775651,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624078178162041,0.47475198852248,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.54300769303879,0.164381402679275,0.380952950808151,-0.377308593661977,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.118967987815571,-0.145050891324272,-0.125639126618389,-0.101445578231292,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0165229996474239,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.232331323920109,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114664031620553,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.315508568373518,0.407208195840862,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.44084728040842,0.226551407215886,0.303281447511538,-0.336761081243347,-0.306709178145798,-0.324280107118537,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315521191034763,0.0572257383966245,0.0821827674271767
"KLF4",-0.389770434331706,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.26,-0.266666666666667,-0.411024291618351,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.464864059106832,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673421362470867,0.348106210167198,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.233660160193743,-0.222374409645136,-0.214927601134498,-0.203203463203463,-0.19047619047619,-0.164271442012909,-0.163664874040542,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.145779220779221,-0.138242642152865,-0.136413373860182,-0.131844780678727,-0.12863707165109,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.116871692094553,-0.114285714285714,-0.111785067434646,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0664835164835165,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0472060414499195,-0.04308984550522,-0.0219752827817344,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00415792453078917,0.0116867710629008,0.0144245742824161,0.044084265094312,0.0466325072776686,0.0485229073919621,0.0517016317016317,0.053655650754794,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0865836940836941,0.1,0.1,0.1,0.11382841049207,0.127735191637631,0.178599033816425
