"","TGF","FOXC2","TGFR","SNAI2","CDC42","MEK","RAS","PAK1","TWIST1","SNAI1","RAF","PI3K","DELTA","ERK","cfos","NOTCH","Jagged","cateninnuc","NOTCHic","TCFLEF","AKT","SHH","EGR1","AXIN2","GLI","Csl","IKK","CD44","HEY1","SOSGRB2","Wnt","NFB","SMO","SMAD","cMet","ILK","FUS","Frizzled","SRC","Csn","Destcompl","DSH","STAT","ZEB2","ZEB1","LIV1","KLF4","miR200","TrCP","SUFU","Patched","GSK3","cateninmemb","RKIP","Ecadherin"
"TrCP",-0.453549373639946,-0.433465458671584,-0.420408163265306,-0.563311894909304,-0.377551020408163,-0.435468099283692,-0.372355029077087,-0.314285714285714,-0.387147547678986,-0.342111876009204,-0.338374446552815,-0.338374446552815,-0.338374446552815,-0.388245877061469,-0.336521739130435,-0.238012182236311,-0.224973089225835,-0.439387433152937,-0.207376344086022,-0.416333540937368,-0.183587516087516,-0.176827302498711,-0.28,-0.424668300102212,-0.387642439431913,-0.168666666666667,-0.155968468468468,-0.388622697563874,-0.100476967398654,-0.221682621502209,-0.356063492063492,-0.120833333333333,-0.136190476190476,-0.107825792078763,-0.357071895424837,-0.0933521078682369,-0.10952380952381,-0.321777777777778,-0.321777777777778,-0.0833333333333333,-0.374939679937552,-0.277777777777778,-0.277777777777778,-0.599063957101292,-0.599063957101292,-0.2,-0.2,0.611054155557467,0.0333333333333333,0.0761904761904762,0.155177817962628,0.32935707242345,0.560350003277184,0.350790732256249,0.640531516208147
"SUFU",-0.597905853506588,-0.503606235273042,-0.565770124963673,-0.520549935187961,-0.52490990990991,-0.464504461056185,-0.435877083079033,-0.481666666666667,-0.347053005648449,-0.415303181465469,-0.410917340727986,-0.410917340727986,-0.410917340727986,-0.431171127722852,-0.393240093240093,-0.390232969495537,-0.284334208042352,-0.34028295365932,-0.361718913270637,-0.320791428235591,-0.297148203148203,-0.368500820561688,-0.353846153846154,-0.432501993065784,-0.402627257799672,-0.323787878787879,-0.271472527472527,-0.298553665997829,-0.158132769971429,-0.298437589097337,-0.376190476190476,-0.236857142857143,-0.324166666666667,-0.155646065920967,-0.272197076850542,-0.145253456221198,-0.290833333333333,-0.342857142857143,-0.23952380952381,-0.192857142857143,-0.34857282082092,-0.3,-0.196666666666667,-0.563678918770126,-0.563678918770126,-0.15,-0.15,0.575362215919846,0.15,0.253333333333333,0.348656462585034,0.377665742665743,0.463615746613715,0.423104480687528,0.516738514170988
"Patched",-0.481666666666667,-0.39,-0.44,-0.415928342135239,-0.4,-0.353846153846154,-0.347596153846154,-0.3,-0.240740740740741,-0.325268817204301,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.3,-0.2,-0.278787878787879,-0.203597883597884,-0.272197076850542,-0.233333333333333,-0.23952380952381,-0.192857142857143,-0.290833333333333,-0.1,-0.321645021645022,-0.3,-0.2,-0.15,-0.196666666666667,-0.105128205128205,-0.25,-0.25,-0.1,-0.333333333333333,-0.12,-0.15,-0.1,-0.3,-0.2,-0.1,0,-0.297431457431457,-0.2,-0.1,-0.433333333333333,-0.433333333333333,-0.1,-0.1,0.440476190476191,0,0.2,0.253333333333333,0.305128205128205,0.352063492063492,0.302857142857143,0.392108843537415
"Ecadherin",-0.402404884196795,-0.41924629790368,-0.373652623798965,-0.489325833061596,-0.340969696969697,-0.39515555800577,-0.421625727213963,-0.307636363636364,-0.43784802394478,-0.358866098743407,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.364959479574398,-0.328877005347594,-0.404198310166598,-0.374196538094589,-0.410502653128108,-0.376317269274404,-0.394419398634258,-0.368465608465608,-0.345270828041656,-0.281818181818182,-0.427647215264899,-0.376715988354944,-0.342296650717703,-0.33989417989418,-0.375826433810137,-0.128084864208038,-0.295863049562156,-0.353897196408636,-0.302857142857143,-0.297916666666667,-0.115086781064673,-0.353267511251214,-0.105159420289855,-0.266666666666667,-0.326310989512084,-0.326310989512084,-0.26,-0.353051561248678,-0.296078431372549,-0.296078431372549,-0.388638186629104,-0.388638186629104,-0.266666666666667,-0.266666666666667,0.39776370329443,0.2,0.233333333333333,0.324798387096774,0.364477891583127,0.618364785206092,0.359011578754757,0.601674614008689
"cateninmemb",-0.402404884196795,-0.41924629790368,-0.373652623798965,-0.489325833061596,-0.340969696969697,-0.39515555800577,-0.421625727213963,-0.307636363636364,-0.43784802394478,-0.358866098743407,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.364959479574398,-0.328877005347594,-0.404198310166598,-0.374196538094589,-0.410502653128108,-0.376317269274404,-0.394419398634258,-0.368465608465608,-0.345270828041656,-0.281818181818182,-0.427647215264899,-0.376715988354944,-0.342296650717703,-0.33989417989418,-0.375826433810137,-0.128084864208038,-0.295863049562156,-0.353897196408636,-0.302857142857143,-0.297916666666667,-0.115086781064673,-0.353267511251214,-0.105159420289855,-0.266666666666667,-0.326310989512084,-0.326310989512084,-0.26,-0.353051561248678,-0.296078431372549,-0.296078431372549,-0.388638186629104,-0.388638186629104,-0.266666666666667,-0.266666666666667,0.39776370329443,0.2,0.233333333333333,0.324798387096774,0.364477891583127,0.522459863142819,0.359011578754757,0.602762361128146
"GSK3",-0.272042248138714,-0.244623976028248,-0.255836714541876,-0.406977011526377,-0.239110735894189,-0.212712298091421,-0.210382582620123,-0.203188405797101,-0.276736795935957,-0.149462063388307,-0.191034756533167,-0.191034756533167,-0.191034756533167,-0.191325014854427,-0.164052287581699,-0.252838095238095,-0.191102789113012,-0.37119710526972,-0.236571428571429,-0.358237992310607,-0.189905869324474,-0.1438244544162,-0.119607843137255,-0.37946846263118,-0.341226978378608,-0.220857142857143,-0.17562015503876,-0.341196793808734,-0.0885482716696657,-0.166568262934772,-0.321029934043633,-0.161666666666667,-0.117936981051735,-0.0856268225785046,-0.321296296296296,-0.0763983808235878,-0.10974025974026,-0.301851851851852,-0.301851851851852,-0.136666666666667,-0.0100214916194573,-0.283333333333333,-0.283333333333333,-0.383885573043492,-0.383885573043492,-0.25,-0.25,0.389196608104862,0.0866666666666667,0.0954545454545455,0.128495987262915,0.0207203619636305,0.407642015055638,0.177940793770797,0.477990141458146
"RKIP",-0.320890075656431,-0.296006483937518,-0.267619047619048,-0.622210884353742,-0.22,-0.227666911225238,-0.0935827216261999,-0.2,-0.372963412168991,-0.22073762506942,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.187241379310345,-0.17,-0.21041181041181,-0.256983805668016,-0.371723560107999,-0.156565656565657,-0.346855835240275,-0.156168831168831,-0.208590163934426,-0.17,-0.336219336219336,-0.318,-0.111111111111111,-0.110714285714286,-0.316421052631579,-0.159581881533101,-0.0613968253968254,-0.27,-0.0857142857142857,-0.14,-0.156725110893631,-0.268421052631579,-0.153754813863928,-0.1,-0.2,-0.2,-0.1,-0.0201145060901158,-0.1,-0.1,-0.372663797226208,-0.372663797226208,0,0,0.380952950808151,0.1,0.1,0.184,0.163442579269917,0.469809710863546,0.226050420168067,0.538244121469928
"miR200",-0.118049656138533,-0.0956176335816035,-0.102740209884461,-0.277015862821555,-0.0853090172239108,-0.0882096170391536,-0.250819350395503,-0.0619047619047619,-0.195353028190638,-0.0827054993694723,-0.235029876711293,-0.235029876711293,-0.235029876711293,-0.0688066319645267,-0.0406015037593985,-0.104498910675381,-0.0851103623488712,-0.310057043562343,-0.0894989106753813,-0.300228369080828,-0.0593939393939394,-0.0546434118847912,-0.0142857142857143,-0.31601082849446,-0.285273404986791,-0.0718518518518519,-0.0462626262626263,-0.287874056726516,-0.0112794360281986,-0.0947619047619048,-0.271366120218579,-0.0311111111111111,-0.0370114942528736,-0.0136397587947022,-0.273588342440801,-0.00837660089996539,-0.0266666666666667,-0.253333333333333,-0.255555555555556,-0.02,-0.293153771300113,-0.233333333333333,-0.233333333333333,-0.359120274710354,-0.359120274710354,-0.2,-0.2,0.293897722028408,0,0.02,0.0451196023609817,0.207785457785458,0.369207183402565,0.065908575837211,0.293843983969945
"KLF4",-0.373652623798965,-0.390184513006655,-0.340969696969697,-0.464749561875156,-0.307636363636364,-0.364959479574398,-0.400897435897436,-0.263636363636364,-0.412614379084967,-0.33671420000923,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.328877005347594,-0.281818181818182,-0.376317269274404,-0.354196538094589,-0.394419398634258,-0.342296650717703,-0.375826433810137,-0.33989417989418,-0.324798387096774,-0.2,-0.40259545543053,-0.353897196408636,-0.305454545454545,-0.302857142857143,-0.353267511251214,-0.111306340718105,-0.28138936535163,-0.326310989512084,-0.26,-0.266666666666667,-0.105159420289855,-0.326310989512084,-0.0906666666666667,-0.233333333333333,-0.296078431372549,-0.296078431372549,-0.2,-0.341774069437728,-0.266666666666667,-0.266666666666667,-0.354514963880289,-0.354514963880289,-0.233333333333333,-0.233333333333333,0.362568172568173,0.1,0.2,0.297916666666667,0.348106210167198,0.591376519234775,0.328674500103071,0.670681635071879
"ZEB2",-0.337858016280614,-0.330469258252013,-0.317290640394089,-0.31664537305774,-0.291428571428571,-0.256181259600614,-0.255271658212835,-0.253333333333333,-0.250982298956855,-0.24160250164582,-0.235752138693315,-0.235752138693315,-0.235752138693315,-0.228761904761905,-0.204761904761905,-0.203824032676492,-0.196801023532499,-0.195285842303885,-0.185305514157973,-0.182529374864099,-0.182054591994351,-0.176858585447806,-0.176190476190476,-0.172083603230125,-0.169980124697106,-0.167272727272727,-0.166391941391941,-0.166273217228631,-0.15786231884058,-0.154748477329123,-0.154256854256854,-0.153571428571429,-0.153491669620702,-0.15307309572237,-0.15034965034965,-0.145720154545899,-0.137362637362637,-0.132034632034632,-0.127272727272727,-0.125,-0.106039981544867,-0.104761904761905,-0.1,-0.0997934430226798,-0.0997934430226798,-0.0333333333333333,-0.0333333333333333,0.0594830762481996,0.1,0.114285714285714,0.165256375503055,0.211391876034756,0.238446947025258,0.24655704008222,0.298914750520103
