"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","Patched","AKT","IKK","SUFU","TWIST1","NFB","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","GLI","Wnt","Frizzled","STAT","AXIN2","DSH","TrCP","LIV1","Destcompl","SHH","SMO","FUS","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348056318775632,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,0.0194060419866871,-0.187305068226121,-0.157675438596491,-0.0476190476190476,-0.394764539808018,-0.120833333333333,-0.0833333333333333,-0.234377982276755,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.336759199134199,0.613088570299678,-0.451039840796754,-0.427177771831237,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.396697570484477,-0.364990253411306,-0.328148148148148,-0.28,-0.432859001765963,-0.28,0.0333333333333333,-0.2,-0.384679021204463,-0.0244060419866871,-0.00829493087557604,0.0142857142857143,0.354596839624464
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.41662978124856,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,0.152348484848485,-0.297647024116823,-0.271472527472527,0.146666666666667,-0.349643836064259,-0.236857142857143,-0.192857142857143,-0.287433395308792,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,-0.524106467125905,0.47098276859156,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525760895676563,0.379948491516398,0.575591090136125,-0.346587713095799,-0.326280807724955,-0.302911242507563,-0.275091693635383,-0.241111111111111,-0.406197375528231,-0.379059829059829,-0.344444444444444,-0.196666666666667,-0.43597673166823,-0.3,0.15,-0.15,-0.352193363928839,-0.159684392184392,-0.145277777777778,-0.134166666666667,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,0.146666666666667,-0.192857142857143,-0.15,0.2,-0.240740740740741,-0.1,0,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.241111111111111,-0.196666666666667,-0.15,-0.1,-0.3,-0.25,-0.2,-0.1,-0.321645021645022,-0.2,0,-0.1,-0.298261738261738,-0.134166666666667,-0.266666666666667,-0.3,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,0.234408602150538,-0.368465608465608,-0.33989417989418,0.233333333333333,-0.438126483368021,-0.302857142857143,-0.26,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489963135818609,0.620598378586183,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364662501557927,0.39776370329443,-0.412360401528633,-0.395647049521164,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.377230529741969,-0.353897196408636,-0.326310989512084,-0.296078431372549,-0.427956280172798,-0.296078431372549,0.2,-0.266666666666667,-0.353637560332742,-0.239133011599357,-0.233333333333333,-0.233333333333333,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,0.234408602150538,-0.368465608465608,-0.33989417989418,0.233333333333333,-0.438126483368021,-0.302857142857143,-0.26,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489963135818609,0.524689773268335,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364662501557927,0.39776370329443,-0.412360401528633,-0.395647049521164,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.377230529741969,-0.353897196408636,-0.326310989512084,-0.296078431372549,-0.427956280172798,-0.296078431372549,0.2,-0.266666666666667,-0.353637560332742,-0.239133011599357,-0.233333333333333,-0.233333333333333,0.359011578754757
"GSK3",-0.248060906861396,-0.27623405933056,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.15271558572873,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,0.030689325187643,-0.191993810786914,-0.176609195402299,-0.00909090909090909,-0.281398457876626,-0.161666666666667,-0.136666666666667,-0.196471859976945,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.41264795236399,0.416904506748331,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487972505543372,0.0250060374516847,0.390483087404078,-0.379783102096469,-0.366164681043837,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.348343435354943,-0.328532114600226,-0.308270676691729,-0.286842105263158,-0.386047408568569,-0.286842105263158,0.0866666666666667,-0.25,-0.0155425736053356,-0.0297323873886,-0.0276218405250663,-0.0147186147186147,0.180109189056557
"RKIP",-0.296006483937518,-0.319020916777926,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.219111608809257,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.096,-0.156168831168831,-0.110714285714286,-0.1,-0.374004753416518,-0.0857142857142857,-0.1,-0.258543536260005,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.623721513085038,0.474282686047392,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.376098235499602,-0.34988958410011,-0.318421052631579,-0.268421052631579,-0.2,-0.31,-0.26,-0.2,-0.1,-0.337271448663854,-0.1,0.1,0,-0.0221250172542885,0.0779672131147541,0.1,0.1,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,0.052162447257384,-0.0727706057596822,-0.0557894736842105,0.02,-0.228397471649005,-0.0357894736842105,-0.02,-0.113281131623112,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.324221610944503,-0.309539071261964,-0.291561543172076,-0.270434782608696,-0.306709178145798,-0.28912676056338,-0.268,-0.24,-0.34124135524529,-0.24,0,-0.2,-0.315503569275578,-0.0565102733443405,-0.0458333333333333,-0.0325,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,0.233333333333333,-0.33989417989418,-0.302857142857143,0.2,-0.412614379084967,-0.26,-0.2,-0.354196538094589,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.348106210167198,0.362568172568173,-0.395647049521164,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.353897196408636,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.40259545543053,-0.266666666666667,0.1,-0.233333333333333,-0.341987979717644,-0.234408602150538,-0.233333333333333,-0.233333333333333,0.328674500103071
"ZEB2",-0.23560372960373,-0.219920291348863,-0.214100185528757,-0.203896103896104,-0.194805194805195,-0.163613055060941,-0.15970400937406,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138322127889287,-0.137102615694165,-0.131550522648084,-0.12863707165109,-0.125833333333333,-0.125,-0.124555254390122,-0.123611111111111,-0.111111111111111,-0.110759256908,-0.100235393022278,-0.0964102564102564,-0.0897435897435897,-0.066996336996337,-0.0538832334131651,-0.048962724923402,-0.048962724923402,-0.0478052361026846,-0.0432409082601181,-0.0207599395607961,-0.014978354978355,-0.014978354978355,-0.014978354978355,0.00480845021158247,0.0105130584366529,0.0123046494965675,0.0457985659838884,0.0502141503994729,0.0558479532163743,0.0614035087719298,0.0666666666666667,0.0669429652915891,0.0724475524475524,0.0775757575757576,0.08,0.0885527516873619,0.0909090909090909,0.1,0.1,0.115048708063436,0.131550522648084,0.136428571428571,0.139285714285714,0.175700483091787
