"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.422121343685089,-0.447738007509562,-0.414404674176229,-0.373726708074534,-0.312857142857143,-0.319791706726587,-0.430398953564421,-0.383636363636364,-0.28,-0.334545454545455,-0.101728778467909,-0.108871009261431,-0.0941651269084897,-0.183884578739622,-0.384087738779103,-0.187864117841774,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.235122586189465,-0.0833333333333333,-0.245384615384615,-0.212051282051282,-0.17051282051282,-0.222312030075188,-0.583373247517837,-0.583373247517837,-0.568653948016194,0.538071278825996,0.567683835774775,-0.37994567207289,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.64631200924103,0.336491116851518,0.595742427321375,-0.448115852546876,-0.397343194587777,-0.425767903466254,-0.364990253411306,-0.398324294443697,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432662584886016,0.0333333333333333,0.0761904761904762,-0.2,-0.383972177236849,0.160075054930098,0.331480634156131
"Ecadherin",-0.41164838741253,-0.392692197030442,-0.365735675291311,-0.332787698412698,-0.298412698412698,-0.364372242610324,-0.392915032679739,-0.363137254901961,-0.28,-0.326666666666667,-0.159298245614035,-0.143684108236084,-0.132219140083218,-0.354500141602945,-0.418356042982165,-0.374611084541385,-0.346143931256713,-0.307368421052632,-0.306666666666667,-0.273333333333333,-0.373868200764753,-0.26,-0.404725157883053,-0.378409368409368,-0.344343434343434,-0.285852498894295,-0.389435127978817,-0.389435127978817,-0.478435974508197,0.281520778072502,0.606273515942335,-0.416272849981187,-0.397440733192866,-0.397440733192866,-0.397440733192866,0.58998643482743,0.360178879697796,0.39861165540519,-0.400282059784611,-0.369115527024486,-0.385256679073951,-0.348974184268302,-0.36814437960871,-0.348286223580341,-0.324649859943978,-0.324649859943978,-0.296078431372549,-0.296078431372549,-0.421774891774892,0.2,0.233333333333333,-0.266666666666667,-0.347838590967619,0.333939393939394,0.369184451778511
"cateninmemb",-0.41164838741253,-0.392692197030442,-0.365735675291311,-0.332787698412698,-0.298412698412698,-0.364372242610324,-0.392915032679739,-0.363137254901961,-0.28,-0.326666666666667,-0.159298245614035,-0.143684108236084,-0.132219140083218,-0.354500141602945,-0.418356042982165,-0.374611084541385,-0.346143931256713,-0.307368421052632,-0.306666666666667,-0.273333333333333,-0.373868200764753,-0.26,-0.404725157883053,-0.378409368409368,-0.344343434343434,-0.285852498894295,-0.389435127978817,-0.389435127978817,-0.478435974508197,0.281520778072502,0.510401919169175,-0.416272849981187,-0.397440733192866,-0.397440733192866,-0.397440733192866,0.591131670440404,0.360178879697796,0.39861165540519,-0.400282059784611,-0.369115527024486,-0.385256679073951,-0.348974184268302,-0.36814437960871,-0.348286223580341,-0.324649859943978,-0.324649859943978,-0.296078431372549,-0.296078431372549,-0.421774891774892,0.2,0.233333333333333,-0.266666666666667,-0.347838590967619,0.333939393939394,0.369184451778511
"SUFU",-0.404460784313726,-0.482358925512141,-0.45648033126294,-0.424306418219462,-0.389523809523809,-0.35460982341197,-0.369257506824386,-0.343142857142857,-0.275,-0.311,-0.24040404040404,-0.228420781893004,-0.218132716049383,-0.419776714513557,-0.311362501357073,-0.351212121212121,-0.33,-0.296666666666667,-0.376190476190476,-0.342857142857143,-0.272028917667863,-0.25,-0.385160181621162,-0.362353164077302,-0.331318681318681,-0.314040346907994,-0.389363823826534,-0.389363823826534,-0.444856594457678,0.301349303107186,0.387311708566569,-0.390702254983899,-0.372134022321707,-0.372134022321707,-0.372134022321707,0.472888088602461,0.337067662352473,0.399051678041508,-0.269379668297369,-0.342241025252908,-0.253265558813946,-0.320694063926941,-0.234717171717172,-0.213606060606061,-0.294666666666667,-0.188606060606061,-0.266666666666667,-0.160606060606061,-0.374094901118342,0.2,0.3,-0.133333333333333,-0.302098317447773,0.398997493734336,0.366685215369426
"GSK3",-0.232179214064902,-0.263787939791171,-0.247361426822871,-0.231082357055429,-0.196345514950166,-0.130948078627308,-0.206253203225299,-0.184780810587262,-0.116666666666667,-0.158974358974359,-0.0883051141575151,-0.0850172127621958,-0.0756155033604864,-0.146959955211883,-0.271087424162345,-0.192379286516369,-0.176960784313725,-0.161666666666667,-0.11974025974026,-0.10974025974026,-0.195743481689317,-0.136666666666667,-0.257240783327271,-0.239999404016926,-0.222268907563025,-0.164724571405606,-0.365911757560134,-0.365911757560134,-0.408524654691963,0.338081925416727,0.411576469168859,-0.214288896983959,-0.195139960813747,-0.195139960813747,-0.195139960813747,0.479724601442715,0.0240005298560844,0.370924854226608,-0.375436390086412,-0.347146274777854,-0.363063854396405,-0.328007518796992,-0.347111256401874,-0.328270676691729,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.384879786617272,0.0866666666666667,0.0954545454545455,-0.25,-0.0139434915895439,0.131278721278721,0.159842510963905
"RKIP",-0.287290222807721,-0.314494949494949,-0.265,-0.22,-0.2,-0.199030519145854,-0.225019157088123,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156847597369083,-0.153754813863928,-0.208590163934426,-0.368114784113985,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.364194373401534,-0.364194373401534,-0.624003738443098,0.329411764705882,0.47456648377701,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.541231784702765,0.164381402679275,0.373338426279603,-0.377119387544748,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.212669552669553
"KLF4",-0.383854691137459,-0.365735675291311,-0.332787698412698,-0.298412698412698,-0.255555555555556,-0.344116379070879,-0.363137254901961,-0.326666666666667,-0.2,-0.28,-0.14,-0.132219140083218,-0.115714285714286,-0.333939393939394,-0.395480225988701,-0.346143931256713,-0.307368421052632,-0.26,-0.273333333333333,-0.233333333333333,-0.354907161803714,-0.2,-0.378409368409368,-0.344343434343434,-0.305454545454545,-0.271146616541353,-0.355454545454545,-0.355454545454545,-0.455779724508197,0.243589743589744,0.58079445277697,-0.397440733192866,-0.374539969834087,-0.374539969834087,-0.374539969834087,0.660223187927768,0.34536831712604,0.363407573772537,-0.385256679073951,-0.348974184268302,-0.36814437960871,-0.324649859943978,-0.348286223580341,-0.324649859943978,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.399264069264069,0.1,0.2,-0.233333333333333,-0.337789810479814,0.306666666666667,0.339481481481481
"miR200",-0.100618937083301,-0.131010547541492,-0.113095238095238,-0.0916666666666667,-0.0666666666666667,-0.076481318238124,-0.0974642488574377,-0.0739348370927318,-0.0142857142857143,-0.0406015037593985,-0.0132277596646483,-0.0154298761523796,-0.00950653120464441,-0.0693860518013061,-0.218570503439808,-0.0730971659919028,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.11317441292582,-0.02,-0.129990147783251,-0.111133004926108,-0.0869950738916256,-0.110555555555556,-0.354244844182732,-0.354244844182732,-0.312340597435479,0.335988131349608,0.403688724113395,-0.283599814691724,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.433983177992057,0.226198975130678,0.286973901561869,-0.33387579677567,-0.306253832386585,-0.322730285939757,-0.28912676056338,-0.309075667465861,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.340964607036741,0,0.02,-0.2,-0.314779537513118,0.057521645021645,0.0593222372169741
"Patched",-0.31,-0.389523809523809,-0.342857142857143,-0.3,-0.2,-0.280357142857143,-0.275,-0.2,0,-0.1,-0.16,-0.183333333333333,-0.15,-0.342857142857143,-0.226666666666667,-0.25,-0.2,-0.1,-0.4,-0.3,-0.2,0,-0.292857142857143,-0.25,-0.2,-0.28,-0.263636363636364,-0.263636363636364,-0.36203953279425,0.15,0.295079365079365,-0.328787878787879,-0.295454545454545,-0.295454545454545,-0.295454545454545,0.366031746031746,0.286320346320346,0.269230769230769,-0.213606060606061,-0.266666666666667,-0.188606060606061,-0.233333333333333,-0.160606060606061,-0.133333333333333,-0.2,-0.1,-0.2,-0.1,-0.296078431372549,0,0.2,-0.1,-0.267222222222222,0.3,0.255555555555556
"ZEB2",-0.246108069088156,-0.232874717322478,-0.226606060606061,-0.216,-0.2,-0.171348346397586,-0.169676346037508,-0.161781609195402,-0.158333333333333,-0.158333333333333,-0.147279874213836,-0.140880285956622,-0.138102508178844,-0.13312030075188,-0.132189538149962,-0.128690476190476,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.113129200065616,-0.111111111111111,-0.101382632100864,-0.0964102564102564,-0.0897435897435897,-0.0723181580324438,-0.0598147690004504,-0.0598147690004504,-0.0518561024290644,-0.0427886148938781,-0.0390134424541036,-0.0228354978354978,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.0105610729959121,0.0122126986324198,0.0229239584268505,0.0411737596090677,0.0457108482914935,0.046296846768083,0.0517016317016317,0.0527254181966544,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.085988455988456,0.1,0.1,0.1,0.112775108353491,0.127857142857143,0.187900777502405
"SHH",0.26,0.342857142857143,0.3,0.2,0.1,0.242857142857143,0.2,0.1,0,0,0.1,0.15,0.1,0.3,0.193333333333333,0.2,0.1,0,0.3,0.2,0.166666666666667,0,0.25,0.2,0.1,0.3,0.2,0.2,0.326190476190476,-0.1,-0.252857142857143,0.295454545454545,0.25,0.25,0.25,-0.32,-0.260606060606061,-0.2,0.188606060606061,0.233333333333333,0.160606060606061,0.2,0.133333333333333,0.1,0.2,0.1,0.2,0.1,0.266666666666667,0,-0.2,0,0.253333333333333,-0.4,-0.2
"Destcompl",0.0809602505012213,0.045687696025723,0.0478492432384648,0.0460528360528361,0.0398989898989899,0.118144722963925,0.0628773527625987,0.0638032786885246,0.072,0.0638032786885246,0.0136340376858708,0.0187085048684653,0.0182912586932219,-0.114566544566545,-0.0209443472719384,0.0472683534765093,0.0504941599281222,0.0523809523809524,-0.10957264957265,-0.111111111111111,-0.179583023882104,0.0523809523809524,-0.0567981184846173,-0.0549033816425121,-0.0549033816425121,-0.0530141490354732,0.235594930460788,0.235594930460788,-0.224127325985793,-0.245787545787546,0.202246834483587,0.00614367269791158,0.00574077181152963,0.00574077181152963,0.00574077181152963,0.0319895885944732,-0.0919193371292322,-0.249115875685085,-0.178189325001357,-0.179667806761106,-0.178539069418898,-0.179475868181452,-0.178968253968254,-0.178968253968254,-0.178968253968254,-0.178968253968254,-0.181746031746032,-0.181746031746032,-0.233739210942113,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0161287616213255,0.112429792429792,-0.146814175116062
"AXIN2",0.138670672562613,0.0858748195153407,0.0845712813402941,0.0840786705028557,0.0936677115987461,0.191720896305527,0.125573670110984,0.130051282051282,0.16,0.142051282051282,0.0224449182658138,0.0232702085327122,0.0264812177070242,-0.150549450549451,-0.0188867705912041,0.10181095861065,0.104701132021054,0.109178743961353,-0.152692307692308,-0.157692307692308,-0.216712956368988,0.122222222222222,-0.0530389420520999,-0.0523444976076555,-0.0505263157894737,-0.0703057269019449,0.292777096747127,0.292777096747127,-0.270259544019484,-0.297619047619048,0.239713652901195,0.0687197099538563,0.0703197099538563,0.0703197099538563,0.0703197099538563,0.0457157617379044,-0.171861792033084,-0.307470379995002,-0.233335079824017,-0.234424697311452,-0.233739210942113,-0.235065722952477,-0.234101092727397,-0.235065722952477,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.183976057270987,-0.133333333333333,0.15,-0.233333333333333,0.16190579065742,0.149835164835165,-0.217909325816303
"Wnt",0.167619047619048,0.196345514950166,0.142857142857143,0.1,0.1,0.0884711779448622,0.116666666666667,0.0666666666666667,0.1,0.0666666666666667,0.0656410256410257,0.0565353345841151,0.058974358974359,0.10974025974026,0.217368421052632,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,0.295175438596491,0.295175438596491,0.339673913043478,-0.258333333333333,-0.334123931623932,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.399721252559174,-0.0729623824451411,-0.297488820089439,0.328270676691729,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.108311688311688
"SMO",0.345294117647059,0.424306418219462,0.389523809523809,0.342857142857143,0.3,0.313690476190476,0.311,0.275,0.1,0.2,0.2,0.202083333333333,0.183333333333333,0.376190476190476,0.26,0.296666666666667,0.25,0.2,0.3,0.4,0.229411764705882,0.1,0.331318681318681,0.292857142857143,0.25,0.287692307692308,0.315360501567398,0.315360501567398,0.393546382109318,-0.213636363636364,-0.32989417989418,0.351175938489371,0.328787878787879,0.328787878787879,0.328787878787879,-0.407495160665892,-0.305307688092498,-0.321862348178138,0.234717171717172,0.294666666666667,0.213606060606061,0.266666666666667,0.188606060606061,0.160606060606061,0.233333333333333,0.133333333333333,0.2,0.1,0.324649859943978,0,-0.3,0.1,0.279467120181406,-0.342857142857143,-0.302923976608187
