"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","DSH","SRC","Destcompl","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"TrCP",-0.447586254013801,-0.465727811243723,-0.427476445123504,-0.378991596638655,-0.314285714285714,-0.443730778678457,-0.373259017952532,-0.389064112011791,-0.28,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.191008771929825,-0.157675438596491,-0.180543721909313,-0.394764539808018,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.226958503749148,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,-0.610509800592172,-0.610509800592172,0.55583814728077,0.560403693857622,-0.55839017676401,-0.400109004922491,-0.358290823104309,-0.358290823104309,-0.358290823104309,0.651101022151163,0.621286705729823,0.415361471861472,-0.422047292769041,-0.385580754053155,-0.406323154838006,-0.359727095516569,-0.386323154838006,-0.360580580580581,-0.328148148148148,-0.28,-0.328148148148148,-0.494015450105208,-0.28,-0.423750348545404,0.0333333333333333,0.0761904761904762,-0.2,0.159543721909313,0.368998312920965
"SUFU",-0.528000297226338,-0.611437993451087,-0.578499137435308,-0.535945945945946,-0.49,-0.488061231993734,-0.466079183495438,-0.450188891568202,-0.353846153846154,-0.405361305361305,-0.159337589248537,-0.158322069794915,-0.146543778801843,-0.312177741721366,-0.283318681318681,-0.35719774969775,-0.34548773955646,-0.244857142857143,-0.318611111111111,-0.290833333333333,-0.192857142857143,-0.261633381166335,-0.387135642135642,-0.360151515151515,-0.323787878787879,-0.294773647405226,-0.598807378138251,-0.598807378138251,0.530497474995364,0.44380659780801,-0.488081259737927,-0.471187575454601,-0.442390107100171,-0.442390107100171,-0.442390107100171,0.520166478533868,0.609578112096386,0.507886522913744,-0.289358265956401,-0.364792441140025,-0.275496373373281,-0.345833333333333,-0.259735503808064,-0.240938511326861,-0.320833333333333,-0.2875,-0.216666666666667,-0.512068363953756,-0.183333333333333,-0.397235425293527,0.15,0.253333333333333,-0.15,0.339823232323232,0.462604904504757
"GSK3",-0.449294899307139,-0.422227440286825,-0.405560773620159,-0.384306418219462,-0.354782608695652,-0.316661169784235,-0.381720753687387,-0.295638442511508,-0.249411764705882,-0.275337690631808,-0.102706379719907,-0.100679770729826,-0.0939331440431694,-0.237346374889478,-0.224525862068965,-0.0741904371420969,-0.24024920066918,-0.209583333333333,-0.0544616673648932,-0.0415584415584416,-0.190833333333333,-0.0706372752004049,-0.199037824920178,-0.185271591153944,-0.169187675070028,-0.0805551831416834,-0.559194563382096,-0.559194563382096,0.534098602013992,0.226162053138317,-0.128589601230061,-0.347649670198487,-0.329792527341344,-0.329792527341344,-0.329792527341344,0.43955385851903,0.572984485127344,0.419683933046716,-0.0199416063696301,0.00164344453438443,-0.010533711632788,0.0157943879306108,0.00130956530398845,0.0155952795897027,0.0308270676691729,0.0486842105263158,0.0308270676691729,-0.395692248303629,0.0486842105263158,0.054113583726417,0.153333333333333,0.0272727272727273,0.075,0.0636641213526232,0.40037015615963
"RKIP",-0.39893899204244,-0.403889630618603,-0.358095238095238,-0.32,-0.3,-0.326052824651504,-0.427582006391172,-0.294137931034483,-0.17,-0.27,-0.164459930313589,-0.165563555713723,-0.158632862644416,-0.178679653679654,-0.139285714285714,-0.180590163934426,-0.357944147355912,-0.114285714285714,-0.12,-0.1,-0.1,-0.211844126445145,-0.193628593628594,-0.147474747474747,-0.111111111111111,-0.0373968253968254,-0.443282639885222,-0.443282639885222,0.399282639885222,0.412527821939587,-0.538820015154164,-0.272313797313797,-0.232142857142857,-0.232142857142857,-0.232142857142857,0.528886001932248,0.452769024159985,0.429432624113475,-0.218058618761712,-0.168974358974359,-0.196939025886394,-0.126666666666667,-0.166869095816464,-0.124561403508772,-0.0666666666666667,0,-0.0666666666666667,-0.446786310342952,0,-0.15239099859353,0.1,0.1,0,0.156,0.435924369747899
"Patched",-0.4,-0.49,-0.44,-0.4,-0.3,-0.353846153846154,-0.354838709677419,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.1,-0.192857142857143,-0.15,-0.290833333333333,-0.240740740740741,-0.1,-0.333333333333333,-0.3,0,-0.196190476190476,-0.278787878787879,-0.233333333333333,-0.2,-0.25,-0.441666666666667,-0.441666666666667,0.355555555555556,0.342616487455197,-0.401716475095785,-0.369230769230769,-0.319230769230769,-0.319230769230769,-0.319230769230769,0.395064724919094,0.447619047619048,0.388278388278388,-0.240938511326861,-0.2875,-0.216666666666667,-0.25,-0.183333333333333,-0.15,-0.2,-0.2,-0.1,-0.417262737262737,-0.1,-0.312554112554113,0,0.2,-0.1,0.253333333333333,0.317142857142857
"Ecadherin",-0.449493942112764,-0.417689437042324,-0.388937176644494,-0.35430303030303,-0.315636363636364,-0.42350405204256,-0.423453170442908,-0.387033463807266,-0.281818181818182,-0.340641711229947,-0.129427146087233,-0.118473102431835,-0.106608695652174,-0.389292929292929,-0.356825396825397,-0.327844805689611,-0.433558622704203,-0.312380952380952,-0.291666666666667,-0.266666666666667,-0.26,-0.34017235401438,-0.399162476801327,-0.374255413604301,-0.342296650717703,-0.291915681141103,-0.439673602042463,-0.439673602042463,0.343225503984998,0.588040989047087,-0.449741588558513,-0.457117238386545,-0.433932880844646,-0.433932880844646,-0.433932880844646,0.598377829954659,0.447705677314616,0.494839414673192,-0.348668390614879,-0.328776703303615,-0.338584357001433,-0.316110036636948,-0.327749985893089,-0.31537540395329,-0.300592795257638,-0.284313725490196,-0.300592795257638,-0.499914945909103,-0.284313725490196,-0.386583839788334,0.2,0.233333333333333,-0.266666666666667,0.312096774193548,0.412303845610427
"cateninmemb",-0.449493942112764,-0.417689437042324,-0.388937176644494,-0.35430303030303,-0.315636363636364,-0.42350405204256,-0.423453170442908,-0.387033463807266,-0.281818181818182,-0.340641711229947,-0.129427146087233,-0.118473102431835,-0.106608695652174,-0.389292929292929,-0.356825396825397,-0.327844805689611,-0.433558622704203,-0.312380952380952,-0.291666666666667,-0.266666666666667,-0.26,-0.34017235401438,-0.399162476801327,-0.374255413604301,-0.342296650717703,-0.291915681141103,-0.439673602042463,-0.439673602042463,0.343225503984998,0.492253316173252,-0.449741588558513,-0.457117238386545,-0.433932880844646,-0.433932880844646,-0.433932880844646,0.599467842069777,0.447705677314616,0.494839414673192,-0.348668390614879,-0.328776703303615,-0.338584357001433,-0.316110036636948,-0.327749985893089,-0.31537540395329,-0.300592795257638,-0.284313725490196,-0.300592795257638,-0.499914945909103,-0.284313725490196,-0.386583839788334,0.2,0.233333333333333,-0.266666666666667,0.312096774193548,0.412303845610427
"KLF4",-0.417228495888508,-0.388937176644494,-0.35430303030303,-0.315636363636364,-0.263636363636364,-0.387033463807266,-0.395288613480882,-0.340641711229947,-0.2,-0.281818181818182,-0.111306340718105,-0.106608695652174,-0.0906666666666667,-0.356825396825397,-0.312380952380952,-0.312096774193548,-0.410653594771242,-0.26,-0.266666666666667,-0.233333333333333,-0.2,-0.326671209849621,-0.374255413604301,-0.342296650717703,-0.305454545454545,-0.28138936535163,-0.395123839009288,-0.395123839009288,0.292592592592593,0.565348681354779,-0.432101612640391,-0.433932880844646,-0.40525641025641,-0.40525641025641,-0.40525641025641,0.668484938036451,0.401709401709402,0.467024845136768,-0.338584357001433,-0.316110036636948,-0.327749985893089,-0.300592795257638,-0.31537540395329,-0.300592795257638,-0.284313725490196,-0.266666666666667,-0.284313725490196,-0.47931848738161,-0.266666666666667,-0.372357035664623,0.1,0.2,-0.233333333333333,0.291666666666667,0.373727066584209
"miR200",-0.122264943728358,-0.146981782210258,-0.126051549652119,-0.100245098039216,-0.0708333333333333,-0.108540507111936,-0.117215932215932,-0.0806493506493507,-0.0142857142857143,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0746573982125124,-0.0557894736842105,-0.0680953036140158,-0.228397471649005,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.108931990729641,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,-0.375367383512545,-0.375367383512545,0.349948240165631,0.400939054223825,-0.307329372369037,-0.295817354814266,-0.272625334864141,-0.272625334864141,-0.272625334864141,0.439387554361415,0.307729811564806,0.273374432045474,-0.319875695478949,-0.299496672341743,-0.312148422751676,-0.28630985915493,-0.302227787831041,-0.288744641763625,-0.268,-0.24,-0.270434782608696,-0.380998477299942,-0.24,-0.335863424436961,0,0.02,-0.2,0.0572257383966245,0.0903165493389123
"ZEB2",-0.241858585858586,-0.227722119150691,-0.221372912801484,-0.211168831168831,-0.194805194805195,-0.170064667964167,-0.169726413768423,-0.162747594793435,-0.158333333333333,-0.153070175438596,-0.146407624633431,-0.139541640084409,-0.137102615694165,-0.13121235721703,-0.130277777777778,-0.129841621792841,-0.126396682801797,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.108618053204296,-0.100235393022278,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0562825621892527,-0.0562825621892527,-0.0473210263688367,-0.0452122014347458,-0.0445289292861874,-0.0270756509728672,-0.0208658008658009,-0.0208658008658009,-0.0208658008658009,0.00566521679662661,0.0197670160410428,0.0331001416918979,0.0504455066389833,0.0528637112123351,0.0546013507948274,0.0583682983682984,0.0598830409356725,0.0654385964912281,0.0660606060606061,0.0727272727272727,0.0733333333333333,0.0795397712463299,0.08,0.0929971961318063,0.1,0.1,0.1,0.125296167247387,0.18378421900161
