"","HEY1","SMAD","FOXC2","ILK","SHH","TGF","SNAI1","TGFR","AKT","SMO","IKK","CDC42","NFB","FUS","PAK1","Csn","MEK","ERK","EGR1","cfos","Jagged","TWIST1","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB1","cateninmemb","ZEB2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","cateninnuc","miR200","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","LIV1","Destcompl","TrCP","SUFU","RKIP","Patched"
"TrCP",-0.319391124871001,-0.345201426024955,-0.619747558778411,-0.307233511586453,-0.38703425229741,-0.631057727275804,-0.531492056597221,-0.582735579624797,-0.364165103189493,-0.298888888888889,-0.315384615384615,-0.522358221134231,-0.253846153846154,-0.248888888888889,-0.445614035087719,-0.2,-0.5058125,-0.448,-0.31,-0.38,-0.412709230033477,-0.507733128481166,-0.400765242585203,-0.352820037105751,-0.293636363636364,-0.270975536091815,0.601666666666667,-0.614452603318307,-0.740162683806519,0.631154642734127,-0.694822279816726,-0.409766108565064,-0.368251748251748,-0.368251748251748,-0.368251748251748,0.754888215971423,0.379296194165357,-0.485885622951781,0.752886795945758,-0.422221709657992,-0.456317516639488,-0.38199182460052,-0.421525394101195,-0.381174516908213,-0.334299516908213,-0.334299516908213,-0.277777777777778,-0.277777777777778,-0.453325534120525,-0.2,-0.395672332746762,0.133333333333333,0.193333333333333,0.489986491050321,0.342748538011696
"SUFU",-0.331661998132586,-0.350401342108659,-0.552714237246024,-0.321481481481481,-0.507374276261373,-0.636312220517763,-0.501060957155515,-0.598543980174415,-0.384926626793476,-0.43505376344086,-0.349442755825735,-0.551953071083506,-0.304761904761905,-0.386666666666667,-0.503381642512077,-0.242857142857143,-0.487463045084996,-0.449963045084996,-0.366666666666667,-0.406060606060606,-0.358464934692375,-0.384477823940911,-0.440338549003101,-0.404912540034491,-0.361010101010101,-0.30719806763285,0.474385964912281,-0.530804621763474,-0.614186670608839,0.480561844265171,-0.581123926353704,-0.441435010153151,-0.414252143596314,-0.414252143596314,-0.414252143596314,0.549898814552644,0.384763042543538,-0.350974134162645,0.62652933175911,-0.408544642857143,-0.328903289475997,-0.378857142857143,-0.304011203145061,-0.274877344877345,-0.342857142857143,-0.23952380952381,-0.3,-0.196666666666667,-0.436649136058635,-0.15,-0.351782931089735,0.2,0.32,0.490319091106762,0.473720430107527
"GSK3",-0.242217651606205,-0.246043515509664,-0.296494744398098,-0.226874924285646,-0.292888981232331,-0.320805732503886,-0.215638734812278,-0.297549918550397,-0.254661366529165,-0.240374331550802,-0.228888170652877,-0.274229760447631,-0.202417582417582,-0.217647058823529,-0.235282392026578,-0.173846153846154,-0.235892109830854,-0.210426271321537,-0.130718954248366,-0.178718954248366,-0.291947061974624,-0.325487052811809,-0.309155911778927,-0.284006211180124,-0.259006211180124,-0.183046021169486,0.358183694530444,-0.425331724033296,-0.408601985032683,0.434509609759585,-0.413912765316875,-0.221808101088478,-0.20004936377168,-0.20004936377168,-0.20004936377168,0.524312429355024,0.0334125357382441,-0.387836376433917,0.441994957097697,-0.354428827734377,-0.372711559987515,-0.331232951445717,-0.353612637362637,-0.330695970695971,-0.306410256410256,-0.306410256410256,-0.283333333333333,-0.283333333333333,-0.390322500614467,-0.25,-0.0169251475809904,0.12,0.2,0.232173799789195,0.266774331550802
"Patched",-0.211111111111111,-0.255,-0.418796992481203,-0.208333333333333,-0.386666666666667,-0.503381642512077,-0.388888888888889,-0.455555555555556,-0.242857142857143,-0.4,-0.2,-0.4,-0.1,-0.3,-0.3,0,-0.366666666666667,-0.3,-0.1,-0.2,-0.249378881987578,-0.262169312169312,-0.305454545454545,-0.26,-0.2,-0.25,0.26,-0.417964624993439,-0.457894736842105,0.356601307189543,-0.4,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.407424242424242,0.30838023764853,-0.274877344877345,0.465217391304348,-0.3,-0.23952380952381,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,-0.1,-0.297431457431457,0,0.2,0.342857142857143,0.32
"miR200",-0.0302040816326531,-0.0400268696820421,-0.127928724661792,-0.0262337662337662,-0.0993816409323134,-0.153914790053953,-0.121522541126244,-0.132664790053953,-0.0958820662768031,-0.0640151515151515,-0.0750487329434698,-0.106802721088435,-0.0491228070175439,-0.0458333333333333,-0.0761904761904762,-0.0333333333333333,-0.110989983252757,-0.083982683982684,-0.0142857142857143,-0.0476190476190476,-0.141814159292035,-0.235342902711324,-0.153350052246604,-0.132137931034483,-0.104137931034483,-0.116810035842294,0.35775956284153,-0.317333163842977,-0.384901529634303,0.412741898662481,-0.390768765133172,-0.285436688418694,-0.265128205128205,-0.265128205128205,-0.265128205128205,0.452200860612098,0.228620873524463,-0.33949973109283,0.31914714351155,-0.308129935032484,-0.32641410912191,-0.289739130434783,-0.310997442455243,-0.292173913043478,-0.268,-0.270434782608696,-0.24,-0.24,-0.342535908535908,-0.2,-0.316538659011452,0,0.0333333333333333,0.0931793970384574,0.0799571805006588
"Ecadherin",-0.25231548938866,-0.27039600153787,-0.431138515077503,-0.244444444444444,-0.405102338439258,-0.411592814259958,-0.380656407965765,-0.380622665006227,-0.397278490343506,-0.33816091954023,-0.362992776057792,-0.344622665006227,-0.317894736842105,-0.293333333333333,-0.307636363636364,-0.26,-0.399570405514678,-0.367824373768646,-0.281818181818182,-0.328877005347594,-0.404083980772722,-0.44489296128844,-0.419177254396278,-0.388196862239415,-0.34989898989899,-0.29738936535163,0.195454545454545,-0.490427475987233,-0.393693285244473,0.62073485356148,-0.365386154461785,-0.421964851627773,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.608469262363999,0.365560350580128,-0.412065972049675,0.404039521045326,-0.376715988354944,-0.395018353002056,-0.353897196408636,-0.375826433810137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427647215264899,-0.266666666666667,-0.353177166575222,0.2,0.233333333333333,0.37515045460664,0.374869780299724
"cateninmemb",-0.25231548938866,-0.27039600153787,-0.431138515077503,-0.244444444444444,-0.405102338439258,-0.411592814259958,-0.380656407965765,-0.380622665006227,-0.397278490343506,-0.33816091954023,-0.362992776057792,-0.344622665006227,-0.317894736842105,-0.293333333333333,-0.307636363636364,-0.26,-0.399570405514678,-0.367824373768646,-0.281818181818182,-0.328877005347594,-0.404083980772722,-0.44489296128844,-0.419177254396278,-0.388196862239415,-0.34989898989899,-0.29738936535163,0.195454545454545,-0.490427475987233,-0.393693285244473,0.524830238989213,-0.365386154461785,-0.421964851627773,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.609560074454959,0.365560350580128,-0.412065972049675,0.404039521045326,-0.376715988354944,-0.395018353002056,-0.353897196408636,-0.375826433810137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427647215264899,-0.266666666666667,-0.353177166575222,0.2,0.233333333333333,0.37515045460664,0.374869780299724
"RKIP",-0.236111111111111,-0.252539682539683,-0.331874298540965,-0.232539682539683,-0.291725768321513,-0.353871541000254,-0.265750630470257,-0.297435897435897,-0.203333333333333,-0.205555555555556,-0.153333333333333,-0.238461538461538,-0.12,-0.15,-0.2,-0.1,-0.239404186795491,-0.195925925925926,-0.17,-0.17,-0.322477522477522,-0.397179487179487,-0.252684903748734,-0.195238095238095,-0.142857142857143,-0.0732229123533471,0.313333333333333,-0.628454228698131,-0.388311688311688,0.482233423404698,-0.360701754385965,-0.0961067693368578,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.565062749964721,0.169825343738387,-0.380097236927491,0.409590643274854,-0.318,-0.350749410840534,-0.27,-0.316421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.336219336219336,0,-0.0211751121507219,0.1,0.1,0.253623188405797,0.255555555555556
"KLF4",-0.217770034843206,-0.244444444444444,-0.399233753172741,-0.211111111111111,-0.374869780299724,-0.380622665006227,-0.354429673617203,-0.344622665006227,-0.362992776057792,-0.293333333333333,-0.317894736842105,-0.307636363636364,-0.26,-0.233333333333333,-0.263636363636364,-0.2,-0.367824373768646,-0.328877005347594,-0.2,-0.281818181818182,-0.378831455520197,-0.418213498716463,-0.388196862239415,-0.34989898989899,-0.305454545454545,-0.28138936535163,0.15,-0.465168802828377,-0.356534815299117,0.592313800929901,-0.319807923169268,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.67523849313323,0.348801194087342,-0.395018353002056,0.365386154461785,-0.353897196408636,-0.375826433810137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,-0.233333333333333,-0.341774069437728,0.1,0.2,0.341553616661976,0.33816091954023
"ZEB2",-0.278146853146853,-0.276156209382016,-0.27144018650254,-0.268537161762968,-0.250660867464057,-0.250658263305322,-0.24129671493047,-0.24124649859944,-0.239856755710414,-0.236129032258065,-0.235094850948509,-0.228011204481793,-0.227777777777778,-0.22,-0.214285714285714,-0.211111111111111,-0.187878787878788,-0.176190476190476,-0.176190476190476,-0.170927318295739,-0.158233964371274,-0.149363168523223,-0.140855810855811,-0.134445554445554,-0.125874125874126,-0.0753486279802069,-0.073375812093953,-0.0531597271503801,-0.0517278658675366,-0.0409712031736267,-0.0310606060606061,-0.0233824519433102,-0.0165951216265682,-0.0165951216265682,-0.0165951216265682,0.0104569345020276,0.0163861233949652,0.0425498543207265,0.0451400284432775,0.046957263862226,0.0480197000430266,0.0542743370329577,0.0544590939824206,0.0613218390804598,0.0623824451410658,0.0696551724137931,0.0727272727272727,0.08,0.0881217345872518,0.1,0.115352870393746,0.2,0.2,0.238806604023995,0.242795698924731
