"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.416322345812986,-0.444840634488054,-0.412988782636202,-0.373182957393484,-0.311278195488722,-0.428412698412698,-0.304808959156785,-0.382380952380952,-0.28,-0.332380952380952,-0.102815259037148,-0.110693015139367,-0.0948131868131868,-0.185078434110692,-0.188444669365722,-0.157675438596491,-0.380297058787024,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.235733352197699,-0.245759147219821,-0.212051282051282,-0.17051282051282,-0.221552287581699,0.531849709685743,-0.576772886730612,-0.576772886730612,-0.567469696969697,0.566249943193797,-0.379648240042393,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.644663998825485,0.336221070596071,0.589342311696155,-0.44643733174168,-0.397009957844804,-0.424843128843129,-0.364990253411306,-0.397985985985986,-0.328148148148148,-0.365985985985986,-0.328148148148148,-0.28,-0.28,-0.432464924861258,0.0333333333333333,0.0761904761904762,-0.2,-0.383471588338707,0.160633989666248,0.320167084377611
"SUFU",-0.497141566804488,-0.591223621614287,-0.558507572231571,-0.51334628190899,-0.466176470588235,-0.460030165912519,-0.418070395977373,-0.426696832579186,-0.35,-0.388461538461538,-0.170454545454545,-0.168640157093765,-0.154354442808051,-0.381396054022782,-0.303837569563749,-0.276853442579622,-0.32670695107825,-0.240683229813665,-0.331674347158218,-0.296190476190476,-0.192857142857143,-0.289854227405248,-0.393752118655841,-0.365180690084413,-0.32615629984051,-0.274497607655502,0.499983579638752,-0.57277632859742,-0.57277632859742,-0.512661591522978,0.457940692662748,-0.432480847449623,-0.408783368458026,-0.408783368458026,-0.408783368458026,0.515462758988607,0.374917200497119,0.584775707384403,-0.333489866833182,-0.398668266138146,-0.315372219774359,-0.374170274170274,-0.294526298324208,-0.342857142857143,-0.270136054421769,-0.23952380952381,-0.3,-0.196666666666667,-0.429666845974972,0.15,0.253333333333333,-0.15,-0.345435400926042,0.358947074430945,0.439081632653061
"RKIP",-0.431159420289855,-0.461612903225806,-0.41,-0.35,-0.3,-0.216190476190476,-0.323732057416268,-0.173333333333333,-0.153333333333333,-0.153333333333333,-0.165501165501166,-0.164363636363636,-0.156363636363636,-0.224436090225564,-0.150903010033445,-0.103076923076923,-0.454814814814815,-0.08,-0.142857142857143,-0.1,-0.1,-0.272820512820513,-0.211361737677527,-0.158730158730159,-0.114285714285714,-0.105,0.4,-0.446666666666667,-0.446666666666667,-0.617295454545455,0.483837209302326,-0.0824829931972789,-0.0416666666666667,-0.0416666666666667,-0.0416666666666667,0.577938363633801,0.151127477723222,0.455306388526727,-0.369749645115499,-0.308841463414634,-0.341526648599819,-0.2625,-0.306341463414634,-0.2,-0.26,-0.2,-0.1,-0.1,-0.328282828282828,0.1,0.1,0,-0.00792236724366688,0.192857142857143,0.323809523809524
"Patched",-0.371794871794872,-0.466176470588235,-0.425,-0.4,-0.3,-0.35,-0.316666666666667,-0.3,-0.1,-0.2,-0.112121212121212,-0.126666666666667,-0.106666666666667,-0.296190476190476,-0.192857142857143,-0.15,-0.219047619047619,-0.1,-0.333333333333333,-0.3,0,-0.206857142857143,-0.278787878787879,-0.233333333333333,-0.2,-0.23,0.342857142857143,-0.426666666666667,-0.426666666666667,-0.412777777777778,0.350016583747927,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.388642322097378,0.305128205128205,0.433333333333333,-0.270136054421769,-0.3,-0.23952380952381,-0.25,-0.196666666666667,-0.2,-0.15,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.297431457431457,0.253333333333333,0.3
"Ecadherin",-0.405376344086022,-0.384805956021552,-0.355753968253968,-0.320833333333333,-0.2875,-0.390097379851478,-0.389569377990431,-0.360042735042735,-0.277777777777778,-0.323931623931624,-0.182931034482759,-0.170200364298725,-0.154644808743169,-0.362443381180223,-0.377952683126255,-0.347793952967525,-0.408085391783324,-0.307368421052632,-0.309333333333333,-0.273333333333333,-0.26,-0.375618000224442,-0.40598340565589,-0.379174895017592,-0.344343434343434,-0.277285166940339,0.261420500403551,-0.416827590279623,-0.416827590279623,-0.473662493777735,0.599882635938919,-0.41463540504163,-0.39684766214178,-0.39684766214178,-0.39684766214178,0.584264140347541,0.358900956305695,0.424520407129103,-0.394327190122701,-0.366831678125796,-0.381045082548607,-0.348286223580341,-0.365833814942973,-0.324649859943978,-0.347585639760491,-0.324649859943978,-0.296078431372549,-0.296078431372549,-0.420267189369635,0.2,0.233333333333333,-0.266666666666667,-0.345740287355694,0.339636363636364,0.403061840120664
"cateninmemb",-0.405376344086022,-0.384805956021552,-0.355753968253968,-0.320833333333333,-0.2875,-0.390097379851478,-0.389569377990431,-0.360042735042735,-0.277777777777778,-0.323931623931624,-0.182931034482759,-0.170200364298725,-0.154644808743169,-0.362443381180223,-0.377952683126255,-0.347793952967525,-0.408085391783324,-0.307368421052632,-0.309333333333333,-0.273333333333333,-0.26,-0.375618000224442,-0.40598340565589,-0.379174895017592,-0.344343434343434,-0.277285166940339,0.261420500403551,-0.416827590279623,-0.416827590279623,-0.473662493777735,0.504005240273008,-0.41463540504163,-0.39684766214178,-0.39684766214178,-0.39684766214178,0.585375436059476,0.358900956305695,0.424520407129103,-0.394327190122701,-0.366831678125796,-0.381045082548607,-0.348286223580341,-0.365833814942973,-0.324649859943978,-0.347585639760491,-0.324649859943978,-0.296078431372549,-0.296078431372549,-0.420267189369635,0.2,0.233333333333333,-0.266666666666667,-0.345740287355694,0.339636363636364,0.403061840120664
"KLF4",-0.37357910906298,-0.355753968253968,-0.320833333333333,-0.2875,-0.25,-0.360042735042735,-0.362296650717703,-0.323931623931624,-0.2,-0.277777777777778,-0.157931034482759,-0.154644808743169,-0.133333333333333,-0.339636363636364,-0.347793952967525,-0.307368421052632,-0.385268490374873,-0.26,-0.273333333333333,-0.233333333333333,-0.2,-0.356812030075188,-0.379174895017592,-0.344343434343434,-0.305454545454545,-0.263492063492063,0.219047619047619,-0.373165618448637,-0.373165618448637,-0.452628251988776,0.576320776206846,-0.39684766214178,-0.374539969834087,-0.374539969834087,-0.374539969834087,0.654990783946157,0.34488226471691,0.379465462074158,-0.381045082548607,-0.348286223580341,-0.365833814942973,-0.324649859943978,-0.347585639760491,-0.296078431372549,-0.324649859943978,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.398854385837626,0.1,0.2,-0.233333333333333,-0.336740287355694,0.309333333333333,0.363846153846154
"miR200",-0.100264192524108,-0.133441372634393,-0.116647479504622,-0.0962393162393162,-0.0717948717948718,-0.0993717382135277,-0.0702699713765288,-0.0754047960647674,-0.0142857142857143,-0.0436974789915966,-0.0142318059299191,-0.0167931806869089,-0.0102891156462585,-0.0705881359595796,-0.0737894736842105,-0.0557894736842105,-0.218362417806296,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.11411789760627,-0.130431250540143,-0.111133004926108,-0.0869950738916256,-0.111960784313725,0.337928064842958,-0.353612352088372,-0.353612352088372,-0.312770067054712,0.404321871300411,-0.283795239963764,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.435291762118643,0.226327312676002,0.28549460489759,-0.333893595040559,-0.30644519631757,-0.322977260379204,-0.28912676056338,-0.309275828886362,-0.268,-0.291561543172076,-0.270434782608696,-0.24,-0.24,-0.341114442218041,0,0.02,-0.2,-0.314856680522542,0.058162100456621,0.0530688233658531
"GSK3",-0.313924237068458,-0.29029304029304,-0.269413919413919,-0.255128205128205,-0.238461538461538,-0.148387635756057,-0.279662859248342,-0.134352548036759,-0.0714285714285714,-0.118796992481203,-0.164507936507937,-0.177871287128713,-0.165,-0.248873348873349,-0.122657342657343,-0.107272727272727,-0.312851193040767,-0.0939393939393939,-0.207692307692308,-0.2,-0.0666666666666667,-0.277455965756087,-0.22218579701484,-0.203937621832359,-0.189122807017544,-0.125780189959294,0.238787878787879,-0.327199327165685,-0.327199327165685,-0.357577296604021,0.37063028145669,-0.143662345840557,-0.129808441558442,-0.129808441558442,-0.129808441558442,0.375051018149239,-0.0404081427820779,0.338888888888889,-0.277346209402279,-0.256200564971751,-0.267840505980226,-0.238700564971751,-0.255681697047223,-0.216666666666667,-0.238700564971751,-0.216666666666667,-0.2,-0.2,-0.300964900169238,0,0.2,-0.2,0.0583657092555011,0.225641025641026,0.320776662950576
"AXIN2",-0.313058617465397,-0.298910675381264,-0.282614379084967,-0.268888888888889,-0.246666666666667,0.0139839368881285,-0.288115942028985,0.0313492063492063,0.1,0.0583333333333333,-0.0634085213032581,-0.0855844155844156,-0.0712987012987013,-0.285018041023555,0.0554635482511589,0.0740476190476191,-0.311332867277493,0.094047619047619,-0.249122807017544,-0.233333333333333,0.119047619047619,-0.295154728997035,-0.0976258219639702,-0.0801500938086304,-0.0630769230769231,-0.276025114332222,0.206410256410256,-0.32006600660066,-0.32006600660066,-0.371761086323797,0.386572148715563,0.0287251643424679,0.0414287474043572,0.0414287474043572,0.0414287474043572,0.381725629102957,-0.143362305615941,0.330236159504452,-0.310119823623989,-0.291784414967389,-0.302066557929633,-0.277261593390626,-0.291428260057292,-0.261132561132561,-0.277261593390626,-0.261132561132561,-0.247619047619048,-0.247619047619048,0.134855669835698,-0.133333333333333,0.2,-0.233333333333333,0.130597657875531,0.266769865841073,0.190634920634921
