"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","HEY1","ERK","cfos","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.438498952426499,-0.459610977258036,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.34700983227299,-0.42200153782457,-0.26,-0.0989040696370081,-0.37303602058319,-0.314545454545455,-0.106168184615437,-0.09160507781932,-0.181556067588326,-0.186647401213314,-0.394396281314314,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.233787431095653,-0.0833333333333333,-0.244647967134155,-0.212051282051282,-0.17051282051282,-0.236222222222222,0.55255945875618,-0.600949250305135,-0.600949250305135,-0.570571503192363,0.57083210028038,-0.380752294183667,-0.345297748729121,-0.345297748729121,-0.345297748729121,0.652262741021738,0.336027923005271,0.612788145561255,-0.451072799455547,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.38502604683548,0.158556067588326,0.318301698301698
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.416370022079091,-0.452661886639301,-0.35,-0.157607030650509,-0.419630212431157,-0.385483870967742,-0.154652122819176,-0.144675324675325,-0.369574230678882,-0.297647024116823,-0.349643836064259,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287246764837126,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.30307292009749,0.503944842555326,-0.563986127625245,-0.563986127625245,-0.52385188868382,0.47098276859156,-0.438642625174945,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525728264679025,0.379489459115854,0.575591090136125,-0.34669001488608,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352254558178163,0.349419191919192,0.392609338318407
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.35,-0.1,-0.105128205128205,-0.3,-0.2,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.283333333333333
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.358866098743407,-0.387750275383918,-0.281818181818182,-0.128084864208038,-0.359881422924901,-0.327272727272727,-0.114868158153933,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.2966211534311,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489917946028745,0.620598378586183,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364570298564988,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.33671420000923
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.358866098743407,-0.387750275383918,-0.281818181818182,-0.128084864208038,-0.359881422924901,-0.327272727272727,-0.114868158153933,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.2966211534311,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489917946028745,0.524689773268335,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364570298564988,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.33671420000923
"GSK3",-0.247526373387774,-0.275808471173013,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.151547169932617,-0.197052885789816,-0.0946078431372549,-0.0869191989879614,-0.17585885593907,-0.143627450980392,-0.0842567837275937,-0.0746182295107262,-0.145766158990489,-0.191264367816092,-0.280980553233369,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.195805677806402,-0.136666666666667,-0.256722704418911,-0.239751425045543,-0.222268907563025,-0.177407321436685,0.355779934444689,-0.384836107935272,-0.384836107935272,-0.412014582034128,0.416835885510958,-0.215787406561387,-0.19582942336811,-0.19582942336811,-0.19582942336811,0.487641095584778,0.0243362312606425,0.390113022352718,-0.379735168527368,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0158364457507382,0.129976685306279,0.133900111109087
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102694157694158,-0.10969696969697,-0.0142857142857143,-0.0134180790960452,-0.083982683982684,-0.0476190476190476,-0.0165229996474239,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114664031620553,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314869844146771,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226616511665124,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0862920412920413
"RKIP",-0.274830659536542,-0.305567765567766,-0.251282051282051,-0.207692307692308,-0.2,-0.201047786917352,-0.196867167919799,-0.15,-0.143025210084034,-0.154761904761905,-0.15,-0.138273411232065,-0.137198142414861,-0.19362962962963,-0.140692640692641,-0.365384615384615,-0.0952380952380952,-0.0666666666666667,-0.12,-0.08,-0.249749373433584,-0.1,-0.203846153846154,-0.15,-0.1,-0.14472049689441,0.318245614035088,-0.356543486375513,-0.356543486375513,-0.616488542903637,0.468884179268891,-0.10869583216899,-0.0629014396456257,-0.0629014396456257,-0.0629014396456257,0.535233153942831,0.14645947267796,0.365772833723653,-0.370412231053844,-0.318,-0.346348059930849,-0.27,-0.316421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.336219336219336,0.1,0.1,0,-0.0366220735785953,0.164,0.160507246376812
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.33671420000923,-0.359881422924901,-0.2,-0.111306340718105,-0.327272727272727,-0.281818181818182,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.348106210167198,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.308817204301075
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.163451239738129,-0.152437901752742,-0.147619047619048,-0.145779220779221,-0.144050804978548,-0.142355889724311,-0.138242642152865,-0.136413373860182,-0.131844780678727,-0.12863707165109,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112054163837252,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0716117216117216,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0497626912434046,-0.0415318495285875,-0.0224053903086161,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00641966023933088,0.0113858447640831,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113289257826869,0.127735191637631,0.158732138614533
