"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.088119267011384,0.949960887737785,0.998978703810351,0.989277017768078,0.99770292651709,0.949960887737785,0.814123230341551,0.0198443141201409,0.973447856704831,0.974469138115876,-0.980850834400186,0.998978703810351,0.830207735527591,0.814123230341551,0.814123230341551,-0.996170161773551,0.997446902886671,0.999744709204997,0.998978703810351,0.0357934607971159,0.989532086220022,-0.0892904836449072,0.219642844020413,0.973448779849967,0.999489351905175,0.989532086220022,0.989532086220022,0.998978703810351,0.949960887737785,-0.830718626637616,0.949960887737785,0.949960887737785,-0.997957527084974,0.830718626637616,0.998978703810351,0.830718626637616,0.998978703810351,0.963999434602357,0.974213401240503,0.949960887737785,0.219642844020413,-0.829697077296918,0.949960887737785,0.998978703810351,0.998978703810351,0.999744709204997,-0.991064018971072,0.814123230341551,0.338549954341742,0.338549954341742,0.949960887737785,-0.949960887737785,0.949960887737785,0.975234047210216,-0.338549954341742
"AXIN2",-0.088119267011384,1,-0.116702464146198,-0.088119267011384,-0.0947527995883051,-0.0873476997255336,-0.116702464146198,-0.0886321905426159,0.543775262749905,-0.0998567156348171,-0.10343103702032,0.0899099208040714,-0.088119267011384,-0.0791912937742914,-0.0886321905426159,-0.0886321905426159,0.0853119687443148,-0.0886276160747724,-0.0878628158936846,-0.088119267011384,-0.00713112022244075,-0.0950092479846292,-0.00252841361213966,-0.0224422127785291,-0.100896970152085,-0.0876086422816341,-0.0950092479846292,-0.0950092479846292,-0.088119267011384,-0.116702464146198,0.0791889937765933,-0.116702464146198,-0.116702464146198,0.0886321905426159,-0.0791889937765933,-0.088119267011384,-0.0791889937765933,-0.088119267011384,-0.105734635419505,-0.101134398929883,-0.116702464146198,-0.0224422127785291,0.0786806589091571,-0.116702464146198,-0.088119267011384,-0.088119267011384,-0.0883734393087081,0.0899030391301122,-0.0886321905426159,-0.00867743287716819,-0.00867743287716819,-0.116702464146198,0.116702464146198,-0.116702464146198,-0.101647319495501,0.00867743287716819
"CD44",0.949960887737785,-0.116702464146198,1,0.949450251292615,0.959661293862376,0.947661218878701,1,0.820770343257348,-0.00771212524107071,0.972426552457961,0.974979697738143,-0.968601112172304,0.949450251292615,0.803665809595653,0.820770343257348,0.820770343257348,-0.953280585770618,0.949959968776021,0.949705079726711,0.949450251292615,0.0296528702126996,0.959916937904354,-0.101050350135119,0.213492771140621,0.976523072649009,0.949450251292615,0.959916937904354,0.959916937904354,0.949450251292615,1,-0.804175544451018,1,1,-0.951493971947389,0.804175544451018,0.949450251292615,0.804175544451018,0.949450251292615,0.985960173986046,0.974724619708015,1,0.213492771140621,-0.803155163014867,1,0.949450251292615,0.949450251292615,0.950215714857124,-0.941023531675369,0.820770343257348,0.341093325326316,0.341093325326316,1,-1,1,0.973704018125505,-0.341093325326316
"CDC42",0.998978703810351,-0.088119267011384,0.949450251292615,1,0.989277017768078,0.996681642809412,0.949450251292615,0.815144531990125,0.0203549477195877,0.973447856704831,0.974469138115876,-0.980850834400186,1,0.831229051988936,0.815144531990125,0.815144531990125,-0.996170161773551,0.998468193883764,0.998723415644922,1,0.036304088272595,0.989532086220022,-0.0882692164460135,0.22015347761986,0.972938116775844,0.998468055715527,0.989532086220022,0.989532086220022,1,0.949450251292615,-0.831739936974052,0.949450251292615,0.949450251292615,-0.997957527084974,0.831739936974052,1,0.831739936974052,1,0.963488787822319,0.974724043094342,0.949450251292615,0.22015347761986,-0.830718393758263,0.949450251292615,1,1,0.999234062424959,-0.990042730470372,0.815144531990125,0.338039332723765,0.338039332723765,0.949450251292615,-0.949450251292615,0.949450251292615,0.975234047210216,-0.338039332723765
"Csl",0.989277017768078,-0.0947527995883051,0.959661293862376,0.989277017768078,1,0.986978794333375,0.959661293862376,0.819232572646399,0.0137236145810421,0.974978983709635,0.976000255002073,-0.977788444846723,0.989277017768078,0.832765030521441,0.819232572646399,0.819232572646399,-0.986468738704226,0.989787321592904,0.989021496354798,0.989277017768078,0.0317031731315239,0.999744712998542,-0.0908285241533468,0.215548599975016,0.973452172124868,0.98876637473263,0.999744712998542,0.999744712998542,0.989277017768078,0.959661293862376,-0.833275379713445,0.959661293862376,0.959661293862376,-0.987745675058039,0.833275379713445,0.989277017768078,0.833275379713445,0.989277017768078,0.968085185807154,0.972680964086697,0.959661293862376,0.215548599975016,-0.832254377350246,0.959661293862376,0.989277017768078,0.989277017768078,0.989532138075473,-0.980340423740092,0.819232572646399,0.338545817917012,0.338545817917012,0.959661293862376,-0.959661293862376,0.959661293862376,0.976255310211998,-0.338545817917012
"Csn",0.99770292651709,-0.0873476997255336,0.947661218878701,0.996681642809412,0.986978794333375,1,0.947661218878701,0.811829068206395,0.020108184693036,0.971149185342006,0.97217045427126,-0.978554954159488,0.996681642809412,0.827914973284422,0.811829068206395,0.811829068206395,-0.993873454980606,0.995149220399333,0.997957959351111,0.996681642809412,0.033489035670464,0.987234180140288,-0.0890428781092266,0.217333537073843,0.971155223078694,0.998213568370929,0.987234180140288,0.987234180140288,0.996681642809412,0.947661218878701,-0.828425220002732,0.947661218878701,0.947661218878701,-0.995661118183022,0.828425220002732,0.996681642809412,0.828425220002732,0.996681642809412,0.961702481077264,0.971915041288872,0.947661218878701,0.217333537073843,-0.827404321294859,0.947661218878701,0.996681642809412,0.996681642809412,0.997447318812043,-0.993361836253228,0.811829068206395,0.337268300553083,0.337268300553083,0.947661218878701,-0.947661218878701,0.947661218878701,0.972936315876761,-0.337268300553083
"DELTA",0.949960887737785,-0.116702464146198,1,0.949450251292615,0.959661293862376,0.947661218878701,1,0.820770343257348,-0.00771212524107071,0.972426552457961,0.974979697738143,-0.968601112172304,0.949450251292615,0.803665809595653,0.820770343257348,0.820770343257348,-0.953280585770618,0.949959968776021,0.949705079726711,0.949450251292615,0.0296528702126996,0.959916937904354,-0.101050350135119,0.213492771140621,0.976523072649009,0.949450251292615,0.959916937904354,0.959916937904354,0.949450251292615,1,-0.804175544451018,1,1,-0.951493971947389,0.804175544451018,0.949450251292615,0.804175544451018,0.949450251292615,0.985960173986046,0.974724619708015,1,0.213492771140621,-0.803155163014867,1,0.949450251292615,0.949450251292615,0.950215714857124,-0.941023531675369,0.820770343257348,0.341093325326316,0.341093325326316,1,-1,1,0.973704018125505,-0.341093325326316
"DSH",0.814123230341551,-0.0886321905426159,0.820770343257348,0.815144531990125,0.819232572646399,0.811829068206395,0.820770343257348,1,0.00401117416437059,0.815149162601164,0.818213023210839,-0.815908916469749,0.815144531990125,0.982893672753995,1,1,-0.817952533143155,0.814124566532677,0.81386854714782,0.815144531990125,0.00669020733009182,0.819487107519042,-0.093372531710015,0.162966905363776,0.819737057540133,0.813612579517264,0.819487107519042,0.819487107519042,0.815144531990125,0.820770343257348,-0.983403911692025,0.820770343257348,0.820770343257348,-0.814632759983378,0.983403911692025,0.815144531990125,0.983403911692025,0.815144531990125,0.816421794695288,0.819999381538689,0.820770343257348,0.162966905363776,-0.982383011793805,0.820770343257348,0.815144531990125,0.815144531990125,0.814379196657314,-0.805188992084849,1,0.279319730720253,0.279319730720253,0.820770343257348,-0.820770343257348,0.820770343257348,0.815912578660494,-0.279319730720253
"Destcompl",0.0198443141201409,0.543775262749905,-0.00771212524107071,0.0203549477195877,0.0137236145810421,0.020108184693036,-0.00771212524107071,0.00401117416437059,1,0.00913143583270644,0.00555705236022399,-0.0185626010448532,0.0203549477195877,0.0134493417323841,0.00401117416437059,0.00401117416437059,-0.0236723687031231,0.0198477330211148,0.0201013390704441,0.0203549477195877,0.00233119528558166,0.0134665724609918,-0.0180794620835658,0.0181744943345657,0.0080823793490267,0.0203549477195877,0.0134665724609918,0.0134665724609918,0.0203549477195877,-0.00771212524107071,-0.0134527809373746,-0.00771212524107071,-0.00771212524107071,-0.0198409003581704,0.0134527809373746,0.0203549477195877,0.0134527809373746,0.0203549477195877,0.00273984139072943,0.0073425007270748,-0.00771212524107071,0.0181744943345657,-0.0139599854673912,-0.00771212524107071,0.0203549477195877,0.0203549477195877,0.0201013390704441,-0.0170409807465643,0.00401117416437059,0.0308970104083615,0.0308970104083615,-0.00771212524107071,0.00771212524107071,-0.00771212524107071,0.00733901540001019,-0.0308970104083616
"EGR1",0.973447856704831,-0.0998567156348171,0.972426552457961,0.973447856704831,0.974978983709635,0.971149185342006,0.972426552457961,0.815149162601164,0.00913143583270644,1,0.991319233622434,-0.973193785568738,0.973447856704831,0.816937182051534,0.815149162601164,0.815149162601164,-0.977278025740409,0.973447339819745,0.973192246836876,0.973447856704831,0.0347642721575739,0.975234405580171,-0.0933847605412212,0.218607853985461,0.967837036450397,0.972937215999308,0.975234405580171,0.975234405580171,0.973447856704831,0.972426552457961,-0.817447363078801,0.972426552457961,0.972426552457961,-0.975491201174164,0.817447363078801,0.973447856704831,0.817447363078801,0.973447856704831,0.976256083181405,0.953276979080053,0.972426552457961,0.218607853985461,-0.81642653121031,0.972426552457961,0.973447856704831,0.973447856704831,0.97370288622763,-0.964511031496989,0.815149162601164,0.337522653690815,0.337522653690815,0.972426552457961,-0.972426552457961,0.972426552457961,0.996681153746536,-0.337522653690815
