"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.0844194712230608,0.941605830816572,0.999260815140733,0.989897633973893,0.986204526730353,0.941605830816572,0.794990392376511,0.0220578539220001,0.9667554790982,0.96822829898047,-0.984723853193449,0.999507190573419,0.816428138978993,0.794990392376511,0.794990392376511,-0.997043256075254,0.995072040628051,0.99827519977308,0.999260815140733,0.990390445644495,-0.0117176137781549,0.94086596944378,0.11561774132027,0.967722947728226,0.992855067798493,0.990390445644495,0.990390445644495,0.999014499645938,0.941605830816572,-0.816428138978993,0.941605830816572,0.941605830816572,-0.996801793548372,0.816428138978993,0.999507190573419,0.816428138978993,0.999507190573419,0.963780411995347,0.970934540075468,0.941605830816572,0.941605830816572,-0.815935787607869,0.941605830816572,0.999507190573419,0.999507190573419,0.999753625285397,-0.974866719244339,0.794990392376511,0.315250869710046,0.315250869710046,0.941605830816572,-0.941605830816572,0.941605830816572,0.967006778147839,-0.315250869710046
"AXIN2",-0.0844194712230608,1,-0.126572007062377,-0.0836815069173767,-0.0895977147628924,-0.086871295040354,-0.126572007062377,-0.0829485922358369,0.547625938443183,-0.103921948875046,-0.104901892490312,0.0863982695321711,-0.0839266649380555,-0.0639790979574808,-0.0829485922358369,-0.0829485922358369,0.0819579299948894,-0.0854026040894452,-0.0846646329516452,-0.0836815069173767,-0.0900905232919032,-0.0134394530677642,-0.125831381877148,-0.0152161239447838,-0.108332342206176,-0.085152521874704,-0.0900905232919032,-0.0900905232919032,-0.0839291609992312,-0.126572007062377,0.0639790979574808,-0.126572007062377,-0.126572007062377,0.0851752989121853,-0.0639790979574808,-0.0839266649380555,-0.0639790979574808,-0.0839266649380555,-0.105375459256263,-0.1060810494172,-0.126572007062377,-0.126572007062377,0.0634887888100199,-0.126572007062377,-0.0839266649380555,-0.0839266649380555,-0.0841743139204604,0.0883619215031031,-0.0829485922358369,-0.0067923021264518,-0.0067923021264518,-0.126572007062377,0.126572007062377,-0.126572007062377,-0.104665564350102,0.0067923021264518
"CD44",0.941605830816572,-0.126572007062377,1,0.941358575854129,0.950227878601789,0.927818579839509,1,0.800653429966361,-0.018595935233423,0.972406295677984,0.973389396274633,-0.956386399606253,0.941605830816572,0.779213256820154,0.800653429966361,0.800653429966361,-0.943082667559159,0.940622050930572,0.93988186061268,0.941358575854129,0.950720701941681,-0.00162269862053901,0.999260782828214,0.0995595981162392,0.973880568050608,0.934465048263361,0.950720701941681,0.950720701941681,0.941111377311384,1,-0.779213256820154,1,1,-0.944802730282591,0.779213256820154,0.941605830816572,0.779213256820154,0.941605830816572,0.97782319713882,0.970213969880412,1,1,-0.778719163711828,1,0.941605830816572,0.941605830816572,0.941851397668048,-0.91647195492977,0.800653429966361,0.305144162359784,0.305144162359784,1,-1,1,0.973148141608113,-0.305144162359784
"CDC42",0.999260815140733,-0.0836815069173767,0.941358575854129,1,0.990143873658263,0.98546593721466,0.941358575854129,0.795728982066154,0.0227973016558087,0.966507401549813,0.967980469382218,-0.984969904445694,0.999753625285397,0.817166581927134,0.795728982066154,0.795728982066154,-0.996796754887995,0.995318589634517,0.997536074148055,0.999507189137251,0.990636686046951,-0.0119646092373691,0.940618774661352,0.116353870152709,0.967475975761819,0.992116180814403,0.990636686046951,0.990636686046951,0.999753624552532,0.941358575854129,-0.817166581927134,0.941358575854129,0.941358575854129,-0.996554619013131,0.817166581927134,0.999753625285397,0.817166581927134,0.999753625285397,0.963533434284188,0.971182022094485,0.941358575854129,0.941358575854129,-0.816674111408671,0.941358575854129,0.999753625285397,0.999753625285397,0.999507189137251,-0.974127497762837,0.795728982066154,0.315496851248722,0.315496851248722,0.941358575854129,-0.941358575854129,0.941358575854129,0.966758516449574,-0.315496851248722
"Csl",0.989897633973893,-0.0895977147628924,0.950227878601789,0.990143873658263,1,0.976104032789977,0.950227878601789,0.795727863828115,0.0168841541248854,0.969461311186119,0.971920506067316,-0.982998106461132,0.990390445644495,0.814701069708195,0.795727863828115,0.795727863828115,-0.987433295372308,0.989898147297449,0.98817302214669,0.990143873658263,0.999507186085368,-0.0104873855477983,0.949488177168036,0.110433437993606,0.968953482646051,0.982753644364703,0.999507186085368,0.999507186085368,0.989897361055796,0.950227878601789,-0.814701069708196,0.950227878601789,0.950227878601789,-0.988668099113415,0.814701069708195,0.990390445644495,0.814701069708195,0.990390445644495,0.966489386592731,0.967734734392047,0.950227878601789,0.950227878601789,-0.814208344766209,0.950227878601789,0.990390445644495,0.990390445644495,0.990143873658263,-0.964764238773219,0.795727863828115,0.314017647815973,0.314017647815973,0.950227878601789,-0.950227878601789,0.950227878601789,0.969712090509452,-0.314017647815973
"Csn",0.986204526730353,-0.086871295040354,0.927818579839509,0.98546593721466,0.976104032789977,1,0.927818579839509,0.781200731448143,0.0186059105751408,0.952975936484762,0.95444647339283,-0.970932061224104,0.985711722838889,0.802639980859043,0.781200731448143,0.781200731448143,-0.984727405334975,0.9812754461198,0.987928780422693,0.98546593721466,0.976596838925435,-0.00924772965514618,0.927078149750652,0.107764092412121,0.95393309030107,0.993347948790066,0.976596838925435,0.976596838925435,0.985220210692512,0.927818579839509,-0.802639980859043,0.927818579839509,0.927818579839509,-0.983013922623422,0.802639980859043,0.985711722838889,0.802639980859043,0.985711722838889,0.949990598849812,0.957128683595641,0.927818579839509,0.927818579839509,-0.802148793240659,0.927818579839509,0.985711722838889,0.985711722838889,0.985958741824199,-0.988668546187671,0.781200731448143,0.312792138241674,0.312792138241674,0.927818579839509,-0.927818579839509,0.927818579839509,0.953228923792008,-0.312792138241674
"DELTA",0.941605830816572,-0.126572007062377,1,0.941358575854129,0.950227878601789,0.927818579839509,1,0.800653429966361,-0.018595935233423,0.972406295677984,0.973389396274633,-0.956386399606253,0.941605830816572,0.779213256820154,0.800653429966361,0.800653429966361,-0.943082667559159,0.940622050930572,0.93988186061268,0.941358575854129,0.950720701941681,-0.00162269862053901,0.999260782828214,0.0995595981162392,0.973880568050608,0.934465048263361,0.950720701941681,0.950720701941681,0.941111377311384,1,-0.779213256820154,1,1,-0.944802730282591,0.779213256820154,0.941605830816572,0.779213256820154,0.941605830816572,0.97782319713882,0.970213969880412,1,1,-0.778719163711828,1,0.941605830816572,0.941605830816572,0.941851397668048,-0.91647195492977,0.800653429966361,0.305144162359784,0.305144162359784,1,-1,1,0.973148141608113,-0.305144162359784
"DSH",0.794990392376511,-0.0829485922358369,0.800653429966361,0.795728982066154,0.795727863828115,0.781200731448143,0.800653429966361,1,-0.000609739031537129,0.795729519559628,0.798191502131969,-0.790551949928575,0.795483206560451,0.97856252823658,1,1,-0.79646762226634,0.791542112638909,0.7932662260709,0.795728982066154,0.796220680256096,-0.00137223481245552,0.799914233851967,0.0761709736305029,0.796711312065388,0.78784851956739,0.796220680256096,0.796220680256096,0.795974806616296,0.800653429966361,-0.97856252823658,0.800653429966361,0.800653429966361,-0.795725171433453,0.97856252823658,0.795483206560451,0.97856252823658,0.795483206560451,0.793754381721141,0.796981259167202,0.800653429966361,0.800653429966361,-0.978070103052806,0.800653429966361,0.795483206560451,0.795483206560451,0.795236167164124,-0.769856868995566,1,0.248719406818786,0.248719406818786,0.800653429966361,-0.800653429966361,0.800653429966361,0.797456654205902,-0.248719406818786
"Destcompl",0.0220578539220001,0.547625938443183,-0.018595935233423,0.0227973016558087,0.0168841541248854,0.0186059105751408,-0.018595935233423,-0.000609739031537129,1,0.0035837580367527,0.00259721493771168,-0.0210737296168173,0.022550655270364,0.0183640372123168,-0.000609739031537129,-0.000609739031537129,-0.0250151614168894,0.0210717686694905,0.0213184096374665,0.0227973016558087,0.0163913505325384,-0.00652750763736069,-0.0178568891740244,0.000627628618582494,-0.000362700541889434,0.0208246553321993,0.0163913505325384,0.0163913505325384,0.0225511473447425,-0.018595935233423,-0.0183640372123168,-0.018595935233423,-0.018595935233423,-0.0213219191768407,0.0183640372123168,0.022550655270364,0.0183640372123168,0.022550655270364,0.00259415278772207,0.00086355738652724,-0.018595935233423,-0.018595935233423,-0.0188573478030387,-0.018595935233423,0.022550655270364,0.022550655270364,0.0223044995893735,-0.0151586350449055,-0.000609739031537129,0.0292012578724722,0.0292012578724722,-0.018595935233423,0.018595935233423,-0.018595935233423,0.00284517564377833,-0.0292012578724722
"EGR1",0.9667554790982,-0.103921948875046,0.972406295677984,0.966507401549813,0.969461311186119,0.952975936484762,0.972406295677984,0.795729519559628,0.0035837580367527,1,0.988664627437262,-0.968717790617774,0.9667554790982,0.795971237311816,0.795729519559628,0.795729519559628,-0.967737904302467,0.964787618341439,0.965032260110484,0.966507401549813,0.969954152749717,-0.00655915793971727,0.971667961620994,0.103952828720341,0.966003403986737,0.959618522547148,0.969954152749717,0.969954152749717,0.966259381945606,0.972406295677984,-0.795971237311816,0.972406295677984,0.972406295677984,-0.969942040731047,0.795971237311816,0.9667554790982,0.795971237311816,0.9667554790982,0.973888953745574,0.951517574106853,0.972406295677984,0.972406295677984,-0.795475493879063,0.972406295677984,0.9667554790982,0.9667554790982,0.967000241587381,-0.941620673806675,0.795729519559628,0.310071462652355,0.310071462652355,0.972406295677984,-0.972406295677984,0.972406295677984,0.996796593051728,-0.310071462652355
"ERK",0.96822829898047,-0.104901892490312,0.973389396274633,0.967980469382218,0.971920506067316,0.95444647339283,0.973389396274633,0.798191502131969,0.00259721493771168,0.988664627437262,1,-0.970684897187491,0.96822829898047,0.799419641705814,0.798191502131969,0.798191502131969,-0.969211202758795,0.966259971620932,0.966504855354499,0.967980469382218,0.972413341825442,-0.00754242669626298,0.972650825870965,0.103964841305017,0.973392533906542,0.961090202721722,0.972413341825442,0.972413341825442,0.967732697818322,0.973389396274633,-0.799419641705814,0.973389396274633,0.973389396274633,-0.971418015539415,0.799419641705814,0.96822829898047,0.799419641705814,0.96822829898047,0.975363898124114,0.954957481287452,0.973389396274633,0.973389396274633,-0.798924403917873,0.973389396274633,0.96822829898047,0.96822829898047,0.968473303614332,-0.943093789766665,0.798191502131969,0.311056988436303,0.311056988436303,0.973389396274633,-0.973389396274633,0.973389396274633,0.991869164607062,-0.311056988436303
"Ecadherin",-0.984723853193449,0.0863982695321711,-0.956386399606253,-0.984969904445694,-0.982998106461132,-0.970932061224104,-0.956386399606253,-0.790551949928575,-0.0210737296168173,-0.968717790617774,-0.970684897187491,1,-0.985216667377389,-0.805089281374088,-0.790551949928575,-0.790551949928575,0.983244753632924,-0.981767867925449,-0.9829994219437,-0.984969904445694,-0.983490922889114,0.0265054057091805,-0.955646863094901,-0.114613301837312,-0.970677380651921,-0.977580770865773,-0.983490922889114,-0.983490922889114,-0.984723200583055,-0.956386399606253,0.805089281374088,-0.956386399606253,-0.956386399606253,0.984477473243828,-0.805089281374088,-0.985216667377389,-0.805089281374088,-0.985216667377389,-0.97856252823658,-0.971927522261865,-0.956386399606253,-0.956386399606253,0.8045961505121,-0.956386399606253,-0.985216667377389,-0.985216667377389,-0.984969904445694,0.959590329812504,-0.790551949928575,-0.330032902979393,-0.330032902979393,-0.956386399606253,0.956386399606253,-0.956386399606253,-0.968475168921812,0.330032902979393
"FOXC2",0.999507190573419,-0.0839266649380555,0.941605830816572,0.999753625285397,0.990390445644495,0.985711722838889,0.941605830816572,0.795483206560451,0.022550655270364,0.9667554790982,0.96822829898047,-0.985216667377389,1,0.816920955945603,0.795483206560451,0.795483206560451,-0.997043256075254,0.995564848708235,0.997782391034659,0.999753625285397,0.990883257315096,-0.0117176137781549,0.94086596944378,0.116110586924188,0.967722947728226,0.992362261513488,0.990883257315096,0.990883257315096,0.99950731053861,0.941605830816572,-0.816920955945603,0.941605830816572,0.941605830816572,-0.996801793548372,0.816920955945603,1,0.816920955945603,1,0.963780411995347,0.9714273416931,0.941605830816572,0.941605830816572,-0.816428606579227,0.941605830816572,1,1,0.999753625285397,-0.974373909817757,0.795483206560451,0.315250869710046,0.315250869710046,0.941605830816572,-0.941605830816572,0.941605830816572,0.967006778147839,-0.315250869710046
