"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.212855013510203,-1,0.212855013510203
"OVOL2",1,1,-0.212855013510203,-1,0.212855013510203
"SNAIL",-0.212855013510203,-0.212855013510203,1,0.212855013510203,-1
"ZEB",-1,-1,0.212855013510203,1,-0.212855013510203
"miR200",0.212855013510203,0.212855013510203,-1,-0.212855013510203,1
