"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,0.0011683615938268,-1,-1,1
"OVOL2",0.0011683615938268,1,-0.00116836159382682,-0.00116836159382682,0.0011683615938268
"SNAIL",-1,-0.00116836159382682,1,1,-1
"ZEB",-1,-0.00116836159382682,1,1,-1
"miR200",1,0.0011683615938268,-1,-1,1
