"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.246845995295411,-1,-1
"OVOL2",1,1,-0.246845995295411,-1,-1
"SNAIL",-0.246845995295411,-0.246845995295411,1,0.246845995295411,0.246845995295411
"ZEB",-1,-1,0.246845995295411,1,1
"miR200",-1,-1,0.246845995295411,1,1
