"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.000326247790482517,-0.157844649402724,-1,1
"OVOL2",-0.000326247790482517,1,0.0092009245831539,0.000326247790482517,-0.000326247790482517
"SNAIL",-0.157844649402724,0.0092009245831539,1,0.157844649402724,-0.157844649402724
"ZEB",-1,0.000326247790482517,0.157844649402724,1,-1
"miR200",1,-0.000326247790482517,-0.157844649402724,-1,1
