"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,1,-0.196018062726937,-1,0.196018062726937
"OVOL2",1,1,-0.196018062726937,-1,0.196018062726937
"SNAIL",-0.196018062726937,-0.196018062726937,1,0.196018062726937,-1
"ZEB",-1,-1,0.196018062726937,1,-0.196018062726937
"miR200",0.196018062726937,0.196018062726937,-1,-0.196018062726937,1
