"","GRHL2","OVOL2","SNAIL","ZEB","miR200"
"GRHL2",1,0.00138781783191111,-1,-1,1
"OVOL2",0.00138781783191111,1,-0.00138781783191109,-0.00138781783191109,0.00138781783191111
"SNAIL",-1,-0.00138781783191109,1,1,-1
"ZEB",-1,-0.00138781783191109,1,1,-1
"miR200",1,0.00138781783191111,-1,-1,1
